date,open,high,low,close,volume
2021-08-06 09:15:00+05:30,43.75,44.6,43.0,44.6,37578
2021-08-06 09:20:00+05:30,44.6,44.6,43.5,43.6,8433
2021-08-06 09:25:00+05:30,43.6,43.75,43.45,43.65,4299
2021-08-06 09:30:00+05:30,43.65,43.85,43.35,43.35,5689
2021-08-06 09:35:00+05:30,43.35,43.5,43.15,43.45,1865
2021-08-06 09:40:00+05:30,43.5,43.55,43.3,43.55,1755
2021-08-06 09:45:00+05:30,43.5,43.5,43.45,43.45,11
2021-08-06 09:50:00+05:30,43.4,43.4,43.0,43.0,6901
2021-08-06 09:55:00+05:30,43.0,43.5,42.75,43.5,4449
2021-08-06 10:00:00+05:30,43.5,43.55,43.0,43.3,11832
2021-08-06 10:05:00+05:30,43.3,43.45,42.8,43.25,4081
2021-08-06 10:10:00+05:30,43.2,43.25,43.2,43.25,1055
2021-08-06 10:15:00+05:30,43.25,43.25,43.0,43.2,1926
2021-08-06 10:20:00+05:30,43.2,43.6,43.0,43.5,4314
2021-08-06 10:25:00+05:30,43.0,44.0,43.0,44.0,10559
2021-08-06 10:30:00+05:30,44.0,44.6,43.65,44.15,17334
2021-08-06 10:35:00+05:30,44.15,44.15,43.3,44.15,11421
2021-08-06 10:40:00+05:30,44.15,44.15,44.1,44.1,314
2021-08-06 10:45:00+05:30,44.1,44.1,43.3,43.3,4614
2021-08-06 10:50:00+05:30,43.55,43.55,43.3,43.55,224
2021-08-06 10:55:00+05:30,43.55,44.15,43.5,43.8,6217
2021-08-06 11:00:00+05:30,43.8,43.8,43.8,43.8,490
2021-08-06 11:05:00+05:30,43.8,43.85,43.45,43.45,1556
2021-08-06 11:10:00+05:30,43.3,43.5,43.3,43.5,355
2021-08-06 11:15:00+05:30,43.35,43.35,43.1,43.25,5402
2021-08-06 11:20:00+05:30,43.45,43.7,43.25,43.7,2132
2021-08-06 11:25:00+05:30,43.6,43.7,43.5,43.5,1425
2021-08-06 11:30:00+05:30,43.55,43.55,43.55,43.55,268
2021-08-06 11:35:00+05:30,43.55,43.55,43.3,43.55,650
2021-08-06 11:40:00+05:30,43.55,43.55,43.5,43.5,204
2021-08-06 11:45:00+05:30,43.5,43.5,43.15,43.15,638
2021-08-06 11:50:00+05:30,43.15,43.25,43.15,43.25,371
2021-08-06 11:55:00+05:30,43.25,43.25,43.25,43.25,360
2021-08-06 12:00:00+05:30,43.25,43.35,42.95,43.3,3288
2021-08-06 12:05:00+05:30,43.3,43.3,43.05,43.3,640
2021-08-06 12:10:00+05:30,43.3,43.5,43.3,43.5,480
2021-08-06 12:15:00+05:30,43.5,43.5,43.25,43.3,86
2021-08-06 12:20:00+05:30,43.3,43.45,43.3,43.45,23
2021-08-06 12:25:00+05:30,43.45,43.45,43.3,43.3,67
2021-08-06 12:30:00+05:30,43.3,43.3,43.3,43.3,128
2021-08-06 12:35:00+05:30,43.3,43.3,43.3,43.3,0
2021-08-06 12:40:00+05:30,42.95,43.8,42.95,42.95,1444
2021-08-06 12:45:00+05:30,42.95,43.65,42.95,43.45,3503
2021-08-06 12:50:00+05:30,43.45,43.8,43.4,43.6,1685
2021-08-06 12:55:00+05:30,43.6,43.9,43.6,43.6,411
2021-08-06 13:00:00+05:30,43.6,43.6,43.55,43.55,827
2021-08-06 13:05:00+05:30,43.55,43.6,43.3,43.3,1280
2021-08-06 13:10:00+05:30,43.3,43.35,43.3,43.35,14
2021-08-06 13:15:00+05:30,43.35,43.4,42.8,42.95,5418
2021-08-06 13:20:00+05:30,42.95,43.95,42.95,43.8,8632
2021-08-06 13:25:00+05:30,43.8,43.8,43.7,43.7,90
2021-08-06 13:30:00+05:30,43.45,43.5,43.1,43.45,189
2021-08-06 13:35:00+05:30,43.45,43.5,43.1,43.45,1600
2021-08-06 13:40:00+05:30,43.45,43.55,43.45,43.45,280
2021-08-06 13:45:00+05:30,43.45,43.55,43.4,43.5,870
2021-08-06 13:50:00+05:30,43.5,43.65,43.25,43.6,1753
2021-08-06 13:55:00+05:30,43.6,43.65,43.5,43.5,733
2021-08-06 14:00:00+05:30,43.5,43.6,43.35,43.6,243
2021-08-06 14:05:00+05:30,43.6,43.6,43.45,43.6,937
2021-08-06 14:10:00+05:30,43.6,43.6,43.45,43.6,1120
2021-08-06 14:15:00+05:30,43.6,43.6,43.45,43.6,606
2021-08-06 14:20:00+05:30,43.6,43.6,43.45,43.55,47
2021-08-06 14:25:00+05:30,43.5,43.6,43.35,43.35,3271
2021-08-06 14:30:00+05:30,43.35,43.6,43.35,43.55,203
2021-08-06 14:35:00+05:30,43.55,43.6,43.4,43.6,455
2021-08-06 14:40:00+05:30,43.6,43.6,43.4,43.55,14
2021-08-06 14:45:00+05:30,43.55,43.55,43.4,43.5,215
2021-08-06 14:50:00+05:30,43.5,43.5,43.15,43.25,536
2021-08-06 14:55:00+05:30,43.25,43.5,43.2,43.45,201
2021-08-06 15:00:00+05:30,43.45,43.5,43.45,43.45,85
2021-08-06 15:05:00+05:30,43.4,43.4,43.3,43.35,2297
2021-08-06 15:10:00+05:30,43.35,43.45,42.9,43.15,3145
2021-08-06 15:15:00+05:30,43.15,43.25,42.9,43.0,2821
2021-08-06 15:20:00+05:30,42.95,43.45,42.95,43.4,8482
2021-08-06 15:25:00+05:30,43.4,44.15,43.1,43.8,20642
2021-08-17 09:15:00+05:30,41.0,41.0,40.0,40.85,6276
2021-08-17 09:20:00+05:30,40.85,40.85,40.35,40.7,1159
2021-08-17 09:25:00+05:30,40.7,40.7,40.05,40.05,324
2021-08-17 09:30:00+05:30,40.05,40.5,40.05,40.2,51
2021-08-17 09:35:00+05:30,40.2,40.5,40.1,40.1,294
2021-08-17 09:40:00+05:30,40.1,40.1,40.1,40.1,130
2021-08-17 09:45:00+05:30,40.1,40.15,40.1,40.15,90
2021-08-17 09:50:00+05:30,40.15,40.45,40.15,40.45,680
2021-08-17 09:55:00+05:30,40.45,40.7,40.1,40.1,1117
2021-08-17 10:00:00+05:30,40.1,40.45,39.85,40.0,6342
2021-08-17 10:05:00+05:30,40.0,40.0,39.7,39.7,2982
2021-08-17 10:10:00+05:30,39.7,40.0,39.5,39.5,3226
2021-08-17 10:15:00+05:30,39.5,40.0,39.5,40.0,150
2021-08-17 10:20:00+05:30,40.0,40.0,40.0,40.0,0
2021-08-17 10:25:00+05:30,40.0,40.0,40.0,40.0,10
2021-08-17 10:30:00+05:30,40.0,40.0,39.7,39.7,5
2021-08-17 10:35:00+05:30,39.7,39.9,39.6,39.9,302
2021-08-17 10:40:00+05:30,39.9,40.1,39.7,40.1,1430
2021-08-17 10:45:00+05:30,40.1,40.5,40.0,40.2,4323
2021-08-17 10:50:00+05:30,40.2,40.3,40.15,40.3,551
2021-08-17 10:55:00+05:30,40.3,40.3,40.15,40.15,1000
2021-08-17 11:00:00+05:30,40.15,40.15,40.15,40.15,0
2021-08-17 11:05:00+05:30,40.15,40.15,40.15,40.15,468
2021-08-17 11:10:00+05:30,40.15,40.15,40.05,40.05,10
2021-08-17 11:15:00+05:30,40.05,40.05,40.0,40.0,806
2021-08-17 11:20:00+05:30,40.0,40.0,39.9,40.0,156
2021-08-17 11:25:00+05:30,40.0,40.0,40.0,40.0,504
2021-08-17 11:30:00+05:30,40.0,40.0,40.0,40.0,0
2021-08-17 11:35:00+05:30,39.7,39.95,39.7,39.8,112
2021-08-17 11:40:00+05:30,39.8,39.8,39.7,39.7,1119
2021-08-17 11:45:00+05:30,39.7,39.7,39.7,39.7,0
2021-08-17 11:50:00+05:30,39.5,39.5,39.0,39.0,5473
2021-08-17 11:55:00+05:30,39.0,39.7,39.0,39.7,4
2021-08-17 12:00:00+05:30,39.7,39.7,38.45,38.5,3361
2021-08-17 12:05:00+05:30,38.5,39.25,38.5,39.05,2844
2021-08-17 12:10:00+05:30,39.55,39.55,39.55,39.55,832
2021-08-17 12:15:00+05:30,39.55,39.55,39.15,39.15,30
2021-08-17 12:20:00+05:30,39.15,39.15,39.15,39.15,0
2021-08-17 12:25:00+05:30,39.15,39.5,39.15,39.5,655
2021-08-17 12:30:00+05:30,39.5,39.5,39.2,39.2,14
2021-08-17 12:35:00+05:30,39.2,39.2,39.2,39.2,0
2021-08-17 12:40:00+05:30,39.2,39.45,39.2,39.45,5
2021-08-17 12:45:00+05:30,39.45,39.5,39.4,39.45,375
2021-08-17 12:50:00+05:30,39.45,39.45,39.25,39.25,18
2021-08-17 12:55:00+05:30,39.25,39.25,39.2,39.2,630
2021-08-17 13:00:00+05:30,39.05,39.25,39.05,39.25,85
2021-08-17 13:05:00+05:30,39.15,39.45,39.1,39.1,113
2021-08-17 13:10:00+05:30,39.05,39.45,39.05,39.4,315
2021-08-17 13:15:00+05:30,39.4,39.4,39.3,39.4,8
2021-08-17 13:20:00+05:30,39.4,39.4,39.15,39.3,22
2021-08-17 13:25:00+05:30,39.3,39.3,39.0,39.0,300
2021-08-17 13:30:00+05:30,39.0,39.4,39.0,39.35,47
2021-08-17 13:35:00+05:30,39.35,39.4,39.35,39.4,2
2021-08-17 13:40:00+05:30,39.4,39.4,39.4,39.4,15
2021-08-17 13:45:00+05:30,39.4,39.4,39.05,39.25,287
2021-08-17 13:50:00+05:30,39.25,39.45,39.05,39.45,633
2021-08-17 13:55:00+05:30,39.45,39.45,39.35,39.45,23
2021-08-17 14:00:00+05:30,39.45,39.5,39.3,39.5,41
2021-08-17 14:05:00+05:30,39.5,39.5,39.3,39.3,9
2021-08-17 14:10:00+05:30,39.3,39.3,39.3,39.3,0
2021-08-17 14:15:00+05:30,39.3,39.5,39.3,39.5,12
2021-08-17 14:20:00+05:30,39.5,39.5,39.05,39.5,108
2021-08-17 14:25:00+05:30,39.5,39.5,39.1,39.25,800
2021-08-17 14:30:00+05:30,39.25,39.3,39.25,39.3,67
2021-08-17 14:35:00+05:30,39.3,39.3,39.1,39.1,9
2021-08-17 14:40:00+05:30,39.1,39.1,39.1,39.1,0
2021-08-17 14:45:00+05:30,39.45,39.45,39.1,39.1,184
2021-08-17 14:50:00+05:30,39.1,39.3,39.05,39.05,1751
2021-08-17 14:55:00+05:30,39.0,39.0,39.0,39.0,1162
2021-08-17 15:00:00+05:30,39.3,39.3,39.05,39.05,130
2021-08-17 15:05:00+05:30,39.05,39.05,39.0,39.0,153
2021-08-17 15:10:00+05:30,39.0,39.0,38.9,38.9,252
2021-08-17 15:15:00+05:30,38.9,39.2,38.85,38.85,590
2021-08-17 15:20:00+05:30,38.85,39.3,38.25,39.0,5064
2021-08-17 15:25:00+05:30,39.0,39.25,38.3,38.35,922
2021-08-18 09:15:00+05:30,38.05,38.75,38.05,38.05,4899
2021-08-18 09:20:00+05:30,38.15,38.5,38.05,38.45,595
2021-08-18 09:25:00+05:30,38.45,38.45,38.35,38.35,9
2021-08-18 09:30:00+05:30,38.35,38.35,38.1,38.15,1126
2021-08-18 09:35:00+05:30,38.15,38.3,38.15,38.3,142
2021-08-18 09:40:00+05:30,38.3,38.3,38.2,38.3,155
2021-08-18 09:45:00+05:30,38.3,38.3,38.1,38.1,1500
2021-08-18 09:50:00+05:30,38.1,38.35,38.1,38.35,400
2021-08-18 09:55:00+05:30,38.35,38.35,38.15,38.3,336
2021-08-18 10:00:00+05:30,38.15,38.35,38.15,38.35,382
2021-08-18 10:05:00+05:30,38.15,38.25,38.0,38.15,2369
2021-08-18 10:10:00+05:30,38.15,38.2,38.15,38.2,68
2021-08-18 10:15:00+05:30,38.2,38.25,38.2,38.25,1529
2021-08-18 10:20:00+05:30,38.25,38.45,38.25,38.45,271
2021-08-18 10:25:00+05:30,38.25,38.25,38.25,38.25,612
2021-08-18 10:30:00+05:30,38.25,38.4,37.95,37.95,3742
2021-08-18 10:35:00+05:30,37.95,38.5,37.9,37.9,1003
2021-08-18 10:40:00+05:30,37.9,38.35,37.9,38.05,328
2021-08-18 10:45:00+05:30,38.05,38.5,38.05,38.1,687
2021-08-18 10:50:00+05:30,38.1,38.9,38.1,38.9,1554
