date,open,high,low,close,volume
2019-03-08 09:25:00+05:30,68.0,68.0,67.0,67.0,15
2019-03-08 09:30:00+05:30,67.0,67.0,60.0,60.0,440
2019-03-08 09:35:00+05:30,60.0,60.0,60.0,60.0,300
2019-03-08 09:40:00+05:30,60.0,60.0,60.0,60.0,0
2019-03-08 09:45:00+05:30,60.0,60.0,57.1,57.1,10
2019-03-08 09:50:00+05:30,57.1,59.95,57.1,59.95,300
2019-03-08 09:55:00+05:30,59.95,59.95,55.0,55.0,1051
2019-03-08 10:00:00+05:30,55.0,58.0,55.0,57.95,403
2019-03-08 10:05:00+05:30,57.95,57.95,57.95,57.95,0
2019-03-08 10:10:00+05:30,57.95,57.95,57.95,57.95,0
2019-03-08 10:15:00+05:30,57.95,57.95,57.95,57.95,0
2019-03-08 10:20:00+05:30,57.95,57.95,56.0,56.0,5459
2019-03-08 10:25:00+05:30,56.0,57.35,56.0,57.35,150
2019-03-08 10:30:00+05:30,56.3,56.3,56.0,56.0,12001
2019-03-08 10:35:00+05:30,56.0,56.0,56.0,56.0,500
2019-03-08 10:40:00+05:30,56.0,56.0,56.0,56.0,0
2019-03-08 10:55:00+05:30,56.0,57.25,56.0,57.25,7
2019-03-08 11:00:00+05:30,57.25,57.3,56.9,57.3,252
2019-03-08 11:05:00+05:30,57.3,57.3,57.3,57.3,10
2019-03-08 11:10:00+05:30,57.3,57.3,57.3,57.3,10
2019-03-08 11:15:00+05:30,57.3,57.3,57.3,57.3,0
2019-03-08 11:20:00+05:30,57.25,57.5,56.9,56.9,208
2019-03-08 11:25:00+05:30,56.9,56.9,56.9,56.9,0
2019-03-08 11:30:00+05:30,56.9,56.9,56.9,56.9,0
2019-03-08 11:40:00+05:30,56.9,57.5,56.9,57.5,2
2019-03-08 11:45:00+05:30,57.4,57.4,57.4,57.4,3
2019-03-08 11:50:00+05:30,57.4,57.4,57.4,57.4,0
2019-03-08 11:55:00+05:30,57.4,57.4,57.4,57.4,0
2019-03-08 12:00:00+05:30,57.4,57.4,57.4,57.4,0
2019-03-08 12:05:00+05:30,57.4,57.4,57.4,57.4,0
2019-03-08 12:10:00+05:30,57.4,57.4,57.25,57.25,1
2019-03-08 12:15:00+05:30,57.25,57.3,57.25,57.3,100
2019-03-08 12:25:00+05:30,56.75,56.75,56.75,56.75,1
2019-03-08 12:30:00+05:30,56.75,56.75,56.75,56.75,0
2019-03-08 12:35:00+05:30,56.75,56.75,56.75,56.75,0
2019-03-08 12:40:00+05:30,56.75,57.25,56.75,57.25,774
2019-03-08 12:45:00+05:30,57.25,57.95,57.25,57.95,1226
2019-03-08 12:50:00+05:30,57.9,57.9,57.9,57.9,17
2019-03-08 12:55:00+05:30,57.9,57.9,57.9,57.9,0
2019-03-08 13:00:00+05:30,57.9,57.9,57.9,57.9,0
2019-03-08 13:10:00+05:30,57.9,57.9,57.9,57.9,5
2019-03-08 13:15:00+05:30,57.9,57.9,57.9,57.9,0
2019-03-08 13:30:00+05:30,57.9,57.9,57.9,57.9,0
2019-03-08 13:45:00+05:30,58.25,58.25,58.25,58.25,100
2019-03-08 13:50:00+05:30,58.25,58.25,58.25,58.25,0
2019-03-08 14:00:00+05:30,58.25,58.25,58.25,58.25,0
2019-03-08 14:10:00+05:30,58.25,59.0,58.25,59.0,1005
2019-03-08 14:15:00+05:30,59.0,59.95,59.0,59.9,1149
2019-03-08 14:20:00+05:30,59.9,59.95,59.9,59.95,2
2019-03-08 14:25:00+05:30,59.95,59.95,59.9,59.9,100
2019-03-08 14:30:00+05:30,59.9,59.9,59.75,59.75,80
2019-03-08 14:35:00+05:30,59.7,60.0,58.55,60.0,24163
2019-03-08 14:40:00+05:30,60.0,60.0,59.0,59.0,332
2019-03-08 14:50:00+05:30,60.0,60.0,60.0,60.0,2520
2019-03-08 14:55:00+05:30,60.0,60.0,60.0,60.0,0
2019-03-08 15:00:00+05:30,60.0,60.0,59.1,59.5,121
2019-03-08 15:05:00+05:30,59.5,59.5,59.05,59.05,207
2019-03-08 15:10:00+05:30,59.05,59.05,59.0,59.0,100
2019-03-08 15:15:00+05:30,59.0,59.8,58.0,58.0,1322
2019-03-08 15:20:00+05:30,58.0,59.0,58.0,59.0,30
2019-03-08 15:25:00+05:30,59.0,59.0,57.2,57.2,45
2019-03-11 09:15:00+05:30,61.7,61.7,61.6,61.6,15
2019-03-11 09:20:00+05:30,61.6,61.75,61.6,61.75,5
2019-03-11 09:25:00+05:30,61.75,61.75,61.75,61.75,0
2019-03-11 09:30:00+05:30,61.75,61.75,61.5,61.5,5
2019-03-11 09:35:00+05:30,61.5,61.5,60.1,60.1,500
2019-03-11 09:40:00+05:30,60.95,60.95,60.0,60.0,245
2019-03-11 09:45:00+05:30,60.0,60.7,59.0,60.7,819
2019-03-11 09:50:00+05:30,60.7,60.7,60.7,60.7,0
2019-03-11 10:00:00+05:30,60.7,60.7,60.7,60.7,0
2019-03-11 10:05:00+05:30,60.7,60.7,60.7,60.7,0
2019-03-11 10:10:00+05:30,60.7,60.7,60.7,60.7,0
2019-03-11 10:15:00+05:30,60.7,60.7,60.7,60.7,0
2019-03-11 10:20:00+05:30,60.7,60.7,59.25,59.25,20
2019-03-11 10:30:00+05:30,59.25,60.8,59.25,60.8,451
2019-03-11 10:35:00+05:30,60.8,60.8,60.8,60.8,34
2019-03-11 10:45:00+05:30,60.75,60.75,60.75,60.75,1
2019-03-11 10:50:00+05:30,60.75,60.8,60.75,60.8,100
2019-03-11 11:00:00+05:30,60.8,60.8,60.8,60.8,47
2019-03-11 11:15:00+05:30,60.75,60.75,60.75,60.75,69
2019-03-11 11:20:00+05:30,60.75,60.75,60.75,60.75,0
2019-03-11 11:30:00+05:30,60.75,60.75,60.5,60.5,166
2019-03-11 11:35:00+05:30,60.5,60.5,60.5,60.5,1
2019-03-11 11:40:00+05:30,60.5,60.5,60.5,60.5,9
2019-03-11 11:50:00+05:30,60.5,60.5,60.5,60.5,0
2019-03-11 11:55:00+05:30,60.5,60.5,60.5,60.5,0
2019-03-11 12:00:00+05:30,60.5,60.5,60.5,60.5,0
2019-03-11 12:05:00+05:30,60.5,60.5,60.5,60.5,0
2019-03-11 12:20:00+05:30,60.5,60.5,60.5,60.5,0
2019-03-11 12:25:00+05:30,60.5,60.5,60.5,60.5,0
2019-03-11 12:30:00+05:30,60.5,60.5,60.5,60.5,0
2019-03-11 12:35:00+05:30,60.35,60.4,60.35,60.4,501
2019-03-11 13:15:00+05:30,60.4,60.4,60.0,60.0,94
2019-03-11 13:30:00+05:30,60.0,60.0,60.0,60.0,0
2019-03-11 13:40:00+05:30,60.0,60.0,60.0,60.0,0
2019-03-11 13:45:00+05:30,60.0,60.0,60.0,60.0,2
2019-03-11 13:50:00+05:30,60.0,60.0,60.0,60.0,0
2019-03-11 13:55:00+05:30,60.0,60.0,60.0,60.0,0
2019-03-11 14:10:00+05:30,60.0,60.0,60.0,60.0,0
2019-03-11 14:15:00+05:30,59.0,59.0,59.0,59.0,1105
2019-03-11 14:25:00+05:30,59.0,59.0,59.0,59.0,0
2019-03-11 14:30:00+05:30,59.0,59.0,59.0,59.0,0
2019-03-11 14:40:00+05:30,59.0,59.0,58.05,58.05,10
2019-03-11 14:45:00+05:30,58.05,58.05,58.05,58.05,0
2019-03-11 14:50:00+05:30,58.05,59.7,58.05,59.0,20
2019-03-11 14:55:00+05:30,59.0,59.0,59.0,59.0,192
2019-03-11 15:05:00+05:30,59.0,59.0,59.0,59.0,0
2019-03-11 15:10:00+05:30,59.0,61.0,59.0,61.0,1940
2019-03-11 15:15:00+05:30,61.0,61.0,61.0,61.0,50
2019-03-11 15:20:00+05:30,61.0,61.0,59.0,59.0,1000
2019-03-11 15:25:00+05:30,59.0,59.0,59.0,59.0,0
2019-03-22 09:15:00+05:30,74.4,74.95,74.15,74.95,127
2019-03-22 09:20:00+05:30,74.95,75.0,72.0,72.95,345
2019-03-22 09:25:00+05:30,72.95,73.0,72.95,73.0,480
2019-03-22 09:30:00+05:30,73.0,73.0,72.0,72.0,1510
2019-03-22 09:35:00+05:30,72.0,72.0,72.0,72.0,560
2019-03-22 09:45:00+05:30,72.0,72.0,72.0,72.0,40
2019-03-22 09:50:00+05:30,72.0,73.0,72.0,73.0,338
