date,open,high,low,close,volume
2021-08-05 09:15:00+05:30,29.7,29.7,29.35,29.4,2026
2021-08-05 09:20:00+05:30,29.4,29.5,28.25,28.25,3975
2021-08-05 09:25:00+05:30,28.25,29.0,28.25,29.0,5640
2021-08-05 09:30:00+05:30,29.0,29.0,28.3,28.95,1108
2021-08-05 09:35:00+05:30,28.2,29.0,28.15,28.25,11726
2021-08-05 09:40:00+05:30,28.25,29.0,28.25,28.85,1601
2021-08-05 09:45:00+05:30,28.85,28.9,28.85,28.85,1190
2021-08-05 09:50:00+05:30,28.85,28.85,28.5,28.8,4497
2021-08-05 09:55:00+05:30,28.8,29.2,28.5,28.95,1826
2021-08-05 10:00:00+05:30,28.95,29.2,28.6,28.65,16518
2021-08-05 10:05:00+05:30,28.65,28.85,28.55,28.7,2747
2021-08-05 10:10:00+05:30,28.7,28.75,28.7,28.75,4378
2021-08-05 10:15:00+05:30,28.7,28.75,28.5,28.7,5314
2021-08-05 10:20:00+05:30,28.7,28.7,28.5,28.5,1597
2021-08-05 10:25:00+05:30,28.5,28.6,28.5,28.6,650
2021-08-05 10:30:00+05:30,28.6,28.6,28.55,28.55,8150
2021-08-05 10:35:00+05:30,28.6,28.65,28.5,28.65,520
2021-08-05 10:40:00+05:30,28.6,28.75,28.4,28.45,2081
2021-08-05 10:45:00+05:30,28.5,28.55,28.5,28.5,1646
2021-08-05 10:50:00+05:30,28.65,28.65,28.65,28.65,500
2021-08-05 10:55:00+05:30,28.65,28.65,28.65,28.65,1110
2021-08-05 11:00:00+05:30,28.65,28.65,28.5,28.5,313
2021-08-05 11:05:00+05:30,28.5,28.7,28.5,28.7,404
2021-08-05 11:10:00+05:30,28.7,28.7,28.7,28.7,0
2021-08-05 11:15:00+05:30,28.7,28.7,28.5,28.5,195
2021-08-05 11:20:00+05:30,29.0,29.0,28.6,28.6,3796
2021-08-05 11:25:00+05:30,28.6,28.65,28.5,28.65,1030
2021-08-05 11:30:00+05:30,28.65,28.9,28.65,28.65,350
2021-08-05 11:35:00+05:30,28.55,28.65,28.5,28.65,2282
