date,open,high,low,close,volume
2021-08-24 09:15:00+05:30,210.0,210.0,210.0,210.0,0
2021-08-24 09:40:00+05:30,333.0,333.0,333.0,333.0,1176052
2021-08-24 09:45:00+05:30,333.0,333.0,333.0,333.0,0
2021-08-24 09:50:00+05:30,333.0,333.0,333.0,333.0,0
2021-08-24 09:55:00+05:30,333.0,333.0,333.0,333.0,0
2021-08-24 10:00:00+05:30,337.05,348.7,335.0,342.5,4828847
2021-08-24 10:05:00+05:30,342.2,342.65,336.6,340.85,1253834
2021-08-24 10:10:00+05:30,340.7,346.8,340.2,346.5,976829
2021-08-24 10:15:00+05:30,346.5,346.8,342.45,345.35,559719
2021-08-24 10:20:00+05:30,345.35,348.45,344.3,344.7,667442
2021-08-24 10:25:00+05:30,344.75,347.75,343.15,343.7,281474
2021-08-24 10:30:00+05:30,343.7,343.85,341.0,341.6,264357
2021-08-24 10:35:00+05:30,341.75,345.9,340.0,345.9,702015
2021-08-24 10:40:00+05:30,345.0,346.9,342.75,343.15,559181
2021-08-24 10:45:00+05:30,343.35,347.8,342.6,347.2,372383
2021-08-24 10:50:00+05:30,347.0,347.2,345.0,346.0,339027
2021-08-24 10:55:00+05:30,346.0,347.0,344.7,345.05,292166
2021-08-24 11:00:00+05:30,345.1,345.9,345.0,345.05,142305
2021-08-24 11:05:00+05:30,345.0,346.0,345.0,345.35,153434
2021-08-24 11:10:00+05:30,345.4,345.4,343.0,343.5,183159
2021-08-24 11:15:00+05:30,343.55,344.75,342.6,343.15,173820
2021-08-24 11:20:00+05:30,343.05,345.85,343.05,345.1,185371
2021-08-24 11:25:00+05:30,345.05,345.15,343.35,345.05,198785
2021-08-24 11:30:00+05:30,345.05,345.1,345.0,345.0,101844
2021-08-24 11:35:00+05:30,345.0,347.9,345.0,347.7,305006
2021-08-24 11:40:00+05:30,347.4,349.75,346.35,348.1,899643
2021-08-24 11:45:00+05:30,348.15,351.9,347.8,351.15,1371100
2021-08-24 11:50:00+05:30,351.15,351.75,348.9,350.0,396757
2021-08-24 11:55:00+05:30,350.0,350.9,350.0,350.05,173293
2021-08-24 12:00:00+05:30,350.05,352.35,350.0,351.7,298387
2021-08-24 12:05:00+05:30,351.5,354.55,351.3,352.75,1540303
2021-08-24 12:10:00+05:30,352.5,353.75,352.05,353.2,310381
2021-08-24 12:15:00+05:30,353.25,353.55,353.0,353.5,318710
2021-08-24 12:20:00+05:30,353.55,354.0,353.0,353.0,205749
2021-08-24 12:25:00+05:30,353.0,353.7,352.0,353.05,187304
2021-08-24 12:30:00+05:30,353.1,354.0,352.0,353.05,543207
2021-08-24 12:35:00+05:30,353.0,353.3,352.0,353.05,155719
2021-08-24 12:40:00+05:30,353.05,354.65,353.0,353.1,280609
2021-08-24 12:45:00+05:30,353.05,353.45,352.5,353.05,206628
2021-08-24 12:50:00+05:30,353.05,353.15,353.0,353.0,132710
2021-08-24 12:55:00+05:30,353.0,353.2,352.55,353.0,121249
2021-08-24 13:00:00+05:30,353.0,353.7,352.5,353.0,229878
2021-08-24 13:05:00+05:30,353.0,353.95,348.3,353.15,416612
2021-08-24 13:10:00+05:30,353.05,353.45,352.2,352.55,104445
2021-08-24 13:15:00+05:30,352.5,353.25,352.5,352.85,117013
2021-08-24 13:20:00+05:30,352.85,353.3,352.5,353.0,157330
2021-08-24 13:25:00+05:30,353.0,353.1,352.95,353.0,101732
2021-08-24 13:30:00+05:30,353.0,353.25,352.9,353.0,117720
2021-08-24 13:35:00+05:30,353.0,353.1,353.0,353.0,87782
2021-08-24 13:40:00+05:30,353.0,353.1,353.0,353.0,76320
2021-08-24 13:45:00+05:30,353.0,353.05,352.9,353.0,108518
2021-08-24 13:50:00+05:30,353.0,353.05,352.0,352.05,223890
2021-08-24 13:55:00+05:30,352.0,352.05,343.35,346.25,514480
2021-08-24 14:00:00+05:30,346.2,346.65,345.0,345.0,163088
2021-08-24 14:05:00+05:30,345.0,346.0,343.2,343.5,134831
2021-08-24 14:10:00+05:30,343.25,347.7,341.65,346.8,195585
2021-08-24 14:15:00+05:30,346.6,347.7,346.1,346.4,91306
2021-08-24 14:20:00+05:30,346.55,346.9,345.0,346.9,182567
2021-08-24 14:25:00+05:30,346.7,346.9,342.25,343.2,245976
2021-08-24 14:30:00+05:30,343.2,344.35,343.0,344.1,159440
2021-08-24 14:35:00+05:30,344.05,344.8,343.5,344.1,72819
2021-08-24 14:40:00+05:30,344.05,344.1,342.55,343.4,229464
2021-08-24 14:45:00+05:30,343.35,344.2,342.6,343.1,227556
