date,open,high,low,close,volume
2021-06-15 09:15:00+05:30,26.0,26.4,25.6,25.6,60465
2021-06-15 09:20:00+05:30,25.6,25.9,25.4,25.9,20785
2021-06-15 09:25:00+05:30,25.9,25.9,25.4,25.4,21445
2021-06-15 09:30:00+05:30,25.4,25.5,25.2,25.25,3560
2021-06-15 09:35:00+05:30,25.25,25.25,24.8,24.95,13630
2021-06-15 09:40:00+05:30,25.0,25.0,24.95,24.95,5415
2021-06-15 09:45:00+05:30,24.9,25.25,24.9,25.0,2860
2021-06-15 09:50:00+05:30,25.0,25.0,24.2,24.25,23235
2021-06-15 09:55:00+05:30,24.25,24.5,24.0,24.0,6560
2021-06-15 10:00:00+05:30,24.0,24.4,24.0,24.0,25215
2021-06-15 10:05:00+05:30,24.0,24.0,23.8,23.95,6910
2021-06-15 10:10:00+05:30,23.9,24.0,23.75,23.8,6260
2021-06-15 10:15:00+05:30,23.8,24.1,23.65,24.1,10925
2021-06-15 10:20:00+05:30,24.1,24.1,23.85,24.05,2485
2021-06-15 10:25:00+05:30,24.05,24.15,23.8,24.15,8190
2021-06-15 10:30:00+05:30,24.15,24.15,24.0,24.0,90
2021-06-15 10:35:00+05:30,24.0,24.3,24.0,24.0,6325
2021-06-15 10:40:00+05:30,24.0,24.45,24.0,24.45,15360
2021-06-15 10:45:00+05:30,24.45,24.5,24.35,24.5,3375
2021-06-15 10:50:00+05:30,24.5,24.6,24.5,24.5,3635
2021-06-15 10:55:00+05:30,24.5,24.6,24.5,24.5,655
2021-06-15 11:00:00+05:30,24.5,24.5,24.5,24.5,750
2021-06-15 11:05:00+05:30,24.5,24.6,24.25,24.35,2510
2021-06-15 11:10:00+05:30,24.35,24.5,24.2,24.45,2820
2021-06-15 11:15:00+05:30,24.45,24.45,24.25,24.25,1340
2021-06-15 11:20:00+05:30,24.25,24.4,24.25,24.3,770
2021-06-15 11:25:00+05:30,24.3,24.45,24.3,24.45,2200
2021-06-15 11:30:00+05:30,24.45,24.6,24.4,24.6,2860
2021-06-15 11:35:00+05:30,24.6,24.6,24.3,24.3,1075
2021-06-15 11:40:00+05:30,24.3,24.55,24.3,24.3,25
2021-06-15 11:45:00+05:30,24.3,24.55,24.3,24.55,25600
2021-06-15 11:50:00+05:30,24.55,24.55,24.3,24.3,26120
2021-06-15 11:55:00+05:30,24.3,26.0,24.3,25.0,35140
2021-06-15 12:00:00+05:30,25.0,25.3,24.8,25.25,6860
2021-06-15 12:05:00+05:30,25.25,25.4,25.25,25.35,2235
2021-06-15 12:10:00+05:30,25.35,25.4,25.15,25.4,375
2021-06-15 12:15:00+05:30,25.4,25.4,25.2,25.4,12365
2021-06-15 12:20:00+05:30,25.4,25.8,25.2,25.2,22525
2021-06-15 12:25:00+05:30,25.2,25.35,25.2,25.2,240
2021-06-15 12:30:00+05:30,25.2,25.2,25.1,25.1,5950
2021-06-15 12:35:00+05:30,25.1,25.15,25.05,25.15,1500
2021-06-15 12:40:00+05:30,25.15,25.2,25.05,25.2,840
2021-06-15 12:45:00+05:30,25.2,25.2,25.2,25.2,135
2021-06-15 12:50:00+05:30,25.1,25.55,25.1,25.55,18200
2021-06-15 12:55:00+05:30,25.55,26.35,25.4,26.2,66145
2021-06-15 13:00:00+05:30,26.05,26.35,25.8,25.8,28450
2021-06-15 13:05:00+05:30,25.8,26.2,25.8,26.2,17615
2021-06-15 13:10:00+05:30,26.2,26.2,26.0,26.0,5040
2021-06-15 13:15:00+05:30,26.0,26.0,25.8,25.8,6630
2021-06-15 13:20:00+05:30,25.8,25.8,25.6,25.6,8520
2021-06-15 13:25:00+05:30,25.8,25.8,25.6,25.6,2070
2021-06-15 13:30:00+05:30,25.6,25.8,25.6,25.8,195
2021-06-15 13:35:00+05:30,25.9,25.9,25.6,25.6,1675
2021-06-15 13:40:00+05:30,25.6,25.6,25.4,25.4,7100
2021-06-15 13:45:00+05:30,25.4,25.55,25.4,25.55,50
2021-06-15 13:50:00+05:30,25.55,25.55,25.4,25.4,625
2021-06-15 13:55:00+05:30,25.4,25.6,25.2,25.2,5610
2021-06-15 14:00:00+05:30,25.2,25.35,25.1,25.1,1040
2021-06-15 14:05:00+05:30,25.1,25.4,25.1,25.3,750
2021-06-15 14:10:00+05:30,25.3,25.4,25.2,25.2,100
2021-06-15 14:15:00+05:30,25.2,25.25,25.2,25.2,2035
2021-06-15 14:20:00+05:30,25.2,25.3,25.2,25.3,1600
2021-06-15 14:25:00+05:30,25.2,25.4,25.2,25.4,3005
2021-06-15 14:30:00+05:30,25.4,25.4,25.2,25.2,1000
2021-06-15 14:35:00+05:30,25.2,25.35,25.2,25.35,95
2021-06-15 14:40:00+05:30,25.35,25.35,25.2,25.35,635
2021-06-15 14:45:00+05:30,25.2,25.2,25.2,25.2,1305
2021-06-15 14:50:00+05:30,25.2,25.2,25.15,25.15,2500
2021-06-15 14:55:00+05:30,25.15,25.15,25.15,25.15,1550
2021-06-15 15:00:00+05:30,25.15,25.25,25.1,25.2,1665
2021-06-15 15:05:00+05:30,25.2,25.2,25.05,25.15,1450
2021-06-15 15:10:00+05:30,25.15,25.15,25.05,25.05,3885
2021-06-15 15:15:00+05:30,25.05,25.4,25.0,25.05,20685
2021-06-15 15:20:00+05:30,25.05,25.05,24.9,25.0,9495
2021-06-15 15:25:00+05:30,25.0,25.0,24.75,24.75,25905
2021-06-16 09:15:00+05:30,25.35,26.0,25.25,25.55,16820
2021-06-16 09:20:00+05:30,25.4,25.4,25.3,25.4,3740
2021-06-16 09:25:00+05:30,25.55,25.55,25.4,25.55,5800
2021-06-16 09:30:00+05:30,25.55,25.55,25.4,25.55,2460
2021-06-16 09:35:00+05:30,25.55,25.55,25.4,25.4,1410
2021-06-16 09:40:00+05:30,25.4,25.55,25.3,25.4,8100
2021-06-16 09:45:00+05:30,25.4,25.4,24.9,24.9,1250
2021-06-16 09:50:00+05:30,24.9,25.5,24.9,25.05,3930
2021-06-16 09:55:00+05:30,25.05,25.05,24.9,24.9,5510
2021-06-16 10:00:00+05:30,24.9,24.9,24.9,24.9,5455
2021-06-16 10:05:00+05:30,24.9,24.9,24.8,24.8,1180
