date,open,high,low,close,volume
2022-02-08 09:15:00+05:30,200.0,200.0,200.0,200.0,0
2022-02-08 09:45:00+05:30,227.0,227.0,227.0,227.0,0
2022-02-08 09:50:00+05:30,227.0,227.0,227.0,227.0,0
2022-02-08 09:55:00+05:30,227.0,227.0,227.0,227.0,0
2022-02-08 10:00:00+05:30,228.3,248.85,227.75,243.6,20317387
2022-02-08 10:05:00+05:30,243.6,245.75,241.1,244.7,4234595
2022-02-08 10:10:00+05:30,245.0,249.0,244.75,247.0,4892956
2022-02-08 10:15:00+05:30,246.9,247.4,243.3,245.35,1910522
2022-02-08 10:20:00+05:30,245.45,249.0,245.2,248.25,2145568
2022-02-08 10:25:00+05:30,248.05,249.5,248.0,248.6,2955131
2022-02-08 10:30:00+05:30,248.5,249.75,248.5,249.6,2193842
2022-02-08 10:35:00+05:30,249.6,252.4,249.15,250.35,4446515
2022-02-08 10:40:00+05:30,250.45,250.55,246.2,247.7,1887235
2022-02-08 10:45:00+05:30,247.65,248.45,246.85,247.75,862068
2022-02-08 10:50:00+05:30,247.55,249.35,247.5,248.85,629528
2022-02-08 10:55:00+05:30,248.6,248.9,247.6,248.65,536822
2022-02-08 11:00:00+05:30,248.5,251.75,248.45,251.6,1410362
2022-02-08 11:05:00+05:30,251.6,252.75,250.3,251.0,2408325
2022-02-08 11:10:00+05:30,251.25,252.5,251.0,251.75,1090454
2022-02-08 11:15:00+05:30,251.75,254.2,251.4,254.1,1638125
2022-02-08 11:20:00+05:30,254.2,254.85,253.35,254.3,1121165
2022-02-08 11:25:00+05:30,254.3,254.9,254.0,254.45,1024453
2022-02-08 11:30:00+05:30,254.3,254.9,253.0,254.5,1047923
2022-02-08 11:35:00+05:30,254.55,254.85,254.0,254.2,782932
2022-02-08 11:40:00+05:30,254.35,254.5,252.4,252.85,589757
2022-02-08 11:45:00+05:30,252.75,253.5,252.0,253.15,488452
2022-02-08 11:50:00+05:30,253.1,254.75,253.05,254.4,616929
2022-02-08 11:55:00+05:30,254.4,258.65,253.6,258.5,2755363
2022-02-08 12:00:00+05:30,258.6,259.7,258.2,259.7,2390511
2022-02-08 12:05:00+05:30,259.65,260.7,257.2,257.6,3051672
2022-02-08 12:10:00+05:30,257.55,258.85,256.4,256.5,784001
2022-02-08 12:15:00+05:30,256.4,256.5,252.35,254.95,1460872
2022-02-08 12:20:00+05:30,255.0,256.75,253.05,253.3,601177
2022-02-08 12:25:00+05:30,253.5,254.8,253.1,254.7,421154
2022-02-08 12:30:00+05:30,254.65,257.25,254.65,256.75,573225
2022-02-08 12:35:00+05:30,256.8,258.85,256.75,258.85,828362
2022-02-08 12:40:00+05:30,258.8,259.65,258.0,259.65,894558
2022-02-08 12:45:00+05:30,259.55,262.0,259.35,261.75,2047860
2022-02-08 12:50:00+05:30,261.7,264.7,261.1,264.4,2065506
2022-02-08 12:55:00+05:30,264.25,266.8,263.6,265.95,3696199
2022-02-08 13:00:00+05:30,265.7,266.5,263.15,265.3,1900190
2022-02-08 13:05:00+05:30,265.3,266.0,264.6,265.35,1077284
2022-02-08 13:10:00+05:30,265.3,265.75,264.0,264.95,990791
2022-02-08 13:15:00+05:30,265.0,265.0,261.35,264.55,1084320
2022-02-08 13:20:00+05:30,264.55,265.4,261.9,261.9,554926
2022-02-08 13:25:00+05:30,261.95,262.0,258.55,258.85,1205353
2022-02-08 13:30:00+05:30,258.7,260.5,258.1,259.7,893722
2022-02-08 13:35:00+05:30,259.55,263.2,259.2,262.8,625589
2022-02-08 13:40:00+05:30,262.9,263.75,262.5,263.3,456355
