date,open,high,low,close,volume
2019-08-19 09:15:00+05:30,14.95,15.3,14.95,15.0,34749
2019-08-19 09:20:00+05:30,15.2,15.35,15.2,15.35,20362
2019-08-19 09:25:00+05:30,15.35,15.35,15.25,15.3,17711
2019-08-19 09:30:00+05:30,15.3,15.3,15.0,15.0,31155
2019-08-19 09:35:00+05:30,15.0,15.15,15.0,15.1,9628
2019-08-19 09:40:00+05:30,15.1,15.15,15.1,15.15,6713
2019-08-19 09:45:00+05:30,15.15,15.15,15.15,15.15,11000
2019-08-19 09:50:00+05:30,15.15,15.15,15.05,15.05,669
2019-08-19 09:55:00+05:30,15.05,15.05,14.7,14.7,4880
2019-08-19 10:00:00+05:30,14.7,14.7,14.55,14.55,8427
2019-08-19 10:05:00+05:30,14.55,14.55,14.55,14.55,0
2019-08-19 10:10:00+05:30,14.55,14.75,14.55,14.75,202
2019-08-19 10:15:00+05:30,14.75,14.75,14.7,14.7,821
2019-08-19 10:20:00+05:30,14.7,15.0,14.7,15.0,2047
2019-08-19 10:25:00+05:30,15.0,15.0,15.0,15.0,0
2019-08-19 10:30:00+05:30,15.0,15.0,15.0,15.0,0
2019-08-19 10:35:00+05:30,15.0,15.0,14.8,14.8,1
2019-08-19 10:40:00+05:30,14.8,14.8,14.8,14.8,0
2019-08-19 10:45:00+05:30,14.8,14.9,14.8,14.9,1
2019-08-19 10:50:00+05:30,14.9,14.9,14.9,14.9,807
2019-08-19 10:55:00+05:30,14.9,15.0,14.9,15.0,5193
2019-08-19 11:00:00+05:30,15.0,15.0,15.0,15.0,0
2019-08-19 11:10:00+05:30,15.0,15.0,15.0,15.0,0
2019-08-19 11:25:00+05:30,14.9,14.9,14.9,14.9,250
2019-08-19 11:30:00+05:30,14.9,14.9,14.9,14.9,225
2019-08-19 11:35:00+05:30,14.9,14.9,14.9,14.9,0
2019-08-19 11:40:00+05:30,14.9,14.9,14.9,14.9,0
2019-08-19 11:45:00+05:30,14.9,14.9,14.8,14.8,1
2019-08-19 11:50:00+05:30,14.8,14.8,14.55,14.55,1106
2019-08-19 11:55:00+05:30,14.85,14.85,14.55,14.55,2560
2019-08-19 12:00:00+05:30,14.55,14.55,14.55,14.55,6200
2019-08-19 12:05:00+05:30,14.5,14.5,14.0,14.0,2500
2019-08-19 12:10:00+05:30,14.0,14.0,14.0,14.0,25000
2019-08-19 12:15:00+05:30,14.5,14.5,14.0,14.0,51227
2019-08-19 12:20:00+05:30,14.0,14.4,14.0,14.4,1000
2019-08-19 12:25:00+05:30,14.4,14.4,14.4,14.4,0
2019-08-19 12:30:00+05:30,14.4,14.4,14.4,14.4,0
2019-08-19 12:35:00+05:30,14.4,14.4,14.4,14.4,0
2019-08-19 12:40:00+05:30,14.4,14.4,14.1,14.1,25000
2019-08-19 12:45:00+05:30,14.1,14.35,14.05,14.2,35164
2019-08-19 12:50:00+05:30,14.2,14.2,14.2,14.2,0
2019-08-19 12:55:00+05:30,14.2,14.2,14.2,14.2,0
2019-08-19 13:00:00+05:30,14.2,14.2,14.2,14.2,0
2019-08-19 13:10:00+05:30,14.2,14.2,14.2,14.2,0
2019-08-19 13:15:00+05:30,14.35,14.35,14.35,14.35,1
2019-08-19 13:25:00+05:30,14.35,14.5,14.35,14.5,500
2019-08-19 13:30:00+05:30,14.5,14.5,14.5,14.5,0
2019-08-19 13:35:00+05:30,14.5,14.5,14.05,14.05,2
2019-08-19 13:40:00+05:30,14.05,14.05,14.05,14.05,0
2019-08-19 13:45:00+05:30,14.05,14.2,14.05,14.2,550
2019-08-19 13:50:00+05:30,14.2,14.2,14.2,14.2,0
2019-08-19 13:55:00+05:30,14.2,14.2,14.2,14.2,1500
2019-08-19 14:00:00+05:30,14.2,14.2,14.2,14.2,0
2019-08-19 14:05:00+05:30,14.05,14.05,14.05,14.05,40
2019-08-19 14:10:00+05:30,14.05,14.05,14.05,14.05,450
2019-08-19 14:15:00+05:30,14.05,14.05,14.05,14.05,0
2019-08-19 14:20:00+05:30,14.05,14.05,14.05,14.05,100
2019-08-19 14:25:00+05:30,14.05,14.05,14.05,14.05,1003
2019-08-19 14:30:00+05:30,14.05,14.05,14.05,14.05,0
2019-08-19 14:40:00+05:30,14.05,14.05,14.05,14.05,0
2019-08-19 14:45:00+05:30,14.05,14.05,14.0,14.0,34613
2019-08-19 14:50:00+05:30,14.0,14.0,14.0,14.0,0
2019-08-19 14:55:00+05:30,14.0,14.0,14.0,14.0,1
2019-08-19 15:00:00+05:30,14.0,14.0,14.0,14.0,4000
2019-08-19 15:05:00+05:30,14.0,14.0,13.95,13.95,5162
2019-08-19 15:10:00+05:30,13.95,14.25,13.95,14.0,108399
2019-08-19 15:15:00+05:30,13.95,13.95,13.95,13.95,22691
2019-08-19 15:20:00+05:30,13.95,13.95,13.95,13.95,0
2019-08-19 15:25:00+05:30,13.95,14.1,13.95,14.0,3685
2019-08-20 09:15:00+05:30,13.95,13.95,13.5,13.5,16250
2019-08-20 09:20:00+05:30,13.5,13.85,13.35,13.8,29354
2019-08-20 09:25:00+05:30,13.8,13.8,13.4,13.4,5272
2019-08-20 09:30:00+05:30,13.4,13.4,13.3,13.3,51245
2019-08-20 09:35:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 09:40:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 09:45:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 09:50:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 09:55:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 10:00:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 10:05:00+05:30,13.3,13.3,13.3,13.3,251
2019-08-20 10:15:00+05:30,13.3,13.3,13.3,13.3,3
2019-08-20 10:35:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 10:45:00+05:30,13.3,13.3,13.3,13.3,1000
2019-08-20 11:10:00+05:30,13.3,13.3,13.3,13.3,1
2019-08-20 11:15:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 11:55:00+05:30,13.3,13.3,13.3,13.3,25
2019-08-20 12:15:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 12:50:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 12:55:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 13:05:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 13:15:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 13:20:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 13:25:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 13:30:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 13:35:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 13:45:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 14:00:00+05:30,13.3,13.3,13.3,13.3,1000
2019-08-20 14:15:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 14:30:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 14:40:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 14:45:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 14:50:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-20 15:15:00+05:30,13.3,13.3,13.3,13.3,0
2019-08-21 09:15:00+05:30,12.65,12.65,12.65,12.65,0
2019-08-21 09:35:00+05:30,12.65,12.65,12.65,12.65,0
2019-08-21 09:40:00+05:30,12.65,12.65,12.65,12.65,0
2019-08-21 09:55:00+05:30,12.65,12.65,12.65,12.65,0
2019-08-21 10:35:00+05:30,12.65,12.65,12.65,12.65,0
2019-08-21 10:40:00+05:30,12.65,12.65,12.65,12.65,0
2019-08-21 10:50:00+05:30,12.65,12.65,12.65,12.65,0
2019-08-21 10:55:00+05:30,12.65,12.65,12.65,12.65,8
2019-08-21 11:35:00+05:30,12.65,12.65,12.65,12.65,0
2019-08-21 11:40:00+05:30,12.65,12.65,12.65,12.65,0
2019-08-21 11:45:00+05:30,12.65,12.65,12.65,12.65,0
2019-08-21 11:50:00+05:30,12.65,12.65,12.65,12.65,14
2019-08-21 12:05:00+05:30,12.65,12.65,12.65,12.65,100
2019-08-21 12:35:00+05:30,12.65,12.65,12.65,12.65,5
2019-08-21 12:55:00+05:30,12.65,12.65,12.65,12.65,0
2019-08-21 13:30:00+05:30,12.65,12.65,12.65,12.65,0
2019-08-21 13:35:00+05:30,12.65,12.65,12.65,12.65,0
2019-08-21 14:00:00+05:30,12.65,12.65,12.65,12.65,0
2019-08-21 14:30:00+05:30,12.65,12.65,12.65,12.65,0
2019-08-21 14:35:00+05:30,12.65,12.65,12.65,12.65,6
2019-08-21 15:20:00+05:30,12.65,12.65,12.65,12.65,0
2019-08-22 12:55:00+05:30,12.05,12.05,12.05,12.05,0
2019-08-22 13:20:00+05:30,12.05,12.05,12.05,12.05,0
2019-08-22 13:35:00+05:30,12.05,12.05,12.05,12.05,0
2019-08-22 13:45:00+05:30,12.05,12.05,12.05,12.05,0
2019-08-22 14:15:00+05:30,12.05,12.05,12.05,12.05,0
2019-08-22 14:35:00+05:30,12.05,12.05,12.05,12.05,0
2019-08-22 15:20:00+05:30,12.05,12.05,12.05,12.05,0
2019-08-22 15:25:00+05:30,12.05,12.05,12.05,12.05,0
2019-08-23 09:50:00+05:30,11.45,11.45,11.45,11.45,0
2019-08-23 10:05:00+05:30,11.45,11.45,11.45,11.45,0
2019-08-23 10:35:00+05:30,11.45,11.45,11.45,11.45,0
2019-08-23 10:40:00+05:30,11.45,11.45,11.45,11.45,2
2019-08-23 11:30:00+05:30,11.45,11.45,11.45,11.45,30000
2019-08-23 11:35:00+05:30,11.45,11.45,11.45,11.45,7500
2019-08-23 11:40:00+05:30,11.45,11.45,11.45,11.45,30000
2019-08-23 11:45:00+05:30,11.45,11.45,11.45,11.45,7500
2019-08-23 11:55:00+05:30,11.45,11.45,11.45,11.45,37500
2019-08-23 12:15:00+05:30,11.45,11.45,11.45,11.45,37500
2019-08-23 12:20:00+05:30,11.45,11.45,11.45,11.45,0
2019-08-23 12:25:00+05:30,11.45,11.45,11.45,11.45,0
2019-08-23 12:35:00+05:30,11.45,11.45,11.45,11.45,10000
2019-08-23 12:40:00+05:30,11.45,11.45,11.45,11.45,40000
2019-08-23 12:45:00+05:30,11.45,11.45,11.45,11.45,3000
2019-08-23 12:50:00+05:30,11.45,11.45,11.45,11.45,44
2019-08-23 13:30:00+05:30,11.45,11.45,11.45,11.45,0
2019-08-23 13:35:00+05:30,11.45,11.45,11.45,11.45,0
2019-08-23 13:45:00+05:30,11.45,11.45,11.45,11.45,15000
2019-08-23 13:50:00+05:30,11.45,11.45,11.45,11.45,35000
2019-08-23 14:05:00+05:30,11.45,11.45,11.45,11.45,0
2019-08-23 14:35:00+05:30,11.45,11.45,11.45,11.45,0
2019-08-23 14:50:00+05:30,11.45,11.45,11.45,11.45,0
2019-08-23 15:10:00+05:30,11.45,11.45,11.45,11.45,10000
2019-08-23 15:15:00+05:30,11.45,11.45,11.45,11.45,19500
2019-08-23 15:20:00+05:30,11.45,11.45,11.45,11.45,23500
2019-08-26 09:15:00+05:30,11.5,11.5,10.9,10.9,50
2019-08-26 09:20:00+05:30,10.9,10.9,10.9,10.9,100
2019-08-26 09:25:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 09:30:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 09:35:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 09:40:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 09:45:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 10:15:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 10:20:00+05:30,10.9,10.9,10.9,10.9,50
2019-08-26 10:35:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 10:50:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 11:10:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 11:30:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 11:35:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 11:50:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 12:10:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 12:15:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 12:30:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 12:35:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 12:50:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 12:55:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 13:00:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 13:05:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 13:25:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 13:35:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 13:40:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 14:15:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 14:20:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 14:25:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 14:35:00+05:30,10.9,10.9,10.9,10.9,0
2019-08-26 15:25:00+05:30,10.9,10.9,10.9,10.9,30
2019-08-27 09:15:00+05:30,10.4,10.4,10.4,10.4,0
2019-08-27 09:30:00+05:30,10.4,10.4,10.4,10.4,0
2019-08-27 09:40:00+05:30,10.4,10.4,10.4,10.4,0
2019-08-27 09:50:00+05:30,10.4,10.4,10.4,10.4,0
2019-08-27 09:55:00+05:30,10.4,10.4,10.4,10.4,0
2019-08-27 10:15:00+05:30,10.4,10.4,10.4,10.4,10
2019-08-27 10:20:00+05:30,10.4,10.4,10.4,10.4,0
2019-08-27 10:40:00+05:30,10.4,10.4,10.4,10.4,0
2019-08-27 10:45:00+05:30,10.4,10.4,10.4,10.4,1000
2019-08-27 11:25:00+05:30,10.4,10.4,10.4,10.4,0
2019-08-27 11:35:00+05:30,10.4,10.4,10.4,10.4,0
2019-08-27 11:40:00+05:30,10.4,10.4,10.4,10.4,0
