date,open,high,low,close,volume
2018-04-04 09:15:00+05:30,65.35,66.85,65.15,65.9,144592
2018-04-04 09:20:00+05:30,65.9,65.9,64.75,64.9,39780
2018-04-04 09:25:00+05:30,64.9,64.9,64.25,64.9,30046
2018-04-04 09:30:00+05:30,64.9,64.9,64.6,64.9,6061
2018-04-04 09:35:00+05:30,64.9,64.9,64.7,64.85,14829
2018-04-04 09:40:00+05:30,64.85,64.9,64.5,64.55,15038
2018-04-04 09:45:00+05:30,64.55,64.55,63.75,64.2,26132
2018-04-04 09:50:00+05:30,64.2,64.2,63.35,63.85,11356
2018-04-04 09:55:00+05:30,63.85,64.8,63.85,64.55,9347
2018-04-04 10:00:00+05:30,64.55,65.5,64.55,65.25,23730
2018-04-04 10:05:00+05:30,65.25,65.5,64.7,65.3,20384
2018-04-04 10:10:00+05:30,65.35,65.55,65.25,65.4,6144
2018-04-04 10:15:00+05:30,65.4,65.4,65.2,65.3,6510
2018-04-04 10:20:00+05:30,65.3,65.45,65.3,65.3,2159
2018-04-04 10:25:00+05:30,65.3,65.45,65.2,65.25,4991
2018-04-04 10:30:00+05:30,65.25,65.45,65.25,65.3,3340
2018-04-04 10:35:00+05:30,65.3,65.3,65.2,65.2,1839
2018-04-04 10:40:00+05:30,65.2,65.2,65.0,65.2,3749
2018-04-04 10:45:00+05:30,65.2,65.2,64.65,64.9,4065
2018-04-04 10:50:00+05:30,64.9,65.3,64.8,65.1,11703
2018-04-04 10:55:00+05:30,65.0,65.1,65.0,65.0,1749
2018-04-04 11:00:00+05:30,65.0,65.0,64.8,65.0,632
2018-04-04 11:05:00+05:30,65.0,65.0,64.8,64.8,330
2018-04-04 11:10:00+05:30,64.8,65.15,64.65,64.95,4945
2018-04-04 11:15:00+05:30,64.95,64.95,64.6,64.8,5788
2018-04-04 11:20:00+05:30,64.8,64.9,64.4,64.9,10206
2018-04-04 11:25:00+05:30,64.9,64.9,64.35,64.5,3393
2018-04-04 11:30:00+05:30,64.5,64.5,64.35,64.35,2975
2018-04-04 11:35:00+05:30,64.35,64.45,64.25,64.25,6864
2018-04-04 11:40:00+05:30,64.25,64.25,63.9,64.0,3345
2018-04-04 11:45:00+05:30,64.0,64.3,64.0,64.2,4712
2018-04-04 11:50:00+05:30,64.2,64.25,63.7,63.7,7463
2018-04-04 11:55:00+05:30,63.7,63.7,63.6,63.7,2961
2018-04-04 12:00:00+05:30,63.7,64.0,63.25,63.5,5442
2018-04-04 12:05:00+05:30,63.5,63.5,63.45,63.5,297
2018-04-04 12:10:00+05:30,63.5,63.5,63.1,63.4,7558
2018-04-04 12:15:00+05:30,63.4,63.4,63.2,63.3,2037
2018-04-04 12:20:00+05:30,63.3,63.35,62.95,63.0,9195
2018-04-04 12:25:00+05:30,63.0,63.0,62.8,63.0,5110
2018-04-04 12:30:00+05:30,63.0,63.35,63.0,63.35,907
2018-04-04 12:35:00+05:30,63.3,63.9,63.3,63.6,810
2018-04-04 12:40:00+05:30,63.4,63.75,63.0,63.3,1140
2018-04-04 12:45:00+05:30,63.05,63.3,63.0,63.05,1122
2018-04-04 12:50:00+05:30,63.05,63.35,62.85,62.85,1764
2018-04-04 12:55:00+05:30,62.85,63.0,62.85,62.85,1444
2018-04-04 13:00:00+05:30,62.85,63.0,62.8,63.0,7352
2018-04-04 13:05:00+05:30,63.0,63.1,63.0,63.1,564
2018-04-04 13:10:00+05:30,63.0,63.1,62.9,63.1,386
2018-04-04 13:15:00+05:30,63.1,63.1,62.8,63.1,340
2018-04-04 13:20:00+05:30,63.1,63.1,62.65,62.7,1698
2018-04-04 13:25:00+05:30,62.7,62.95,62.65,62.95,1319
2018-04-04 13:30:00+05:30,62.75,62.95,62.75,62.75,4332
2018-04-04 13:35:00+05:30,62.95,62.95,62.75,62.85,582
2018-04-04 13:40:00+05:30,62.85,62.85,62.75,62.75,3576
2018-04-04 13:45:00+05:30,62.75,62.9,62.65,62.9,1160
2018-04-04 13:50:00+05:30,62.9,62.9,62.6,62.9,522
2018-04-04 13:55:00+05:30,62.9,62.9,62.2,62.4,4163
2018-04-04 14:00:00+05:30,62.5,62.65,62.5,62.5,2150
2018-04-04 14:05:00+05:30,62.5,62.5,62.45,62.5,1136
2018-04-04 14:10:00+05:30,62.5,62.5,62.45,62.5,557
2018-04-04 14:15:00+05:30,62.45,62.5,62.2,62.5,660
2018-04-04 14:20:00+05:30,62.5,62.5,62.15,62.5,149
2018-04-04 14:25:00+05:30,62.5,63.0,62.25,63.0,7451
2018-04-04 14:30:00+05:30,63.0,63.0,62.25,62.5,6494
2018-04-04 14:35:00+05:30,62.5,62.5,62.0,62.0,12033
2018-04-04 14:40:00+05:30,62.45,62.45,62.1,62.3,4918
2018-04-04 14:45:00+05:30,62.3,62.4,62.3,62.4,305
2018-04-04 14:50:00+05:30,62.4,62.4,62.3,62.3,20778
2018-04-04 14:55:00+05:30,62.3,62.3,61.85,62.0,4670
2018-04-04 15:00:00+05:30,62.0,62.2,61.85,62.15,2436
2018-04-04 15:05:00+05:30,62.15,62.35,61.85,62.3,1279
2018-04-04 15:10:00+05:30,62.3,62.3,61.8,62.0,5975
2018-04-04 15:15:00+05:30,62.0,62.65,61.8,62.5,23788
2018-04-04 15:20:00+05:30,62.5,62.65,62.0,62.15,35956
2018-04-04 15:25:00+05:30,62.15,62.5,62.1,62.5,9749
2018-04-05 09:15:00+05:30,64.0,64.75,63.1,63.9,9156
