date,open,high,low,close,volume
2020-10-01 09:15:00+05:30,663.0,663.0,663.0,663.0,0
2020-10-01 09:40:00+05:30,731.0,731.0,731.0,731.0,0
2020-10-01 09:45:00+05:30,731.0,731.0,731.0,731.0,0
2020-10-01 09:50:00+05:30,731.0,731.0,731.0,731.0,0
2020-10-01 09:55:00+05:30,731.0,731.0,731.0,731.0,0
2020-10-01 10:00:00+05:30,727.45,731.0,612.3,633.45,3674523
2020-10-01 10:05:00+05:30,633.6,647.4,625.55,629.0,1013876
2020-10-01 10:10:00+05:30,629.0,630.0,615.0,620.5,774715
2020-10-01 10:15:00+05:30,620.85,635.0,620.0,631.9,512281
2020-10-01 10:20:00+05:30,631.55,632.15,619.2,623.15,382583
2020-10-01 10:25:00+05:30,623.5,632.35,623.1,628.2,323985
2020-10-01 10:30:00+05:30,628.2,628.4,621.25,623.75,233041
2020-10-01 10:35:00+05:30,624.05,625.0,592.75,600.95,1095015
2020-10-01 10:40:00+05:30,601.0,607.7,600.1,603.75,273739
2020-10-01 10:45:00+05:30,603.6,604.85,598.0,602.15,281387
2020-10-01 10:50:00+05:30,602.7,616.55,596.0,615.05,378501
2020-10-01 10:55:00+05:30,615.0,619.85,610.0,619.0,246951
2020-10-01 11:00:00+05:30,619.0,619.6,610.0,613.95,146233
2020-10-01 11:05:00+05:30,613.2,618.45,612.25,616.2,103267
2020-10-01 11:10:00+05:30,616.2,626.75,615.6,624.45,386891
2020-10-01 11:15:00+05:30,624.4,624.45,612.15,613.8,171806
2020-10-01 11:20:00+05:30,613.6,617.0,613.0,614.75,61399
2020-10-01 11:25:00+05:30,614.65,618.95,614.15,614.15,61336
2020-10-01 11:30:00+05:30,614.35,616.15,614.15,615.8,31029
2020-10-01 11:35:00+05:30,615.6,619.35,615.55,617.5,54684
2020-10-01 11:40:00+05:30,617.1,621.0,617.0,620.6,75444
2020-10-01 11:45:00+05:30,620.75,623.0,615.3,617.15,90808
2020-10-01 11:50:00+05:30,616.8,618.45,613.15,615.5,73018
2020-10-01 11:55:00+05:30,615.35,618.0,613.1,617.2,46182
2020-10-01 12:00:00+05:30,617.1,617.7,614.15,614.15,30791
2020-10-01 12:05:00+05:30,614.15,614.9,613.0,614.75,39511
2020-10-01 12:10:00+05:30,614.75,614.9,602.95,604.65,211160
2020-10-01 12:15:00+05:30,604.15,609.0,602.45,605.0,107111
2020-10-01 12:20:00+05:30,605.0,605.95,603.0,605.45,50669
2020-10-01 12:25:00+05:30,605.5,608.8,605.0,608.0,47585
2020-10-01 12:30:00+05:30,608.0,608.95,601.55,601.95,74082
2020-10-01 12:35:00+05:30,601.85,606.7,601.0,606.65,74952
2020-10-01 12:40:00+05:30,606.6,606.65,603.6,605.05,45516
2020-10-01 12:45:00+05:30,605.1,607.85,603.0,606.65,39066
2020-10-01 12:50:00+05:30,606.75,607.05,595.85,598.7,186986
2020-10-01 12:55:00+05:30,598.25,598.85,584.8,591.75,776299
2020-10-01 13:00:00+05:30,591.4,595.7,587.55,595.7,139292
2020-10-01 13:05:00+05:30,595.0,595.8,591.25,592.1,72565
2020-10-01 13:10:00+05:30,592.0,594.6,592.0,593.5,36462
2020-10-01 13:15:00+05:30,593.55,593.9,586.2,586.2,157326
2020-10-01 13:20:00+05:30,586.35,587.95,584.8,586.95,240016
2020-10-01 13:25:00+05:30,586.65,589.45,585.1,586.25,97010
2020-10-01 13:30:00+05:30,586.05,589.7,586.0,588.55,60424
2020-10-01 13:35:00+05:30,588.55,588.95,585.35,587.2,64035
2020-10-01 13:40:00+05:30,587.0,588.9,586.2,587.0,44753
2020-10-01 13:45:00+05:30,587.0,594.55,587.0,594.25,95999
2020-10-01 13:50:00+05:30,594.5,596.65,591.1,595.15,132748
2020-10-01 13:55:00+05:30,595.5,602.0,592.5,595.8,235843
2020-10-01 14:00:00+05:30,595.75,597.5,592.5,594.65,45442
2020-10-01 14:05:00+05:30,594.65,594.8,591.1,592.3,36000
2020-10-01 14:10:00+05:30,592.75,592.75,585.85,588.1,108132
2020-10-01 14:15:00+05:30,588.1,591.0,586.3,590.0,49450
2020-10-01 14:20:00+05:30,590.0,590.2,587.0,588.4,27169
