date,open,high,low,close,volume
2019-06-13 09:15:00+05:30,41.4,41.4,40.55,41.0,3029
2019-06-13 09:20:00+05:30,41.0,41.0,40.8,41.0,1502
2019-06-13 09:25:00+05:30,41.0,41.2,41.0,41.2,1565
2019-06-13 09:30:00+05:30,41.2,41.2,41.0,41.2,715
2019-06-13 09:35:00+05:30,41.05,41.05,40.1,40.1,12088
2019-06-13 09:40:00+05:30,40.1,40.5,40.05,40.5,1871
2019-06-13 09:45:00+05:30,40.5,40.5,40.5,40.5,1571
2019-06-13 09:50:00+05:30,40.5,40.5,40.25,40.25,560
2019-06-13 09:55:00+05:30,40.25,40.25,40.0,40.0,3718
2019-06-13 10:00:00+05:30,40.0,40.0,38.65,38.9,11896
2019-06-13 10:05:00+05:30,38.9,39.75,38.65,39.75,5360
2019-06-13 10:10:00+05:30,39.7,39.7,39.45,39.5,1055
2019-06-13 10:15:00+05:30,39.5,39.5,39.4,39.4,1045
2019-06-13 10:20:00+05:30,39.4,39.9,39.4,39.9,2200
2019-06-13 10:25:00+05:30,39.9,39.9,39.55,39.55,1625
2019-06-13 10:30:00+05:30,39.55,39.55,39.55,39.55,0
2019-06-13 10:35:00+05:30,39.55,39.9,39.55,39.65,2865
2019-06-13 10:40:00+05:30,39.65,39.85,39.65,39.85,50
2019-06-13 10:45:00+05:30,39.85,39.85,39.85,39.85,0
2019-06-13 10:50:00+05:30,39.85,39.85,39.45,39.45,2650
2019-06-13 10:55:00+05:30,39.45,39.45,39.45,39.45,0
2019-06-13 11:00:00+05:30,39.45,39.85,39.45,39.85,75
2019-06-13 11:05:00+05:30,39.85,39.85,39.35,39.75,157
2019-06-13 11:10:00+05:30,39.75,39.75,39.3,39.45,104
2019-06-13 11:15:00+05:30,39.45,39.45,39.05,39.05,1941
2019-06-13 11:20:00+05:30,39.05,39.75,39.0,39.05,6732
2019-06-13 11:25:00+05:30,39.05,39.6,39.05,39.3,503
2019-06-13 11:30:00+05:30,39.3,39.65,39.3,39.65,10
2019-06-13 11:35:00+05:30,39.65,39.75,39.65,39.75,200
2019-06-13 11:40:00+05:30,39.75,39.75,39.75,39.75,0
2019-06-13 11:45:00+05:30,39.75,39.75,39.3,39.3,101
2019-06-13 11:50:00+05:30,39.6,39.6,39.5,39.5,27
2019-06-13 11:55:00+05:30,39.5,39.5,39.5,39.5,163
2019-06-13 12:00:00+05:30,39.5,39.5,39.4,39.4,342
2019-06-13 12:05:00+05:30,39.4,39.4,39.4,39.4,12
2019-06-13 12:10:00+05:30,39.4,39.4,39.15,39.15,700
2019-06-13 12:15:00+05:30,39.15,39.75,39.15,39.75,4033
2019-06-13 12:20:00+05:30,39.75,39.9,39.75,39.9,175
2019-06-13 12:25:00+05:30,39.9,39.9,39.7,39.7,100
2019-06-13 12:30:00+05:30,39.8,40.15,39.8,40.1,2541
2019-06-13 12:35:00+05:30,40.1,40.1,40.1,40.1,150
2019-06-13 12:40:00+05:30,40.1,40.55,40.05,40.55,6185
2019-06-13 12:45:00+05:30,40.55,40.8,40.55,40.8,818
2019-06-13 12:50:00+05:30,40.8,40.8,40.8,40.8,0
2019-06-13 12:55:00+05:30,40.45,40.45,40.1,40.1,40
2019-06-13 13:00:00+05:30,40.1,40.45,39.5,39.5,1251
2019-06-13 13:05:00+05:30,39.5,39.6,39.5,39.6,1115
2019-06-13 13:10:00+05:30,39.6,40.1,39.6,39.6,578
2019-06-13 13:15:00+05:30,39.6,40.4,39.6,40.4,641
2019-06-13 13:20:00+05:30,40.4,40.4,40.4,40.4,0
2019-06-13 13:25:00+05:30,40.4,40.4,40.25,40.25,40
2019-06-13 13:30:00+05:30,40.25,40.25,39.8,39.8,10
2019-06-13 13:35:00+05:30,39.85,39.85,39.8,39.8,525
2019-06-13 13:40:00+05:30,39.8,39.9,39.6,39.9,250
2019-06-13 13:45:00+05:30,39.9,39.9,39.9,39.9,0
2019-06-13 13:50:00+05:30,39.9,39.9,39.9,39.9,0
2019-06-13 13:55:00+05:30,39.65,40.25,39.65,40.25,19
2019-06-13 14:00:00+05:30,40.2,40.2,40.2,40.2,40
2019-06-13 14:05:00+05:30,40.2,40.2,40.0,40.0,327
2019-06-13 14:10:00+05:30,40.0,40.2,40.0,40.2,18
2019-06-13 14:15:00+05:30,40.2,40.35,40.2,40.35,665
2019-06-13 14:20:00+05:30,40.35,40.35,40.05,40.05,81
2019-06-13 14:25:00+05:30,40.05,40.05,40.0,40.0,1465
2019-06-13 14:30:00+05:30,40.0,40.0,40.0,40.0,386
2019-06-13 14:35:00+05:30,40.0,40.1,40.0,40.1,1860
2019-06-13 14:40:00+05:30,40.0,40.0,40.0,40.0,4
2019-06-13 14:45:00+05:30,40.0,40.0,39.6,39.6,610
2019-06-13 14:50:00+05:30,39.6,39.6,39.6,39.6,577
2019-06-13 14:55:00+05:30,39.6,39.7,39.6,39.7,560
2019-06-13 15:00:00+05:30,39.7,39.7,39.65,39.65,2000
2019-06-13 15:05:00+05:30,39.65,39.65,39.5,39.5,366
2019-06-13 15:10:00+05:30,39.5,39.5,39.3,39.3,1554
2019-06-13 15:15:00+05:30,39.25,39.3,39.1,39.25,1422
2019-06-13 15:20:00+05:30,39.25,39.3,39.25,39.3,4412
2019-06-13 15:25:00+05:30,39.3,39.6,39.3,39.6,325
2019-06-14 09:15:00+05:30,40.0,40.0,39.5,39.5,502
2019-06-14 09:20:00+05:30,39.5,39.9,39.5,39.9,200
2019-06-14 09:25:00+05:30,39.9,39.9,39.45,39.5,1510
2019-06-14 09:30:00+05:30,39.5,39.5,39.4,39.5,1845
2019-06-14 09:35:00+05:30,39.5,39.5,39.5,39.5,0
2019-06-14 09:40:00+05:30,39.5,39.5,39.5,39.5,952
2019-06-14 09:45:00+05:30,39.5,39.5,39.5,39.5,301
2019-06-14 09:50:00+05:30,39.5,39.55,39.5,39.5,997
2019-06-14 09:55:00+05:30,39.5,39.5,39.0,39.0,350
2019-06-14 10:00:00+05:30,39.0,39.6,39.0,39.55,503
2019-06-14 10:05:00+05:30,39.55,39.55,39.55,39.55,100
2019-06-14 10:10:00+05:30,39.55,39.55,39.55,39.55,0
2019-06-14 10:15:00+05:30,39.75,39.8,39.75,39.75,2180
2019-06-14 10:20:00+05:30,39.75,39.75,39.75,39.75,0
2019-06-14 10:25:00+05:30,39.7,39.7,39.7,39.7,40
2019-06-14 10:30:00+05:30,39.7,39.7,39.35,39.35,597
2019-06-14 10:35:00+05:30,39.35,39.35,39.35,39.35,854
2019-06-14 10:40:00+05:30,39.35,39.5,39.35,39.5,446
2019-06-14 10:45:00+05:30,39.5,39.65,39.5,39.65,2175
2019-06-14 10:50:00+05:30,39.65,39.65,39.65,39.65,0
2019-06-14 10:55:00+05:30,39.65,39.65,39.65,39.65,10
2019-06-14 11:00:00+05:30,39.65,39.65,39.65,39.65,0
2019-06-14 11:05:00+05:30,39.65,39.65,39.6,39.6,80
2019-06-14 11:10:00+05:30,39.6,39.6,39.6,39.6,600
2019-06-14 11:15:00+05:30,39.6,39.6,39.4,39.4,10
2019-06-14 11:20:00+05:30,39.4,39.4,39.4,39.4,0
2019-06-14 11:25:00+05:30,39.4,39.45,39.4,39.45,200
2019-06-14 11:30:00+05:30,39.45,39.45,39.45,39.45,0
2019-06-14 11:35:00+05:30,39.6,39.6,39.6,39.6,60
2019-06-14 11:40:00+05:30,39.6,39.6,39.6,39.6,0
2019-06-14 11:45:00+05:30,39.45,39.45,39.45,39.45,437
2019-06-14 11:50:00+05:30,39.45,39.45,39.45,39.45,0
2019-06-14 11:55:00+05:30,39.45,39.6,39.45,39.6,24
2019-06-14 12:00:00+05:30,39.6,39.6,39.4,39.6,7
2019-06-14 12:05:00+05:30,39.6,39.6,39.6,39.6,3
2019-06-14 12:10:00+05:30,39.5,39.5,39.35,39.5,611
2019-06-14 12:15:00+05:30,39.35,39.5,39.35,39.5,722
2019-06-14 12:20:00+05:30,39.5,39.5,39.5,39.5,100
2019-06-14 12:25:00+05:30,39.5,39.5,39.5,39.5,65
2019-06-14 12:30:00+05:30,39.5,39.5,39.5,39.5,0
2019-06-14 12:35:00+05:30,39.35,39.35,39.35,39.35,5065
2019-06-14 12:40:00+05:30,39.3,39.3,39.1,39.1,22
2019-06-14 12:45:00+05:30,39.1,39.1,39.1,39.1,2245
2019-06-14 12:50:00+05:30,39.1,39.1,39.1,39.1,0
2019-06-14 12:55:00+05:30,39.1,39.45,39.1,39.45,15
2019-06-14 13:00:00+05:30,39.45,39.45,39.45,39.45,0
2019-06-14 13:05:00+05:30,39.45,39.45,39.45,39.45,0
2019-06-14 13:10:00+05:30,39.45,39.45,39.45,39.45,0
2019-06-14 13:15:00+05:30,39.1,39.1,39.1,39.1,5
2019-06-14 13:20:00+05:30,39.1,39.1,39.1,39.1,3
2019-06-14 13:25:00+05:30,39.45,39.45,39.45,39.45,100
2019-06-14 13:30:00+05:30,39.45,39.45,39.45,39.45,0
2019-06-14 13:35:00+05:30,39.45,39.45,39.4,39.4,58
2019-06-14 13:40:00+05:30,39.4,39.4,39.4,39.4,0
2019-06-14 13:45:00+05:30,39.5,39.5,39.5,39.5,43
2019-06-14 13:50:00+05:30,39.5,39.5,39.4,39.4,592
2019-06-14 13:55:00+05:30,39.4,39.65,39.05,39.05,14000
2019-06-14 14:00:00+05:30,39.05,39.5,39.05,39.1,4055
2019-06-14 14:05:00+05:30,39.1,39.1,39.1,39.1,0
2019-06-14 14:10:00+05:30,39.5,39.5,39.5,39.5,200
2019-06-14 14:15:00+05:30,39.5,39.5,39.1,39.1,2000
2019-06-14 14:20:00+05:30,39.1,39.4,39.1,39.1,4000
2019-06-14 14:25:00+05:30,39.1,39.35,39.1,39.1,528
2019-06-14 14:30:00+05:30,39.1,39.1,39.05,39.05,2086
2019-06-14 14:35:00+05:30,39.05,39.05,39.05,39.05,0
2019-06-14 14:40:00+05:30,39.05,39.4,39.05,39.05,970
2019-06-14 14:45:00+05:30,39.05,39.05,39.0,39.0,110
2019-06-14 14:50:00+05:30,39.0,39.0,39.0,39.0,0
2019-06-14 14:55:00+05:30,39.0,39.3,39.0,39.3,10
2019-06-14 15:00:00+05:30,39.3,39.3,39.0,39.0,40
2019-06-14 15:05:00+05:30,39.05,39.15,39.0,39.15,2195
2019-06-14 15:10:00+05:30,39.15,39.15,38.85,38.85,7450
2019-06-14 15:15:00+05:30,38.85,38.85,38.75,38.75,2800
2019-06-14 15:20:00+05:30,38.75,38.85,38.75,38.75,1609
2019-06-14 15:25:00+05:30,38.75,38.85,38.75,38.8,1692
2019-06-17 09:15:00+05:30,38.5,39.65,38.5,39.4,132
2019-06-17 09:20:00+05:30,39.4,39.4,38.65,38.65,801
2019-06-17 09:25:00+05:30,38.65,38.95,38.65,38.95,294
2019-06-17 09:30:00+05:30,38.95,38.95,38.95,38.95,0
2019-06-17 09:35:00+05:30,38.9,38.9,38.9,38.9,56
2019-06-17 09:40:00+05:30,38.7,38.9,38.6,38.6,4625
2019-06-17 09:45:00+05:30,38.6,38.9,38.6,38.9,211
2019-06-17 09:50:00+05:30,38.9,38.95,38.6,38.6,253
2019-06-17 09:55:00+05:30,38.6,39.0,38.6,38.95,402
2019-06-17 10:00:00+05:30,38.95,38.95,38.95,38.95,0
2019-06-17 10:05:00+05:30,38.95,38.95,38.65,38.65,497
2019-06-17 10:10:00+05:30,38.75,38.75,38.75,38.75,20
2019-06-17 10:15:00+05:30,38.6,38.8,38.6,38.8,2708
2019-06-17 10:20:00+05:30,38.6,38.8,38.6,38.8,900
2019-06-17 10:25:00+05:30,38.8,38.8,38.8,38.8,0
2019-06-17 10:30:00+05:30,38.6,38.6,38.6,38.6,27
2019-06-17 10:35:00+05:30,38.75,38.75,38.75,38.75,276
2019-06-17 10:40:00+05:30,38.75,38.75,38.6,38.6,210
2019-06-17 10:45:00+05:30,38.6,38.6,38.6,38.6,0
2019-06-17 10:50:00+05:30,38.6,38.65,38.6,38.65,25
2019-06-17 11:00:00+05:30,38.65,39.0,38.65,39.0,1710
2019-06-17 11:05:00+05:30,39.0,39.0,39.0,39.0,0
2019-06-17 11:10:00+05:30,38.9,38.9,38.6,38.9,233
2019-06-17 11:15:00+05:30,38.9,38.9,38.9,38.9,5
2019-06-17 11:20:00+05:30,38.9,38.9,38.9,38.9,0
2019-06-17 11:25:00+05:30,38.6,38.65,38.6,38.6,1950
2019-06-17 11:30:00+05:30,38.6,38.6,38.45,38.45,8593
2019-06-17 11:35:00+05:30,38.5,38.5,38.35,38.5,75
2019-06-17 11:40:00+05:30,38.5,38.5,38.4,38.5,700
2019-06-17 11:45:00+05:30,38.35,38.35,38.35,38.35,1000
2019-06-17 11:50:00+05:30,38.5,38.5,38.35,38.35,1522
2019-06-17 11:55:00+05:30,38.3,38.3,38.3,38.3,40
2019-06-17 12:00:00+05:30,38.3,38.35,38.3,38.35,528
