date,open,high,low,close,volume
2021-12-24 09:15:00+05:30,91.0,91.0,88.4,89.9,1937
2021-12-24 09:20:00+05:30,89.9,90.9,88.45,88.75,2438
2021-12-24 09:25:00+05:30,88.75,88.95,88.75,88.85,583
2021-12-24 09:30:00+05:30,88.85,89.3,88.8,88.8,1869
2021-12-24 09:35:00+05:30,88.8,88.8,88.0,88.0,1653
2021-12-24 09:40:00+05:30,88.0,88.0,87.4,87.6,2046
2021-12-24 09:45:00+05:30,87.6,88.05,87.45,87.45,492
2021-12-24 09:50:00+05:30,87.45,88.8,87.45,87.5,2275
2021-12-24 09:55:00+05:30,87.5,88.35,87.5,87.9,642
2021-12-24 10:00:00+05:30,87.9,88.35,87.9,88.35,4815
2021-12-24 10:05:00+05:30,88.35,88.35,87.85,88.1,1276
2021-12-24 10:10:00+05:30,88.1,88.3,87.85,88.1,333
2021-12-24 10:15:00+05:30,88.1,88.45,87.85,87.85,969
2021-12-24 10:20:00+05:30,88.35,89.4,87.9,87.9,1295
2021-12-24 10:25:00+05:30,87.9,88.4,87.9,88.4,36
2021-12-24 10:30:00+05:30,88.4,88.4,87.9,88.35,77
2021-12-24 10:35:00+05:30,88.35,88.4,87.85,87.85,515
2021-12-24 10:40:00+05:30,87.85,88.2,87.85,88.1,14
2021-12-24 10:45:00+05:30,88.1,88.1,88.0,88.0,737
2021-12-24 10:50:00+05:30,88.0,88.1,87.75,88.0,2346
2021-12-24 10:55:00+05:30,88.0,88.1,87.5,88.0,870
2021-12-24 11:00:00+05:30,88.0,88.1,88.0,88.1,1339
2021-12-24 11:05:00+05:30,88.1,88.5,88.0,88.45,2057
2021-12-24 11:10:00+05:30,88.0,88.0,88.0,88.0,92
2021-12-24 11:15:00+05:30,88.0,88.0,87.6,88.0,425
2021-12-24 11:20:00+05:30,88.0,88.0,88.0,88.0,30
2021-12-24 11:25:00+05:30,88.0,88.35,87.55,88.0,1240
2021-12-24 11:30:00+05:30,88.0,88.0,88.0,88.0,0
2021-12-24 11:35:00+05:30,88.0,88.0,88.0,88.0,0
2021-12-24 11:40:00+05:30,88.0,88.35,88.0,88.35,2
2021-12-24 11:45:00+05:30,88.35,88.35,88.35,88.35,12
2021-12-24 11:50:00+05:30,88.35,88.4,88.35,88.4,162
2021-12-24 11:55:00+05:30,88.4,88.4,88.05,88.05,150
2021-12-24 12:00:00+05:30,88.05,88.35,88.05,88.35,679
2021-12-24 12:05:00+05:30,88.35,88.5,88.35,88.5,327
2021-12-24 12:10:00+05:30,88.5,88.5,87.8,88.35,229
