date,open,high,low,close,volume
2019-08-19 09:15:00+05:30,42.0,43.5,40.6,42.0,37542
2019-08-19 09:20:00+05:30,42.0,42.1,41.6,41.8,3557
2019-08-19 09:25:00+05:30,41.8,42.45,41.7,42.0,4621
2019-08-19 09:30:00+05:30,42.3,42.3,41.7,41.75,6015
2019-08-19 09:35:00+05:30,41.75,41.75,41.3,41.5,2558
2019-08-19 09:40:00+05:30,41.5,41.6,41.4,41.4,1984
2019-08-19 09:45:00+05:30,41.4,41.55,41.4,41.45,450
2019-08-19 09:50:00+05:30,41.45,41.9,41.4,41.9,1134
2019-08-19 09:55:00+05:30,41.9,43.45,41.9,43.05,12123
2019-08-19 10:00:00+05:30,43.05,43.15,42.7,42.7,1169
2019-08-19 10:05:00+05:30,42.7,42.75,42.5,42.75,341
2019-08-19 10:10:00+05:30,42.75,42.75,42.35,42.35,565
2019-08-19 10:15:00+05:30,42.35,42.6,42.0,42.0,3670
2019-08-19 10:20:00+05:30,42.05,42.1,42.0,42.1,854
2019-08-19 10:25:00+05:30,42.2,42.2,42.2,42.2,83
2019-08-19 10:30:00+05:30,42.2,42.4,42.15,42.4,220
2019-08-19 10:35:00+05:30,42.4,42.4,42.0,42.0,402
2019-08-19 10:40:00+05:30,42.0,42.0,42.0,42.0,0
2019-08-19 10:45:00+05:30,42.0,42.2,42.0,42.2,95
2019-08-19 10:50:00+05:30,42.2,42.2,42.0,42.0,95
2019-08-19 10:55:00+05:30,42.2,42.35,41.7,42.35,1142
2019-08-19 11:00:00+05:30,42.35,42.35,41.8,41.8,656
2019-08-19 11:05:00+05:30,41.8,42.2,41.8,42.2,913
2019-08-19 11:10:00+05:30,42.2,42.2,42.15,42.15,500
2019-08-19 11:15:00+05:30,42.15,42.15,42.15,42.15,0
2019-08-19 11:20:00+05:30,42.15,42.15,42.0,42.0,1
2019-08-19 11:25:00+05:30,42.0,42.0,42.0,42.0,0
2019-08-19 11:30:00+05:30,42.0,42.05,42.0,42.05,184
2019-08-19 11:35:00+05:30,42.05,42.05,42.05,42.05,141
2019-08-19 11:40:00+05:30,42.05,42.05,41.9,41.9,125
2019-08-19 11:45:00+05:30,41.9,41.9,41.8,41.8,155
2019-08-19 11:50:00+05:30,42.0,42.2,42.0,42.2,1025
2019-08-19 11:55:00+05:30,42.2,42.2,41.85,41.85,5
2019-08-19 12:00:00+05:30,41.8,41.8,41.8,41.8,200
2019-08-19 12:05:00+05:30,42.1,42.1,42.1,42.1,225
2019-08-19 12:10:00+05:30,42.1,42.1,42.1,42.1,0
2019-08-19 12:20:00+05:30,42.1,42.1,42.1,42.1,3
2019-08-19 12:25:00+05:30,42.1,42.1,42.1,42.1,0
2019-08-19 12:30:00+05:30,42.1,42.15,42.1,42.15,200
2019-08-19 12:35:00+05:30,42.0,42.2,42.0,42.2,275
2019-08-19 12:40:00+05:30,42.2,42.2,42.2,42.2,1
2019-08-19 12:45:00+05:30,42.0,42.85,42.0,42.5,1652
2019-08-19 12:50:00+05:30,42.5,42.8,42.1,42.55,939
2019-08-19 12:55:00+05:30,42.55,42.55,42.5,42.55,163
2019-08-19 13:00:00+05:30,42.55,42.55,42.2,42.2,72
2019-08-19 13:05:00+05:30,42.2,42.35,42.2,42.35,1235
2019-08-19 13:10:00+05:30,42.35,42.35,42.3,42.3,3
2019-08-19 13:15:00+05:30,42.3,42.35,42.25,42.35,306
2019-08-19 13:20:00+05:30,42.4,42.45,42.4,42.45,10
2019-08-19 13:25:00+05:30,42.45,42.45,42.45,42.45,0
2019-08-19 13:30:00+05:30,42.45,42.5,42.45,42.5,3
2019-08-19 13:35:00+05:30,42.5,42.5,42.25,42.25,852
2019-08-19 13:40:00+05:30,42.25,42.25,42.05,42.05,692
2019-08-19 13:45:00+05:30,42.05,42.6,42.05,42.55,3030
2019-08-19 13:50:00+05:30,42.55,42.6,42.55,42.6,2600
2019-08-19 13:55:00+05:30,42.6,42.6,42.6,42.6,0
2019-08-19 14:00:00+05:30,42.6,42.6,42.6,42.6,0
2019-08-19 14:05:00+05:30,42.6,42.6,42.6,42.6,0
2019-08-19 14:10:00+05:30,42.45,42.5,42.45,42.5,310
2019-08-19 14:15:00+05:30,42.5,42.5,42.5,42.5,0
2019-08-19 14:25:00+05:30,42.5,42.5,42.1,42.1,625
2019-08-19 14:30:00+05:30,42.1,42.35,42.05,42.35,3
2019-08-19 14:35:00+05:30,42.35,42.4,41.75,41.75,3042
2019-08-19 14:40:00+05:30,41.75,42.0,41.5,42.0,350
2019-08-19 14:45:00+05:30,42.0,42.25,42.0,42.0,784
2019-08-19 14:50:00+05:30,42.0,42.0,42.0,42.0,0
2019-08-19 14:55:00+05:30,42.0,42.1,42.0,42.05,15
2019-08-19 15:00:00+05:30,42.05,42.05,42.0,42.0,882
2019-08-19 15:05:00+05:30,42.0,42.0,42.0,42.0,319
2019-08-19 15:10:00+05:30,42.3,42.35,42.05,42.35,1956
2019-08-19 15:15:00+05:30,42.35,42.35,42.0,42.0,1326
2019-08-19 15:20:00+05:30,42.0,42.35,42.0,42.15,1484
2019-08-19 15:25:00+05:30,42.15,42.65,42.1,42.65,1506
2019-08-20 09:15:00+05:30,42.25,42.25,42.15,42.15,377
2019-08-20 09:20:00+05:30,42.15,42.15,42.15,42.15,534
2019-08-20 09:25:00+05:30,42.15,42.4,42.0,42.0,167
2019-08-20 09:30:00+05:30,42.0,42.0,42.0,42.0,0
2019-08-20 09:35:00+05:30,42.0,42.0,41.0,41.95,2986
2019-08-20 09:40:00+05:30,41.95,41.95,40.7,40.7,505
2019-08-20 09:45:00+05:30,40.7,40.7,39.8,39.95,2290
2019-08-20 09:50:00+05:30,39.9,39.9,39.65,39.65,250
2019-08-20 09:55:00+05:30,39.65,40.0,39.65,39.9,2208
2019-08-20 10:00:00+05:30,39.9,39.9,39.9,39.9,2130
2019-08-20 10:05:00+05:30,39.9,39.9,39.9,39.9,0
2019-08-20 10:10:00+05:30,40.0,40.4,39.9,40.4,2588
2019-08-20 10:15:00+05:30,40.4,40.4,40.4,40.4,0
2019-08-20 10:20:00+05:30,40.4,40.4,40.15,40.3,45
2019-08-20 10:25:00+05:30,40.3,41.0,40.3,41.0,1000
2019-08-20 10:30:00+05:30,41.0,41.0,41.0,41.0,0
2019-08-20 10:35:00+05:30,41.0,41.0,41.0,41.0,0
2019-08-20 10:40:00+05:30,40.2,40.75,40.15,40.75,431
2019-08-20 10:45:00+05:30,40.75,40.75,40.75,40.75,0
2019-08-20 10:50:00+05:30,40.75,40.85,40.75,40.85,270
2019-08-20 10:55:00+05:30,40.85,40.85,40.85,40.85,0
2019-08-20 11:00:00+05:30,40.85,40.85,40.85,40.85,100
2019-08-20 11:05:00+05:30,40.85,41.15,40.85,41.15,525
