date,open,high,low,close,volume
2021-04-08 10:20:00+05:30,50.0,50.0,50.0,50.0,0
2021-04-08 10:25:00+05:30,47.68,47.68,47.68,47.68,1
2021-04-08 10:45:00+05:30,47.68,47.68,47.68,47.68,3
2021-04-08 10:55:00+05:30,47.68,47.68,47.68,47.68,0
2021-04-08 11:00:00+05:30,47.68,47.68,47.68,47.68,0
2021-04-08 11:35:00+05:30,47.68,47.68,47.68,47.68,0
2021-04-08 11:40:00+05:30,47.68,47.68,47.68,47.68,0
2021-04-08 12:50:00+05:30,47.68,47.68,47.68,47.68,0
2021-04-08 12:55:00+05:30,47.68,47.68,47.68,47.68,0
2021-04-08 13:05:00+05:30,47.68,47.68,47.68,47.68,0
2021-04-08 13:30:00+05:30,47.68,47.68,47.68,47.68,0
2021-04-08 13:55:00+05:30,47.68,47.68,47.68,47.68,0
2021-04-08 14:20:00+05:30,47.7,47.7,47.7,47.7,0
2021-04-08 14:25:00+05:30,47.7,47.7,47.7,47.7,20
2021-04-08 14:55:00+05:30,47.7,47.7,47.7,47.7,0
2021-04-08 15:05:00+05:30,47.7,47.7,47.7,47.7,1
2021-04-08 15:20:00+05:30,47.7,47.7,47.7,47.7,10
2021-04-12 09:15:00+05:30,47.73,47.73,47.73,47.73,0
2021-04-12 10:10:00+05:30,47.73,47.73,47.73,47.73,0
2021-04-12 10:15:00+05:30,47.73,47.73,47.73,47.73,0
2021-04-12 10:45:00+05:30,47.73,47.73,47.73,47.73,0
2021-04-12 11:25:00+05:30,47.75,47.75,47.75,47.75,2
2021-04-12 11:50:00+05:30,47.75,47.75,47.75,47.75,0
2021-04-12 12:40:00+05:30,47.73,47.73,47.73,47.73,1
2021-04-12 12:45:00+05:30,47.73,47.73,47.73,47.73,58
2021-04-12 13:25:00+05:30,47.73,47.73,47.73,47.73,0
2021-04-12 14:15:00+05:30,47.73,47.73,47.73,47.73,0
2021-04-12 14:25:00+05:30,47.73,47.73,47.73,47.73,3
2021-04-12 14:50:00+05:30,47.72,47.72,47.72,47.72,10
2021-04-13 09:20:00+05:30,47.7,47.7,47.7,47.7,0
2021-04-13 09:25:00+05:30,47.7,47.7,47.7,47.7,0
2021-04-13 09:45:00+05:30,47.7,47.7,47.7,47.7,0
2021-04-13 10:15:00+05:30,47.7,47.7,47.7,47.7,0
2021-04-15 10:00:00+05:30,47.75,47.75,47.75,47.75,0
2021-04-15 10:45:00+05:30,47.7,47.7,47.7,47.7,2
2021-04-15 11:55:00+05:30,47.7,47.7,47.7,47.7,0
2021-04-15 12:30:00+05:30,47.7,47.7,47.7,47.7,0
2021-04-15 12:40:00+05:30,47.7,47.7,47.7,47.7,0
2021-04-15 13:00:00+05:30,47.7,47.7,47.7,47.7,0
2021-04-15 13:10:00+05:30,47.7,47.7,47.7,47.7,0
2021-04-15 13:50:00+05:30,47.64,47.64,47.64,47.64,1
2021-04-15 14:30:00+05:30,47.64,47.64,47.64,47.64,0
2021-04-15 15:25:00+05:30,47.66,47.66,47.66,47.66,10
2021-04-16 15:15:00+05:30,47.65,47.65,47.65,47.65,0
2021-04-19 09:30:00+05:30,47.66,47.66,47.66,47.66,0
2021-04-19 10:35:00+05:30,47.66,47.66,47.66,47.66,0
2021-04-19 10:45:00+05:30,47.82,47.82,47.82,47.82,1
2021-04-19 10:50:00+05:30,47.82,47.82,47.82,47.82,0
2021-04-19 12:00:00+05:30,47.82,47.82,47.82,47.82,0
2021-04-19 12:35:00+05:30,47.82,47.87,47.82,47.87,1
2021-04-19 12:45:00+05:30,47.87,47.87,47.87,47.87,10
2021-04-19 13:40:00+05:30,47.87,47.87,47.87,47.87,1
2021-04-19 13:55:00+05:30,47.87,47.87,47.82,47.82,1
2021-04-19 14:00:00+05:30,47.82,47.82,47.82,47.82,0
2021-04-19 14:55:00+05:30,47.8,47.8,47.8,47.8,1
2021-04-19 15:15:00+05:30,47.8,47.8,47.8,47.8,0
2021-04-19 15:20:00+05:30,47.8,47.8,47.8,47.8,0
2021-04-19 15:25:00+05:30,47.85,47.85,47.85,47.85,5
2021-04-29 09:15:00+05:30,48.12,48.12,48.07,48.07,1
2021-04-29 09:35:00+05:30,48.07,48.07,48.07,48.07,0
2021-04-29 09:40:00+05:30,48.07,48.12,48.07,48.12,8
2021-04-29 11:10:00+05:30,48.12,48.12,48.12,48.12,0
2021-04-29 11:25:00+05:30,48.09,48.09,48.09,48.09,337
2021-04-29 12:35:00+05:30,48.09,48.09,48.09,48.09,0
2021-04-29 13:20:00+05:30,48.09,48.09,48.09,48.09,0
2021-04-29 14:10:00+05:30,48.09,48.11,48.09,48.11,20
2021-04-29 14:25:00+05:30,48.11,48.11,48.11,48.11,0
2021-04-29 15:05:00+05:30,48.11,48.11,48.11,48.11,1
2021-04-29 15:25:00+05:30,48.09,48.09,48.09,48.09,20
2021-04-30 09:15:00+05:30,48.11,48.11,48.11,48.11,0
2021-04-30 09:55:00+05:30,48.11,48.11,48.11,48.11,8
2021-04-30 10:00:00+05:30,48.11,48.11,48.11,48.11,1
2021-04-30 10:05:00+05:30,48.16,48.16,48.16,48.16,96
2021-04-30 10:25:00+05:30,48.16,48.16,48.16,48.16,0
2021-04-30 10:35:00+05:30,48.16,48.16,48.16,48.16,0
2021-04-30 10:40:00+05:30,48.11,48.11,48.11,48.11,104
2021-04-30 10:50:00+05:30,48.11,48.11,48.11,48.11,0
2021-04-30 11:05:00+05:30,48.11,48.11,48.11,48.11,0
2021-04-30 11:25:00+05:30,48.13,48.13,48.13,48.13,1054
2021-04-30 11:35:00+05:30,48.13,48.13,48.13,48.13,0
2021-04-30 13:20:00+05:30,48.13,48.13,48.13,48.13,0
2021-04-30 13:25:00+05:30,48.13,48.13,48.13,48.13,0
2021-04-30 14:00:00+05:30,48.13,48.13,48.13,48.13,0
2021-04-30 14:05:00+05:30,48.13,48.13,48.13,48.13,0
2021-04-30 15:10:00+05:30,48.13,48.13,48.13,48.13,0
