date,open,high,low,close,volume
2022-02-03 09:15:00+05:30,884.8,889.0,871.25,877.0,1473
2022-02-03 09:20:00+05:30,877.0,878.5,869.95,869.95,573
2022-02-03 09:25:00+05:30,870.0,870.0,860.0,860.0,1129
2022-02-03 09:30:00+05:30,860.0,861.85,856.1,856.1,102
2022-02-03 09:35:00+05:30,860.0,860.0,841.0,850.0,802
2022-02-03 09:40:00+05:30,850.0,850.0,844.05,850.0,339
2022-02-03 09:45:00+05:30,850.0,850.0,844.05,849.85,94
2022-02-03 09:50:00+05:30,849.85,850.0,846.05,849.0,335
2022-02-03 09:55:00+05:30,850.0,850.0,849.0,850.0,566
2022-02-03 10:00:00+05:30,850.0,853.9,850.0,850.8,356
2022-02-03 10:05:00+05:30,850.8,854.95,850.8,854.95,240
2022-02-03 10:10:00+05:30,854.95,858.85,854.05,858.85,151
2022-02-03 10:15:00+05:30,858.85,858.85,854.05,858.35,199
2022-02-03 10:20:00+05:30,858.35,858.35,854.0,857.75,141
2022-02-03 10:25:00+05:30,857.85,857.85,854.05,854.05,21
2022-02-03 10:30:00+05:30,853.95,857.0,850.0,850.0,316
2022-02-03 10:35:00+05:30,850.0,854.7,850.0,854.7,20
2022-02-03 10:40:00+05:30,854.7,858.25,848.3,853.7,579
2022-02-03 10:45:00+05:30,853.7,853.7,852.05,852.05,60
2022-02-03 10:50:00+05:30,852.05,852.05,850.0,852.0,65
2022-02-03 10:55:00+05:30,852.0,852.0,852.0,852.0,21
2022-02-03 11:00:00+05:30,852.0,852.05,849.35,849.35,124
2022-02-03 11:05:00+05:30,849.35,852.55,849.35,850.0,204
2022-02-03 11:10:00+05:30,850.0,850.0,850.0,850.0,191
2022-02-03 11:15:00+05:30,850.0,850.0,850.0,850.0,24
2022-02-03 11:20:00+05:30,850.0,850.0,849.95,849.95,26
2022-02-03 11:25:00+05:30,849.95,849.95,845.05,845.05,141
2022-02-03 11:30:00+05:30,847.95,855.9,847.95,855.9,1029
2022-02-03 11:35:00+05:30,855.9,855.9,849.15,849.15,410
2022-02-03 11:40:00+05:30,849.15,849.95,848.55,849.9,82
2022-02-03 11:45:00+05:30,849.9,849.9,848.3,848.3,3
2022-02-03 11:50:00+05:30,848.3,850.0,848.25,850.0,167
2022-02-03 11:55:00+05:30,850.0,850.0,849.5,850.0,14
2022-02-03 12:00:00+05:30,850.0,850.0,850.0,850.0,15
2022-02-03 12:05:00+05:30,850.0,852.0,850.0,850.0,176
2022-02-03 12:10:00+05:30,850.0,850.0,850.0,850.0,50
2022-02-03 12:15:00+05:30,850.0,850.0,847.95,847.95,71
2022-02-03 12:20:00+05:30,849.95,850.0,845.0,850.0,601
2022-02-03 12:25:00+05:30,850.0,850.0,850.0,850.0,10
2022-02-03 12:30:00+05:30,850.0,850.0,850.0,850.0,0
2022-02-03 12:35:00+05:30,850.0,850.0,850.0,850.0,0
2022-02-03 12:40:00+05:30,850.0,850.0,850.0,850.0,0
2022-02-03 12:45:00+05:30,850.0,850.0,849.95,849.95,10
2022-02-03 12:50:00+05:30,850.0,850.0,846.0,849.8,79
2022-02-03 12:55:00+05:30,849.8,849.8,846.05,846.05,3
2022-02-03 13:00:00+05:30,846.05,849.85,846.05,849.85,20
2022-02-03 13:05:00+05:30,849.85,849.85,846.1,846.1,6
2022-02-03 13:10:00+05:30,846.1,850.0,846.1,848.95,58
2022-02-03 13:15:00+05:30,848.95,848.95,848.95,848.95,0
2022-02-03 13:20:00+05:30,848.95,850.0,848.95,850.0,20
2022-02-03 13:25:00+05:30,850.0,850.0,850.0,850.0,0
2022-02-03 13:30:00+05:30,850.0,850.0,850.0,850.0,0
2022-02-03 13:35:00+05:30,849.95,852.4,849.95,852.35,159
2022-02-03 13:40:00+05:30,850.1,852.4,850.1,852.4,41
2022-02-03 13:45:00+05:30,852.4,852.4,851.9,851.9,4
2022-02-03 13:50:00+05:30,851.9,851.9,851.9,851.9,0
2022-02-03 13:55:00+05:30,848.1,848.1,848.05,848.05,20
2022-02-03 14:00:00+05:30,849.95,849.95,847.0,847.0,105
2022-02-03 14:05:00+05:30,847.0,849.85,847.0,849.85,1
2022-02-03 14:10:00+05:30,849.85,850.0,846.1,850.0,112
2022-02-03 14:15:00+05:30,850.0,851.9,846.15,851.9,598
2022-02-03 14:20:00+05:30,851.9,851.9,851.0,851.0,2
2022-02-03 14:25:00+05:30,851.0,851.0,851.0,851.0,20
2022-02-03 14:30:00+05:30,851.0,853.0,851.0,853.0,37
2022-02-03 14:35:00+05:30,853.0,853.0,853.0,853.0,0
2022-02-03 14:40:00+05:30,853.0,853.9,851.1,852.95,55
2022-02-03 14:45:00+05:30,852.95,854.85,851.25,851.25,303
2022-02-03 14:50:00+05:30,851.25,865.0,851.25,865.0,163
2022-02-03 14:55:00+05:30,865.0,865.0,863.0,863.0,10
2022-02-03 15:00:00+05:30,863.0,863.0,855.05,862.95,10
2022-02-03 15:05:00+05:30,862.95,862.95,847.15,853.95,117
2022-02-03 15:10:00+05:30,853.95,853.95,847.35,847.35,44
2022-02-03 15:15:00+05:30,847.4,852.95,844.05,852.95,404
2022-02-03 15:20:00+05:30,852.95,852.95,842.15,842.15,174
2022-02-03 15:25:00+05:30,846.45,854.35,842.0,842.0,1607
2022-02-04 09:15:00+05:30,850.0,860.85,844.0,859.3,240
2022-02-04 09:20:00+05:30,859.5,870.0,850.1,860.05,1321
2022-02-04 09:25:00+05:30,860.05,871.0,860.05,871.0,505
2022-02-04 09:30:00+05:30,871.0,871.0,864.05,865.05,45
2022-02-04 09:35:00+05:30,865.05,871.0,865.0,870.0,422
2022-02-04 09:40:00+05:30,870.5,870.5,865.1,865.1,471
2022-02-04 09:45:00+05:30,865.1,870.5,865.0,865.0,2662
2022-02-04 09:50:00+05:30,865.0,865.0,863.95,864.0,302
2022-02-04 09:55:00+05:30,864.0,864.0,860.0,860.0,580
2022-02-04 10:00:00+05:30,860.0,865.0,855.1,855.1,2505
2022-02-04 10:05:00+05:30,855.1,863.95,855.1,863.95,714
2022-02-04 10:10:00+05:30,861.8,862.8,860.0,860.0,77
2022-02-04 10:15:00+05:30,860.0,860.0,858.95,860.0,31
2022-02-04 10:20:00+05:30,860.0,862.7,856.15,856.15,247
2022-02-04 10:25:00+05:30,856.15,857.0,855.45,855.5,98
2022-02-04 10:30:00+05:30,855.0,860.0,855.0,860.0,242
2022-02-04 10:35:00+05:30,860.0,860.0,859.95,859.95,67
2022-02-04 10:40:00+05:30,859.95,860.0,859.95,859.95,118
2022-02-04 10:45:00+05:30,865.0,865.0,857.0,857.0,2043
2022-02-04 10:50:00+05:30,859.95,860.0,859.95,860.0,40
2022-02-04 10:55:00+05:30,860.0,860.0,860.0,860.0,5
2022-02-04 11:00:00+05:30,860.0,860.0,860.0,860.0,2
2022-02-04 11:05:00+05:30,860.0,860.0,860.0,860.0,3
2022-02-04 11:10:00+05:30,860.0,860.0,855.6,855.6,5
2022-02-04 11:15:00+05:30,855.6,860.0,855.6,860.0,8
2022-02-04 11:20:00+05:30,860.0,860.0,859.6,859.6,32
2022-02-04 11:25:00+05:30,859.6,864.0,859.6,863.95,35
2022-02-04 11:30:00+05:30,863.95,863.95,863.45,863.5,2
2022-02-04 11:35:00+05:30,863.5,863.5,856.55,856.55,2
2022-02-04 11:40:00+05:30,856.55,863.35,856.55,863.35,118
2022-02-04 11:45:00+05:30,863.35,863.4,863.35,863.4,100
2022-02-04 11:55:00+05:30,863.4,863.95,863.4,863.95,102
2022-02-04 12:00:00+05:30,863.95,863.95,858.1,863.95,9
2022-02-04 12:05:00+05:30,863.95,863.95,855.5,862.85,658
2022-02-04 12:10:00+05:30,862.85,862.85,862.85,862.85,0
2022-02-04 12:15:00+05:30,862.85,862.85,862.85,862.85,0
2022-02-04 12:20:00+05:30,862.85,862.85,860.0,860.0,22
2022-02-04 12:25:00+05:30,860.0,860.0,859.95,859.95,4
2022-02-04 12:30:00+05:30,860.5,860.5,860.5,860.5,195
2022-02-04 12:35:00+05:30,862.95,869.5,862.95,869.5,1505
2022-02-04 12:40:00+05:30,856.5,856.5,856.5,856.5,20
2022-02-04 12:45:00+05:30,856.5,856.5,856.5,856.5,0
2022-02-04 12:50:00+05:30,856.5,856.5,856.5,856.5,0
2022-02-04 12:55:00+05:30,856.5,863.95,856.5,858.95,901
2022-02-04 13:00:00+05:30,858.95,859.0,852.0,852.0,707
2022-02-04 13:05:00+05:30,851.0,856.85,851.0,851.0,152
2022-02-04 13:10:00+05:30,851.0,851.0,845.0,845.0,608
2022-02-04 13:15:00+05:30,844.1,855.0,840.05,855.0,1035
2022-02-04 13:20:00+05:30,855.0,855.0,844.45,844.45,14
2022-02-04 13:25:00+05:30,850.9,850.9,841.15,841.15,763
2022-02-04 13:30:00+05:30,841.15,845.0,841.15,844.95,415
2022-02-04 13:35:00+05:30,844.95,844.95,844.05,844.05,33
2022-02-04 13:40:00+05:30,844.05,846.95,844.05,846.95,13
2022-02-04 13:45:00+05:30,847.0,849.85,847.0,849.85,182
2022-02-04 13:50:00+05:30,849.85,854.75,844.3,850.0,219
2022-02-04 13:55:00+05:30,850.0,850.0,850.0,850.0,13
2022-02-04 14:00:00+05:30,850.0,850.0,850.0,850.0,0
2022-02-04 14:05:00+05:30,850.0,850.0,844.0,844.55,368
2022-02-04 14:10:00+05:30,844.55,850.0,844.55,850.0,181
2022-02-04 14:15:00+05:30,850.0,850.0,842.0,842.0,267
2022-02-04 14:20:00+05:30,842.0,848.75,842.0,848.75,58
2022-02-04 14:25:00+05:30,848.75,850.0,848.75,850.0,1009
2022-02-04 14:30:00+05:30,850.0,850.0,845.0,845.0,45
2022-02-04 14:35:00+05:30,845.0,849.4,845.0,849.3,86
2022-02-04 14:40:00+05:30,849.3,849.3,848.35,848.35,35
2022-02-04 14:45:00+05:30,848.35,848.55,848.35,848.55,20
2022-02-04 14:50:00+05:30,848.55,848.55,843.25,843.35,35
2022-02-04 14:55:00+05:30,843.35,844.35,843.35,844.35,22
2022-02-04 15:00:00+05:30,844.35,847.0,844.35,845.0,89
2022-02-04 15:05:00+05:30,849.05,864.95,849.0,861.65,7186
2022-02-04 15:10:00+05:30,860.95,860.95,858.0,860.0,606
2022-02-04 15:15:00+05:30,860.95,864.9,860.0,862.05,670
2022-02-04 15:20:00+05:30,862.05,865.0,860.1,864.95,3796
2022-02-04 15:25:00+05:30,864.95,872.0,862.0,872.0,1994
2022-02-07 09:15:00+05:30,878.8,878.8,867.0,869.0,1481
2022-02-07 09:20:00+05:30,869.0,871.85,865.0,867.7,1047
2022-02-07 09:25:00+05:30,867.7,867.7,859.95,860.0,1276
2022-02-07 09:30:00+05:30,860.0,865.0,858.75,865.0,380
2022-02-07 09:35:00+05:30,865.0,870.0,862.0,863.55,883
2022-02-07 09:40:00+05:30,863.55,870.0,863.55,866.05,314
2022-02-07 09:45:00+05:30,866.05,869.0,864.95,869.0,240
2022-02-07 09:50:00+05:30,869.0,872.0,868.95,872.0,672
2022-02-07 09:55:00+05:30,868.85,868.85,868.3,868.3,45
2022-02-07 10:00:00+05:30,867.95,869.75,867.35,869.75,29
2022-02-07 10:05:00+05:30,869.75,870.05,866.8,870.05,497
2022-02-07 10:10:00+05:30,867.4,867.4,866.5,866.5,24
2022-02-07 10:15:00+05:30,866.5,866.5,865.0,865.0,82
2022-02-07 10:20:00+05:30,865.0,865.0,860.75,860.75,267
2022-02-07 10:25:00+05:30,860.75,860.75,841.55,854.4,529
2022-02-07 10:30:00+05:30,854.4,857.0,848.45,854.15,207
2022-02-07 10:35:00+05:30,854.15,854.95,851.95,851.95,258
2022-02-07 10:40:00+05:30,851.95,851.95,848.45,848.45,17
2022-02-07 10:45:00+05:30,848.45,852.0,848.45,851.0,164
2022-02-07 10:50:00+05:30,851.0,852.0,851.0,851.0,104
2022-02-07 10:55:00+05:30,851.0,851.95,849.55,850.0,57
2022-02-07 11:00:00+05:30,850.0,851.9,850.0,851.9,85
2022-02-07 11:05:00+05:30,851.85,851.85,848.3,848.3,432
2022-02-07 11:10:00+05:30,848.3,850.1,848.3,850.1,21
2022-02-07 11:15:00+05:30,848.0,848.0,844.0,844.0,254
2022-02-07 11:20:00+05:30,844.0,846.3,844.0,846.2,15
2022-02-07 11:25:00+05:30,844.6,845.7,844.0,845.65,155
2022-02-07 11:30:00+05:30,845.65,845.95,845.65,845.95,10
2022-02-07 11:35:00+05:30,845.95,847.95,845.95,847.95,2
2022-02-07 11:40:00+05:30,847.95,848.0,846.0,846.0,25
2022-02-07 11:45:00+05:30,846.0,846.1,846.0,846.0,80
2022-02-07 11:50:00+05:30,847.95,847.95,847.95,847.95,15
2022-02-07 11:55:00+05:30,848.0,849.4,848.0,849.4,133
2022-02-07 12:00:00+05:30,850.8,853.4,849.15,853.4,258
2022-02-07 12:05:00+05:30,853.4,853.4,849.15,849.15,82
2022-02-07 12:10:00+05:30,853.25,853.3,853.25,853.3,68
2022-02-07 12:15:00+05:30,853.3,853.3,852.25,852.25,30
2022-02-07 12:20:00+05:30,852.0,853.4,852.0,853.4,67
2022-02-07 12:25:00+05:30,853.4,853.45,851.4,852.0,278
2022-02-07 12:30:00+05:30,852.0,858.05,852.0,858.05,182
