date,open,high,low,close,volume
2020-09-21 09:15:00+05:30,354.0,354.0,346.35,346.55,533495
2020-09-21 09:20:00+05:30,346.4,346.65,341.0,343.85,538742
2020-09-21 09:25:00+05:30,344.0,344.35,335.55,337.25,462906
2020-09-21 09:30:00+05:30,337.3,339.4,330.45,330.45,492169
2020-09-21 09:35:00+05:30,331.1,335.75,330.9,335.75,377822
2020-09-21 09:40:00+05:30,335.55,337.9,335.35,337.55,249370
2020-09-21 09:45:00+05:30,337.8,341.9,336.65,341.6,350847
2020-09-21 09:50:00+05:30,341.6,342.7,340.0,340.6,198915
2020-09-21 09:55:00+05:30,340.9,340.9,338.45,338.5,208894
2020-09-21 10:00:00+05:30,338.6,338.8,336.2,336.6,172011
2020-09-21 10:05:00+05:30,336.6,337.8,335.55,335.6,170427
2020-09-21 10:10:00+05:30,335.7,337.9,335.6,337.55,77581
2020-09-21 10:15:00+05:30,337.55,342.0,337.1,340.0,148404
2020-09-21 10:20:00+05:30,340.3,346.8,340.0,344.3,286598
2020-09-21 10:25:00+05:30,344.25,353.7,344.05,351.95,532051
2020-09-21 10:30:00+05:30,351.7,356.95,350.05,356.85,561531
2020-09-21 10:35:00+05:30,356.8,364.0,356.8,361.85,663036
2020-09-21 10:40:00+05:30,361.8,363.6,360.0,362.1,445297
2020-09-21 10:45:00+05:30,362.2,368.5,358.4,366.95,621154
2020-09-21 10:50:00+05:30,366.9,373.75,366.65,372.5,886412
2020-09-21 10:55:00+05:30,372.3,374.45,366.5,367.8,454677
2020-09-21 11:00:00+05:30,367.95,368.0,362.6,366.0,307679
2020-09-21 11:05:00+05:30,366.3,366.75,363.2,363.2,108313
2020-09-21 11:10:00+05:30,363.2,364.8,362.65,363.6,99080
2020-09-21 11:15:00+05:30,363.55,364.55,361.55,362.55,106191
2020-09-21 11:20:00+05:30,362.65,366.0,361.3,366.0,140423
2020-09-21 11:25:00+05:30,365.8,367.4,365.55,366.3,90058
2020-09-21 11:30:00+05:30,366.25,367.8,365.3,365.65,100970
2020-09-21 11:35:00+05:30,365.65,367.0,365.0,366.7,94112
2020-09-21 11:40:00+05:30,366.75,367.1,365.35,365.6,38321
2020-09-21 11:45:00+05:30,365.7,365.95,365.0,365.1,94231
2020-09-21 11:50:00+05:30,365.15,365.65,361.7,362.65,76158
2020-09-21 11:55:00+05:30,362.65,363.85,361.65,363.8,57275
2020-09-21 12:00:00+05:30,363.85,364.3,362.7,363.25,23378
2020-09-21 12:05:00+05:30,363.25,363.85,361.15,361.4,38164
2020-09-21 12:10:00+05:30,361.5,361.75,359.95,360.5,131795
