date,open,high,low,close,volume
2022-09-07 09:25:00+05:30,55.1,55.1,55.1,55.1,0
2022-09-07 09:30:00+05:30,52.65,52.65,52.65,52.65,7
2022-09-07 09:35:00+05:30,52.65,52.9,52.65,52.9,153
2022-09-07 09:40:00+05:30,52.9,52.9,52.81,52.81,19
2022-09-07 09:45:00+05:30,52.81,52.81,52.5,52.5,571
2022-09-07 09:50:00+05:30,52.5,52.5,52.5,52.5,0
2022-09-07 09:55:00+05:30,52.5,52.8,52.5,52.8,501
2022-09-07 10:00:00+05:30,52.8,52.8,51.6,52.8,7759
2022-09-07 10:05:00+05:30,52.8,52.8,52.8,52.8,0
2022-09-07 10:10:00+05:30,52.8,52.8,52.8,52.8,0
2022-09-07 10:15:00+05:30,52.8,52.8,52.8,52.8,0
2022-09-07 10:20:00+05:30,52.8,52.8,52.0,52.0,3808
2022-09-07 10:25:00+05:30,52.0,52.0,52.0,52.0,0
2022-09-07 10:30:00+05:30,52.0,52.1,52.0,52.0,952
2022-09-07 10:35:00+05:30,52.0,52.0,52.0,52.0,0
2022-09-07 10:40:00+05:30,52.0,52.58,52.0,52.58,100
2022-09-07 10:45:00+05:30,52.58,52.58,52.58,52.58,1
2022-09-07 10:50:00+05:30,52.58,52.58,52.58,52.58,0
2022-09-07 10:55:00+05:30,52.58,52.58,52.56,52.56,10
2022-09-07 11:00:00+05:30,52.56,52.56,52.56,52.56,20
2022-09-07 11:05:00+05:30,52.56,52.56,52.56,52.56,352
2022-09-07 11:10:00+05:30,52.56,52.56,52.56,52.56,363
2022-09-07 11:15:00+05:30,52.56,52.56,52.56,52.56,21
2022-09-07 11:20:00+05:30,52.56,52.56,52.56,52.56,2
2022-09-07 11:25:00+05:30,52.56,52.56,52.17,52.17,3918
2022-09-07 11:30:00+05:30,52.17,52.17,52.17,52.17,0
2022-09-07 11:35:00+05:30,52.17,52.17,52.17,52.17,0
2022-09-07 11:40:00+05:30,52.17,52.5,52.17,52.5,82
2022-09-07 11:45:00+05:30,52.5,52.56,52.5,52.56,85
2022-09-07 11:50:00+05:30,52.56,52.56,52.56,52.56,95
2022-09-07 11:55:00+05:30,52.56,52.56,52.56,52.56,200
2022-09-07 12:00:00+05:30,52.56,52.56,52.56,52.56,0
2022-09-07 12:05:00+05:30,52.56,52.56,52.54,52.54,100
2022-09-07 12:10:00+05:30,52.54,52.54,52.54,52.54,0
2022-09-07 12:15:00+05:30,52.54,52.54,52.54,52.54,0
2022-09-07 12:20:00+05:30,52.54,52.54,52.54,52.54,0
2022-09-07 12:25:00+05:30,52.54,52.54,52.54,52.54,0
2022-09-07 12:30:00+05:30,52.54,52.54,52.54,52.54,0
2022-09-07 12:35:00+05:30,52.54,52.54,52.4,52.41,5771
2022-09-07 12:40:00+05:30,52.41,52.41,52.4,52.4,738
2022-09-07 12:45:00+05:30,52.4,52.4,52.38,52.38,1904
2022-09-07 12:50:00+05:30,52.54,52.54,52.54,52.54,3851
2022-09-07 12:55:00+05:30,52.54,52.54,52.54,52.54,0
2022-09-07 13:00:00+05:30,52.54,52.54,52.54,52.54,400
2022-09-07 13:05:00+05:30,52.54,52.54,52.54,52.54,0
2022-09-07 13:10:00+05:30,52.54,52.54,52.54,52.54,100
2022-09-07 13:15:00+05:30,52.54,52.54,52.54,52.54,100
2022-09-07 13:20:00+05:30,52.54,52.54,52.54,52.54,0
2022-09-07 13:25:00+05:30,52.54,52.54,52.54,52.54,0
2022-09-07 13:30:00+05:30,52.54,52.55,52.54,52.55,20000
2022-09-07 13:35:00+05:30,52.55,52.55,52.55,52.55,29130
2022-09-07 13:40:00+05:30,52.55,52.55,52.5,52.5,44
2022-09-07 13:45:00+05:30,52.5,52.6,52.5,52.58,1750
2022-09-07 13:50:00+05:30,52.58,52.6,52.58,52.6,457
2022-09-07 13:55:00+05:30,52.6,52.6,52.58,52.58,97
2022-09-07 14:00:00+05:30,52.58,52.6,52.58,52.6,5
2022-09-07 14:05:00+05:30,52.6,52.65,52.6,52.65,993
2022-09-07 14:10:00+05:30,52.65,52.65,52.65,52.65,1
