date,open,high,low,close,volume
2021-10-28 09:15:00+05:30,8.9,8.9,8.9,8.9,4887
2021-10-28 09:20:00+05:30,8.9,8.9,8.89,8.89,1338
2021-10-28 09:25:00+05:30,8.89,8.89,8.71,8.71,1505
2021-10-28 09:30:00+05:30,8.89,8.89,8.71,8.86,3438
2021-10-28 09:35:00+05:30,8.86,8.86,8.75,8.75,76
2021-10-28 09:40:00+05:30,8.75,8.75,8.75,8.75,19
2021-10-28 09:45:00+05:30,8.81,8.84,8.61,8.8,2547
2021-10-28 09:50:00+05:30,8.8,8.8,8.7,8.7,85
2021-10-28 09:55:00+05:30,8.7,8.79,8.7,8.79,1
2021-10-28 10:00:00+05:30,8.79,8.8,8.79,8.8,2058
2021-10-28 10:05:00+05:30,8.79,8.79,8.71,8.79,80
2021-10-28 10:10:00+05:30,8.79,8.79,8.79,8.79,144
2021-10-28 10:15:00+05:30,8.79,8.79,8.78,8.78,2497
2021-10-28 10:20:00+05:30,8.78,8.78,8.76,8.76,1950
2021-10-28 10:25:00+05:30,8.78,8.78,8.78,8.78,533
2021-10-28 10:30:00+05:30,8.75,8.78,8.75,8.78,572
2021-10-28 10:35:00+05:30,8.78,8.78,8.75,8.75,780
2021-10-28 10:40:00+05:30,8.75,8.79,8.75,8.79,51
2021-10-28 10:45:00+05:30,8.79,8.79,8.79,8.79,189
2021-10-28 10:50:00+05:30,8.79,8.79,8.75,8.75,68
2021-10-28 10:55:00+05:30,8.79,8.79,8.79,8.79,69
2021-10-28 11:00:00+05:30,8.75,8.75,8.75,8.75,57
2021-10-28 11:05:00+05:30,8.79,8.79,8.79,8.79,412
2021-10-28 11:10:00+05:30,8.79,8.79,8.79,8.79,133
2021-10-28 11:15:00+05:30,8.79,8.79,8.7,8.7,1631
2021-10-28 11:20:00+05:30,8.7,8.78,8.7,8.78,571
2021-10-28 11:25:00+05:30,8.78,8.78,8.71,8.71,58
2021-10-28 11:30:00+05:30,8.71,8.79,8.71,8.79,111
2021-10-28 11:35:00+05:30,8.79,8.79,8.72,8.79,157
2021-10-28 11:40:00+05:30,8.79,8.79,8.79,8.79,25
2021-10-28 11:45:00+05:30,8.79,8.79,8.71,8.71,86
2021-10-28 11:50:00+05:30,8.71,8.71,8.71,8.71,0
2021-10-28 11:55:00+05:30,8.71,8.71,8.71,8.71,0
2021-10-28 12:00:00+05:30,8.71,8.79,8.71,8.79,18
2021-10-28 12:05:00+05:30,8.78,8.78,8.78,8.78,41
2021-10-28 12:10:00+05:30,8.78,8.78,8.78,8.78,126
2021-10-28 12:15:00+05:30,8.78,8.78,8.78,8.78,0
2021-10-28 12:20:00+05:30,8.78,8.78,8.78,8.78,0
2021-10-28 12:25:00+05:30,8.78,8.78,8.78,8.78,146
2021-10-28 12:35:00+05:30,8.78,8.78,8.78,8.78,144
2021-10-28 12:40:00+05:30,8.78,8.78,8.78,8.78,0
2021-10-28 12:45:00+05:30,8.78,8.78,8.72,8.78,14
2021-10-28 12:50:00+05:30,8.78,8.78,8.7,8.7,571
2021-10-28 12:55:00+05:30,8.78,8.78,8.7,8.7,62
2021-10-28 13:00:00+05:30,8.78,8.78,8.53,8.58,34398
2021-10-28 13:05:00+05:30,8.58,8.7,8.58,8.7,100
2021-10-28 13:10:00+05:30,8.7,8.7,8.6,8.69,60
2021-10-28 13:15:00+05:30,8.69,8.69,8.69,8.69,650
2021-10-28 13:20:00+05:30,8.69,8.69,8.55,8.68,1172
2021-10-28 13:25:00+05:30,8.68,8.68,8.66,8.66,1003
2021-10-28 13:30:00+05:30,8.66,8.66,8.66,8.66,0
2021-10-28 13:35:00+05:30,8.66,8.66,8.63,8.63,10
2021-10-28 13:40:00+05:30,8.63,8.63,8.54,8.54,137
2021-10-28 13:45:00+05:30,8.54,8.62,8.54,8.62,10
2021-10-28 13:50:00+05:30,8.62,8.67,8.62,8.67,111
2021-10-28 13:55:00+05:30,8.67,8.67,8.54,8.54,114
2021-10-28 14:00:00+05:30,8.54,8.65,8.54,8.65,188
2021-10-28 14:05:00+05:30,8.65,8.65,8.55,8.55,143
2021-10-28 14:10:00+05:30,8.55,8.62,8.55,8.62,21
2021-10-28 14:15:00+05:30,8.54,8.62,8.53,8.53,271
2021-10-28 14:20:00+05:30,8.61,8.61,8.6,8.6,243
2021-10-28 14:25:00+05:30,8.6,8.63,8.6,8.63,183
2021-10-28 14:30:00+05:30,8.63,8.63,8.53,8.6,135
2021-10-28 14:35:00+05:30,8.6,8.6,8.6,8.6,80
2021-10-28 14:40:00+05:30,8.6,8.61,8.6,8.61,546
2021-10-28 14:45:00+05:30,8.61,8.61,8.6,8.6,31
2021-10-28 14:50:00+05:30,8.6,8.6,8.59,8.59,156
2021-10-28 14:55:00+05:30,8.59,8.59,8.59,8.59,43
2021-10-28 15:00:00+05:30,8.59,8.59,8.59,8.59,113
2021-10-28 15:05:00+05:30,8.59,8.69,8.58,8.69,172
2021-10-28 15:10:00+05:30,8.69,8.69,8.69,8.69,0
2021-10-28 15:15:00+05:30,8.69,8.69,8.68,8.68,237
2021-10-28 15:20:00+05:30,8.65,8.68,8.53,8.65,520
2021-10-28 15:25:00+05:30,8.65,8.68,8.6,8.6,631
2021-10-29 09:15:00+05:30,8.61,8.68,8.5,8.6,5413
2021-10-29 09:20:00+05:30,8.6,8.64,8.5,8.64,3010
2021-10-29 09:25:00+05:30,8.64,8.64,8.5,8.62,83
2021-10-29 09:30:00+05:30,8.62,8.62,8.51,8.61,236
2021-10-29 09:35:00+05:30,8.61,8.63,8.61,8.63,39
2021-10-29 09:40:00+05:30,8.63,8.75,8.63,8.75,4691
2021-10-29 09:45:00+05:30,8.75,8.75,8.75,8.75,619
2021-10-29 09:50:00+05:30,8.57,8.75,8.57,8.73,857
2021-10-29 09:55:00+05:30,8.73,8.75,8.73,8.75,166
2021-10-29 10:00:00+05:30,8.75,8.75,8.74,8.74,8
2021-10-29 10:05:00+05:30,8.74,8.74,8.73,8.73,8
2021-10-29 10:10:00+05:30,8.73,8.73,8.58,8.73,343
2021-10-29 10:15:00+05:30,8.73,8.73,8.59,8.7,153
2021-10-29 10:20:00+05:30,8.71,8.71,8.59,8.59,307
2021-10-29 10:25:00+05:30,8.59,8.74,8.59,8.73,693
2021-10-29 10:30:00+05:30,8.73,8.73,8.69,8.69,10
2021-10-29 10:35:00+05:30,8.71,8.71,8.71,8.71,29
2021-10-29 10:40:00+05:30,8.71,8.73,8.71,8.73,1039
2021-10-29 10:45:00+05:30,8.73,8.73,8.73,8.73,2
2021-10-29 10:50:00+05:30,8.73,8.73,8.62,8.62,60
2021-10-29 10:55:00+05:30,8.73,8.73,8.61,8.61,643
2021-10-29 11:00:00+05:30,8.73,8.73,8.6,8.6,1729
2021-10-29 11:05:00+05:30,8.73,8.73,8.73,8.73,43
2021-10-29 11:10:00+05:30,8.73,8.73,8.7,8.7,65
2021-10-29 11:15:00+05:30,8.7,8.7,8.7,8.7,44
2021-10-29 11:20:00+05:30,8.7,8.73,8.62,8.73,225
2021-10-29 11:25:00+05:30,8.73,8.73,8.63,8.63,64
2021-10-29 11:30:00+05:30,8.63,8.63,8.63,8.63,10
2021-10-29 11:35:00+05:30,8.63,8.63,8.63,8.63,0
2021-10-29 11:40:00+05:30,8.63,8.63,8.63,8.63,0
2021-10-29 11:45:00+05:30,8.63,8.72,8.63,8.72,27
2021-10-29 11:50:00+05:30,8.72,8.72,8.7,8.72,26
2021-10-29 11:55:00+05:30,8.72,8.72,8.64,8.64,121
2021-10-29 12:00:00+05:30,8.64,8.72,8.64,8.64,157
2021-10-29 12:05:00+05:30,8.64,8.64,8.64,8.64,0
2021-10-29 12:10:00+05:30,8.64,8.72,8.64,8.72,3
2021-10-29 12:15:00+05:30,8.72,8.72,8.72,8.72,0
2021-10-29 12:20:00+05:30,8.72,8.72,8.72,8.72,16
2021-10-29 12:25:00+05:30,8.71,8.73,8.71,8.73,108
