date,open,high,low,close,volume
2021-02-03 09:15:00+05:30,518.0,518.0,518.0,518.0,0
2021-02-03 09:40:00+05:30,618.8,618.8,618.8,618.8,0
2021-02-03 09:45:00+05:30,618.8,618.8,618.8,618.8,0
2021-02-03 09:50:00+05:30,618.8,618.8,618.8,618.8,0
2021-02-03 09:55:00+05:30,618.8,618.8,618.8,618.8,0
2021-02-03 10:00:00+05:30,618.4,639.0,600.0,635.55,4694305
2021-02-03 10:05:00+05:30,636.0,636.0,602.45,603.5,1453402
2021-02-03 10:10:00+05:30,604.15,608.5,580.6,604.0,2136657
2021-02-03 10:15:00+05:30,604.35,606.95,598.0,600.5,608547
2021-02-03 10:20:00+05:30,600.4,605.0,596.65,600.0,380396
2021-02-03 10:25:00+05:30,600.0,600.05,588.05,591.8,392708
2021-02-03 10:30:00+05:30,591.8,592.9,583.75,586.35,338003
2021-02-03 10:35:00+05:30,586.2,588.65,575.85,578.25,695311
2021-02-03 10:40:00+05:30,578.45,578.9,568.15,577.15,814747
2021-02-03 10:45:00+05:30,577.0,578.0,567.55,573.45,360931
2021-02-03 10:50:00+05:30,573.5,574.95,571.25,573.4,133825
2021-02-03 10:55:00+05:30,572.95,573.5,568.25,571.5,121898
2021-02-03 11:00:00+05:30,571.0,571.5,565.0,568.05,307967
2021-02-03 11:05:00+05:30,568.0,572.0,566.75,570.0,211327
2021-02-03 11:10:00+05:30,570.05,570.4,565.0,570.25,175906
2021-02-03 11:15:00+05:30,570.25,578.0,569.5,577.5,236938
2021-02-03 11:20:00+05:30,578.0,593.0,575.55,589.25,582540
2021-02-03 11:25:00+05:30,588.1,590.95,580.05,587.5,200163
2021-02-03 11:30:00+05:30,587.0,588.6,580.55,584.0,103423
2021-02-03 11:35:00+05:30,583.95,587.8,582.3,586.65,60981
2021-02-03 11:40:00+05:30,586.5,590.85,585.5,588.85,166090
2021-02-03 11:45:00+05:30,588.9,593.9,587.55,592.05,187894
2021-02-03 11:50:00+05:30,592.7,600.0,592.15,595.25,468773
2021-02-03 11:55:00+05:30,595.9,598.0,592.0,596.25,139004
2021-02-03 12:00:00+05:30,596.7,601.3,595.1,595.9,227339
2021-02-03 12:05:00+05:30,595.2,595.9,583.9,586.0,157804
2021-02-03 12:10:00+05:30,585.85,589.05,585.15,588.25,57376
2021-02-03 12:15:00+05:30,588.35,589.7,585.0,589.55,55810
2021-02-03 12:20:00+05:30,589.45,592.8,589.0,589.8,51033
2021-02-03 12:25:00+05:30,589.85,591.2,586.05,588.3,94450
2021-02-03 12:30:00+05:30,588.75,589.75,587.75,588.65,30199
2021-02-03 12:35:00+05:30,588.95,588.95,581.1,582.5,80044
2021-02-03 12:40:00+05:30,582.5,587.4,582.15,586.45,55941
2021-02-03 12:45:00+05:30,586.35,586.8,584.1,584.55,47350
2021-02-03 12:50:00+05:30,584.55,586.0,584.0,584.1,33731
2021-02-03 12:55:00+05:30,584.0,584.45,581.2,581.7,63104
2021-02-03 13:00:00+05:30,581.95,583.9,576.4,582.0,170380
2021-02-03 13:05:00+05:30,580.9,583.6,580.25,583.35,52119
2021-02-03 13:10:00+05:30,583.0,583.65,576.55,578.6,154228
2021-02-03 13:15:00+05:30,578.6,580.0,578.05,578.7,39861
2021-02-03 13:20:00+05:30,578.3,579.8,576.5,577.1,61088
2021-02-03 13:25:00+05:30,577.0,578.25,572.8,574.9,225039
