date,open,high,low,close,volume
2019-07-15 09:25:00+05:30,30.5,30.55,30.5,30.55,320
2019-07-15 09:30:00+05:30,30.55,30.55,30.45,30.45,320
2019-07-15 09:35:00+05:30,30.45,30.45,30.4,30.4,320
2019-07-15 09:40:00+05:30,30.4,30.4,30.4,30.4,3600
2019-07-15 09:45:00+05:30,30.4,30.4,30.4,30.4,0
2019-07-15 09:50:00+05:30,30.4,30.4,30.4,30.4,0
2019-07-15 09:55:00+05:30,30.55,30.55,30.5,30.5,300
2019-07-15 10:00:00+05:30,30.5,30.5,30.35,30.35,2580
2019-07-15 10:05:00+05:30,30.35,30.35,30.3,30.3,5400
2019-07-15 10:10:00+05:30,30.3,30.35,30.3,30.35,140
2019-07-15 10:15:00+05:30,30.3,30.3,30.3,30.3,10
2019-07-15 10:20:00+05:30,30.3,30.4,30.3,30.4,49600
2019-07-15 10:25:00+05:30,30.4,30.4,30.35,30.35,1980
2019-07-15 10:30:00+05:30,30.35,30.45,30.35,30.45,11140
2019-07-15 10:35:00+05:30,30.45,30.45,30.45,30.45,0
2019-07-15 10:40:00+05:30,30.45,30.45,30.45,30.45,90
2019-07-15 10:45:00+05:30,30.45,30.45,30.3,30.3,4910
2019-07-15 10:50:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 10:55:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 11:00:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 11:05:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 11:10:00+05:30,30.3,30.3,30.3,30.3,1870
2019-07-15 11:15:00+05:30,30.3,30.3,30.3,30.3,7020
2019-07-15 11:20:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 11:25:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 11:30:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 11:35:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 11:40:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 11:45:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 11:50:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 11:55:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 12:00:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 12:05:00+05:30,30.3,30.3,30.3,30.3,2450
2019-07-15 12:10:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 12:15:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 12:20:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 12:25:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 12:30:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 12:35:00+05:30,30.3,30.35,30.3,30.35,4910
2019-07-15 12:40:00+05:30,30.35,30.35,30.3,30.3,810
2019-07-15 12:45:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 12:50:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 12:55:00+05:30,30.3,30.3,30.3,30.3,0
2019-07-15 13:00:00+05:30,30.3,30.35,30.3,30.35,6190
2019-07-15 13:05:00+05:30,30.35,30.35,30.35,30.35,0
2019-07-15 13:10:00+05:30,30.35,30.35,30.35,30.35,0
2019-07-15 13:15:00+05:30,30.35,30.35,30.35,30.35,0
2019-07-15 13:20:00+05:30,30.3,30.3,30.3,30.3,2450
