date,open,high,low,close,volume
2021-05-25 09:15:00+05:30,89.96,89.96,89.96,89.96,0
2021-05-25 09:20:00+05:30,89.96,89.96,83.51,84.29,267
2021-05-25 09:25:00+05:30,84.29,85.98,84.02,84.9,189
2021-05-25 09:30:00+05:30,84.9,84.9,84.3,84.65,2037
2021-05-25 09:35:00+05:30,84.65,84.65,84.11,84.5,79
2021-05-25 09:40:00+05:30,84.5,84.59,84.16,84.16,91
2021-05-25 09:45:00+05:30,84.56,84.56,84.06,84.47,321
2021-05-25 09:50:00+05:30,84.47,84.47,84.06,84.47,363
2021-05-25 09:55:00+05:30,84.47,84.47,84.47,84.47,2
2021-05-25 10:00:00+05:30,84.47,84.47,84.44,84.44,19
2021-05-25 10:05:00+05:30,84.44,84.49,84.4,84.49,101
2021-05-25 10:10:00+05:30,84.49,84.49,84.49,84.49,460
2021-05-25 10:15:00+05:30,84.49,84.49,84.46,84.46,224
2021-05-25 10:20:00+05:30,84.46,84.46,84.46,84.46,1
2021-05-25 10:25:00+05:30,84.46,84.46,84.46,84.46,0
2021-05-25 10:30:00+05:30,84.46,84.46,84.4,84.4,61
2021-05-25 10:35:00+05:30,84.46,84.46,84.46,84.46,130
2021-05-25 10:40:00+05:30,84.46,84.46,84.46,84.46,53
2021-05-25 10:45:00+05:30,84.46,84.46,84.4,84.4,65
2021-05-25 10:50:00+05:30,84.46,84.46,84.45,84.45,157
2021-05-25 10:55:00+05:30,84.46,84.46,84.46,84.46,250
2021-05-25 11:00:00+05:30,84.46,84.46,84.46,84.46,0
2021-05-25 11:05:00+05:30,84.45,84.45,84.4,84.4,210
2021-05-25 11:10:00+05:30,84.4,84.42,84.4,84.42,2
2021-05-25 11:15:00+05:30,84.42,84.42,84.42,84.42,0
2021-05-25 11:20:00+05:30,84.42,84.42,84.42,84.42,150
2021-05-25 11:25:00+05:30,84.42,84.42,84.42,84.42,0
2021-05-25 11:30:00+05:30,84.42,84.51,84.42,84.51,12000
2021-05-25 11:35:00+05:30,84.51,84.51,84.51,84.51,0
2021-05-25 11:40:00+05:30,84.4,84.4,84.4,84.4,1
2021-05-25 11:45:00+05:30,84.4,84.4,84.4,84.4,0
2021-05-25 11:50:00+05:30,84.4,84.4,84.4,84.4,302
2021-05-25 11:55:00+05:30,84.4,84.4,84.4,84.4,0
2021-05-25 12:00:00+05:30,84.4,84.4,84.3,84.3,120
2021-05-25 12:05:00+05:30,84.3,84.3,84.3,84.3,0
