date,open,high,low,close,volume
2021-09-16 09:15:00+05:30,72.9,75.2,72.9,73.2,1311
2021-09-16 09:20:00+05:30,73.2,73.9,73.2,73.9,1088
2021-09-16 09:25:00+05:30,73.9,74.85,73.9,74.2,762
2021-09-16 09:30:00+05:30,74.5,74.75,74.5,74.75,64
2021-09-16 09:35:00+05:30,74.75,75.05,74.5,74.5,1203
2021-09-16 09:40:00+05:30,74.55,75.0,74.15,74.15,229
2021-09-16 09:45:00+05:30,74.15,74.9,74.0,74.9,461
2021-09-16 09:50:00+05:30,74.9,74.9,74.2,74.25,32
2021-09-16 09:55:00+05:30,74.25,75.4,74.25,74.9,2261
2021-09-16 10:00:00+05:30,74.9,74.9,74.05,74.05,442
2021-09-16 10:05:00+05:30,74.0,74.55,74.0,74.0,312
2021-09-16 10:10:00+05:30,74.0,74.0,74.0,74.0,0
2021-09-16 10:15:00+05:30,74.0,74.0,74.0,74.0,0
2021-09-16 10:20:00+05:30,74.5,74.5,73.95,74.05,16
2021-09-16 10:25:00+05:30,74.05,74.05,74.05,74.05,11
2021-09-16 10:30:00+05:30,74.45,74.5,74.4,74.5,182
2021-09-16 10:35:00+05:30,74.5,74.65,73.15,73.5,3984
2021-09-16 10:40:00+05:30,73.5,73.75,73.5,73.75,1
2021-09-16 10:45:00+05:30,73.75,73.75,72.9,73.3,5357
2021-09-16 10:50:00+05:30,73.3,73.6,73.3,73.5,301
2021-09-16 10:55:00+05:30,73.5,73.5,73.15,73.45,948
2021-09-16 11:00:00+05:30,73.45,73.65,73.45,73.5,147
2021-09-16 11:05:00+05:30,73.5,73.5,73.4,73.4,20
2021-09-16 11:10:00+05:30,73.4,73.4,73.15,73.35,44
2021-09-16 11:15:00+05:30,73.35,73.7,73.35,73.7,150
2021-09-16 11:20:00+05:30,73.7,73.7,73.2,73.2,14
2021-09-16 11:25:00+05:30,73.2,73.55,73.2,73.55,104
2021-09-16 11:30:00+05:30,73.55,73.55,73.5,73.5,47
2021-09-16 11:35:00+05:30,73.2,73.2,73.2,73.2,142
2021-09-16 11:40:00+05:30,73.2,73.2,73.2,73.2,0
2021-09-16 11:45:00+05:30,73.2,73.2,73.2,73.2,58
2021-09-16 11:50:00+05:30,73.25,73.25,73.25,73.25,24
2021-09-16 11:55:00+05:30,73.25,73.65,73.25,73.25,531
2021-09-16 12:00:00+05:30,73.25,73.25,73.25,73.25,590
2021-09-16 12:05:00+05:30,73.25,73.45,73.25,73.45,48
2021-09-16 12:10:00+05:30,73.45,73.45,73.45,73.45,254
2021-09-16 12:15:00+05:30,73.45,73.45,73.45,73.45,0
2021-09-16 12:20:00+05:30,73.45,73.45,73.25,73.3,150
2021-09-16 12:25:00+05:30,73.35,73.35,73.35,73.35,202
2021-09-16 12:30:00+05:30,73.25,73.3,73.25,73.25,378
2021-09-16 12:35:00+05:30,73.25,73.25,73.25,73.25,67
2021-09-16 12:40:00+05:30,73.25,73.25,73.25,73.25,100
2021-09-16 12:45:00+05:30,73.25,73.25,73.25,73.25,20
2021-09-16 12:50:00+05:30,73.25,73.25,73.25,73.25,10
2021-09-16 12:55:00+05:30,73.25,73.25,73.25,73.25,110
2021-09-16 13:00:00+05:30,73.25,73.3,73.25,73.3,9
2021-09-16 13:05:00+05:30,73.3,73.65,73.3,73.65,50
2021-09-16 13:10:00+05:30,73.65,73.7,73.65,73.7,50
2021-09-16 13:15:00+05:30,73.7,73.7,73.7,73.7,0
2021-09-16 13:20:00+05:30,73.7,73.7,73.7,73.7,0
2021-09-16 13:25:00+05:30,73.65,73.7,73.65,73.7,9
2021-09-16 13:30:00+05:30,73.7,73.7,73.65,73.65,109
