date,open,high,low,close,volume
2021-09-02 09:15:00+05:30,75.95,75.95,71.15,71.15,5000
2021-09-02 09:20:00+05:30,71.15,71.5,71.1,71.25,2450
2021-09-02 09:25:00+05:30,71.25,73.5,71.25,73.5,3
2021-09-02 09:30:00+05:30,73.35,74.85,73.1,74.75,468
2021-09-02 09:35:00+05:30,74.75,74.75,73.2,73.2,345
2021-09-02 09:40:00+05:30,73.2,74.8,73.0,74.35,131
2021-09-02 09:45:00+05:30,73.0,73.95,71.55,73.95,263
2021-09-02 09:50:00+05:30,73.95,73.95,71.1,71.5,2206
2021-09-02 09:55:00+05:30,71.5,71.5,71.5,71.5,0
2021-09-02 10:00:00+05:30,71.5,71.5,71.15,71.15,80
2021-09-02 10:05:00+05:30,71.15,71.15,71.05,71.05,817
2021-09-02 10:10:00+05:30,71.05,71.05,71.05,71.05,125
2021-09-02 10:15:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 10:20:00+05:30,71.05,71.05,71.05,71.05,320
2021-09-02 10:25:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 10:30:00+05:30,71.05,71.05,71.05,71.05,45
2021-09-02 10:35:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 10:40:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 10:45:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 10:50:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 10:55:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 11:00:00+05:30,71.05,71.05,71.05,71.05,2
2021-09-02 11:05:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 11:10:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 11:15:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 11:20:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 11:25:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 11:30:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 11:35:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 11:40:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 11:45:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 11:50:00+05:30,71.05,71.05,71.05,71.05,7
2021-09-02 11:55:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 12:00:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 12:05:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 12:10:00+05:30,71.05,71.05,71.05,71.05,50
2021-09-02 12:15:00+05:30,71.05,71.05,71.05,71.05,10
2021-09-02 12:20:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 12:25:00+05:30,71.05,71.05,71.05,71.05,100
2021-09-02 12:30:00+05:30,71.05,71.05,71.05,71.05,10
2021-09-02 12:35:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 12:40:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 12:45:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 12:50:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 12:55:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 13:00:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 13:05:00+05:30,71.05,71.05,71.05,71.05,1017
2021-09-02 13:10:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 13:15:00+05:30,71.05,71.05,71.05,71.05,56
2021-09-02 13:20:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 13:25:00+05:30,71.05,71.05,71.05,71.05,0
2021-09-02 13:30:00+05:30,71.05,71.75,71.05,71.75,5041
2021-09-02 13:35:00+05:30,71.75,74.45,71.75,74.45,700
2021-09-02 13:40:00+05:30,74.45,74.45,71.75,71.75,1
2021-09-02 13:45:00+05:30,71.75,71.75,71.75,71.75,0
2021-09-02 13:50:00+05:30,71.75,74.3,71.75,71.8,159
2021-09-02 13:55:00+05:30,71.8,71.8,71.8,71.8,0
2021-09-02 14:00:00+05:30,71.8,72.8,71.8,72.8,1
2021-09-02 14:05:00+05:30,72.8,72.8,72.8,72.8,0
2021-09-02 14:10:00+05:30,72.8,72.8,72.8,72.8,0
2021-09-02 14:15:00+05:30,72.8,72.8,72.8,72.8,0
2021-09-02 14:20:00+05:30,72.8,72.8,72.8,72.8,0
2021-09-02 14:25:00+05:30,72.8,72.8,72.8,72.8,0
2021-09-02 14:30:00+05:30,72.8,72.8,72.8,72.8,0
2021-09-02 14:35:00+05:30,72.8,72.8,72.8,72.8,0
2021-09-02 14:40:00+05:30,72.8,72.8,72.8,72.8,0
2021-09-02 14:45:00+05:30,72.8,72.8,72.8,72.8,0
2021-09-02 14:50:00+05:30,72.8,73.85,72.8,73.85,30
2021-09-02 14:55:00+05:30,73.85,73.85,73.55,73.55,17
2021-09-02 15:00:00+05:30,73.55,73.55,73.5,73.5,93
2021-09-02 15:05:00+05:30,73.5,74.45,71.05,71.15,6428
2021-09-02 15:10:00+05:30,71.15,71.3,71.15,71.3,8
2021-09-02 15:15:00+05:30,71.3,72.05,71.3,72.05,1
2021-09-02 15:20:00+05:30,72.05,72.7,72.0,72.0,338
2021-09-02 15:25:00+05:30,72.0,72.8,71.05,72.8,2690
2021-09-03 09:15:00+05:30,74.0,74.0,72.8,72.8,253
2021-09-03 09:20:00+05:30,72.8,72.8,69.1,71.95,1523
2021-09-03 09:25:00+05:30,71.95,71.95,71.95,71.95,0
2021-09-03 09:30:00+05:30,71.95,71.95,71.95,71.95,0
2021-09-03 09:35:00+05:30,71.95,71.95,71.95,71.95,0
2021-09-03 09:40:00+05:30,71.4,71.55,71.4,71.55,225
2021-09-03 09:45:00+05:30,71.55,71.55,71.55,71.55,0
2021-09-03 09:50:00+05:30,71.55,71.55,71.55,71.55,0
2021-09-03 09:55:00+05:30,71.55,71.55,69.3,69.3,284
2021-09-03 10:00:00+05:30,69.3,69.3,69.3,69.3,0
2021-09-03 10:05:00+05:30,69.3,69.3,69.1,69.1,3085
2021-09-03 10:10:00+05:30,69.1,69.1,69.1,69.1,145
2021-09-03 10:15:00+05:30,69.1,69.1,69.1,69.1,411
2021-09-03 10:20:00+05:30,69.1,69.1,69.1,69.1,0
2021-09-03 10:30:00+05:30,69.1,69.1,69.1,69.1,1
2021-09-03 10:35:00+05:30,69.1,69.1,69.1,69.1,117
2021-09-03 10:40:00+05:30,69.1,69.1,69.1,69.1,1
2021-09-03 10:50:00+05:30,69.1,69.1,69.1,69.1,10
2021-09-03 10:55:00+05:30,69.1,69.1,69.1,69.1,0
2021-09-03 11:00:00+05:30,69.1,69.1,69.1,69.1,0
2021-09-03 11:05:00+05:30,69.1,69.1,69.1,69.1,10
2021-09-03 11:15:00+05:30,69.1,69.1,69.1,69.1,8
2021-09-03 11:25:00+05:30,69.1,69.1,69.1,69.1,100
2021-09-03 11:35:00+05:30,69.1,69.1,69.1,69.1,1
2021-09-03 12:00:00+05:30,69.1,69.1,69.1,69.1,101
2021-09-03 12:10:00+05:30,69.1,69.1,69.1,69.1,1
2021-09-03 12:15:00+05:30,69.1,69.1,69.1,69.1,48
2021-09-03 12:30:00+05:30,69.1,69.1,69.1,69.1,101
2021-09-03 12:35:00+05:30,69.1,69.1,69.1,69.1,4
2021-09-03 12:45:00+05:30,69.1,69.1,69.1,69.1,4
2021-09-03 13:00:00+05:30,69.1,69.1,69.1,69.1,10
2021-09-03 13:05:00+05:30,69.1,69.1,69.1,69.1,5
2021-09-03 13:10:00+05:30,69.1,69.1,69.1,69.1,5
2021-09-03 13:15:00+05:30,69.1,69.1,69.1,69.1,1
2021-09-03 13:20:00+05:30,69.1,69.1,69.1,69.1,15
2021-09-03 13:25:00+05:30,69.1,69.1,69.1,69.1,4101
2021-09-03 13:30:00+05:30,69.1,71.3,69.1,69.15,2123
2021-09-03 13:35:00+05:30,71.1,71.1,69.15,69.15,70
2021-09-03 13:40:00+05:30,69.15,70.25,69.1,69.1,658
2021-09-03 13:45:00+05:30,69.1,69.1,69.1,69.1,167
2021-09-03 13:50:00+05:30,69.9,69.9,69.9,69.9,150
2021-09-03 14:00:00+05:30,69.9,69.9,69.9,69.9,0
2021-09-03 14:05:00+05:30,69.9,69.9,69.9,69.9,0
2021-09-03 14:10:00+05:30,69.9,69.9,69.9,69.9,0
2021-09-03 14:15:00+05:30,69.9,69.9,69.9,69.9,0
2021-09-03 14:20:00+05:30,69.1,69.1,69.1,69.1,2
2021-09-03 14:25:00+05:30,69.1,69.1,69.1,69.1,0
2021-09-03 14:35:00+05:30,69.1,69.1,69.1,69.1,30
2021-09-03 14:50:00+05:30,69.1,69.1,69.1,69.1,0
2021-09-03 15:00:00+05:30,69.1,69.1,69.1,69.1,0
2021-09-03 15:05:00+05:30,69.1,69.1,69.1,69.1,1
2021-09-03 15:25:00+05:30,69.1,69.1,69.1,69.1,33
2021-09-06 09:15:00+05:30,69.15,69.15,67.6,67.6,374
2021-09-06 09:20:00+05:30,67.6,67.6,65.65,65.65,2560
2021-09-06 09:25:00+05:30,65.65,65.7,65.65,65.65,248
2021-09-06 09:30:00+05:30,65.65,65.65,65.65,65.65,1273
2021-09-06 09:35:00+05:30,65.65,65.65,65.65,65.65,15
2021-09-06 09:40:00+05:30,65.65,65.65,65.65,65.65,0
2021-09-06 09:45:00+05:30,65.65,65.65,65.65,65.65,250
2021-09-06 09:50:00+05:30,65.65,65.65,65.65,65.65,149
2021-09-06 09:55:00+05:30,65.65,65.65,65.65,65.65,110
2021-09-06 10:00:00+05:30,65.65,65.65,65.65,65.65,10
2021-09-06 10:05:00+05:30,65.65,65.65,65.65,65.65,54
2021-09-06 10:20:00+05:30,65.65,65.65,65.65,65.65,0
2021-09-06 10:25:00+05:30,65.65,65.65,65.65,65.65,233
2021-09-06 10:30:00+05:30,65.65,65.65,65.65,65.65,0
2021-09-06 10:45:00+05:30,65.65,65.65,65.65,65.65,0
2021-09-06 10:50:00+05:30,65.65,65.65,65.65,65.65,100
2021-09-06 11:10:00+05:30,65.65,65.65,65.65,65.65,0
2021-09-06 11:30:00+05:30,65.65,65.65,65.65,65.65,20
2021-09-06 11:35:00+05:30,65.65,65.65,65.65,65.65,5
2021-09-06 11:40:00+05:30,65.65,65.65,65.65,65.65,0
2021-09-06 11:45:00+05:30,65.65,65.65,65.65,65.65,15
2021-09-06 11:55:00+05:30,65.65,65.65,65.65,65.65,50
2021-09-06 12:00:00+05:30,65.65,65.65,65.65,65.65,1
2021-09-06 12:05:00+05:30,65.65,65.65,65.65,65.65,1000
2021-09-06 12:25:00+05:30,65.65,65.65,65.65,65.65,15
2021-09-06 12:40:00+05:30,65.65,65.65,65.65,65.65,0
2021-09-06 13:05:00+05:30,65.65,65.65,65.65,65.65,20
2021-09-06 13:10:00+05:30,65.65,65.65,65.65,65.65,0
2021-09-06 13:20:00+05:30,65.65,65.65,65.65,65.65,1
