date,open,high,low,close,volume
2021-12-29 09:15:00+05:30,34.01,34.01,34.0,34.0,807
2021-12-29 09:20:00+05:30,34.0,34.29,34.0,34.24,284
2021-12-29 09:25:00+05:30,34.24,34.24,33.57,33.57,679
2021-12-29 09:30:00+05:30,33.57,34.15,33.57,34.07,613
2021-12-29 09:35:00+05:30,34.07,34.07,34.05,34.05,5
2021-12-29 09:40:00+05:30,34.05,34.06,34.0,34.0,624
2021-12-29 09:45:00+05:30,34.0,34.07,34.0,34.07,1303
2021-12-29 09:50:00+05:30,34.07,34.07,34.05,34.05,2500
2021-12-29 09:55:00+05:30,34.05,34.25,34.05,34.25,1176
2021-12-29 10:00:00+05:30,34.25,34.25,34.25,34.25,0
2021-12-29 10:05:00+05:30,34.25,34.25,34.2,34.2,1512
2021-12-29 10:10:00+05:30,34.2,34.2,34.0,34.2,3871
2021-12-29 10:15:00+05:30,34.2,34.2,34.2,34.2,10859
2021-12-29 10:20:00+05:30,34.2,34.2,34.07,34.16,5940
2021-12-29 10:25:00+05:30,34.07,34.16,34.05,34.05,1213
2021-12-29 10:30:00+05:30,34.05,34.05,34.05,34.05,302
2021-12-29 10:35:00+05:30,34.23,34.23,34.22,34.22,1388
2021-12-29 10:40:00+05:30,34.22,34.22,34.22,34.22,235
2021-12-29 10:45:00+05:30,34.22,34.22,34.2,34.2,1300
2021-12-29 10:50:00+05:30,34.2,34.2,34.19,34.19,16
2021-12-29 10:55:00+05:30,34.19,34.19,34.19,34.19,85
2021-12-29 11:00:00+05:30,34.15,34.15,34.15,34.15,10
2021-12-29 11:05:00+05:30,34.15,34.15,34.15,34.15,1
2021-12-29 11:10:00+05:30,34.02,34.02,34.02,34.02,453
2021-12-29 11:15:00+05:30,34.02,34.02,34.02,34.02,0
2021-12-29 11:20:00+05:30,34.01,34.18,34.01,34.15,8419
2021-12-29 11:25:00+05:30,34.15,34.15,34.02,34.02,2
2021-12-29 11:30:00+05:30,34.02,34.02,34.02,34.02,0
2021-12-29 11:35:00+05:30,34.02,34.02,34.02,34.02,0
2021-12-29 11:40:00+05:30,34.02,34.09,34.02,34.09,231
2021-12-29 11:45:00+05:30,34.09,34.09,34.09,34.09,29
2021-12-29 11:50:00+05:30,34.07,34.1,34.07,34.1,1341
2021-12-29 11:55:00+05:30,34.1,34.16,34.02,34.16,10062
2021-12-29 12:00:00+05:30,34.16,34.24,34.16,34.24,137
2021-12-29 12:05:00+05:30,34.24,34.24,34.23,34.23,1000
2021-12-29 12:10:00+05:30,34.24,34.24,34.17,34.17,151
2021-12-29 12:15:00+05:30,34.17,34.17,34.1,34.17,511
2021-12-29 12:20:00+05:30,34.17,34.17,34.17,34.17,1200
2021-12-29 12:25:00+05:30,34.17,34.17,34.15,34.15,111
2021-12-29 12:30:00+05:30,34.17,34.17,34.17,34.17,322
2021-12-29 12:35:00+05:30,34.17,34.17,34.16,34.16,602
2021-12-29 12:40:00+05:30,34.16,34.16,34.16,34.16,1036
2021-12-29 12:45:00+05:30,34.16,34.2,34.16,34.16,5884
2021-12-29 12:50:00+05:30,34.16,34.25,34.16,34.24,2
2021-12-29 12:55:00+05:30,34.24,34.24,34.02,34.02,562
2021-12-29 13:00:00+05:30,34.02,34.02,34.02,34.02,0
2021-12-29 13:05:00+05:30,34.2,34.2,34.1,34.1,601
2021-12-29 13:10:00+05:30,34.1,34.1,34.1,34.1,0
2021-12-29 13:15:00+05:30,34.1,34.1,34.1,34.1,0
2021-12-29 13:20:00+05:30,34.1,34.1,34.1,34.1,1209
2021-12-29 13:25:00+05:30,34.1,34.1,34.1,34.1,0
2021-12-29 13:30:00+05:30,34.15,34.15,34.15,34.15,2
2021-12-29 13:35:00+05:30,34.15,34.15,34.15,34.15,0
2021-12-29 13:40:00+05:30,34.15,34.15,34.15,34.15,3
2021-12-29 13:45:00+05:30,34.1,34.15,34.1,34.15,4
2021-12-29 13:50:00+05:30,34.15,34.15,34.1,34.15,174
2021-12-29 13:55:00+05:30,34.15,34.15,34.15,34.15,1045
2021-12-29 14:00:00+05:30,34.15,34.15,34.15,34.15,0
2021-12-29 14:05:00+05:30,34.2,34.2,34.2,34.2,1464
2021-12-29 14:10:00+05:30,34.2,34.2,34.2,34.2,0
2021-12-29 14:25:00+05:30,34.2,34.2,34.19,34.19,1
2021-12-29 14:30:00+05:30,34.19,34.22,34.19,34.22,26111
2021-12-29 14:35:00+05:30,34.22,34.22,34.22,34.22,2545
2021-12-29 14:40:00+05:30,34.22,34.22,34.2,34.2,51
2021-12-29 14:45:00+05:30,34.2,34.24,34.2,34.24,100
2021-12-29 14:50:00+05:30,34.24,34.25,34.24,34.25,4
2021-12-29 14:55:00+05:30,34.25,34.25,34.25,34.25,0
2021-12-29 15:00:00+05:30,34.25,34.25,34.25,34.25,50
2021-12-29 15:05:00+05:30,34.25,34.25,34.2,34.2,42082
2021-12-29 15:10:00+05:30,34.2,34.22,34.2,34.22,21
2021-12-29 15:15:00+05:30,34.22,34.22,34.22,34.22,6
2021-12-29 15:20:00+05:30,34.22,34.22,34.1,34.17,1677
2021-12-29 15:25:00+05:30,34.17,34.17,34.17,34.17,5000
2021-12-30 09:15:00+05:30,34.5,34.5,34.0,34.25,32336
2021-12-30 09:20:00+05:30,34.25,34.25,34.25,34.25,1845
2021-12-30 09:25:00+05:30,34.25,34.25,34.25,34.25,1279
2021-12-30 09:30:00+05:30,34.25,34.3,34.25,34.3,128
2021-12-30 09:35:00+05:30,34.3,34.3,34.19,34.19,271
2021-12-30 09:40:00+05:30,34.15,34.28,34.15,34.28,603
2021-12-30 09:45:00+05:30,34.28,34.28,34.28,34.28,740
2021-12-30 09:50:00+05:30,34.28,34.32,34.28,34.32,3515
2021-12-30 09:55:00+05:30,34.32,34.32,34.32,34.32,274
2021-12-30 10:00:00+05:30,34.32,34.32,34.2,34.2,1318
2021-12-30 10:05:00+05:30,34.2,34.3,34.2,34.3,5805
2021-12-30 10:10:00+05:30,34.3,34.3,34.3,34.3,1120
2021-12-30 10:15:00+05:30,34.3,34.3,34.22,34.3,1691
2021-12-30 10:20:00+05:30,34.3,34.3,34.3,34.3,13925
2021-12-30 10:25:00+05:30,34.3,34.3,34.27,34.27,4538
2021-12-30 10:30:00+05:30,34.27,34.3,34.27,34.3,19010
2021-12-30 10:35:00+05:30,34.3,34.3,34.3,34.3,3451
2021-12-30 10:40:00+05:30,34.3,34.3,34.3,34.3,1698
2021-12-30 10:45:00+05:30,34.3,34.3,34.2,34.2,155
2021-12-30 10:50:00+05:30,34.2,34.2,34.2,34.2,0
2021-12-30 10:55:00+05:30,34.2,34.2,34.2,34.2,0
2021-12-30 11:00:00+05:30,34.2,34.2,34.2,34.2,0
2021-12-30 11:05:00+05:30,34.3,34.3,34.3,34.3,2626
2021-12-30 11:10:00+05:30,34.3,34.3,34.3,34.3,3
2021-12-30 11:15:00+05:30,34.3,34.35,34.3,34.35,6
2021-12-30 11:20:00+05:30,34.35,34.35,34.35,34.35,1
2021-12-30 11:25:00+05:30,34.35,34.35,34.25,34.35,101
2021-12-30 11:30:00+05:30,34.35,34.35,34.35,34.35,1
2021-12-30 11:35:00+05:30,34.35,34.35,34.35,34.35,2
2021-12-30 11:40:00+05:30,34.35,34.35,34.35,34.35,11
2021-12-30 11:45:00+05:30,34.35,34.35,34.35,34.35,100
2021-12-30 11:50:00+05:30,34.35,34.35,34.35,34.35,166
2021-12-30 11:55:00+05:30,34.35,34.35,34.35,34.35,159
2021-12-30 12:00:00+05:30,34.35,34.35,34.35,34.35,882
2021-12-30 12:05:00+05:30,34.35,34.35,34.32,34.32,326
2021-12-30 12:10:00+05:30,34.32,34.32,34.3,34.3,3075
2021-12-30 12:15:00+05:30,34.3,34.3,34.25,34.3,371
2021-12-30 12:20:00+05:30,34.3,34.3,34.3,34.3,60
2021-12-30 12:25:00+05:30,34.3,34.3,34.3,34.3,145
2021-12-30 12:30:00+05:30,34.3,34.3,34.3,34.3,248
2021-12-30 12:35:00+05:30,34.32,34.32,34.32,34.32,230
2021-12-30 12:40:00+05:30,34.4,34.4,34.4,34.4,200
2021-12-30 12:45:00+05:30,34.4,34.4,34.4,34.4,0
2021-12-30 12:50:00+05:30,34.4,34.4,34.4,34.4,1
2021-12-30 12:55:00+05:30,34.4,34.4,34.4,34.4,13
2021-12-30 13:00:00+05:30,34.4,34.4,34.35,34.4,73
2021-12-30 13:05:00+05:30,34.4,34.4,34.27,34.3,92
2021-12-30 13:10:00+05:30,34.3,34.3,34.3,34.3,11
2021-12-30 13:15:00+05:30,34.3,34.3,34.29,34.29,159
2021-12-30 13:20:00+05:30,34.26,34.29,34.26,34.29,150
2021-12-30 13:25:00+05:30,34.29,34.35,34.29,34.35,5
2021-12-30 13:30:00+05:30,34.35,34.35,34.35,34.35,1
2021-12-30 13:35:00+05:30,34.35,34.35,34.35,34.35,5
2021-12-30 13:40:00+05:30,34.35,34.35,34.35,34.35,727
2021-12-30 13:45:00+05:30,34.31,34.35,34.31,34.35,672
2021-12-30 13:50:00+05:30,34.35,34.35,34.35,34.35,58
2021-12-30 13:55:00+05:30,34.4,34.4,34.4,34.4,771
2021-12-30 14:00:00+05:30,34.34,34.34,34.31,34.31,1456
2021-12-30 14:05:00+05:30,34.4,34.4,34.4,34.4,122
2021-12-30 14:10:00+05:30,34.4,34.4,34.4,34.4,72
2021-12-30 14:15:00+05:30,34.26,34.4,34.26,34.4,327
2021-12-30 14:20:00+05:30,34.41,34.41,34.41,34.41,2029
2021-12-30 14:25:00+05:30,34.42,34.43,34.42,34.43,1102
2021-12-30 14:30:00+05:30,34.43,34.43,34.43,34.43,871
2021-12-30 14:35:00+05:30,34.43,34.44,34.4,34.4,549
2021-12-30 14:40:00+05:30,34.4,34.4,34.4,34.4,2
2021-12-30 14:45:00+05:30,34.4,34.4,34.4,34.4,402
2021-12-30 14:50:00+05:30,34.4,34.4,34.35,34.35,12
2021-12-30 14:55:00+05:30,34.35,34.44,34.35,34.44,500
2021-12-30 15:00:00+05:30,34.44,34.44,34.44,34.44,906
2021-12-30 15:05:00+05:30,34.5,34.5,34.44,34.5,388
2021-12-30 15:10:00+05:30,34.5,34.5,34.15,34.3,21473
