date,open,high,low,close,volume
2022-02-04 09:15:00+05:30,84.0,84.0,84.0,84.0,0
2022-02-04 09:20:00+05:30,84.0,84.0,84.0,84.0,0
2022-02-04 09:25:00+05:30,84.0,84.0,84.0,84.0,0
2022-02-04 09:30:00+05:30,84.0,84.0,83.19,83.19,10
2022-02-04 09:35:00+05:30,83.19,84.0,83.19,84.0,2586
2022-02-04 09:40:00+05:30,84.0,86.0,84.0,85.98,334
2022-02-04 09:45:00+05:30,85.98,85.98,84.5,84.5,6
2022-02-04 09:50:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 09:55:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 10:00:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 10:05:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 10:10:00+05:30,84.5,84.75,84.5,84.75,1
2022-02-04 10:15:00+05:30,84.75,84.75,84.75,84.75,0
2022-02-04 10:20:00+05:30,84.75,84.75,84.75,84.75,0
2022-02-04 10:25:00+05:30,84.75,84.75,84.51,84.51,60
2022-02-04 10:30:00+05:30,84.51,84.51,84.51,84.51,0
2022-02-04 10:35:00+05:30,84.51,84.65,84.51,84.65,10
2022-02-04 10:40:00+05:30,84.65,84.65,84.65,84.65,0
2022-02-04 10:45:00+05:30,84.65,84.65,84.5,84.5,171
2022-02-04 10:50:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 10:55:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 11:00:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 11:05:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 11:10:00+05:30,84.5,84.75,84.5,84.75,3
2022-02-04 11:15:00+05:30,84.75,84.75,84.75,84.75,0
2022-02-04 11:20:00+05:30,84.75,84.75,84.75,84.75,0
2022-02-04 11:25:00+05:30,84.75,84.75,84.75,84.75,0
2022-02-04 11:30:00+05:30,84.75,84.75,84.53,84.53,60
2022-02-04 11:35:00+05:30,84.53,84.53,84.53,84.53,271
2022-02-04 11:40:00+05:30,84.53,84.53,84.5,84.5,71
2022-02-04 11:45:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 11:50:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 11:55:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 12:00:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 12:05:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 12:10:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 12:15:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 12:20:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 12:25:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 12:30:00+05:30,84.5,84.75,84.5,84.75,50
2022-02-04 12:35:00+05:30,84.75,84.75,84.75,84.75,0
2022-02-04 12:40:00+05:30,84.75,84.75,84.75,84.75,0
2022-02-04 12:45:00+05:30,84.75,84.75,84.75,84.75,0
2022-02-04 12:50:00+05:30,84.75,84.75,84.4,84.4,60
2022-02-04 12:55:00+05:30,84.75,84.75,84.4,84.4,345
2022-02-04 13:00:00+05:30,84.4,84.4,84.1,84.1,45
2022-02-04 13:05:00+05:30,84.1,84.1,84.1,84.1,115
2022-02-04 13:10:00+05:30,84.1,84.1,84.1,84.1,50
2022-02-04 13:15:00+05:30,84.1,84.1,84.1,84.1,30
2022-02-04 13:20:00+05:30,84.1,84.1,84.1,84.1,0
2022-02-04 13:25:00+05:30,84.1,84.1,84.1,84.1,0
2022-02-04 13:30:00+05:30,84.1,84.1,84.1,84.1,0
2022-02-04 13:35:00+05:30,84.1,84.1,84.1,84.1,0
2022-02-04 13:40:00+05:30,84.1,84.1,84.1,84.1,0
2022-02-04 13:45:00+05:30,84.1,84.1,84.1,84.1,0
2022-02-04 13:50:00+05:30,84.1,84.1,84.1,84.1,0
2022-02-04 13:55:00+05:30,84.1,84.1,84.1,84.1,0
2022-02-04 14:00:00+05:30,84.1,84.1,84.1,84.1,0
2022-02-04 14:05:00+05:30,84.1,84.1,84.1,84.1,0
2022-02-04 14:10:00+05:30,84.1,84.1,84.1,84.1,0
2022-02-04 14:15:00+05:30,84.5,84.5,84.5,84.5,1
2022-02-04 14:20:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 14:25:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 14:30:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 14:35:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 14:40:00+05:30,84.5,84.5,84.5,84.5,0
2022-02-04 14:45:00+05:30,84.5,84.5,84.1,84.1,18306
2022-02-04 14:50:00+05:30,84.1,84.1,84.1,84.1,0
2022-02-04 14:55:00+05:30,84.1,84.5,84.1,84.5,4
2022-02-04 15:00:00+05:30,84.5,84.5,84.5,84.5,2
2022-02-04 15:05:00+05:30,84.5,84.5,84.15,84.15,25
2022-02-04 15:10:00+05:30,84.15,84.15,84.15,84.15,0
2022-02-04 15:15:00+05:30,84.15,84.15,84.15,84.15,0
2022-02-04 15:20:00+05:30,84.15,84.15,84.15,84.15,0
2022-02-04 15:25:00+05:30,84.15,84.15,84.15,84.15,10
2022-02-07 09:15:00+05:30,84.4,84.4,83.55,83.55,604
