date,open,high,low,close,volume
2021-08-17 09:15:00+05:30,986.15,1013.7,983.0,997.8,110855
2021-08-17 09:20:00+05:30,998.0,1009.5,996.0,1009.0,44773
2021-08-17 09:25:00+05:30,1009.0,1010.95,1004.45,1005.35,40089
2021-08-17 09:30:00+05:30,1005.0,1011.0,1004.25,1011.0,20493
2021-08-17 09:35:00+05:30,1011.0,1011.0,1003.0,1005.05,32159
2021-08-17 09:40:00+05:30,1005.05,1005.5,1002.6,1004.0,17210
2021-08-17 09:45:00+05:30,1004.65,1004.9,997.0,1000.05,33613
2021-08-17 09:50:00+05:30,1000.9,1003.35,999.2,1003.05,20791
2021-08-17 09:55:00+05:30,1003.05,1005.0,1002.35,1002.5,8158
2021-08-17 10:00:00+05:30,1002.5,1023.0,1002.5,1022.05,67142
2021-08-17 10:05:00+05:30,1021.95,1022.45,1017.7,1018.0,55711
2021-08-17 10:10:00+05:30,1018.15,1019.35,1015.25,1015.3,16403
2021-08-17 10:15:00+05:30,1016.6,1017.85,1010.85,1010.85,9745
2021-08-17 10:20:00+05:30,1011.55,1011.55,1000.85,1001.6,29357
2021-08-17 10:25:00+05:30,1002.0,1007.0,1001.5,1007.0,10722
2021-08-17 10:30:00+05:30,1007.0,1009.7,1002.6,1004.25,10659
2021-08-17 10:35:00+05:30,1004.25,1004.95,1002.0,1002.1,5377
2021-08-17 10:40:00+05:30,1002.05,1003.45,1001.0,1002.7,8329
2021-08-17 10:45:00+05:30,1002.7,1003.0,996.2,998.0,19622
2021-08-17 10:50:00+05:30,998.0,998.0,988.7,990.0,25150
2021-08-17 10:55:00+05:30,990.0,994.9,989.0,992.85,21592
2021-08-17 11:00:00+05:30,992.85,993.85,991.0,992.05,5542
2021-08-17 11:05:00+05:30,992.0,994.0,991.2,994.0,8987
2021-08-17 11:10:00+05:30,994.0,995.0,988.0,988.75,15846
2021-08-17 11:15:00+05:30,988.75,991.25,986.15,986.45,8084
2021-08-17 11:20:00+05:30,986.45,989.45,986.15,988.15,6468
2021-08-17 11:25:00+05:30,988.15,988.15,983.0,985.0,18938
2021-08-17 11:30:00+05:30,985.0,985.0,981.15,982.2,6997
2021-08-17 11:35:00+05:30,982.2,984.35,978.0,979.3,19849
2021-08-17 11:40:00+05:30,979.3,980.05,975.0,976.7,19961
2021-08-17 11:45:00+05:30,976.55,977.0,972.0,976.95,22525
2021-08-17 11:50:00+05:30,976.95,981.2,976.55,981.0,12684
2021-08-17 11:55:00+05:30,980.95,982.2,978.0,979.0,6584
2021-08-17 12:00:00+05:30,979.0,979.9,975.0,977.4,6587
2021-08-17 12:05:00+05:30,977.35,977.75,967.65,969.8,30403
2021-08-17 12:10:00+05:30,969.8,974.8,969.1,974.15,11025
2021-08-17 12:15:00+05:30,974.2,975.1,972.25,972.25,11509
2021-08-17 12:20:00+05:30,972.5,976.9,970.25,975.9,12112
2021-08-17 12:25:00+05:30,975.9,976.85,973.5,975.0,5502
2021-08-17 12:30:00+05:30,975.85,976.85,973.5,973.5,5131
2021-08-17 12:35:00+05:30,973.0,973.9,969.0,970.4,16242
2021-08-17 12:40:00+05:30,970.4,970.9,968.95,969.0,7134
2021-08-17 12:45:00+05:30,969.0,970.4,968.95,970.0,5908
2021-08-17 12:50:00+05:30,969.55,970.9,969.05,969.15,5967
2021-08-17 12:55:00+05:30,969.15,970.0,964.0,964.95,17751
2021-08-17 13:00:00+05:30,965.0,967.95,963.0,963.5,13200
2021-08-17 13:05:00+05:30,963.5,969.6,961.75,964.15,14354
2021-08-17 13:10:00+05:30,964.15,965.0,961.95,961.95,11291
2021-08-17 13:15:00+05:30,961.95,964.75,961.0,963.0,14776
2021-08-17 13:20:00+05:30,962.75,963.95,962.0,962.05,6748
2021-08-17 13:25:00+05:30,962.15,962.85,961.5,961.85,6300
2021-08-17 13:30:00+05:30,961.3,961.9,941.25,950.0,82175
2021-08-17 13:35:00+05:30,950.0,950.0,945.65,948.5,45058
2021-08-17 13:40:00+05:30,948.5,950.0,947.2,947.95,41681
2021-08-17 13:45:00+05:30,948.45,948.5,938.35,942.45,56133
2021-08-17 13:50:00+05:30,943.6,945.0,939.6,940.8,27727
2021-08-17 13:55:00+05:30,940.5,943.8,940.1,942.0,28504
2021-08-17 14:00:00+05:30,942.0,944.5,939.65,942.0,72197
2021-08-17 14:05:00+05:30,943.15,943.5,940.0,940.5,20717
2021-08-17 14:10:00+05:30,940.5,944.5,940.1,942.9,15452
2021-08-17 14:15:00+05:30,943.5,944.8,942.55,944.5,14235
2021-08-17 14:20:00+05:30,944.6,944.85,943.05,944.1,12471
2021-08-17 14:25:00+05:30,944.1,948.0,943.55,948.0,20401
2021-08-17 14:30:00+05:30,948.0,949.0,942.8,945.8,39596
2021-08-17 14:35:00+05:30,946.05,954.05,946.0,953.5,33450
2021-08-17 14:40:00+05:30,954.55,955.0,951.0,954.05,36852
2021-08-17 14:45:00+05:30,955.0,958.5,953.7,957.95,29668
2021-08-17 14:50:00+05:30,958.0,963.95,957.1,963.05,27659
2021-08-17 14:55:00+05:30,963.25,973.45,962.5,967.0,61358
2021-08-17 15:00:00+05:30,967.1,972.9,967.05,970.7,27691
2021-08-17 15:05:00+05:30,970.5,973.5,970.0,970.0,25771
2021-08-17 15:10:00+05:30,970.2,974.8,970.0,974.1,21145
2021-08-17 15:15:00+05:30,974.1,978.0,970.0,974.0,35310
2021-08-17 15:20:00+05:30,974.0,977.4,971.1,973.5,40067
2021-08-17 15:25:00+05:30,973.4,974.0,970.25,972.5,31847
2021-08-18 09:15:00+05:30,976.0,986.8,976.0,986.1,36348
2021-08-18 09:20:00+05:30,986.0,986.1,978.85,983.5,14838
2021-08-18 09:25:00+05:30,983.0,984.0,973.5,974.95,9764
2021-08-18 09:30:00+05:30,974.05,976.0,970.0,970.0,10838
2021-08-18 09:35:00+05:30,970.0,972.1,965.6,971.85,16030
2021-08-18 09:40:00+05:30,971.85,973.55,970.0,971.65,9764
2021-08-18 09:45:00+05:30,971.65,972.85,969.95,971.25,12258
2021-08-18 09:50:00+05:30,970.85,971.1,970.0,970.0,5179
2021-08-18 09:55:00+05:30,970.0,970.9,968.15,970.35,5883
2021-08-18 10:00:00+05:30,970.0,970.9,969.05,970.25,3576
2021-08-18 10:05:00+05:30,970.25,970.9,969.05,970.0,3330
2021-08-18 10:10:00+05:30,970.0,971.05,968.1,971.05,15187
2021-08-18 10:15:00+05:30,971.05,976.75,971.05,976.75,8080
2021-08-18 10:20:00+05:30,976.5,984.8,976.3,984.0,17528
2021-08-18 10:25:00+05:30,983.5,984.4,977.4,981.5,16043
2021-08-18 10:30:00+05:30,981.8,990.0,980.95,985.0,30951
2021-08-18 10:35:00+05:30,984.8,988.4,983.5,983.95,12310
2021-08-18 10:40:00+05:30,983.65,985.95,980.6,982.0,7594
2021-08-18 10:45:00+05:30,982.75,984.95,981.85,982.95,4188
2021-08-18 10:50:00+05:30,982.95,992.0,982.95,990.35,31222
2021-08-18 10:55:00+05:30,990.85,993.0,985.25,990.0,18924
2021-08-18 11:00:00+05:30,989.2,990.45,986.85,989.0,6461
