date,open,high,low,close,volume
2021-03-25 09:15:00+05:30,175.0,175.0,175.0,175.0,0
2021-03-25 09:40:00+05:30,155.5,155.5,155.5,155.5,0
2021-03-25 09:45:00+05:30,155.5,155.5,155.5,155.5,0
2021-03-25 09:50:00+05:30,155.5,155.5,155.5,155.5,0
2021-03-25 09:55:00+05:30,155.5,155.5,155.5,155.5,0
2021-03-25 10:00:00+05:30,160.0,160.75,143.6,158.65,12473634
2021-03-25 10:05:00+05:30,158.5,160.8,151.7,154.9,5069836
2021-03-25 10:10:00+05:30,155.55,155.65,152.2,152.6,1400122
2021-03-25 10:15:00+05:30,152.6,153.75,150.15,151.4,1482209
2021-03-25 10:20:00+05:30,151.4,154.65,151.05,154.65,1272433
2021-03-25 10:25:00+05:30,154.55,157.45,154.4,156.1,1668131
2021-03-25 10:30:00+05:30,156.15,157.65,155.3,155.85,1024846
2021-03-25 10:35:00+05:30,155.85,156.9,155.0,156.45,510626
2021-03-25 10:40:00+05:30,156.3,161.05,156.0,160.8,1850219
2021-03-25 10:45:00+05:30,161.25,164.0,160.65,162.0,2901068
2021-03-25 10:50:00+05:30,161.7,161.8,158.4,159.8,1243772
2021-03-25 10:55:00+05:30,159.95,163.8,159.35,163.3,866373
2021-03-25 11:00:00+05:30,163.25,164.7,161.55,162.3,987755
2021-03-25 11:05:00+05:30,162.3,162.5,159.0,159.8,583856
2021-03-25 11:10:00+05:30,159.55,159.6,156.1,159.45,696942
2021-03-25 11:15:00+05:30,159.35,159.9,157.5,158.2,344597
2021-03-25 11:20:00+05:30,158.05,160.7,158.05,159.8,400179
2021-03-25 11:25:00+05:30,159.8,160.0,158.45,158.5,280493
2021-03-25 11:30:00+05:30,158.6,158.85,158.0,158.35,307034
2021-03-25 11:35:00+05:30,158.45,159.85,158.2,159.6,173766
2021-03-25 11:40:00+05:30,159.6,161.5,159.55,160.45,442629
2021-03-25 11:45:00+05:30,160.4,160.7,158.5,159.5,267299
2021-03-25 11:50:00+05:30,159.45,159.9,158.75,159.25,131163
2021-03-25 11:55:00+05:30,159.2,159.3,158.6,158.95,123281
2021-03-25 12:00:00+05:30,158.8,159.0,158.0,158.2,183494
2021-03-25 12:05:00+05:30,158.15,158.5,156.15,156.7,416176
2021-03-25 12:10:00+05:30,156.75,156.95,155.6,156.85,359029
2021-03-25 12:15:00+05:30,157.4,158.7,156.6,156.9,237660
2021-03-25 12:20:00+05:30,156.9,156.95,155.6,156.4,392112
2021-03-25 12:25:00+05:30,156.45,157.4,155.75,156.1,299279
