date,open,high,low,close,volume
2021-05-14 09:15:00+05:30,45.74,56.58,45.74,49.0,67329
2021-05-14 09:20:00+05:30,49.0,49.0,46.2,47.49,77787
2021-05-14 09:25:00+05:30,46.3,47.45,46.1,46.2,22087
2021-05-14 09:30:00+05:30,46.2,46.2,46.12,46.2,13290
2021-05-14 09:35:00+05:30,46.2,46.2,46.15,46.18,22064
2021-05-14 09:40:00+05:30,46.2,46.2,46.0,46.05,26527
2021-05-14 09:45:00+05:30,46.13,46.13,46.0,46.13,11858
2021-05-14 09:50:00+05:30,46.13,47.2,46.0,46.15,36651
2021-05-14 09:55:00+05:30,46.13,46.13,46.1,46.13,14174
2021-05-14 10:00:00+05:30,46.13,46.2,46.1,46.2,9099
2021-05-14 10:05:00+05:30,46.2,46.2,46.1,46.2,6969
2021-05-14 10:10:00+05:30,46.2,46.2,46.1,46.2,6712
2021-05-14 10:15:00+05:30,46.2,46.2,46.15,46.2,35194
2021-05-14 10:20:00+05:30,46.2,46.2,46.1,46.15,74417
2021-05-14 10:25:00+05:30,46.15,46.99,46.14,46.15,79142
2021-05-14 10:30:00+05:30,46.15,46.5,46.15,46.5,54358
2021-05-14 10:35:00+05:30,46.5,47.2,46.5,47.19,15871
2021-05-14 10:40:00+05:30,47.19,47.45,47.19,47.45,14060
2021-05-14 10:45:00+05:30,47.45,47.45,47.0,47.4,18952
2021-05-14 10:50:00+05:30,47.4,47.45,47.3,47.45,14428
2021-05-14 10:55:00+05:30,47.45,47.45,47.35,47.45,7253
2021-05-14 11:00:00+05:30,47.45,47.45,47.2,47.44,6544
2021-05-14 11:05:00+05:30,47.44,47.45,47.32,47.45,8442
2021-05-14 11:10:00+05:30,47.45,47.45,47.4,47.45,6547
2021-05-14 11:15:00+05:30,47.45,47.45,47.37,47.45,5857
2021-05-14 11:20:00+05:30,47.45,47.45,47.34,47.45,16855
2021-05-14 11:25:00+05:30,47.45,47.45,47.4,47.45,3698
2021-05-14 11:30:00+05:30,47.45,47.5,47.4,47.5,8202
2021-05-14 11:35:00+05:30,47.5,47.6,47.45,47.6,15479
2021-05-14 11:40:00+05:30,47.6,47.8,47.6,47.75,5757
2021-05-14 11:45:00+05:30,47.75,48.97,47.6,48.05,31197
2021-05-14 11:50:00+05:30,48.05,48.94,48.0,48.01,16716
2021-05-14 11:55:00+05:30,48.6,48.6,48.0,48.25,11170
2021-05-14 12:00:00+05:30,48.25,48.48,48.01,48.48,8727
2021-05-14 12:05:00+05:30,48.48,48.9,48.2,48.9,6063
2021-05-14 12:10:00+05:30,48.9,48.9,48.55,48.89,48137
2021-05-14 12:15:00+05:30,48.89,48.97,48.5,48.97,42356
2021-05-14 12:20:00+05:30,48.97,48.97,48.51,48.94,14631
2021-05-14 12:25:00+05:30,48.93,48.97,48.93,48.97,29139
2021-05-14 12:30:00+05:30,48.97,48.97,48.9,48.97,10217
2021-05-14 12:35:00+05:30,48.97,48.97,48.9,48.97,5488
2021-05-14 12:40:00+05:30,48.97,48.97,48.95,48.97,11217
2021-05-14 12:45:00+05:30,48.97,49.3,48.9,49.05,50660
2021-05-14 12:50:00+05:30,49.05,49.9,49.05,49.54,11589
2021-05-14 12:55:00+05:30,49.6,54.4,49.6,53.95,70188
2021-05-14 13:00:00+05:30,53.9,53.94,51.1,51.95,46075
2021-05-14 13:05:00+05:30,51.95,53.95,50.0,50.9,173448
2021-05-14 13:10:00+05:30,50.9,51.4,50.02,50.78,18905
2021-05-14 13:15:00+05:30,50.78,51.45,50.5,51.35,15893
2021-05-14 13:20:00+05:30,51.35,52.0,50.0,51.5,26685
2021-05-14 13:25:00+05:30,51.8,52.0,50.5,52.0,21359
2021-05-14 13:30:00+05:30,52.0,54.0,51.5,53.2,54858
2021-05-14 13:35:00+05:30,53.48,53.48,52.11,53.0,23911
2021-05-14 13:40:00+05:30,53.0,53.5,53.0,53.36,14093
2021-05-14 13:45:00+05:30,53.36,53.36,52.51,53.24,13762
2021-05-14 13:50:00+05:30,53.24,53.24,53.11,53.2,10447
2021-05-14 13:55:00+05:30,53.2,53.95,53.0,53.94,34780
2021-05-14 14:00:00+05:30,53.94,54.0,53.56,53.65,25865
2021-05-14 14:05:00+05:30,53.65,53.9,53.5,53.83,21307
2021-05-14 14:10:00+05:30,53.83,53.88,53.7,53.82,17180
2021-05-14 14:15:00+05:30,53.82,53.84,53.51,53.78,17315
2021-05-14 14:20:00+05:30,53.78,53.79,53.66,53.78,19355
2021-05-14 14:25:00+05:30,53.79,54.7,53.75,54.58,59413
2021-05-14 14:30:00+05:30,54.57,54.7,53.5,54.49,30913
2021-05-14 14:35:00+05:30,53.65,54.48,53.0,54.02,22370
2021-05-14 14:40:00+05:30,54.02,54.3,54.0,54.3,20938
2021-05-14 14:45:00+05:30,54.29,54.5,54.22,54.49,55923
2021-05-14 14:50:00+05:30,54.49,54.5,54.2,54.5,82637
2021-05-14 14:55:00+05:30,54.5,55.0,53.9,54.0,178091
2021-05-14 15:00:00+05:30,54.0,54.0,52.6,52.7,55776
2021-05-14 15:05:00+05:30,53.3,53.3,49.6,50.97,222981
2021-05-14 15:10:00+05:30,50.0,50.97,49.3,49.5,204179
2021-05-14 15:15:00+05:30,49.5,49.5,49.1,49.5,59206
2021-05-14 15:20:00+05:30,49.5,50.7,49.15,49.6,142889
2021-05-14 15:25:00+05:30,49.59,49.59,48.6,48.7,233964
2021-05-17 09:15:00+05:30,50.0,51.7,49.23,50.0,123421
2021-05-17 09:20:00+05:30,50.0,50.0,49.9,50.0,65049
2021-05-17 09:25:00+05:30,50.0,50.0,48.95,49.0,49090
2021-05-17 09:30:00+05:30,49.0,49.0,48.0,48.5,71399
2021-05-17 09:35:00+05:30,48.5,48.5,47.89,47.96,40516
2021-05-17 09:40:00+05:30,48.0,48.3,47.9,47.99,98842
2021-05-17 09:45:00+05:30,48.0,48.3,47.96,48.0,49259
2021-05-17 09:50:00+05:30,48.0,48.0,47.93,48.0,22448
2021-05-17 09:55:00+05:30,48.0,48.0,47.6,47.94,33554
2021-05-17 10:00:00+05:30,47.94,48.0,47.7,47.9,44172
2021-05-17 10:05:00+05:30,47.9,47.97,47.66,47.75,19940
2021-05-17 10:10:00+05:30,47.8,47.93,47.6,47.9,20845
2021-05-17 10:15:00+05:30,47.91,47.99,47.77,47.99,12716
2021-05-17 10:20:00+05:30,47.99,48.0,47.93,47.99,6658
2021-05-17 10:25:00+05:30,47.99,48.0,47.9,48.0,6805
2021-05-17 10:30:00+05:30,48.0,48.0,47.95,48.0,10717
2021-05-17 10:35:00+05:30,48.0,48.0,47.9,48.0,8222
2021-05-17 10:40:00+05:30,48.0,48.0,47.91,48.0,7895
2021-05-17 10:45:00+05:30,48.0,48.0,47.95,48.0,8945
2021-05-17 10:50:00+05:30,48.0,48.0,47.96,48.0,16404
2021-05-17 10:55:00+05:30,48.0,48.56,47.96,48.5,37099
2021-05-17 11:00:00+05:30,48.5,48.65,47.95,48.0,40117
2021-05-17 11:05:00+05:30,48.0,48.35,47.9,48.0,20379
2021-05-17 11:10:00+05:30,48.0,48.65,47.95,48.0,23986
2021-05-17 11:15:00+05:30,48.0,48.34,47.9,48.0,25755
2021-05-17 11:20:00+05:30,48.0,48.0,47.9,47.99,5782
