date,open,high,low,close,volume
2021-12-10 09:15:00+05:30,18.6,19.88,18.6,19.76,1884
2021-12-10 09:20:00+05:30,19.76,19.81,19.47,19.81,5762
2021-12-10 09:25:00+05:30,19.81,19.81,19.47,19.74,3982
2021-12-10 09:30:00+05:30,19.74,19.77,19.48,19.76,4656
2021-12-10 09:35:00+05:30,19.76,19.76,19.46,19.46,4343
2021-12-10 09:40:00+05:30,19.46,19.69,19.46,19.69,2562
2021-12-10 09:45:00+05:30,19.69,19.69,19.47,19.66,621
2021-12-10 09:50:00+05:30,19.64,19.69,19.48,19.69,1241
2021-12-10 09:55:00+05:30,19.7,19.7,19.5,19.7,1119
2021-12-10 10:00:00+05:30,19.7,19.74,19.45,19.65,10718
2021-12-10 10:05:00+05:30,19.65,19.65,19.48,19.48,1092
2021-12-10 10:10:00+05:30,19.48,19.67,19.48,19.67,665
2021-12-10 10:15:00+05:30,19.67,19.67,19.51,19.67,891
2021-12-10 10:20:00+05:30,19.67,19.67,19.67,19.67,500
2021-12-10 10:25:00+05:30,19.67,19.67,19.67,19.67,529
2021-12-10 10:30:00+05:30,19.67,19.67,19.65,19.65,61
2021-12-10 10:35:00+05:30,19.67,19.69,19.67,19.69,3084
2021-12-10 10:40:00+05:30,19.69,19.69,19.69,19.69,152
2021-12-10 10:45:00+05:30,19.69,19.72,19.69,19.72,462
2021-12-10 10:50:00+05:30,19.72,19.77,19.72,19.77,850
2021-12-10 10:55:00+05:30,19.69,19.77,19.69,19.77,800
2021-12-10 11:00:00+05:30,19.77,19.77,19.69,19.69,792
2021-12-10 11:05:00+05:30,19.69,19.7,19.69,19.7,260
2021-12-10 11:10:00+05:30,19.7,19.77,19.7,19.77,1588
2021-12-10 11:15:00+05:30,19.77,19.77,19.77,19.77,2578
2021-12-10 11:20:00+05:30,19.77,19.77,19.65,19.77,1434
2021-12-10 11:25:00+05:30,19.77,19.77,19.65,19.65,2041
2021-12-10 11:30:00+05:30,19.65,19.77,19.6,19.6,800
2021-12-10 11:35:00+05:30,19.6,19.76,19.6,19.76,430
2021-12-10 11:40:00+05:30,19.76,19.76,19.6,19.76,776
2021-12-10 11:45:00+05:30,19.76,19.76,19.76,19.76,5
2021-12-10 11:50:00+05:30,19.76,19.76,19.76,19.76,312
2021-12-10 11:55:00+05:30,19.76,19.77,19.76,19.77,69
2021-12-10 12:00:00+05:30,19.52,19.77,19.52,19.77,1482
2021-12-10 12:05:00+05:30,19.77,19.77,19.77,19.77,3400
2021-12-10 12:10:00+05:30,19.77,19.77,19.54,19.77,380
2021-12-10 12:15:00+05:30,19.77,19.77,19.61,19.77,40
