date,open,high,low,close,volume
2021-11-22 09:15:00+05:30,43.4,43.4,38.0,38.0,3042
2021-11-22 09:20:00+05:30,38.0,38.0,37.8,37.8,465
2021-11-22 09:25:00+05:30,37.8,37.8,37.65,37.65,30
2021-11-22 09:30:00+05:30,37.65,37.65,33.6,36.45,846
2021-11-22 09:35:00+05:30,36.45,36.45,33.1,33.1,3000
2021-11-22 09:40:00+05:30,33.1,37.2,33.1,37.2,3205
2021-11-22 09:45:00+05:30,37.2,37.2,36.8,36.8,537
2021-11-22 09:50:00+05:30,36.8,36.8,36.8,36.8,50
2021-11-22 09:55:00+05:30,36.8,36.8,35.5,36.5,1254
2021-11-22 10:00:00+05:30,36.35,36.35,34.85,34.85,670
2021-11-22 10:05:00+05:30,34.85,34.85,34.85,34.85,0
2021-11-22 10:10:00+05:30,34.85,34.85,31.35,32.8,2591
2021-11-22 10:15:00+05:30,32.8,35.5,32.05,35.2,3017
2021-11-22 10:20:00+05:30,35.2,35.2,35.2,35.2,0
2021-11-22 10:25:00+05:30,35.2,35.2,34.9,34.9,320
2021-11-22 10:30:00+05:30,34.9,36.0,32.2,35.7,3410
2021-11-22 10:35:00+05:30,35.7,35.7,33.0,33.0,17
2021-11-22 10:40:00+05:30,33.0,35.7,32.35,32.6,832
2021-11-22 10:45:00+05:30,32.6,35.0,32.6,35.0,2368
2021-11-22 10:50:00+05:30,35.0,35.0,34.4,34.65,1521
2021-11-22 10:55:00+05:30,34.6,34.6,34.25,34.25,36
2021-11-22 11:00:00+05:30,34.25,34.25,33.8,33.8,219
2021-11-22 11:05:00+05:30,33.05,34.5,33.05,34.05,369
2021-11-22 11:10:00+05:30,34.05,34.8,34.05,34.4,232
2021-11-22 11:15:00+05:30,34.8,35.0,34.05,35.0,788
2021-11-22 11:20:00+05:30,35.0,35.95,35.0,35.95,1340
2021-11-22 11:25:00+05:30,35.95,36.7,34.15,34.15,513
2021-11-22 11:30:00+05:30,34.15,34.15,34.15,34.15,0
2021-11-22 11:35:00+05:30,34.15,34.6,34.15,34.6,14
2021-11-22 11:40:00+05:30,34.55,35.15,31.45,31.45,6446
2021-11-22 11:45:00+05:30,31.5,32.9,31.45,32.8,3265
2021-11-22 11:50:00+05:30,32.8,32.9,32.8,32.9,150
2021-11-22 11:55:00+05:30,32.9,32.9,32.1,32.45,247
2021-11-22 12:00:00+05:30,32.35,32.75,32.35,32.4,42
2021-11-22 12:05:00+05:30,32.45,32.45,32.4,32.45,113
2021-11-22 12:10:00+05:30,32.7,32.8,32.5,32.5,113
2021-11-22 12:15:00+05:30,32.5,32.8,32.25,32.8,120
2021-11-22 12:20:00+05:30,32.8,32.8,32.55,32.55,2
2021-11-22 12:25:00+05:30,32.55,32.55,30.9,30.9,4817
2021-11-22 12:30:00+05:30,30.9,31.85,30.05,31.45,2030
2021-11-22 12:35:00+05:30,31.4,31.4,31.4,31.4,20
2021-11-22 12:40:00+05:30,31.4,31.4,30.15,30.95,4631
2021-11-22 12:45:00+05:30,30.95,30.95,30.95,30.95,81
2021-11-22 12:50:00+05:30,30.95,31.0,30.4,31.0,1947
2021-11-22 12:55:00+05:30,31.0,31.0,30.75,31.0,312
2021-11-22 13:00:00+05:30,31.0,31.0,31.0,31.0,1612
2021-11-22 13:05:00+05:30,31.0,32.5,31.0,32.45,2528
2021-11-22 13:10:00+05:30,31.6,32.5,31.35,31.35,805
2021-11-22 13:15:00+05:30,31.35,32.55,31.35,32.55,481
2021-11-22 13:20:00+05:30,32.55,32.55,31.95,31.95,29
2021-11-22 13:25:00+05:30,31.95,32.5,31.95,32.5,270
2021-11-22 13:30:00+05:30,32.45,32.5,32.45,32.5,311
2021-11-22 13:35:00+05:30,32.5,32.5,32.5,32.5,0
2021-11-22 13:40:00+05:30,32.4,32.4,32.35,32.35,102
2021-11-22 13:45:00+05:30,32.35,32.35,32.0,32.0,32
2021-11-22 13:50:00+05:30,32.0,32.35,32.0,32.35,324
2021-11-22 13:55:00+05:30,32.35,32.7,32.35,32.7,1384
2021-11-22 14:00:00+05:30,32.7,32.7,32.7,32.7,50
2021-11-22 14:05:00+05:30,32.7,32.7,32.7,32.7,0
2021-11-22 14:10:00+05:30,32.7,32.7,32.7,32.7,100
2021-11-22 14:15:00+05:30,32.7,33.5,31.65,31.65,402
2021-11-22 14:20:00+05:30,32.0,32.8,31.9,31.9,148
2021-11-22 14:25:00+05:30,31.9,32.8,30.95,31.75,2373
2021-11-22 14:30:00+05:30,31.75,32.0,31.1,32.0,160
2021-11-22 14:35:00+05:30,32.0,32.75,30.0,32.75,8136
2021-11-22 14:40:00+05:30,32.75,32.75,30.75,30.75,613
2021-11-22 14:45:00+05:30,30.75,31.85,30.75,31.55,323
2021-11-22 14:50:00+05:30,31.55,31.9,31.55,31.9,306
2021-11-22 14:55:00+05:30,31.9,31.9,31.9,31.9,469
2021-11-22 15:05:00+05:30,31.9,31.9,31.35,31.35,1108
2021-11-22 15:10:00+05:30,31.35,32.0,31.35,32.0,1509
2021-11-22 15:15:00+05:30,32.0,32.0,31.4,31.7,3466
2021-11-22 15:20:00+05:30,31.7,31.7,30.35,31.4,3420
2021-11-22 15:25:00+05:30,31.4,31.8,31.1,31.25,4681
2021-11-23 09:15:00+05:30,34.0,34.0,28.4,30.9,1528
2021-11-23 09:20:00+05:30,30.9,31.45,30.9,30.95,281
2021-11-23 09:25:00+05:30,30.95,30.95,30.95,30.95,0
2021-11-23 09:30:00+05:30,32.5,32.5,30.95,31.95,306
2021-11-23 09:35:00+05:30,31.95,31.95,31.8,31.8,350
2021-11-23 09:40:00+05:30,31.8,32.45,31.8,32.45,394
2021-11-23 09:45:00+05:30,32.45,32.8,32.15,32.8,2909
2021-11-23 09:50:00+05:30,32.8,33.35,32.55,33.3,5000
2021-11-23 09:55:00+05:30,33.3,33.3,33.0,33.2,2514
2021-11-23 10:00:00+05:30,33.85,34.0,33.15,33.15,915
2021-11-23 10:05:00+05:30,33.15,33.5,33.15,33.5,405
2021-11-23 10:10:00+05:30,33.5,34.0,33.5,34.0,1809
2021-11-23 10:15:00+05:30,34.0,36.95,34.0,35.8,13676
2021-11-23 10:20:00+05:30,35.8,36.3,35.55,35.9,5941
2021-11-23 10:25:00+05:30,35.95,36.9,35.6,36.9,6233
2021-11-23 10:30:00+05:30,36.9,37.5,36.4,37.35,6104
2021-11-23 10:35:00+05:30,37.1,37.65,37.05,37.65,10640
2021-11-23 10:40:00+05:30,37.65,37.65,37.65,37.65,8420
2021-11-23 10:45:00+05:30,37.65,37.65,37.0,37.65,11173
2021-11-23 10:50:00+05:30,37.6,37.65,37.25,37.65,6493
2021-11-23 10:55:00+05:30,37.65,37.65,37.65,37.65,3302
2021-11-23 11:00:00+05:30,37.65,37.65,37.65,37.65,2
2021-11-23 11:05:00+05:30,37.65,37.65,37.65,37.65,15031
2021-11-23 11:10:00+05:30,37.65,37.65,37.65,37.65,0
2021-11-23 11:15:00+05:30,37.65,37.65,37.65,37.65,1314
2021-11-23 11:20:00+05:30,37.65,37.65,37.3,37.3,17696
2021-11-23 11:25:00+05:30,37.3,37.4,36.4,36.95,8233
2021-11-23 11:30:00+05:30,36.95,36.95,36.85,36.95,1806
2021-11-23 11:35:00+05:30,36.95,36.95,36.85,36.85,826
2021-11-23 11:40:00+05:30,36.85,36.85,36.75,36.85,2301
2021-11-23 11:45:00+05:30,36.85,36.85,36.4,36.4,1555
2021-11-23 11:50:00+05:30,36.4,36.6,36.15,36.6,797
2021-11-23 11:55:00+05:30,36.6,36.6,36.6,36.6,2512
2021-11-23 12:00:00+05:30,36.4,37.45,36.4,37.3,4168
2021-11-23 12:05:00+05:30,37.3,37.4,37.1,37.15,1447
2021-11-23 12:10:00+05:30,37.15,37.4,37.0,37.35,2063
2021-11-23 12:15:00+05:30,37.35,37.55,37.35,37.55,1782
2021-11-23 12:20:00+05:30,37.55,37.55,37.55,37.55,1960
2021-11-23 12:25:00+05:30,37.55,37.55,37.15,37.55,497
2021-11-23 12:30:00+05:30,37.4,37.65,37.2,37.65,8348
2021-11-23 12:35:00+05:30,37.65,37.65,37.65,37.65,30
2021-11-23 12:40:00+05:30,37.65,37.65,37.65,37.65,2
2021-11-23 12:45:00+05:30,37.65,37.65,37.65,37.65,0
2021-11-23 12:50:00+05:30,37.65,37.65,37.65,37.65,500
2021-11-23 12:55:00+05:30,37.65,37.65,37.65,37.65,50
2021-11-23 13:00:00+05:30,37.65,37.65,37.2,37.6,39143
2021-11-23 13:05:00+05:30,37.6,37.65,37.6,37.65,1037
2021-11-23 13:10:00+05:30,37.65,37.65,37.65,37.65,0
2021-11-23 13:15:00+05:30,37.65,37.65,37.65,37.65,0
2021-11-23 13:20:00+05:30,37.65,37.65,37.65,37.65,3007
2021-11-23 13:25:00+05:30,37.65,37.65,37.65,37.65,0
2021-11-23 13:30:00+05:30,37.65,37.65,37.65,37.65,2
2021-11-23 13:35:00+05:30,37.65,37.65,37.65,37.65,30
2021-11-23 13:40:00+05:30,37.65,37.65,37.65,37.65,0
2021-11-23 13:45:00+05:30,37.65,37.65,37.65,37.65,3000
2021-11-23 13:50:00+05:30,37.65,37.65,37.65,37.65,25
2021-11-23 13:55:00+05:30,37.65,37.65,37.65,37.65,3001
2021-11-23 14:00:00+05:30,37.65,37.65,37.65,37.65,1
2021-11-23 14:05:00+05:30,37.65,37.65,37.65,37.65,5701
2021-11-23 14:10:00+05:30,37.65,37.65,37.65,37.65,12
2021-11-23 14:15:00+05:30,37.65,37.65,37.65,37.65,2
2021-11-23 14:20:00+05:30,37.65,37.65,37.65,37.65,0
2021-11-23 14:25:00+05:30,37.65,37.65,37.65,37.65,2
2021-11-23 14:30:00+05:30,37.65,37.65,37.65,37.65,0
2021-11-23 14:35:00+05:30,37.65,37.65,37.65,37.65,0
2021-11-23 14:40:00+05:30,37.65,37.65,37.65,37.65,0
2021-11-23 14:45:00+05:30,37.65,37.65,37.65,37.65,0
2021-11-23 14:50:00+05:30,37.65,37.65,37.65,37.65,0
2021-11-23 14:55:00+05:30,37.65,37.65,37.65,37.65,1
2021-11-23 15:00:00+05:30,37.65,37.65,37.65,37.65,0
2021-11-23 15:05:00+05:30,37.65,37.65,37.65,37.65,0
2021-11-23 15:10:00+05:30,37.65,37.65,37.65,37.65,0
2021-11-23 15:15:00+05:30,37.65,37.65,37.65,37.65,31
2021-11-23 15:20:00+05:30,37.65,37.65,37.65,37.65,0
2021-11-23 15:25:00+05:30,37.65,37.65,37.65,37.65,0
2021-11-24 09:15:00+05:30,38.0,38.9,35.3,38.75,21167
2021-11-24 09:20:00+05:30,38.75,44.65,38.75,44.5,53966
2021-11-24 09:25:00+05:30,44.15,44.8,43.8,44.6,38883
2021-11-24 09:30:00+05:30,44.6,44.8,44.4,44.6,10905
2021-11-24 09:35:00+05:30,44.6,45.15,44.45,45.15,24994
2021-11-24 09:40:00+05:30,45.15,45.15,45.15,45.15,740
2021-11-24 09:45:00+05:30,45.15,45.15,45.15,45.15,101
2021-11-24 09:50:00+05:30,45.15,45.15,45.15,45.15,1611
