date,open,high,low,close,volume
2020-08-19 09:15:00+05:30,77.7,81.2,75.0,78.75,806
2020-08-19 09:20:00+05:30,78.75,78.75,75.1,76.95,402
2020-08-19 09:25:00+05:30,76.95,77.0,76.95,77.0,60
2020-08-19 09:30:00+05:30,77.0,78.7,75.8,78.5,3726
2020-08-19 09:35:00+05:30,78.5,78.5,75.95,78.45,107
2020-08-19 09:40:00+05:30,78.45,78.45,76.05,78.3,1323
2020-08-19 09:45:00+05:30,78.3,78.3,78.3,78.3,0
2020-08-19 09:50:00+05:30,78.3,78.3,77.65,77.65,1
2020-08-19 09:55:00+05:30,77.65,77.65,77.45,77.45,100
2020-08-19 10:00:00+05:30,77.45,77.45,77.25,77.3,599
2020-08-19 10:05:00+05:30,77.3,77.3,77.3,77.3,80
2020-08-19 10:10:00+05:30,77.3,77.35,77.3,77.35,1
2020-08-19 10:15:00+05:30,77.35,77.35,77.35,77.35,0
2020-08-19 10:20:00+05:30,77.35,77.35,77.35,77.35,11
2020-08-19 10:25:00+05:30,77.35,77.35,77.35,77.35,75
2020-08-19 10:30:00+05:30,77.35,77.35,77.35,77.35,0
2020-08-19 10:35:00+05:30,77.35,77.35,77.35,77.35,0
2020-08-19 10:40:00+05:30,77.35,77.4,76.85,77.4,399
2020-08-19 10:45:00+05:30,77.4,77.4,77.4,77.4,0
2020-08-19 10:50:00+05:30,77.35,77.4,77.35,77.4,347
2020-08-19 10:55:00+05:30,77.4,77.4,77.4,77.4,0
2020-08-19 11:00:00+05:30,77.55,78.7,77.5,77.5,536
2020-08-19 11:05:00+05:30,77.5,78.6,77.5,78.6,50
2020-08-19 11:10:00+05:30,78.6,78.6,78.55,78.6,359
2020-08-19 11:15:00+05:30,78.6,78.6,77.5,77.5,922
2020-08-19 11:20:00+05:30,77.5,77.5,77.5,77.5,0
2020-08-19 11:25:00+05:30,77.5,77.5,77.5,77.5,252
2020-08-19 11:30:00+05:30,77.5,77.5,77.4,77.4,400
2020-08-19 11:35:00+05:30,77.4,77.4,77.3,77.3,144
2020-08-19 11:40:00+05:30,77.3,77.3,77.3,77.3,110
2020-08-19 11:45:00+05:30,77.3,77.3,77.0,77.0,162
2020-08-19 11:50:00+05:30,77.0,77.0,76.25,77.0,230
2020-08-19 11:55:00+05:30,77.0,77.0,76.85,76.85,26
2020-08-19 12:00:00+05:30,76.35,76.9,76.35,76.9,167
2020-08-19 12:05:00+05:30,76.9,76.9,76.9,76.9,0
2020-08-19 12:10:00+05:30,76.9,76.9,76.9,76.9,0
2020-08-19 12:15:00+05:30,76.9,76.9,76.9,76.9,0
2020-08-19 12:20:00+05:30,76.5,76.5,76.5,76.5,120
2020-08-19 12:25:00+05:30,76.5,76.5,76.5,76.5,0
2020-08-19 12:30:00+05:30,76.5,76.5,76.5,76.5,0
2020-08-19 12:35:00+05:30,76.5,76.5,76.5,76.5,0
2020-08-19 12:40:00+05:30,76.5,76.5,76.5,76.5,0
2020-08-19 12:45:00+05:30,76.5,76.5,76.0,76.0,229
2020-08-19 12:50:00+05:30,76.0,77.5,76.0,77.5,270
