date,open,high,low,close,volume
2021-05-21 09:15:00+05:30,13.8,13.8,13.4,13.4,26525
2021-05-21 09:20:00+05:30,13.25,13.35,13.25,13.35,215
2021-05-21 09:25:00+05:30,13.35,13.4,13.3,13.4,125750
2021-05-21 09:30:00+05:30,13.4,13.4,13.35,13.35,1260
2021-05-21 09:35:00+05:30,13.35,13.7,13.3,13.6,45375
2021-05-21 09:40:00+05:30,13.4,13.5,13.3,13.35,1220
2021-05-21 09:45:00+05:30,13.35,13.35,13.0,13.0,6225
2021-05-21 09:50:00+05:30,13.0,13.0,12.2,12.8,21215
2021-05-21 09:55:00+05:30,12.8,12.8,12.6,12.75,660
2021-05-21 10:00:00+05:30,12.75,12.75,12.75,12.75,0
2021-05-21 10:05:00+05:30,12.75,12.75,12.75,12.75,125
2021-05-21 10:10:00+05:30,12.75,12.75,12.6,12.6,2445
2021-05-21 10:15:00+05:30,12.6,12.7,12.6,12.7,5410
2021-05-21 10:20:00+05:30,12.7,13.4,12.7,13.4,34520
2021-05-21 10:25:00+05:30,13.4,13.6,13.2,13.35,148730
2021-05-21 10:30:00+05:30,13.35,13.35,13.25,13.25,275275
2021-05-21 10:35:00+05:30,13.25,13.35,13.25,13.35,93450
2021-05-21 10:40:00+05:30,13.35,13.35,13.2,13.35,187890
2021-05-21 10:45:00+05:30,13.3,13.3,13.25,13.3,176780
2021-05-21 10:50:00+05:30,13.25,13.25,13.15,13.2,159715
2021-05-21 10:55:00+05:30,13.2,13.3,13.15,13.25,136950
2021-05-21 11:00:00+05:30,13.25,13.3,13.25,13.25,170005
2021-05-21 11:05:00+05:30,13.25,13.3,13.15,13.25,158125
2021-05-21 11:10:00+05:30,13.25,13.3,13.15,13.25,195810
2021-05-21 11:15:00+05:30,13.25,13.3,13.15,13.25,184430
2021-05-21 11:20:00+05:30,13.25,13.4,13.2,13.35,181350
2021-05-21 11:25:00+05:30,13.35,13.35,13.3,13.35,106920
2021-05-21 11:30:00+05:30,13.35,13.35,13.35,13.35,100000
2021-05-21 11:35:00+05:30,13.35,13.35,13.35,13.35,119500
2021-05-21 11:40:00+05:30,13.35,13.4,13.05,13.1,106015
2021-05-21 11:45:00+05:30,13.2,13.35,13.05,13.2,23160
2021-05-21 11:50:00+05:30,13.2,13.2,13.2,13.2,0
2021-05-21 11:55:00+05:30,13.2,13.35,13.1,13.35,370
2021-05-21 12:00:00+05:30,13.35,13.35,13.25,13.25,6000
2021-05-21 12:05:00+05:30,13.25,13.4,13.25,13.35,102585
2021-05-21 12:10:00+05:30,13.4,13.4,13.2,13.4,132995
2021-05-21 12:15:00+05:30,13.4,13.4,13.05,13.25,115935
2021-05-21 12:20:00+05:30,13.15,13.2,13.05,13.15,61805
2021-05-21 12:25:00+05:30,13.15,13.15,13.15,13.15,0
