date,open,high,low,close,volume
2021-12-29 09:20:00+05:30,66.0,68.0,66.0,68.0,99
2021-12-29 09:25:00+05:30,67.0,71.99,67.0,70.0,5300
2021-12-29 09:30:00+05:30,71.41,71.41,69.05,69.07,2014
2021-12-29 09:35:00+05:30,69.07,70.9,69.07,70.8,320
2021-12-29 09:40:00+05:30,70.8,70.8,70.78,70.78,441
2021-12-29 09:45:00+05:30,70.78,73.99,70.05,73.77,2934
2021-12-29 09:50:00+05:30,73.77,73.77,71.5,73.0,293
2021-12-29 09:55:00+05:30,73.0,73.5,71.5,73.47,1116
2021-12-29 10:00:00+05:30,73.47,73.5,73.47,73.5,737
2021-12-29 10:05:00+05:30,73.5,73.99,67.0,67.0,9848
2021-12-29 10:10:00+05:30,67.7,68.0,66.05,67.0,2456
2021-12-29 10:15:00+05:30,67.0,67.75,67.0,67.75,5186
2021-12-29 10:20:00+05:30,67.75,67.75,67.75,67.75,142
2021-12-29 10:25:00+05:30,67.75,67.75,67.02,67.75,408
2021-12-29 10:30:00+05:30,67.75,67.75,67.02,67.74,388
2021-12-29 10:35:00+05:30,67.74,67.74,67.69,67.69,433
2021-12-29 10:40:00+05:30,67.69,67.7,67.69,67.7,154
2021-12-29 10:45:00+05:30,67.7,67.7,67.69,67.69,4
2021-12-29 10:50:00+05:30,67.69,67.69,67.69,67.69,0
2021-12-29 10:55:00+05:30,67.69,67.69,67.69,67.69,0
2021-12-29 11:00:00+05:30,67.69,67.69,67.0,67.0,2603
2021-12-29 11:05:00+05:30,67.0,67.0,67.0,67.0,0
2021-12-29 11:10:00+05:30,67.0,67.0,67.0,67.0,236
2021-12-29 11:15:00+05:30,67.0,67.54,67.0,67.53,860
2021-12-29 11:20:00+05:30,67.53,67.69,67.53,67.69,200
2021-12-29 11:25:00+05:30,67.69,67.69,67.0,67.59,491
2021-12-29 11:30:00+05:30,67.59,67.59,67.59,67.59,661
2021-12-29 11:35:00+05:30,67.59,67.59,67.59,67.59,85
2021-12-29 11:40:00+05:30,67.59,67.6,67.59,67.6,600
2021-12-29 11:45:00+05:30,67.6,67.6,67.6,67.6,201
2021-12-29 11:50:00+05:30,67.6,67.6,67.12,67.12,82
2021-12-29 11:55:00+05:30,67.12,67.6,67.12,67.6,704
2021-12-29 12:00:00+05:30,67.6,67.6,67.6,67.6,1
2021-12-29 12:05:00+05:30,67.6,67.6,67.6,67.6,1121
2021-12-29 12:10:00+05:30,67.6,67.6,67.6,67.6,0
2021-12-29 12:15:00+05:30,67.6,67.6,67.6,67.6,100
2021-12-29 12:20:00+05:30,67.6,67.6,67.6,67.6,170
2021-12-29 12:25:00+05:30,67.23,67.23,67.23,67.23,14
2021-12-29 12:30:00+05:30,67.6,67.6,67.0,67.0,1681
2021-12-29 12:35:00+05:30,67.0,67.59,67.0,67.59,126
2021-12-29 12:40:00+05:30,67.59,67.59,67.0,67.0,500
2021-12-29 12:45:00+05:30,67.0,67.55,67.0,67.55,3403
2021-12-29 12:50:00+05:30,67.55,67.55,67.55,67.55,1000
2021-12-29 12:55:00+05:30,67.55,67.55,67.55,67.55,222
2021-12-29 13:00:00+05:30,67.55,67.55,67.5,67.55,230
