date,open,high,low,close,volume
2019-03-29 09:15:00+05:30,120.0,120.0,120.0,120.0,0
2019-03-29 09:40:00+05:30,115.0,115.0,115.0,115.0,0
2019-03-29 09:45:00+05:30,115.0,115.0,115.0,115.0,0
2019-03-29 09:50:00+05:30,115.0,115.0,115.0,115.0,0
2019-03-29 09:55:00+05:30,115.0,115.0,115.0,115.0,0
2019-03-29 10:00:00+05:30,114.0,120.0,111.0,117.95,103558
2019-03-29 10:05:00+05:30,117.95,118.5,117.5,117.65,18061
2019-03-29 10:10:00+05:30,117.65,117.8,115.5,116.5,10436
2019-03-29 10:15:00+05:30,116.8,117.0,115.25,116.5,11300
2019-03-29 10:20:00+05:30,116.5,117.0,115.8,116.25,8983
2019-03-29 10:25:00+05:30,116.25,117.0,116.25,116.7,5206
2019-03-29 10:30:00+05:30,116.7,116.95,116.0,116.0,4211
2019-03-29 10:35:00+05:30,116.1,116.5,115.2,115.2,3435
2019-03-29 10:40:00+05:30,115.2,115.4,115.0,115.0,6726
2019-03-29 10:45:00+05:30,115.0,116.5,115.0,115.75,3162
2019-03-29 10:50:00+05:30,115.75,116.5,115.0,115.0,3632
2019-03-29 10:55:00+05:30,115.0,116.0,115.0,115.5,2580
2019-03-29 11:00:00+05:30,115.5,116.2,115.5,115.65,2242
2019-03-29 11:05:00+05:30,115.65,116.4,115.5,116.4,2049
2019-03-29 11:10:00+05:30,116.4,116.85,116.0,116.5,7810
2019-03-29 11:15:00+05:30,116.8,118.0,116.0,117.0,19368
2019-03-29 11:20:00+05:30,117.0,118.0,116.85,117.05,3402
2019-03-29 11:25:00+05:30,117.05,118.0,117.05,118.0,6582
2019-03-29 11:30:00+05:30,118.0,118.35,117.5,118.2,2809
2019-03-29 11:35:00+05:30,118.2,118.45,117.55,117.55,2964
2019-03-29 11:40:00+05:30,117.5,118.0,117.5,117.6,1976
2019-03-29 11:45:00+05:30,117.55,118.0,117.5,117.5,3828
2019-03-29 11:50:00+05:30,117.5,118.0,117.0,117.75,7156
2019-03-29 11:55:00+05:30,117.75,117.9,117.1,117.2,1191
2019-03-29 12:00:00+05:30,117.2,117.4,116.6,116.6,1089
2019-03-29 12:05:00+05:30,116.6,117.0,116.0,116.0,797
2019-03-29 12:10:00+05:30,116.0,118.5,116.0,116.55,7693
2019-03-29 12:15:00+05:30,116.55,118.0,116.55,117.0,1766
2019-03-29 12:20:00+05:30,116.8,116.8,116.6,116.6,640
2019-03-29 12:25:00+05:30,116.6,116.65,116.5,116.55,500
2019-03-29 12:30:00+05:30,116.55,117.0,116.55,116.7,940
2019-03-29 12:35:00+05:30,116.7,116.8,116.55,116.55,1125
2019-03-29 12:40:00+05:30,116.55,116.7,116.55,116.7,980
2019-03-29 12:45:00+05:30,116.7,116.8,116.55,116.6,1257
2019-03-29 12:50:00+05:30,116.6,117.0,116.6,116.85,977
2019-03-29 12:55:00+05:30,116.85,117.0,116.55,116.55,2132
2019-03-29 13:00:00+05:30,116.55,116.9,116.25,116.25,835
2019-03-29 13:05:00+05:30,116.25,117.0,116.0,116.05,1652
2019-03-29 13:10:00+05:30,116.05,117.0,116.0,116.1,830
2019-03-29 13:15:00+05:30,116.1,117.0,116.1,116.1,572
2019-03-29 13:20:00+05:30,116.1,116.75,116.1,116.5,729
2019-03-29 13:25:00+05:30,116.5,116.5,116.1,116.5,5292
2019-03-29 13:30:00+05:30,116.5,116.5,116.1,116.1,3456
2019-03-29 13:35:00+05:30,116.1,116.45,116.0,116.35,1270
2019-03-29 13:40:00+05:30,116.0,116.5,115.1,115.25,2538
2019-03-29 13:45:00+05:30,115.25,115.25,114.5,114.95,4278
2019-03-29 13:50:00+05:30,114.95,114.95,114.0,114.95,1261
2019-03-29 13:55:00+05:30,114.95,115.0,114.65,115.0,824
2019-03-29 14:00:00+05:30,115.0,115.0,114.9,115.0,1884
2019-03-29 14:05:00+05:30,115.0,115.0,114.5,114.5,889
2019-03-29 14:10:00+05:30,114.5,115.0,114.5,114.5,582
2019-03-29 14:15:00+05:30,114.5,115.0,114.5,115.0,467
2019-03-29 14:20:00+05:30,115.0,115.0,114.5,114.5,604
2019-03-29 14:25:00+05:30,114.5,115.0,114.5,114.5,900
2019-03-29 14:30:00+05:30,114.5,114.9,114.5,114.5,1515
2019-03-29 14:35:00+05:30,114.5,114.8,114.5,114.5,558
2019-03-29 14:40:00+05:30,114.5,114.8,114.2,114.2,842
2019-03-29 14:45:00+05:30,114.2,115.0,114.05,114.05,3056
2019-03-29 14:50:00+05:30,114.0,114.05,113.8,113.85,4721
2019-03-29 14:55:00+05:30,113.85,114.9,113.8,113.8,695
2019-03-29 15:00:00+05:30,113.8,114.0,113.05,113.4,1474
2019-03-29 15:05:00+05:30,113.4,114.85,113.4,113.8,2107
2019-03-29 15:10:00+05:30,114.0,115.0,113.8,115.0,3281
2019-03-29 15:15:00+05:30,115.0,115.0,113.9,114.8,2859
2019-03-29 15:20:00+05:30,114.8,114.8,113.5,113.9,4128
2019-03-29 15:25:00+05:30,113.6,115.0,113.5,113.8,3621
2019-04-01 09:15:00+05:30,114.95,115.95,114.0,115.55,7381
2019-04-01 09:20:00+05:30,115.55,115.55,114.2,114.2,2291
2019-04-01 09:25:00+05:30,114.2,115.55,114.2,115.0,2870
2019-04-01 09:30:00+05:30,115.0,115.0,114.0,114.0,1456
2019-04-01 09:35:00+05:30,114.0,114.95,113.95,113.95,1034
2019-04-01 09:40:00+05:30,113.95,113.95,112.35,112.35,2118
2019-04-01 09:45:00+05:30,112.35,113.0,112.35,112.4,1080
2019-04-01 09:50:00+05:30,112.35,113.5,112.35,112.35,1526
2019-04-01 09:55:00+05:30,112.05,113.0,112.05,112.05,1521
2019-04-01 10:00:00+05:30,112.05,113.0,112.05,113.0,961
2019-04-01 10:05:00+05:30,113.0,113.5,112.05,112.05,1126
2019-04-01 10:10:00+05:30,112.05,113.0,112.05,112.05,715
2019-04-01 10:15:00+05:30,112.05,113.0,111.0,111.6,1279
2019-04-01 10:20:00+05:30,111.6,113.0,111.05,111.05,1260
2019-04-01 10:25:00+05:30,111.05,113.0,111.05,112.95,1930
2019-04-01 10:30:00+05:30,112.95,114.5,112.0,114.5,3396
2019-04-01 10:35:00+05:30,114.5,114.95,112.0,112.0,2602
2019-04-01 10:40:00+05:30,112.0,114.0,112.0,112.0,380
2019-04-01 10:45:00+05:30,112.0,113.95,112.0,112.05,710
2019-04-01 10:50:00+05:30,112.05,113.0,111.5,111.5,2024
2019-04-01 10:55:00+05:30,111.5,111.6,111.5,111.6,816
2019-04-01 11:00:00+05:30,111.6,112.0,111.6,112.0,480
2019-04-01 11:05:00+05:30,112.0,112.9,111.7,111.7,703
2019-04-01 11:10:00+05:30,111.7,112.0,111.6,112.0,290
2019-04-01 11:15:00+05:30,112.0,112.0,111.5,111.5,280
2019-04-01 11:20:00+05:30,111.5,111.9,111.5,111.5,270
2019-04-01 11:25:00+05:30,111.5,112.0,111.5,112.0,555
2019-04-01 11:30:00+05:30,112.0,112.8,112.0,112.8,434
2019-04-01 11:35:00+05:30,112.8,112.8,111.5,111.5,452
2019-04-01 11:40:00+05:30,111.5,112.9,111.5,112.9,373
2019-04-01 11:45:00+05:30,112.9,113.5,111.75,111.75,819
2019-04-01 11:50:00+05:30,111.75,111.75,111.35,111.7,703
2019-04-01 11:55:00+05:30,111.7,113.45,111.7,113.0,350
2019-04-01 12:00:00+05:30,113.0,113.0,111.7,113.0,231
2019-04-01 12:05:00+05:30,113.0,113.5,113.0,113.1,508
2019-04-01 12:10:00+05:30,113.5,113.95,113.0,113.0,359
2019-04-01 12:15:00+05:30,113.0,113.0,113.0,113.0,360
2019-04-01 12:20:00+05:30,113.9,113.9,113.0,113.0,519
2019-04-01 12:25:00+05:30,113.0,113.0,113.0,113.0,207
2019-04-01 12:30:00+05:30,113.0,113.0,113.0,113.0,171
2019-04-01 12:35:00+05:30,113.0,113.0,111.45,111.45,285
2019-04-01 12:40:00+05:30,111.45,111.45,111.45,111.45,90
2019-04-01 12:45:00+05:30,111.45,112.9,111.45,112.9,32
2019-04-01 12:50:00+05:30,112.9,112.9,111.5,111.5,90
2019-04-01 12:55:00+05:30,111.5,112.9,111.5,111.5,286
2019-04-01 13:00:00+05:30,111.5,111.5,111.5,111.5,0
2019-04-01 13:05:00+05:30,111.5,112.75,111.5,111.5,315
2019-04-01 13:10:00+05:30,111.5,112.3,111.5,112.3,10
2019-04-01 13:15:00+05:30,111.5,111.5,111.5,111.5,80
2019-04-01 13:20:00+05:30,111.5,112.55,111.5,111.5,205
2019-04-01 13:25:00+05:30,111.5,112.0,111.5,112.0,130
2019-04-01 13:30:00+05:30,112.55,112.55,111.5,112.45,118
2019-04-01 13:35:00+05:30,112.45,112.45,111.5,111.5,461
2019-04-01 13:40:00+05:30,111.5,112.0,111.5,112.0,17
2019-04-01 13:45:00+05:30,112.0,112.0,111.5,111.5,270
2019-04-01 13:50:00+05:30,112.0,112.0,111.5,111.5,190
2019-04-01 13:55:00+05:30,111.5,111.95,111.5,111.55,141
2019-04-01 14:00:00+05:30,111.55,111.55,111.55,111.55,43
2019-04-01 14:05:00+05:30,111.55,112.0,111.55,111.55,380
2019-04-01 14:10:00+05:30,111.55,112.0,111.55,112.0,307
2019-04-01 14:15:00+05:30,112.0,112.0,111.55,111.55,630
2019-04-01 14:20:00+05:30,111.55,111.9,111.55,111.55,286
2019-04-01 14:25:00+05:30,111.55,111.9,111.5,111.5,482
2019-04-01 14:30:00+05:30,111.9,111.9,111.5,111.9,23
2019-04-01 14:35:00+05:30,111.7,112.0,111.5,112.0,383
2019-04-01 14:40:00+05:30,112.0,112.0,111.9,111.9,31
2019-04-01 14:45:00+05:30,111.9,111.9,111.5,111.5,453
2019-04-01 14:50:00+05:30,111.5,111.9,111.5,111.9,270
2019-04-01 14:55:00+05:30,111.9,111.9,111.5,111.85,623
2019-04-01 15:00:00+05:30,111.45,111.85,111.45,111.45,760
2019-04-01 15:05:00+05:30,111.45,111.45,111.4,111.4,990
2019-04-01 15:10:00+05:30,111.4,111.75,111.4,111.5,385
2019-04-01 15:15:00+05:30,111.5,111.85,111.5,111.85,657
2019-04-01 15:20:00+05:30,111.85,112.0,111.85,111.95,1576
2019-04-01 15:25:00+05:30,111.95,112.4,111.9,112.0,1506
2019-04-02 09:15:00+05:30,111.0,112.0,111.0,111.0,561
2019-04-02 09:20:00+05:30,111.0,111.0,110.0,110.05,1032
2019-04-02 09:25:00+05:30,110.05,110.1,110.0,110.0,4050
2019-04-02 09:30:00+05:30,110.0,110.0,109.1,109.1,1933
2019-04-02 09:35:00+05:30,109.1,109.5,108.2,108.2,1654
2019-04-02 09:40:00+05:30,108.2,108.85,108.05,108.5,5273
2019-04-02 09:45:00+05:30,108.5,110.0,108.5,110.0,1663
2019-04-02 09:50:00+05:30,110.0,110.0,108.55,109.0,703
2019-04-02 09:55:00+05:30,109.0,110.0,108.5,109.1,936
2019-04-02 10:00:00+05:30,109.1,110.0,109.0,109.0,534
2019-04-02 10:05:00+05:30,109.0,109.0,108.75,108.75,895
2019-04-02 10:10:00+05:30,108.75,108.75,108.45,108.65,554
2019-04-02 10:15:00+05:30,108.65,108.65,108.05,108.3,403
2019-04-02 10:20:00+05:30,108.3,109.0,108.05,108.05,1112
2019-04-02 10:25:00+05:30,108.05,108.55,108.0,108.5,1180
2019-04-02 10:30:00+05:30,108.5,110.0,108.5,109.0,774
2019-04-02 10:35:00+05:30,109.0,109.95,109.0,109.0,395
2019-04-02 10:40:00+05:30,108.55,109.95,108.55,108.55,480
2019-04-02 10:45:00+05:30,108.55,109.0,108.15,108.15,513
2019-04-02 10:50:00+05:30,108.15,109.0,108.15,108.5,130
2019-04-02 10:55:00+05:30,108.5,108.8,108.2,108.2,361
2019-04-02 11:00:00+05:30,108.7,108.8,108.35,108.35,306
2019-04-02 11:05:00+05:30,108.35,108.35,108.2,108.2,251
2019-04-02 11:10:00+05:30,108.2,108.2,108.15,108.15,1000
2019-04-02 11:15:00+05:30,108.1,108.15,108.1,108.15,546
2019-04-02 11:20:00+05:30,108.15,108.85,108.1,108.85,511
2019-04-02 11:25:00+05:30,108.85,109.0,108.1,109.0,245
2019-04-02 11:30:00+05:30,108.1,108.1,108.1,108.1,180
2019-04-02 11:35:00+05:30,108.1,108.9,108.1,108.9,664
2019-04-02 11:40:00+05:30,108.9,108.95,108.1,108.1,290
2019-04-02 11:45:00+05:30,108.1,108.1,108.1,108.1,180
2019-04-02 11:50:00+05:30,108.1,108.8,108.1,108.8,300
2019-04-02 11:55:00+05:30,108.8,108.8,108.8,108.8,0
2019-04-02 12:00:00+05:30,109.0,109.0,108.1,108.9,460
2019-04-02 12:05:00+05:30,108.9,109.0,108.25,109.0,380
2019-04-02 12:10:00+05:30,109.0,109.0,108.5,109.0,381
2019-04-02 12:15:00+05:30,109.0,109.1,108.5,108.5,208
2019-04-02 12:20:00+05:30,108.5,108.6,108.5,108.5,211
2019-04-02 12:25:00+05:30,108.5,108.5,108.25,108.25,344
2019-04-02 12:30:00+05:30,108.25,108.5,108.25,108.5,339
2019-04-02 12:35:00+05:30,108.5,108.6,108.5,108.6,60
2019-04-02 12:40:00+05:30,108.6,109.0,108.6,109.0,120
2019-04-02 12:45:00+05:30,109.0,109.0,109.0,109.0,0
2019-04-02 12:50:00+05:30,108.6,108.6,108.5,108.5,490
2019-04-02 12:55:00+05:30,108.5,108.5,108.5,108.5,183
2019-04-02 13:00:00+05:30,108.5,108.5,108.25,108.3,270
2019-04-02 13:05:00+05:30,108.3,108.3,108.25,108.25,619
2019-04-02 13:10:00+05:30,108.2,108.9,108.0,108.9,1677
2019-04-02 13:15:00+05:30,108.95,108.95,108.0,108.0,1184
2019-04-02 13:20:00+05:30,108.0,108.85,108.0,108.85,210
2019-04-02 13:25:00+05:30,108.85,108.85,108.85,108.85,0
2019-04-02 13:30:00+05:30,108.85,108.85,108.4,108.4,50
2019-04-02 13:35:00+05:30,108.4,109.0,108.4,109.0,1760
2019-04-02 13:40:00+05:30,109.0,109.3,109.0,109.3,232
2019-04-02 13:45:00+05:30,109.3,109.3,109.3,109.3,0
2019-04-02 13:50:00+05:30,109.0,109.0,109.0,109.0,540
2019-04-02 13:55:00+05:30,109.0,110.0,109.0,110.0,1100
2019-04-02 14:00:00+05:30,110.0,110.0,109.0,109.0,540
2019-04-02 14:05:00+05:30,109.0,109.0,109.0,109.0,270
2019-04-02 14:10:00+05:30,109.0,109.0,109.0,109.0,260
2019-04-02 14:15:00+05:30,109.0,110.0,109.0,110.0,503
2019-04-02 14:20:00+05:30,110.0,110.0,110.0,110.0,10
2019-04-02 14:25:00+05:30,110.0,110.0,110.0,110.0,0
2019-04-02 14:30:00+05:30,110.0,110.0,109.0,109.0,270
2019-04-02 14:35:00+05:30,109.0,109.0,109.0,109.0,0
2019-04-02 14:40:00+05:30,109.0,110.0,109.0,110.0,1090
2019-04-02 14:45:00+05:30,110.0,110.0,109.0,109.0,270
2019-04-02 14:50:00+05:30,109.3,109.3,109.0,109.0,616
2019-04-02 14:55:00+05:30,109.0,109.85,109.0,109.85,91
2019-04-02 15:00:00+05:30,109.85,111.6,109.5,111.6,5867
2019-04-02 15:05:00+05:30,111.6,112.0,110.0,111.95,2717
2019-04-02 15:10:00+05:30,111.95,112.0,110.0,111.9,3087
2019-04-02 15:15:00+05:30,111.9,111.9,110.5,110.5,475
2019-04-02 15:20:00+05:30,110.5,110.55,110.0,110.55,504
2019-04-02 15:25:00+05:30,109.0,111.0,109.0,111.0,2776
2019-04-03 09:15:00+05:30,110.0,110.0,107.65,107.7,348
2019-04-03 09:20:00+05:30,109.9,109.9,107.7,108.0,764
2019-04-03 09:25:00+05:30,108.0,108.5,107.55,107.6,644
2019-04-03 09:30:00+05:30,107.6,107.7,107.6,107.6,327
2019-04-03 09:35:00+05:30,107.6,108.5,107.55,108.0,378
2019-04-03 09:40:00+05:30,108.0,110.0,107.55,107.65,1493
2019-04-03 09:45:00+05:30,107.65,107.7,107.5,107.5,554
2019-04-03 09:50:00+05:30,107.5,108.0,107.5,108.0,598
2019-04-03 09:55:00+05:30,108.0,108.5,108.0,108.5,1
2019-04-03 10:00:00+05:30,108.0,109.0,108.0,109.0,360
2019-04-03 10:05:00+05:30,108.0,108.0,107.6,108.0,201
2019-04-03 10:10:00+05:30,108.0,108.9,108.0,108.0,989
2019-04-03 10:15:00+05:30,108.0,109.0,108.0,108.05,329
2019-04-03 10:20:00+05:30,108.05,109.0,108.05,108.05,201
2019-04-03 10:25:00+05:30,108.05,108.05,108.05,108.05,488
2019-04-03 10:30:00+05:30,108.05,108.6,108.05,108.05,97
2019-04-03 10:35:00+05:30,108.05,109.9,108.05,109.9,380
2019-04-03 10:40:00+05:30,109.9,109.9,108.6,108.6,381
2019-04-03 10:45:00+05:30,108.6,109.6,108.6,108.6,60
2019-04-03 10:50:00+05:30,108.6,109.5,108.6,109.5,1
2019-04-03 10:55:00+05:30,109.5,109.5,107.95,107.95,252
2019-04-03 11:00:00+05:30,107.95,108.0,107.8,108.0,267
2019-04-03 11:05:00+05:30,108.0,108.0,107.6,108.0,97
2019-04-03 11:10:00+05:30,108.0,108.5,108.0,108.5,229
2019-04-03 11:15:00+05:30,108.0,108.5,108.0,108.5,151
2019-04-03 11:20:00+05:30,108.5,108.5,108.0,108.0,90
2019-04-03 11:25:00+05:30,108.0,108.6,108.0,108.6,383
2019-04-03 11:30:00+05:30,108.6,109.0,108.0,108.0,239
2019-04-03 11:35:00+05:30,108.0,109.0,108.0,108.0,626
2019-04-03 11:40:00+05:30,109.0,109.5,108.0,108.0,1174
2019-04-03 11:45:00+05:30,108.0,108.05,108.0,108.05,626
2019-04-03 11:50:00+05:30,108.05,108.05,108.0,108.05,767
2019-04-03 11:55:00+05:30,108.05,108.55,108.05,108.55,474
