date,open,high,low,close,volume
2022-03-28 09:15:00+05:30,64.9,64.9,64.9,64.9,0
2022-03-28 09:40:00+05:30,65.2,65.2,65.2,65.2,0
2022-03-28 09:45:00+05:30,65.2,65.2,65.2,65.2,0
2022-03-28 09:50:00+05:30,65.2,65.2,65.2,65.2,0
2022-03-28 09:55:00+05:30,65.2,65.2,65.2,65.2,0
2022-03-28 10:00:00+05:30,68.45,68.45,65.2,67.0,4856133
2022-03-28 10:05:00+05:30,67.0,68.0,66.0,66.3,561911
2022-03-28 10:10:00+05:30,66.05,66.8,65.8,66.1,1843432
2022-03-28 10:15:00+05:30,66.25,66.25,65.5,66.0,815412
2022-03-28 10:20:00+05:30,66.0,66.5,65.5,66.15,416981
2022-03-28 10:25:00+05:30,66.15,66.35,66.0,66.1,708454
2022-03-28 10:30:00+05:30,66.2,66.2,66.0,66.15,170774
2022-03-28 10:35:00+05:30,66.2,66.25,66.0,66.05,944312
2022-03-28 10:40:00+05:30,66.0,66.2,65.3,65.9,951147
2022-03-28 10:45:00+05:30,65.5,66.0,64.6,65.15,171347
2022-03-28 10:50:00+05:30,65.0,65.95,63.0,63.8,279758
2022-03-28 10:55:00+05:30,63.85,64.2,62.15,63.0,242607
2022-03-28 11:00:00+05:30,63.0,64.0,62.55,63.1,149376
2022-03-28 11:05:00+05:30,63.45,64.0,63.0,63.8,64854
2022-03-28 11:10:00+05:30,63.95,64.0,62.8,63.25,142027
2022-03-28 11:15:00+05:30,63.25,63.95,62.3,62.6,183830
2022-03-28 11:20:00+05:30,62.9,63.0,62.3,62.45,196698
2022-03-28 11:25:00+05:30,62.5,63.0,62.4,62.6,195739
2022-03-28 11:30:00+05:30,62.95,63.0,62.55,62.9,140679
2022-03-28 11:35:00+05:30,62.95,63.0,62.0,62.15,401046
2022-03-28 11:40:00+05:30,62.2,63.0,62.2,63.0,179643
2022-03-28 11:45:00+05:30,63.0,63.0,62.6,63.0,176085
2022-03-28 11:50:00+05:30,63.0,63.0,62.1,62.55,209775
2022-03-28 11:55:00+05:30,62.8,63.0,62.55,62.8,112723
2022-03-28 12:00:00+05:30,62.95,62.95,62.0,62.55,183289
2022-03-28 12:05:00+05:30,62.55,62.9,61.95,62.7,1137206
2022-03-28 12:10:00+05:30,62.7,62.75,61.95,62.5,272566
