date,open,high,low,close,volume
2022-08-19 09:40:00+05:30,14.8,14.9,14.8,14.9,2
2022-08-19 09:45:00+05:30,14.9,14.9,14.9,14.9,0
2022-08-19 09:50:00+05:30,14.9,15.25,14.9,15.25,12
2022-08-19 09:55:00+05:30,15.25,15.5,15.25,15.5,8
2022-08-19 10:00:00+05:30,15.5,15.9,15.5,15.9,100
2022-08-19 10:05:00+05:30,15.9,15.9,14.46,14.55,305
2022-08-19 10:10:00+05:30,15.9,15.9,15.9,15.9,1
2022-08-19 10:15:00+05:30,15.9,15.9,15.9,15.9,0
2022-08-19 10:20:00+05:30,15.9,15.9,15.0,15.0,2
2022-08-19 10:25:00+05:30,15.0,15.96,15.0,15.96,30
2022-08-19 10:30:00+05:30,15.96,15.96,15.96,15.96,116
2022-08-19 10:35:00+05:30,15.96,15.96,15.96,15.96,8
2022-08-19 10:40:00+05:30,15.96,16.0,15.96,16.0,21
2022-08-19 10:45:00+05:30,16.0,16.0,15.2,16.0,152
2022-08-19 10:50:00+05:30,16.0,16.03,16.0,16.03,9
2022-08-19 10:55:00+05:30,16.03,16.03,16.03,16.03,0
2022-08-19 11:00:00+05:30,16.03,16.03,16.01,16.01,1
2022-08-19 11:05:00+05:30,16.01,16.01,16.01,16.01,0
2022-08-19 11:10:00+05:30,16.01,16.01,15.2,16.01,152
2022-08-19 11:15:00+05:30,16.01,16.01,15.24,15.24,17
2022-08-19 11:20:00+05:30,15.24,15.24,15.24,15.24,0
2022-08-19 11:25:00+05:30,16.01,16.01,16.01,16.01,18
2022-08-19 11:30:00+05:30,16.01,16.01,16.01,16.01,50
2022-08-19 11:35:00+05:30,16.01,16.01,16.01,16.01,45
2022-08-19 11:40:00+05:30,16.01,16.01,16.01,16.01,35
2022-08-19 11:45:00+05:30,16.01,16.01,16.01,16.01,5
2022-08-19 11:50:00+05:30,16.01,16.01,16.0,16.0,4
2022-08-19 11:55:00+05:30,16.0,16.0,16.0,16.0,2
2022-08-19 12:00:00+05:30,16.0,16.0,15.35,15.35,8
2022-08-19 12:05:00+05:30,15.35,15.35,15.35,15.35,0
2022-08-19 12:10:00+05:30,15.35,15.81,15.35,15.4,52
2022-08-19 12:15:00+05:30,15.4,15.4,15.4,15.4,0
2022-08-19 12:20:00+05:30,15.4,15.4,15.4,15.4,50
2022-08-19 12:25:00+05:30,16.19,16.5,15.32,16.5,33
2022-08-19 12:30:00+05:30,16.5,16.75,16.5,16.75,424
2022-08-19 12:35:00+05:30,16.75,16.83,15.35,16.3,109
2022-08-19 12:40:00+05:30,16.3,16.76,15.52,15.61,6
2022-08-19 12:45:00+05:30,15.61,15.63,15.61,15.63,1
2022-08-19 12:50:00+05:30,15.63,15.63,15.63,15.63,0
2022-08-19 12:55:00+05:30,15.63,15.63,15.63,15.63,0
2022-08-19 13:00:00+05:30,15.63,15.63,15.63,15.63,0
2022-08-19 13:05:00+05:30,15.63,16.72,15.63,15.63,11
2022-08-19 13:10:00+05:30,15.63,15.65,15.63,15.65,9
2022-08-19 13:15:00+05:30,15.65,16.73,15.65,16.73,20
2022-08-19 13:20:00+05:30,16.73,16.73,16.0,16.01,11
2022-08-19 13:25:00+05:30,16.01,16.74,16.01,16.74,650
2022-08-19 13:30:00+05:30,16.74,16.89,16.02,16.02,16
2022-08-19 13:35:00+05:30,16.02,16.02,16.02,16.02,0
2022-08-19 13:40:00+05:30,16.02,16.02,16.02,16.02,0
2022-08-19 13:45:00+05:30,16.02,16.02,16.02,16.02,0
2022-08-19 13:50:00+05:30,16.02,16.02,16.02,16.02,0
2022-08-19 13:55:00+05:30,16.02,16.89,16.02,16.89,2
2022-08-19 14:00:00+05:30,16.89,16.89,16.89,16.89,3
2022-08-19 14:05:00+05:30,16.89,16.89,16.89,16.89,0
2022-08-19 14:10:00+05:30,16.89,16.9,16.89,16.9,115
2022-08-19 14:15:00+05:30,16.9,17.64,16.9,17.4,28
2022-08-19 14:20:00+05:30,17.4,17.64,17.0,17.0,120
2022-08-19 14:25:00+05:30,17.0,17.0,17.0,17.0,0
2022-08-19 14:30:00+05:30,17.0,17.64,17.0,17.64,53
2022-08-19 14:35:00+05:30,17.64,17.64,16.23,16.23,600
2022-08-19 14:40:00+05:30,16.23,16.23,16.23,16.23,0
2022-08-19 14:45:00+05:30,16.23,16.23,16.23,16.23,0
2022-08-19 14:50:00+05:30,16.23,16.23,16.23,16.23,0
2022-08-19 14:55:00+05:30,16.23,16.23,16.23,16.23,0
2022-08-19 15:00:00+05:30,16.23,16.23,16.23,16.23,0
2022-08-19 15:05:00+05:30,16.23,16.23,16.23,16.23,0
2022-08-19 15:10:00+05:30,16.23,16.23,16.23,16.23,0
2022-08-19 15:15:00+05:30,16.23,16.23,16.23,16.23,0
2022-08-19 15:20:00+05:30,17.64,17.64,17.64,17.64,200
2022-08-19 15:25:00+05:30,17.64,17.64,17.64,17.64,0
2022-08-22 09:15:00+05:30,20.93,21.16,17.64,18.34,10335
2022-08-22 09:20:00+05:30,18.34,21.11,15.0,16.0,21881
2022-08-22 09:25:00+05:30,16.0,17.0,15.0,15.0,11186
2022-08-22 09:30:00+05:30,15.0,15.49,14.75,15.0,13568
2022-08-22 09:35:00+05:30,15.49,15.9,15.0,15.16,167944
2022-08-22 09:40:00+05:30,15.16,15.48,14.8,14.98,277569
2022-08-22 09:45:00+05:30,14.98,14.98,14.79,14.79,1261
2022-08-22 09:50:00+05:30,14.79,14.93,14.65,14.88,12009
2022-08-22 09:55:00+05:30,14.88,14.88,14.85,14.85,4352
2022-08-22 10:00:00+05:30,14.85,14.85,14.8,14.85,1032
2022-08-22 10:05:00+05:30,14.85,14.85,14.67,14.67,2756
2022-08-22 10:10:00+05:30,14.67,14.85,14.67,14.84,3028
2022-08-22 10:15:00+05:30,14.84,14.84,14.75,14.84,825
2022-08-22 10:20:00+05:30,14.84,14.85,14.68,14.68,5336
2022-08-22 10:25:00+05:30,14.68,14.8,14.68,14.78,2186
2022-08-22 10:30:00+05:30,14.78,14.78,14.78,14.78,2156
2022-08-22 10:35:00+05:30,14.78,14.78,14.71,14.71,1161
2022-08-22 10:40:00+05:30,14.74,14.74,14.61,14.61,52925
2022-08-22 10:45:00+05:30,14.61,14.69,14.61,14.69,11000
2022-08-22 10:50:00+05:30,14.69,14.74,14.63,14.72,50082
2022-08-22 10:55:00+05:30,14.72,14.72,14.72,14.72,600
2022-08-22 11:00:00+05:30,14.72,14.72,14.66,14.66,242
2022-08-22 11:05:00+05:30,14.66,14.72,14.66,14.72,5
2022-08-22 11:10:00+05:30,14.72,14.72,14.72,14.72,0
2022-08-22 11:15:00+05:30,14.71,14.71,14.71,14.71,121
2022-08-22 11:20:00+05:30,14.71,14.72,14.61,14.72,14144
2022-08-22 11:25:00+05:30,14.72,14.72,14.72,14.72,42
2022-08-22 11:30:00+05:30,14.72,14.72,14.7,14.7,1084
2022-08-22 11:35:00+05:30,14.7,14.7,14.7,14.7,0
2022-08-22 11:40:00+05:30,14.7,14.73,14.66,14.66,1019
2022-08-22 11:45:00+05:30,14.66,14.66,14.66,14.66,0
2022-08-22 11:50:00+05:30,14.66,14.66,14.66,14.66,20
2022-08-22 11:55:00+05:30,14.74,14.74,14.74,14.74,16
2022-08-22 12:00:00+05:30,14.74,14.74,14.73,14.73,17
2022-08-22 12:05:00+05:30,14.73,14.73,14.67,14.67,15
2022-08-22 12:10:00+05:30,14.67,14.68,14.67,14.68,1000
2022-08-22 12:15:00+05:30,14.68,14.68,14.68,14.68,0
2022-08-22 12:20:00+05:30,14.68,14.74,14.68,14.74,101
2022-08-22 12:25:00+05:30,14.74,14.74,14.74,14.74,176
2022-08-22 12:30:00+05:30,14.74,14.74,14.74,14.74,21
2022-08-22 12:35:00+05:30,14.74,14.76,14.74,14.76,3401
2022-08-22 12:40:00+05:30,14.76,14.76,14.76,14.76,49
2022-08-22 12:45:00+05:30,14.76,14.76,14.75,14.76,200
2022-08-22 12:50:00+05:30,14.76,14.76,14.76,14.76,200
2022-08-22 12:55:00+05:30,14.76,14.76,14.76,14.76,0
2022-08-22 13:00:00+05:30,14.76,14.76,14.76,14.76,4
2022-08-22 13:05:00+05:30,14.76,14.82,14.76,14.82,1051
2022-08-22 13:10:00+05:30,14.82,14.82,14.82,14.82,0
2022-08-22 13:15:00+05:30,14.75,14.82,14.75,14.82,12
2022-08-22 13:20:00+05:30,14.82,14.82,14.82,14.82,2
2022-08-22 13:25:00+05:30,14.82,14.82,14.82,14.82,0
2022-08-22 13:30:00+05:30,14.81,14.82,14.81,14.81,3749
