date,open,high,low,close,volume
2020-10-05 09:15:00+05:30,645.0,645.0,635.45,637.25,974
2020-10-05 09:20:00+05:30,637.25,643.8,637.25,639.0,598
2020-10-05 09:25:00+05:30,639.0,643.5,639.0,641.8,378
2020-10-05 09:30:00+05:30,641.8,646.05,640.6,644.35,1056
2020-10-05 09:35:00+05:30,644.35,644.35,640.45,643.05,622
2020-10-05 09:40:00+05:30,643.05,643.05,643.0,643.0,43
2020-10-05 09:45:00+05:30,641.3,645.0,640.5,641.0,437
2020-10-05 09:50:00+05:30,641.0,647.0,641.0,647.0,332
2020-10-05 09:55:00+05:30,647.0,648.95,641.0,646.95,1720
2020-10-05 10:00:00+05:30,646.95,660.0,642.6,656.4,1433
2020-10-05 10:05:00+05:30,656.4,660.95,652.3,660.5,474
2020-10-05 10:10:00+05:30,660.5,694.8,660.5,690.0,5515
2020-10-05 10:15:00+05:30,690.0,698.0,685.1,689.95,2107
2020-10-05 10:20:00+05:30,689.95,690.0,680.05,681.3,1012
2020-10-05 10:25:00+05:30,681.3,691.0,681.3,686.0,2274
2020-10-05 10:30:00+05:30,686.0,688.0,682.25,685.0,589
2020-10-05 10:35:00+05:30,685.0,686.9,679.0,679.1,942
2020-10-05 10:40:00+05:30,679.1,680.0,679.0,680.0,377
2020-10-05 10:45:00+05:30,680.0,680.05,675.55,675.55,357
2020-10-05 10:50:00+05:30,675.55,679.85,675.55,677.8,420
2020-10-05 10:55:00+05:30,677.8,679.8,672.1,673.0,1187
2020-10-05 11:00:00+05:30,673.0,681.0,673.0,680.0,1145
2020-10-05 11:05:00+05:30,680.0,685.0,680.0,685.0,312
2020-10-05 11:10:00+05:30,685.0,685.0,681.05,683.0,376
2020-10-05 11:15:00+05:30,683.0,686.35,683.0,685.75,635
2020-10-05 11:20:00+05:30,685.75,688.3,685.05,688.0,671
2020-10-05 11:25:00+05:30,688.0,688.0,683.0,683.0,243
2020-10-05 11:30:00+05:30,683.5,700.0,683.45,693.0,2524
2020-10-05 11:35:00+05:30,690.0,695.0,688.0,693.0,1890
2020-10-05 11:40:00+05:30,688.6,696.95,688.6,696.95,615
2020-10-05 11:45:00+05:30,696.95,701.9,691.5,694.05,5236
2020-10-05 11:50:00+05:30,694.05,694.95,690.2,692.05,265
2020-10-05 11:55:00+05:30,692.05,692.05,691.3,691.6,428
2020-10-05 12:00:00+05:30,691.35,691.35,688.05,691.0,816
2020-10-05 12:05:00+05:30,691.0,691.0,675.35,680.0,1295
2020-10-05 12:10:00+05:30,680.0,684.85,680.0,680.05,711
2020-10-05 12:15:00+05:30,680.05,684.9,680.05,681.55,204
2020-10-05 12:20:00+05:30,681.55,681.55,677.65,679.75,736
2020-10-05 12:25:00+05:30,679.75,680.05,677.7,680.05,309
2020-10-05 12:30:00+05:30,680.05,684.0,680.0,683.95,285
2020-10-05 12:35:00+05:30,683.95,683.95,677.2,680.0,368
2020-10-05 12:40:00+05:30,680.0,680.0,675.0,675.0,622
2020-10-05 12:45:00+05:30,675.0,675.9,672.3,672.5,139
2020-10-05 12:50:00+05:30,672.5,672.5,671.0,671.0,384
2020-10-05 12:55:00+05:30,671.0,674.4,671.0,674.4,260
2020-10-05 13:00:00+05:30,674.4,674.4,671.2,673.0,103
2020-10-05 13:05:00+05:30,673.0,674.95,673.0,674.95,179
2020-10-05 13:10:00+05:30,674.95,678.8,673.0,674.15,607
2020-10-05 13:15:00+05:30,674.15,677.8,674.15,677.8,22
2020-10-05 13:20:00+05:30,677.8,677.8,677.8,677.8,20
2020-10-05 13:25:00+05:30,677.8,680.0,677.8,680.0,100
2020-10-05 13:30:00+05:30,680.0,680.0,679.0,679.0,1
2020-10-05 13:35:00+05:30,679.0,679.0,678.9,678.9,53
2020-10-05 13:40:00+05:30,678.9,678.9,677.5,678.05,41
2020-10-05 13:45:00+05:30,678.05,678.3,678.0,678.05,202
2020-10-05 13:50:00+05:30,678.05,678.05,677.5,677.5,248
2020-10-05 13:55:00+05:30,677.5,677.5,676.1,676.9,368
2020-10-05 14:00:00+05:30,676.9,677.8,675.05,675.05,230
2020-10-05 14:05:00+05:30,675.05,676.95,675.05,676.95,37
2020-10-05 14:10:00+05:30,676.95,677.9,676.05,677.9,130
2020-10-05 14:15:00+05:30,677.9,677.9,676.25,677.8,45
2020-10-05 14:20:00+05:30,678.0,679.0,674.05,674.05,383
2020-10-05 14:25:00+05:30,674.05,680.0,674.05,680.0,110
2020-10-05 14:30:00+05:30,680.0,681.4,679.95,680.0,51
2020-10-05 14:35:00+05:30,680.0,680.0,677.65,678.2,134
2020-10-05 14:40:00+05:30,678.2,680.8,677.7,680.8,90
2020-10-05 14:45:00+05:30,680.8,680.8,676.95,676.95,120
2020-10-05 14:50:00+05:30,676.0,678.1,676.0,678.1,93
2020-10-05 14:55:00+05:30,678.1,678.1,675.3,677.75,82
2020-10-05 15:00:00+05:30,677.75,677.75,677.0,677.0,40
2020-10-05 15:05:00+05:30,677.0,677.95,677.0,677.0,123
2020-10-05 15:10:00+05:30,677.0,679.8,676.6,678.0,461
2020-10-05 15:15:00+05:30,678.0,682.75,677.15,679.0,1396
2020-10-05 15:20:00+05:30,679.0,679.75,675.25,675.25,1757
2020-10-05 15:25:00+05:30,676.0,680.0,674.3,680.0,834
2020-10-06 09:15:00+05:30,686.5,706.75,625.0,691.0,5497
2020-10-06 09:20:00+05:30,691.0,701.65,688.05,698.5,1300
2020-10-06 09:25:00+05:30,698.5,698.5,692.1,697.0,1216
2020-10-06 09:30:00+05:30,698.0,701.95,695.3,697.55,2003
2020-10-06 09:35:00+05:30,697.55,700.2,697.25,699.1,227
2020-10-06 09:40:00+05:30,699.1,699.95,697.0,697.0,322
2020-10-06 09:45:00+05:30,695.2,697.0,695.1,695.1,176
2020-10-06 09:50:00+05:30,695.1,697.0,695.1,695.35,238
2020-10-06 09:55:00+05:30,695.35,696.7,695.1,695.4,91
2020-10-06 10:00:00+05:30,695.4,698.0,695.1,696.05,1134
2020-10-06 10:05:00+05:30,696.05,699.75,696.0,696.5,489
2020-10-06 10:10:00+05:30,696.5,699.0,696.0,696.0,451
2020-10-06 10:15:00+05:30,696.0,696.0,696.0,696.0,328
2020-10-06 10:20:00+05:30,696.0,697.95,694.55,697.8,79
