date,open,high,low,close,volume
2020-01-06 09:20:00+05:30,54.6,54.6,54.6,54.6,200
2020-01-06 09:25:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 09:40:00+05:30,54.6,54.6,54.6,54.6,251
2020-01-06 09:45:00+05:30,54.6,54.6,54.6,54.6,1
2020-01-06 09:50:00+05:30,54.6,54.6,54.6,54.6,12
2020-01-06 10:00:00+05:30,54.6,54.6,54.6,54.6,1
2020-01-06 10:05:00+05:30,52.15,52.15,52.15,52.15,1
2020-01-06 10:10:00+05:30,52.15,54.6,52.15,54.6,15
2020-01-06 10:15:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 10:20:00+05:30,54.6,54.6,54.6,54.6,500
2020-01-06 10:25:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 10:30:00+05:30,54.6,54.6,54.6,54.6,1150
2020-01-06 10:35:00+05:30,54.6,54.6,54.6,54.6,50
2020-01-06 10:40:00+05:30,54.6,54.6,54.6,54.6,1000
2020-01-06 11:05:00+05:30,54.6,54.6,54.6,54.6,1
2020-01-06 11:10:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 11:20:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 11:25:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 11:45:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 12:10:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 12:15:00+05:30,54.6,54.6,54.6,54.6,3000
2020-01-06 12:20:00+05:30,54.6,54.6,54.6,54.6,69
2020-01-06 12:30:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 12:35:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 12:45:00+05:30,54.6,54.6,54.6,54.6,1931
2020-01-06 13:10:00+05:30,54.6,54.6,54.6,54.6,1069
2020-01-06 13:15:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 13:20:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 13:25:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 13:35:00+05:30,54.6,54.6,54.6,54.6,2316
2020-01-06 13:40:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 13:45:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 13:50:00+05:30,54.6,54.6,53.5,54.6,202
2020-01-06 14:05:00+05:30,54.6,54.6,54.6,54.6,100
2020-01-06 14:10:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 14:25:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 14:30:00+05:30,54.6,54.6,54.6,54.6,15
2020-01-06 14:50:00+05:30,54.6,54.6,54.6,54.6,100
2020-01-06 15:00:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 15:10:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 15:20:00+05:30,54.6,54.6,54.6,54.6,0
2020-01-06 15:25:00+05:30,54.6,54.6,54.6,54.6,150
2020-01-07 09:25:00+05:30,57.25,57.25,57.25,57.25,2000
2020-01-07 09:30:00+05:30,57.25,57.25,57.25,57.25,2
2020-01-07 09:35:00+05:30,57.25,57.25,57.25,57.25,0
2020-01-07 09:50:00+05:30,57.25,57.25,57.25,57.25,0
2020-01-07 09:55:00+05:30,57.25,57.25,57.25,57.25,0
2020-01-07 10:10:00+05:30,57.25,57.25,57.25,57.25,0
2020-01-07 10:15:00+05:30,57.25,57.25,57.25,57.25,10
2020-01-07 10:20:00+05:30,57.25,57.25,57.25,57.25,50
2020-01-07 10:25:00+05:30,57.25,57.25,57.25,57.25,0
2020-01-07 10:30:00+05:30,57.25,57.25,57.25,57.25,0
2020-01-07 10:35:00+05:30,57.25,57.25,57.25,57.25,0
2020-01-07 10:50:00+05:30,57.25,57.25,57.25,57.25,0
2020-01-07 11:00:00+05:30,57.25,57.25,56.1,56.1,200
