date,open,high,low,close,volume
2021-12-17 09:15:00+05:30,213.0,213.0,213.0,213.0,0
2021-12-17 09:40:00+05:30,360.0,360.0,360.0,360.0,0
2021-12-17 09:45:00+05:30,360.0,360.0,360.0,360.0,0
2021-12-17 09:50:00+05:30,360.0,360.0,360.0,360.0,0
2021-12-17 09:55:00+05:30,360.0,360.0,360.0,360.0,0
2021-12-17 10:00:00+05:30,357.75,382.2,344.4,372.95,3516575
2021-12-17 10:05:00+05:30,372.85,378.85,366.0,373.3,615701
2021-12-17 10:10:00+05:30,372.9,374.0,364.4,365.3,350961
2021-12-17 10:15:00+05:30,365.35,371.8,365.0,367.3,287164
2021-12-17 10:20:00+05:30,367.3,371.0,365.15,365.4,197513
2021-12-17 10:25:00+05:30,365.5,366.45,350.0,358.45,794895
2021-12-17 10:30:00+05:30,358.35,362.75,355.1,360.25,490147
2021-12-17 10:35:00+05:30,360.45,363.95,356.15,357.4,191968
2021-12-17 10:40:00+05:30,357.0,360.95,355.05,360.95,184538
2021-12-17 10:45:00+05:30,360.8,361.95,359.0,360.05,172318
2021-12-17 10:50:00+05:30,360.05,361.4,360.0,361.0,106409
2021-12-17 10:55:00+05:30,360.45,360.9,358.0,360.0,130228
2021-12-17 11:00:00+05:30,359.9,361.0,358.05,360.0,215504
2021-12-17 11:05:00+05:30,359.95,360.0,358.0,359.8,131797
2021-12-17 11:10:00+05:30,359.55,360.0,359.0,359.95,100275
2021-12-17 11:15:00+05:30,360.0,364.35,358.35,364.35,188840
2021-12-17 11:20:00+05:30,365.0,371.0,359.95,370.1,647881
2021-12-17 11:25:00+05:30,370.2,375.7,369.85,375.4,522549
2021-12-17 11:30:00+05:30,375.15,377.9,373.0,375.15,291812
2021-12-17 11:35:00+05:30,375.1,376.85,374.7,375.35,143557
2021-12-17 11:40:00+05:30,375.7,377.9,370.0,370.45,210642
2021-12-17 11:45:00+05:30,370.35,376.0,368.3,373.35,172093
2021-12-17 11:50:00+05:30,373.4,373.75,372.0,372.5,82403
2021-12-17 11:55:00+05:30,372.5,373.25,369.0,369.35,82744
2021-12-17 12:00:00+05:30,369.05,370.7,366.1,368.35,125021
2021-12-17 12:05:00+05:30,368.35,369.15,364.6,366.25,135966
2021-12-17 12:10:00+05:30,366.35,366.35,361.4,365.9,176688
2021-12-17 12:15:00+05:30,365.55,370.0,364.4,369.8,129816
2021-12-17 12:20:00+05:30,369.75,370.0,367.9,369.5,133635
2021-12-17 12:25:00+05:30,368.15,369.05,364.4,366.9,85556
2021-12-17 12:30:00+05:30,366.8,368.8,366.2,366.75,64944
2021-12-17 12:35:00+05:30,366.75,368.45,366.4,367.2,49454
2021-12-17 12:40:00+05:30,367.1,367.3,363.75,364.3,95631
2021-12-17 12:45:00+05:30,364.25,366.45,363.5,364.75,85975
2021-12-17 12:50:00+05:30,364.75,368.0,364.05,367.25,76430
2021-12-17 12:55:00+05:30,366.7,369.0,366.7,368.45,70184
2021-12-17 13:00:00+05:30,368.45,368.9,366.15,367.1,55688
2021-12-17 13:05:00+05:30,367.1,367.75,365.1,366.35,59861
2021-12-17 13:10:00+05:30,366.0,366.35,363.0,364.0,95501
2021-12-17 13:15:00+05:30,363.85,365.0,363.3,364.5,71432
2021-12-17 13:20:00+05:30,364.45,364.95,363.5,363.5,39705
2021-12-17 13:25:00+05:30,363.6,363.95,362.75,363.15,66579
2021-12-17 13:30:00+05:30,363.15,363.95,362.5,362.65,60074
2021-12-17 13:35:00+05:30,362.65,362.8,360.75,360.8,111998
2021-12-17 13:40:00+05:30,360.85,361.0,359.15,359.65,222305
2021-12-17 13:45:00+05:30,359.65,360.0,358.95,359.75,127399
2021-12-17 13:50:00+05:30,359.75,360.0,359.15,359.35,123740
2021-12-17 13:55:00+05:30,359.1,362.85,358.85,360.05,259498
