date,open,high,low,close,volume
2021-09-24 09:15:00+05:30,734.0,734.0,734.0,734.0,0
2021-09-24 09:40:00+05:30,811.5,811.5,811.5,811.5,0
2021-09-24 09:45:00+05:30,811.5,811.5,811.5,811.5,0
2021-09-24 09:50:00+05:30,811.5,811.5,811.5,811.5,0
2021-09-24 09:55:00+05:30,811.5,811.5,811.5,811.5,0
2021-09-24 10:00:00+05:30,817.7,833.4,816.8,832.4,2487758
2021-09-24 10:05:00+05:30,832.35,841.65,825.5,828.1,1439082
2021-09-24 10:10:00+05:30,829.0,837.45,827.0,827.55,462081
2021-09-24 10:15:00+05:30,827.95,831.35,827.0,829.75,208874
2021-09-24 10:20:00+05:30,829.75,831.45,829.25,829.75,157799
2021-09-24 10:25:00+05:30,829.75,830.4,829.75,830.0,126473
2021-09-24 10:30:00+05:30,830.1,830.25,805.05,811.8,470706
2021-09-24 10:35:00+05:30,811.8,817.0,801.5,813.65,530526
2021-09-24 10:40:00+05:30,813.5,815.95,806.3,807.65,132488
2021-09-24 10:45:00+05:30,807.2,811.35,806.9,807.65,95581
2021-09-24 10:50:00+05:30,807.65,808.2,801.0,802.85,136952
2021-09-24 10:55:00+05:30,802.95,806.25,801.05,805.3,153292
2021-09-24 11:00:00+05:30,805.15,805.75,802.4,802.8,119765
2021-09-24 11:05:00+05:30,802.5,805.95,802.5,805.4,80251
2021-09-24 11:10:00+05:30,805.15,806.2,804.95,805.1,51974
2021-09-24 11:15:00+05:30,805.15,806.0,805.0,805.0,31560
2021-09-24 11:20:00+05:30,805.0,805.5,805.0,805.2,29472
2021-09-24 11:25:00+05:30,805.1,810.0,805.05,808.5,80054
2021-09-24 11:30:00+05:30,808.25,812.5,806.0,809.65,78986
2021-09-24 11:35:00+05:30,809.85,812.4,809.2,810.35,60819
2021-09-24 11:40:00+05:30,809.8,812.0,809.75,810.2,35681
2021-09-24 11:45:00+05:30,810.25,813.75,810.0,812.3,47475
2021-09-24 11:50:00+05:30,812.4,815.4,811.3,813.55,66751
2021-09-24 11:55:00+05:30,813.3,814.7,813.05,813.9,42865
2021-09-24 12:00:00+05:30,813.65,816.85,812.45,816.0,57080
2021-09-24 12:05:00+05:30,816.0,816.7,812.15,814.5,45096
2021-09-24 12:10:00+05:30,814.5,815.6,813.85,814.15,43359
2021-09-24 12:15:00+05:30,814.05,815.0,814.0,814.9,38733
2021-09-24 12:20:00+05:30,814.9,815.35,814.05,815.0,30897
2021-09-24 12:25:00+05:30,815.0,816.95,814.15,816.3,39091
2021-09-24 12:30:00+05:30,816.45,819.85,816.3,818.05,89616
2021-09-24 12:35:00+05:30,818.05,824.0,818.0,821.8,137247
2021-09-24 12:40:00+05:30,822.35,822.8,817.2,818.15,55391
2021-09-24 12:45:00+05:30,818.15,819.8,814.0,814.35,121312
2021-09-24 12:50:00+05:30,814.1,818.9,814.0,815.0,43522
2021-09-24 12:55:00+05:30,815.0,816.5,814.1,815.0,26461
2021-09-24 13:00:00+05:30,815.0,839.95,814.6,836.0,569857
2021-09-24 13:05:00+05:30,836.4,839.0,828.0,831.4,185027
2021-09-24 13:10:00+05:30,831.25,832.9,825.05,826.95,93724
2021-09-24 13:15:00+05:30,826.95,828.35,824.5,826.5,97008
2021-09-24 13:20:00+05:30,826.35,829.3,825.0,825.2,54566
2021-09-24 13:25:00+05:30,825.0,826.7,825.0,825.9,53117
2021-09-24 13:30:00+05:30,825.25,825.9,814.15,819.45,75708
2021-09-24 13:35:00+05:30,819.45,823.9,817.9,817.9,47745
2021-09-24 13:40:00+05:30,817.9,817.95,815.1,815.7,49836
2021-09-24 13:45:00+05:30,816.35,822.85,814.1,821.5,72824
2021-09-24 13:50:00+05:30,821.5,824.9,820.35,822.95,63352
2021-09-24 13:55:00+05:30,822.95,823.05,817.8,819.3,32803
2021-09-24 14:00:00+05:30,819.3,822.6,818.1,822.35,25629
2021-09-24 14:05:00+05:30,822.2,824.8,819.65,823.45,53502
2021-09-24 14:10:00+05:30,823.5,824.35,820.6,822.45,35753
2021-09-24 14:15:00+05:30,822.3,822.85,819.2,819.7,30843
2021-09-24 14:20:00+05:30,819.7,820.85,817.5,820.45,46521
2021-09-24 14:25:00+05:30,820.4,820.5,818.0,818.5,30825
2021-09-24 14:30:00+05:30,818.55,819.95,817.6,819.35,40490
2021-09-24 14:35:00+05:30,819.05,819.8,818.0,819.2,45602
2021-09-24 14:40:00+05:30,819.3,819.3,815.35,816.7,43940
2021-09-24 14:45:00+05:30,816.6,817.95,814.95,817.95,70096
2021-09-24 14:50:00+05:30,817.9,830.85,817.9,826.7,381275
2021-09-24 14:55:00+05:30,826.7,832.2,825.15,830.0,243601
2021-09-24 15:00:00+05:30,829.25,829.4,817.9,819.1,92743
2021-09-24 15:05:00+05:30,819.15,821.45,814.05,821.3,145308
2021-09-24 15:10:00+05:30,821.3,823.0,817.7,819.05,75648
2021-09-24 15:15:00+05:30,819.3,819.3,816.8,818.0,73680
