date,open,high,low,close,volume
2021-06-24 09:15:00+05:30,87.65,88.45,81.35,82.35,17946
2021-06-24 09:20:00+05:30,82.0,82.85,80.4,82.0,18681
2021-06-24 09:25:00+05:30,82.0,82.9,81.65,82.15,7845
2021-06-24 09:30:00+05:30,82.15,82.35,81.7,82.15,1807
2021-06-24 09:35:00+05:30,82.0,82.65,81.7,82.0,6381
2021-06-24 09:40:00+05:30,82.0,83.25,81.6,83.25,5609
2021-06-24 09:45:00+05:30,83.25,83.25,81.7,81.95,5587
2021-06-24 09:50:00+05:30,81.7,81.85,80.05,80.25,8251
2021-06-24 09:55:00+05:30,80.25,80.95,80.0,80.9,2651
2021-06-24 10:00:00+05:30,80.9,81.15,80.55,81.1,1339
2021-06-24 10:05:00+05:30,81.1,81.25,80.95,81.2,1301
2021-06-24 10:10:00+05:30,80.95,80.95,79.2,79.35,3388
2021-06-24 10:15:00+05:30,79.35,80.55,79.0,79.25,3094
2021-06-24 10:20:00+05:30,79.25,79.95,78.95,79.0,2222
2021-06-24 10:25:00+05:30,79.0,80.55,79.0,80.05,824
2021-06-24 10:30:00+05:30,80.05,80.1,79.35,79.45,451
2021-06-24 10:35:00+05:30,79.45,79.55,79.1,79.15,782
2021-06-24 10:40:00+05:30,79.15,79.7,79.15,79.35,684
2021-06-24 10:45:00+05:30,79.35,79.35,79.1,79.35,628
2021-06-24 10:50:00+05:30,79.35,79.35,79.05,79.05,189
2021-06-24 10:55:00+05:30,79.3,79.35,78.85,78.85,791
2021-06-24 11:00:00+05:30,78.85,78.95,78.75,78.95,1942
2021-06-24 11:05:00+05:30,78.7,78.95,77.15,77.35,9756
2021-06-24 11:10:00+05:30,77.35,78.55,77.2,78.0,1450
2021-06-24 11:15:00+05:30,78.0,79.25,78.0,78.05,973
2021-06-24 11:20:00+05:30,78.05,78.6,78.05,78.6,334
2021-06-24 11:25:00+05:30,78.6,78.65,78.15,78.65,831
2021-06-24 11:30:00+05:30,78.65,79.15,78.65,79.0,755
2021-06-24 11:35:00+05:30,79.0,79.2,78.65,78.65,553
2021-06-24 11:40:00+05:30,79.1,79.2,78.75,79.15,1011
2021-06-24 11:45:00+05:30,79.15,80.35,79.15,80.25,4531
2021-06-24 11:50:00+05:30,80.25,80.25,79.05,79.75,211
2021-06-24 11:55:00+05:30,79.35,80.25,79.25,79.7,3133
2021-06-24 12:00:00+05:30,79.7,79.8,79.25,79.65,176
2021-06-24 12:05:00+05:30,79.65,80.0,79.65,79.8,1716
2021-06-24 12:10:00+05:30,79.8,79.9,79.8,79.9,242
2021-06-24 12:15:00+05:30,79.9,79.95,79.45,79.65,1036
