date,open,high,low,close,volume
2021-07-29 09:15:00+05:30,62.0,64.99,62.0,64.73,813
2021-07-29 09:20:00+05:30,64.52,64.52,64.52,64.52,500
2021-07-29 09:25:00+05:30,64.52,64.52,64.52,64.52,50
2021-07-29 09:30:00+05:30,64.52,64.52,63.75,64.52,78
2021-07-29 09:35:00+05:30,64.52,64.52,64.49,64.49,1
2021-07-29 09:40:00+05:30,64.49,64.49,63.51,64.46,7
2021-07-29 09:45:00+05:30,64.46,64.46,63.56,63.57,82
2021-07-29 09:50:00+05:30,63.57,63.59,63.57,63.59,1
2021-07-29 09:55:00+05:30,63.59,63.59,63.59,63.59,0
2021-07-29 10:00:00+05:30,63.59,64.46,63.11,64.12,1001
2021-07-29 10:05:00+05:30,64.12,64.16,63.38,64.12,786
2021-07-29 10:10:00+05:30,64.12,64.12,64.1,64.1,10
2021-07-29 10:15:00+05:30,64.1,64.1,64.0,64.0,151
2021-07-29 10:20:00+05:30,64.0,64.98,63.56,64.01,3384
2021-07-29 10:25:00+05:30,64.01,64.72,63.68,64.57,175
2021-07-29 10:30:00+05:30,64.57,64.57,64.57,64.57,0
2021-07-29 10:35:00+05:30,64.57,64.57,63.81,63.81,78
2021-07-29 10:40:00+05:30,63.82,63.82,63.82,63.82,164
2021-07-29 10:45:00+05:30,63.82,64.39,63.82,64.39,9
2021-07-29 10:50:00+05:30,64.39,64.39,64.39,64.39,97
2021-07-29 10:55:00+05:30,64.39,64.39,64.35,64.35,92
2021-07-29 11:00:00+05:30,64.35,64.35,64.35,64.35,0
2021-07-29 11:05:00+05:30,64.35,64.35,64.35,64.35,0
2021-07-29 11:10:00+05:30,64.35,64.69,64.35,64.69,23
2021-07-29 11:15:00+05:30,64.69,64.69,64.35,64.35,10
2021-07-29 11:20:00+05:30,64.35,64.69,64.35,64.69,2
2021-07-29 11:25:00+05:30,64.69,64.69,64.69,64.69,0
2021-07-29 11:30:00+05:30,64.69,64.69,64.69,64.69,0
2021-07-29 11:35:00+05:30,64.69,64.69,64.67,64.67,6
2021-07-29 11:40:00+05:30,64.67,64.67,64.67,64.67,0
2021-07-29 11:45:00+05:30,64.67,64.67,64.67,64.67,0
2021-07-29 11:50:00+05:30,64.67,64.67,64.67,64.67,0
2021-07-29 11:55:00+05:30,64.67,64.67,64.67,64.67,0
2021-07-29 12:00:00+05:30,64.67,64.67,64.3,64.3,1
2021-07-29 12:05:00+05:30,64.3,64.3,64.3,64.3,0
2021-07-29 12:10:00+05:30,64.09,64.09,64.09,64.09,77
2021-07-29 12:15:00+05:30,64.09,64.09,64.09,64.09,0
2021-07-29 12:20:00+05:30,64.09,64.09,64.09,64.09,0
2021-07-29 12:25:00+05:30,64.55,64.55,64.55,64.55,1
2021-07-29 12:30:00+05:30,64.55,64.55,64.09,64.09,6
2021-07-29 12:35:00+05:30,64.09,64.09,64.09,64.09,0
2021-07-29 12:40:00+05:30,64.09,64.09,64.09,64.09,0
2021-07-29 12:45:00+05:30,64.55,64.55,64.55,64.55,19
2021-07-29 12:50:00+05:30,64.0,64.55,64.0,64.55,86
2021-07-29 12:55:00+05:30,64.55,64.55,64.55,64.55,0
2021-07-29 13:00:00+05:30,64.55,64.55,64.0,64.0,261
2021-07-29 13:05:00+05:30,64.0,64.0,64.0,64.0,0
2021-07-29 13:10:00+05:30,64.0,64.0,64.0,64.0,0
2021-07-29 13:15:00+05:30,64.0,64.05,64.0,64.05,1
2021-07-29 13:20:00+05:30,64.05,64.49,64.0,64.0,26
2021-07-29 13:25:00+05:30,64.0,64.0,64.0,64.0,0
2021-07-29 13:30:00+05:30,64.0,64.49,64.0,64.0,31
2021-07-29 13:35:00+05:30,64.0,64.0,64.0,64.0,0
2021-07-29 13:40:00+05:30,64.0,64.0,64.0,64.0,0
2021-07-29 13:45:00+05:30,64.0,64.0,64.0,64.0,0
2021-07-29 13:50:00+05:30,64.0,64.0,64.0,64.0,20
2021-07-29 13:55:00+05:30,64.0,64.0,64.0,64.0,0
2021-07-29 14:00:00+05:30,64.0,64.0,64.0,64.0,0
2021-07-29 14:05:00+05:30,64.49,64.49,64.0,64.49,69
2021-07-29 14:10:00+05:30,64.49,64.49,64.49,64.49,0
2021-07-29 14:15:00+05:30,64.49,64.49,63.68,63.68,709
2021-07-29 14:20:00+05:30,63.68,63.68,63.68,63.68,0
2021-07-29 14:25:00+05:30,63.68,64.47,63.68,64.47,3
2021-07-29 14:30:00+05:30,64.47,64.47,64.47,64.47,0
2021-07-29 14:35:00+05:30,64.47,64.47,64.47,64.47,0
2021-07-29 14:40:00+05:30,64.25,64.25,64.25,64.25,87
2021-07-29 14:45:00+05:30,64.25,64.25,63.7,64.2,389
2021-07-29 14:50:00+05:30,64.2,64.2,64.2,64.2,10
2021-07-29 14:55:00+05:30,64.2,64.2,64.2,64.2,0
2021-07-29 15:00:00+05:30,64.0,64.05,63.72,64.05,317
2021-07-29 15:05:00+05:30,64.05,64.05,64.05,64.05,0
2021-07-29 15:10:00+05:30,64.05,64.1,64.05,64.1,5
2021-07-29 15:15:00+05:30,64.0,64.15,64.0,64.0,1041
2021-07-29 15:20:00+05:30,64.0,64.0,63.95,63.95,25
2021-07-29 15:25:00+05:30,63.95,63.95,63.9,63.9,72
2021-07-30 09:15:00+05:30,64.5,64.75,63.99,64.7,1051
2021-07-30 09:20:00+05:30,64.7,64.7,63.9,63.9,52
2021-07-30 09:25:00+05:30,63.9,64.0,62.92,63.99,176
2021-07-30 09:30:00+05:30,63.96,63.96,63.96,63.96,77
2021-07-30 09:35:00+05:30,63.96,63.96,63.21,63.21,77
2021-07-30 09:40:00+05:30,63.21,63.4,63.21,63.4,79
2021-07-30 09:45:00+05:30,63.4,63.4,63.4,63.4,0
2021-07-30 09:50:00+05:30,63.4,63.94,63.4,63.94,14
2021-07-30 09:55:00+05:30,63.94,63.94,63.94,63.94,0
2021-07-30 10:00:00+05:30,63.94,63.96,63.94,63.96,68
2021-07-30 10:05:00+05:30,63.75,63.75,63.75,63.75,16
2021-07-30 10:10:00+05:30,63.75,63.75,63.75,63.75,12
2021-07-30 10:20:00+05:30,63.75,63.96,63.75,63.96,87
