date,open,high,low,close,volume
2016-06-23 11:05:00+05:30,117.23,117.23,117.23,117.23,34
2016-06-23 11:10:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 11:15:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 11:20:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 11:25:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 11:30:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 11:35:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 11:40:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 11:45:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 11:50:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 11:55:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 12:00:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 12:05:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 12:10:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 12:15:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 12:20:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 12:25:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 12:30:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 12:35:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 12:40:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 12:45:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 12:50:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 12:55:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 13:00:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 13:05:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 13:10:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 13:15:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 13:20:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 13:25:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 13:30:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 13:35:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 13:40:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 13:45:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 13:50:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 13:55:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 14:00:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 14:05:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 14:10:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 14:15:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 14:20:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 14:25:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 14:30:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 14:35:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 14:40:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 14:45:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 14:50:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 14:55:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 15:00:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 15:05:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 15:10:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 15:15:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 15:20:00+05:30,117.23,117.23,117.23,117.23,0
2016-06-23 15:25:00+05:30,117.23,117.23,117.23,117.23,0
2016-07-08 12:55:00+05:30,130.0,130.0,130.0,130.0,34
2016-07-08 13:00:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 13:05:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 13:10:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 13:15:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 13:20:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 13:25:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 13:30:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 13:35:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 13:40:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 13:45:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 13:50:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 13:55:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 14:00:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 14:05:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 14:10:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 14:15:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 14:20:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 14:25:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 14:30:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 14:35:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 14:40:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 14:45:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 14:50:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 14:55:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 15:00:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 15:05:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 15:10:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 15:15:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 15:20:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-08 15:25:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-11 15:05:00+05:30,130.0,130.0,130.0,130.0,5
2016-07-11 15:10:00+05:30,130.0,130.0,119.0,130.0,34
2016-07-11 15:15:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-11 15:20:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-11 15:25:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-14 15:25:00+05:30,170.0,170.0,130.0,130.0,78
2016-07-15 09:20:00+05:30,170.0,170.0,170.0,170.0,30
2016-07-15 09:25:00+05:30,170.0,170.0,170.0,170.0,0
2016-07-15 09:30:00+05:30,170.0,170.0,170.0,170.0,0
2016-07-15 09:35:00+05:30,170.0,170.0,130.0,130.0,30
2016-07-15 09:40:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-15 09:45:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-15 09:50:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-15 09:55:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-15 10:00:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-15 10:05:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-15 10:10:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-15 10:15:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-15 10:20:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-15 10:25:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-15 10:30:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-15 10:35:00+05:30,130.0,130.0,130.0,130.0,0
2016-07-15 10:40:00+05:30,130.0,169.15,130.0,169.15,7
2016-07-15 10:45:00+05:30,169.15,169.15,132.53,132.53,7
2016-07-15 10:50:00+05:30,132.53,132.53,132.53,132.53,0
2016-07-15 10:55:00+05:30,132.53,132.53,132.53,132.53,0
2016-07-15 11:00:00+05:30,132.53,132.53,132.53,132.53,0
2016-07-15 11:05:00+05:30,132.53,132.53,132.53,132.53,0
2016-07-15 11:10:00+05:30,132.53,132.53,132.53,132.53,0
2016-07-15 11:15:00+05:30,132.53,132.53,132.53,132.53,0
2016-07-15 11:20:00+05:30,132.53,132.53,132.53,132.53,0
2016-07-15 11:25:00+05:30,132.53,132.53,132.53,132.53,0
2016-07-15 11:30:00+05:30,132.53,132.53,132.53,132.53,0
2016-07-15 11:35:00+05:30,132.53,132.53,132.53,132.53,0
2016-07-15 11:40:00+05:30,132.53,132.53,132.53,132.53,0
2016-07-15 11:45:00+05:30,132.53,132.53,132.53,132.53,0
2016-07-15 11:50:00+05:30,132.53,132.53,132.53,132.53,0
2016-07-15 11:55:00+05:30,132.53,132.53,132.53,132.53,0
