date,open,high,low,close,volume
2020-09-21 09:15:00+05:30,110.0,119.4,109.9,119.4,13648
2020-09-21 09:20:00+05:30,119.5,119.8,115.0,115.0,18058
2020-09-21 09:25:00+05:30,115.0,116.3,112.6,112.95,6160
2020-09-21 09:30:00+05:30,112.95,114.5,112.2,114.45,680
2020-09-21 09:35:00+05:30,113.05,114.4,112.0,112.25,1104
2020-09-21 09:40:00+05:30,112.25,113.7,111.3,113.7,942
2020-09-21 09:45:00+05:30,113.7,113.7,111.6,111.6,400
2020-09-21 09:50:00+05:30,111.6,113.4,111.6,113.0,10324
2020-09-21 09:55:00+05:30,113.0,113.0,111.6,112.8,104
2020-09-21 10:00:00+05:30,112.8,112.8,112.15,112.2,300
2020-09-21 10:05:00+05:30,112.2,112.2,111.4,111.4,62
2020-09-21 10:10:00+05:30,111.0,112.2,110.1,111.05,2502
2020-09-21 10:15:00+05:30,111.05,111.05,110.0,110.9,1150
2020-09-21 10:20:00+05:30,110.7,111.05,108.0,108.0,1493
2020-09-21 10:25:00+05:30,108.0,110.9,108.0,110.9,620
2020-09-21 10:30:00+05:30,110.9,110.9,109.35,110.5,266
2020-09-21 10:35:00+05:30,110.05,110.5,110.0,110.5,560
2020-09-21 10:40:00+05:30,110.5,110.5,110.5,110.5,105
2020-09-21 10:45:00+05:30,110.0,110.0,109.95,110.0,935
2020-09-21 10:50:00+05:30,109.95,110.0,109.9,109.95,993
2020-09-21 10:55:00+05:30,110.0,110.8,110.0,110.8,148
2020-09-21 11:00:00+05:30,110.85,111.7,110.85,111.7,345
2020-09-21 11:05:00+05:30,111.8,111.8,111.8,111.8,30
2020-09-21 11:10:00+05:30,111.8,111.8,111.6,111.6,100
2020-09-21 11:15:00+05:30,111.6,112.0,111.6,112.0,250
2020-09-21 11:20:00+05:30,112.0,112.8,112.0,112.8,532
2020-09-21 11:25:00+05:30,112.8,112.8,112.8,112.8,264
2020-09-21 11:30:00+05:30,112.8,113.0,112.8,113.0,270
2020-09-21 11:35:00+05:30,108.5,112.25,108.5,111.2,352
2020-09-21 11:40:00+05:30,111.2,112.75,111.2,112.3,260
2020-09-21 11:45:00+05:30,112.3,112.3,111.15,111.15,15
2020-09-21 11:50:00+05:30,111.15,111.15,111.15,111.15,0
2020-09-21 11:55:00+05:30,111.35,111.85,111.35,111.35,13
2020-09-21 12:00:00+05:30,111.35,112.45,111.35,112.45,15
2020-09-21 12:05:00+05:30,112.9,113.4,112.9,112.95,1077
2020-09-21 12:10:00+05:30,112.95,112.95,112.95,112.95,0
2020-09-21 12:15:00+05:30,112.45,112.45,112.45,112.45,172
2020-09-21 12:20:00+05:30,112.45,113.35,112.4,113.2,177
2020-09-21 12:25:00+05:30,113.35,113.4,112.75,113.4,535
2020-09-21 12:30:00+05:30,107.35,112.85,107.3,112.85,3852
2020-09-21 12:35:00+05:30,112.7,112.7,112.7,112.7,20
2020-09-21 12:40:00+05:30,112.7,112.7,112.7,112.7,0
2020-09-21 12:45:00+05:30,112.5,112.5,112.5,112.5,31
2020-09-21 12:50:00+05:30,112.5,112.5,112.2,112.5,924
2020-09-21 12:55:00+05:30,112.0,114.5,112.0,112.35,1038
2020-09-21 13:00:00+05:30,112.35,113.2,112.35,113.2,10
2020-09-21 13:05:00+05:30,113.2,113.2,113.2,113.2,0
2020-09-21 13:10:00+05:30,113.2,113.2,113.2,113.2,0
2020-09-21 13:15:00+05:30,113.2,113.2,113.2,113.2,0
2020-09-21 13:20:00+05:30,113.2,113.2,112.0,112.0,734
2020-09-21 13:25:00+05:30,112.0,112.0,111.05,111.05,100
2020-09-21 13:30:00+05:30,111.1,111.1,111.1,111.1,5
2020-09-21 13:35:00+05:30,111.1,112.0,111.1,112.0,20
2020-09-21 13:40:00+05:30,112.0,112.0,112.0,112.0,0
2020-09-21 13:45:00+05:30,112.0,112.0,112.0,112.0,0
2020-09-21 13:50:00+05:30,112.0,112.0,112.0,112.0,0
2020-09-21 13:55:00+05:30,112.0,112.0,111.95,111.95,3
2020-09-21 14:00:00+05:30,111.95,112.0,111.95,112.0,920
2020-09-21 14:05:00+05:30,111.5,111.5,111.05,111.05,1546
2020-09-21 14:10:00+05:30,111.05,111.1,111.05,111.05,511
2020-09-21 14:15:00+05:30,111.05,113.25,111.05,113.0,671
2020-09-21 14:20:00+05:30,113.0,113.35,111.2,111.2,1060
2020-09-21 14:25:00+05:30,111.2,111.2,111.2,111.2,0
2020-09-21 14:30:00+05:30,111.2,111.2,111.2,111.2,0
2020-09-21 14:35:00+05:30,111.0,111.0,110.05,110.05,157
2020-09-21 14:40:00+05:30,110.05,110.05,109.75,109.75,1049
2020-09-21 14:45:00+05:30,109.05,109.05,108.25,108.25,1214
2020-09-21 14:50:00+05:30,108.25,109.05,108.25,109.05,100
2020-09-21 14:55:00+05:30,109.1,111.0,109.0,109.9,414
2020-09-21 15:00:00+05:30,109.9,109.9,109.0,109.0,501
2020-09-21 15:05:00+05:30,109.0,109.6,108.5,109.0,114
2020-09-21 15:10:00+05:30,108.5,109.5,108.5,109.5,24
2020-09-21 15:15:00+05:30,109.5,110.6,109.5,110.6,1
2020-09-21 15:20:00+05:30,110.6,110.6,110.0,110.0,600
2020-09-21 15:25:00+05:30,110.0,110.0,109.0,109.8,558
2020-09-22 09:15:00+05:30,109.6,109.6,105.6,105.6,0
2020-09-22 09:20:00+05:30,105.6,109.9,105.6,109.9,100
2020-09-22 09:25:00+05:30,109.9,109.9,102.35,102.35,1578
2020-09-22 09:30:00+05:30,102.35,102.35,102.35,102.35,56
2020-09-22 09:35:00+05:30,102.35,105.55,101.5,102.05,53
2020-09-22 09:40:00+05:30,102.05,102.25,102.05,102.25,20
2020-09-22 09:45:00+05:30,102.25,108.0,102.25,105.0,732
2020-09-22 09:50:00+05:30,105.0,105.0,104.0,104.0,10
2020-09-22 09:55:00+05:30,103.1,103.1,103.05,103.05,99
2020-09-22 10:00:00+05:30,103.1,103.1,102.45,102.45,55
2020-09-22 10:05:00+05:30,103.1,106.95,103.1,106.95,241
2020-09-22 10:10:00+05:30,104.25,104.5,103.95,104.1,101
2020-09-22 10:15:00+05:30,104.1,104.1,104.1,104.1,0
2020-09-22 10:20:00+05:30,104.1,104.1,103.5,103.5,168
2020-09-22 10:25:00+05:30,101.25,104.7,101.25,104.25,1027
2020-09-22 10:30:00+05:30,104.25,104.55,104.25,104.55,122
2020-09-22 10:35:00+05:30,104.55,104.55,104.0,104.0,500
2020-09-22 10:40:00+05:30,104.0,104.0,104.0,104.0,0
2020-09-22 10:45:00+05:30,104.0,104.0,103.8,103.8,100
2020-09-22 10:50:00+05:30,103.8,103.8,103.8,103.8,174
2020-09-22 10:55:00+05:30,103.8,103.8,103.8,103.8,0
2020-09-22 11:00:00+05:30,103.8,103.8,102.25,102.25,126
2020-09-22 11:05:00+05:30,102.1,102.65,101.25,101.25,716
2020-09-22 11:10:00+05:30,101.25,101.25,101.25,101.25,0
2020-09-22 11:15:00+05:30,101.25,101.25,96.25,97.25,391
2020-09-22 11:20:00+05:30,97.25,99.7,97.25,99.7,175
2020-09-22 11:25:00+05:30,99.7,103.35,98.95,103.35,705
2020-09-22 11:30:00+05:30,103.35,103.35,100.85,102.5,175
2020-09-22 11:35:00+05:30,102.5,102.5,101.15,101.15,2
2020-09-22 11:40:00+05:30,101.15,101.5,97.05,99.9,607
2020-09-22 11:45:00+05:30,99.9,99.9,99.9,99.9,0
2020-09-22 11:50:00+05:30,99.9,101.0,99.9,101.0,300
2020-09-22 11:55:00+05:30,101.0,101.0,100.7,100.7,48
2020-09-22 12:00:00+05:30,100.7,100.95,100.7,100.95,146
2020-09-22 12:05:00+05:30,100.95,100.95,100.95,100.95,110
2020-09-22 12:10:00+05:30,100.95,100.95,100.75,100.75,261
2020-09-22 12:15:00+05:30,100.75,100.75,100.75,100.75,0
2020-09-22 12:20:00+05:30,100.75,101.5,100.75,101.5,45
2020-09-22 12:25:00+05:30,101.5,101.5,101.5,101.5,0
2020-09-22 12:30:00+05:30,101.5,101.5,101.05,101.05,61
2020-09-22 12:35:00+05:30,101.05,101.05,101.05,101.05,0
2020-09-22 12:40:00+05:30,101.05,101.05,101.05,101.05,0
2020-09-22 12:45:00+05:30,101.65,103.0,101.05,102.05,55
2020-09-22 12:50:00+05:30,102.05,103.65,102.05,103.65,1
2020-09-22 12:55:00+05:30,103.65,103.65,101.0,101.0,71
2020-09-22 13:00:00+05:30,101.0,104.75,101.0,104.75,116
2020-09-22 13:05:00+05:30,104.75,104.8,104.0,104.7,20
2020-09-22 13:10:00+05:30,104.7,104.7,102.0,102.0,66
2020-09-22 13:15:00+05:30,102.0,102.0,102.0,102.0,0
2020-09-22 13:20:00+05:30,102.0,104.25,102.0,104.25,1
2020-09-22 13:25:00+05:30,104.25,104.25,103.5,104.1,18
2020-09-22 13:30:00+05:30,104.1,104.6,104.1,104.6,5
2020-09-22 13:35:00+05:30,104.6,104.6,104.6,104.6,382
2020-09-22 13:40:00+05:30,104.6,104.6,101.15,104.6,934
2020-09-22 13:45:00+05:30,104.6,104.6,104.6,104.6,0
2020-09-22 13:50:00+05:30,104.6,104.6,102.05,102.05,37
2020-09-22 13:55:00+05:30,102.05,102.05,102.05,102.05,0
2020-09-22 14:00:00+05:30,102.05,103.85,102.05,103.85,1
2020-09-22 14:10:00+05:30,103.85,103.85,103.85,103.85,0
2020-09-22 14:15:00+05:30,103.85,103.85,102.0,102.0,25
2020-09-22 14:20:00+05:30,102.0,102.0,100.55,100.55,1451
2020-09-22 14:25:00+05:30,100.55,101.9,100.55,101.9,11
2020-09-22 14:30:00+05:30,101.9,101.9,100.6,100.6,62
2020-09-22 14:35:00+05:30,100.6,101.95,100.6,101.95,50
2020-09-22 14:40:00+05:30,101.95,101.95,101.95,101.95,50
2020-09-22 14:45:00+05:30,101.95,101.95,101.5,101.5,70
2020-09-22 14:50:00+05:30,101.5,101.5,101.5,101.5,61
2020-09-22 14:55:00+05:30,101.5,101.75,101.5,101.75,185
2020-09-22 15:00:00+05:30,101.75,101.75,100.6,100.6,245
2020-09-22 15:05:00+05:30,100.6,100.6,100.1,100.1,1295
