date,open,high,low,close,volume
2018-08-29 09:15:00+05:30,66.0,72.0,66.0,70.0,578
2018-08-29 09:20:00+05:30,70.0,70.0,67.0,67.0,109
2018-08-29 09:25:00+05:30,67.0,75.0,67.0,69.5,1109
2018-08-29 09:30:00+05:30,70.0,70.0,68.0,68.55,528
2018-08-29 09:35:00+05:30,68.55,69.0,67.1,69.0,125
2018-08-29 09:40:00+05:30,69.0,69.0,67.0,67.0,1025
2018-08-29 09:45:00+05:30,67.0,68.7,66.1,68.7,1855
2018-08-29 09:50:00+05:30,66.1,70.0,66.1,69.0,1906
2018-08-29 09:55:00+05:30,69.0,69.0,66.6,68.0,196
2018-08-29 10:00:00+05:30,68.0,68.05,66.75,68.05,425
2018-08-29 10:05:00+05:30,68.05,68.05,66.85,66.85,550
2018-08-29 10:10:00+05:30,66.85,66.85,66.85,66.85,40
2018-08-29 10:15:00+05:30,66.85,66.85,66.85,66.85,0
2018-08-29 10:20:00+05:30,66.85,67.9,66.85,67.9,9
2018-08-29 10:25:00+05:30,67.9,67.9,66.85,66.85,19
2018-08-29 10:30:00+05:30,66.85,67.9,66.85,67.9,101
2018-08-29 10:35:00+05:30,67.9,67.9,67.9,67.9,9
2018-08-29 10:40:00+05:30,67.9,67.9,67.9,67.9,0
2018-08-29 10:45:00+05:30,67.9,67.9,67.05,67.05,150
2018-08-29 10:50:00+05:30,67.05,67.05,67.0,67.0,109
2018-08-29 10:55:00+05:30,67.0,67.0,66.6,67.0,190
2018-08-29 11:00:00+05:30,67.0,67.0,66.6,66.6,280
2018-08-29 11:05:00+05:30,66.6,66.6,66.5,66.5,100
2018-08-29 11:10:00+05:30,66.5,66.5,66.0,66.0,2413
2018-08-29 11:15:00+05:30,66.0,67.8,65.2,65.4,561
2018-08-29 11:20:00+05:30,65.4,65.45,65.15,65.15,251
2018-08-29 11:25:00+05:30,65.15,65.25,65.15,65.25,100
2018-08-29 11:30:00+05:30,65.25,65.25,65.0,65.0,1130
2018-08-29 11:35:00+05:30,65.0,66.0,65.0,66.0,987
2018-08-29 11:40:00+05:30,66.0,66.0,65.35,66.0,25
2018-08-29 11:45:00+05:30,66.0,67.0,66.0,66.0,604
2018-08-29 11:50:00+05:30,67.95,67.95,65.2,65.2,301
2018-08-29 11:55:00+05:30,65.2,65.35,65.2,65.2,265
2018-08-29 12:00:00+05:30,65.2,65.2,65.2,65.2,300
2018-08-29 12:05:00+05:30,65.2,67.65,65.2,67.65,221
2018-08-29 12:10:00+05:30,65.25,65.25,65.25,65.25,117
2018-08-29 12:15:00+05:30,65.25,65.25,65.25,65.25,0
2018-08-29 12:20:00+05:30,65.25,65.25,65.25,65.25,70
2018-08-29 12:25:00+05:30,65.25,65.25,65.25,65.25,0
2018-08-29 12:30:00+05:30,65.25,65.35,65.25,65.3,223
2018-08-29 12:35:00+05:30,65.3,66.35,65.3,66.35,101
2018-08-29 12:40:00+05:30,66.35,66.35,66.35,66.35,0
2018-08-29 12:45:00+05:30,66.35,66.35,65.25,65.25,220
2018-08-29 12:50:00+05:30,65.25,65.25,65.25,65.25,362
2018-08-29 12:55:00+05:30,65.25,65.25,65.25,65.25,0
2018-08-29 13:00:00+05:30,65.25,65.25,65.25,65.25,0
2018-08-29 13:05:00+05:30,65.25,66.7,65.05,65.05,259
2018-08-29 13:10:00+05:30,65.05,66.7,65.05,66.7,103
2018-08-29 13:15:00+05:30,66.7,66.7,66.7,66.7,0
2018-08-29 13:20:00+05:30,65.1,65.85,65.05,65.1,433
2018-08-29 13:25:00+05:30,65.1,65.85,65.1,65.85,2
2018-08-29 13:30:00+05:30,65.85,65.85,65.85,65.85,0
2018-08-29 13:35:00+05:30,65.85,65.85,65.1,65.1,81
2018-08-29 13:40:00+05:30,65.1,65.1,65.1,65.1,100
2018-08-29 13:45:00+05:30,65.1,65.1,65.1,65.1,63
2018-08-29 13:50:00+05:30,65.1,65.65,65.05,65.65,65
2018-08-29 13:55:00+05:30,65.65,65.65,65.65,65.65,0
2018-08-29 14:00:00+05:30,65.65,65.65,65.65,65.65,0
2018-08-29 14:05:00+05:30,65.65,65.65,65.05,65.05,100
2018-08-29 14:10:00+05:30,65.05,65.45,65.05,65.45,120
2018-08-29 14:15:00+05:30,65.45,65.45,65.2,65.2,100
2018-08-29 14:20:00+05:30,65.2,65.2,65.2,65.2,90
2018-08-29 14:25:00+05:30,65.55,66.5,65.55,66.5,902
2018-08-29 14:30:00+05:30,66.5,66.5,65.7,65.7,15
2018-08-29 14:35:00+05:30,65.7,65.7,65.25,65.25,644
2018-08-29 14:40:00+05:30,65.25,65.7,65.2,65.2,252
2018-08-29 14:45:00+05:30,65.2,65.2,65.2,65.2,0
2018-08-29 14:50:00+05:30,65.2,65.2,65.0,65.0,5885
2018-08-29 14:55:00+05:30,65.0,65.0,65.0,65.0,2455
2018-08-29 15:00:00+05:30,65.0,65.0,64.4,64.4,138
2018-08-29 15:05:00+05:30,64.4,65.4,62.5,65.4,1740
2018-08-29 15:10:00+05:30,65.4,65.7,65.0,65.7,413
2018-08-29 15:15:00+05:30,65.7,65.7,65.05,65.05,60
2018-08-29 15:20:00+05:30,65.05,65.05,65.0,65.0,5200
2018-08-29 15:25:00+05:30,65.65,65.65,65.0,65.0,556
2018-08-30 09:15:00+05:30,62.55,62.55,62.55,62.55,477
2018-08-30 09:20:00+05:30,62.55,62.6,62.55,62.6,11
2018-08-30 09:25:00+05:30,62.55,63.45,62.55,63.25,314
2018-08-30 09:30:00+05:30,63.25,63.25,60.1,60.3,2051
2018-08-30 09:35:00+05:30,60.3,61.45,58.1,58.75,1278
2018-08-30 09:40:00+05:30,58.75,61.2,58.75,59.8,656
2018-08-30 09:45:00+05:30,59.8,59.8,58.5,59.8,912
2018-08-30 09:50:00+05:30,59.8,60.65,59.05,59.4,342
2018-08-30 09:55:00+05:30,59.4,59.7,59.4,59.7,90
2018-08-30 10:00:00+05:30,59.7,59.7,59.0,59.0,1555
2018-08-30 10:05:00+05:30,59.0,59.75,58.55,58.55,1953
2018-08-30 10:10:00+05:30,58.55,60.0,58.55,60.0,1280
2018-08-30 10:15:00+05:30,60.0,60.0,59.05,59.05,2
2018-08-30 10:20:00+05:30,59.05,59.05,59.05,59.05,804
2018-08-30 10:25:00+05:30,59.05,59.05,59.05,59.05,2
2018-08-30 10:30:00+05:30,59.05,59.05,59.05,59.05,20
2018-08-30 10:35:00+05:30,59.05,59.05,59.0,59.0,517
2018-08-30 10:40:00+05:30,59.0,59.05,59.0,59.05,10
2018-08-30 10:45:00+05:30,59.05,59.05,59.0,59.0,155
2018-08-30 10:50:00+05:30,59.0,59.05,59.0,59.05,10
2018-08-30 10:55:00+05:30,59.05,59.55,59.05,59.55,718
2018-08-30 11:00:00+05:30,59.05,59.5,58.6,58.6,540
2018-08-30 11:05:00+05:30,58.6,59.6,58.6,59.5,357
2018-08-30 11:10:00+05:30,58.75,59.5,58.75,59.5,34
2018-08-30 11:15:00+05:30,58.7,58.75,58.7,58.75,168
2018-08-30 11:20:00+05:30,58.75,59.45,58.7,59.45,70
2018-08-30 11:25:00+05:30,58.7,59.35,58.7,59.35,7
2018-08-30 11:30:00+05:30,59.35,59.35,58.65,58.65,60
2018-08-30 11:35:00+05:30,58.65,59.35,58.65,59.35,282
2018-08-30 11:40:00+05:30,59.35,59.35,58.6,59.35,101
2018-08-30 11:45:00+05:30,59.35,59.55,59.35,59.5,308
2018-08-30 11:50:00+05:30,59.5,59.5,58.85,58.85,264
2018-08-30 11:55:00+05:30,58.85,58.85,58.8,58.85,32
2018-08-30 12:00:00+05:30,58.85,59.25,58.65,59.25,306
2018-08-30 12:05:00+05:30,59.25,59.25,59.15,59.15,1
2018-08-30 12:10:00+05:30,59.15,59.15,59.15,59.15,100
2018-08-30 12:15:00+05:30,59.15,59.15,58.45,58.65,2530
2018-08-30 12:20:00+05:30,58.65,58.7,58.45,58.45,647
2018-08-30 12:25:00+05:30,58.45,58.45,58.45,58.45,0
2018-08-30 12:30:00+05:30,58.95,58.95,58.95,58.95,50
2018-08-30 12:35:00+05:30,58.95,58.95,58.45,58.45,250
2018-08-30 12:40:00+05:30,58.45,58.45,58.0,58.0,2740
2018-08-30 12:45:00+05:30,57.5,57.5,55.5,56.1,300
2018-08-30 12:50:00+05:30,56.1,58.7,56.1,58.7,230
2018-08-30 12:55:00+05:30,58.7,58.7,55.7,55.7,2199
2018-08-30 13:00:00+05:30,55.7,57.9,55.7,57.9,338
2018-08-30 13:05:00+05:30,57.9,57.9,57.4,57.4,117
2018-08-30 13:10:00+05:30,57.4,57.4,56.25,57.0,1674
2018-08-30 13:15:00+05:30,57.0,57.4,57.0,57.4,28
2018-08-30 13:20:00+05:30,57.4,57.4,56.65,57.4,169
2018-08-30 13:25:00+05:30,57.4,58.5,57.4,58.0,202
2018-08-30 13:30:00+05:30,58.0,58.0,58.0,58.0,0
2018-08-30 13:35:00+05:30,57.95,57.95,57.6,57.6,135
2018-08-30 13:40:00+05:30,57.6,58.0,57.6,58.0,754
2018-08-30 13:45:00+05:30,58.0,58.0,57.55,57.55,35
2018-08-30 13:50:00+05:30,57.55,57.55,57.55,57.55,0
2018-08-30 13:55:00+05:30,57.55,57.55,57.55,57.55,9
2018-08-30 14:00:00+05:30,57.55,57.55,57.55,57.55,0
2018-08-30 14:05:00+05:30,57.55,57.6,57.55,57.6,12
2018-08-30 14:10:00+05:30,57.6,57.6,57.6,57.6,0
2018-08-30 14:15:00+05:30,57.6,57.9,57.6,57.9,202
2018-08-30 14:20:00+05:30,57.9,58.0,57.65,58.0,1018
2018-08-30 14:25:00+05:30,58.0,58.0,57.5,57.65,878
2018-08-30 14:30:00+05:30,57.65,58.0,57.6,57.6,49
2018-08-30 14:35:00+05:30,57.6,57.95,57.6,57.65,176
2018-08-30 14:40:00+05:30,57.65,57.65,57.65,57.65,0
2018-08-30 14:45:00+05:30,57.6,57.6,57.5,57.6,686
2018-08-30 14:50:00+05:30,57.6,57.6,57.6,57.6,0
2018-08-30 14:55:00+05:30,57.6,57.6,57.0,57.0,137
2018-08-30 15:00:00+05:30,57.85,57.85,55.75,57.0,877
2018-08-30 15:05:00+05:30,57.0,57.0,56.95,56.95,160
2018-08-30 15:10:00+05:30,56.55,57.0,56.15,56.5,367
2018-08-30 15:15:00+05:30,56.5,57.9,56.5,56.5,671
2018-08-30 15:20:00+05:30,56.5,57.5,56.5,57.45,121
2018-08-30 15:25:00+05:30,57.45,57.45,56.25,56.25,368
2018-08-31 09:15:00+05:30,53.15,56.0,53.15,56.0,200
2018-08-31 09:20:00+05:30,56.0,56.0,55.85,55.85,144
2018-08-31 09:25:00+05:30,55.85,56.0,53.55,53.85,1674
2018-08-31 09:30:00+05:30,53.85,55.3,53.85,55.25,744
2018-08-31 09:35:00+05:30,55.25,55.25,54.5,55.25,131
2018-08-31 09:40:00+05:30,55.2,55.2,54.0,54.0,1379
2018-08-31 09:45:00+05:30,54.0,54.05,53.25,53.25,980
2018-08-31 09:50:00+05:30,53.25,54.0,53.25,53.35,720
2018-08-31 09:55:00+05:30,53.35,53.5,53.35,53.35,200
2018-08-31 10:00:00+05:30,53.35,53.9,53.15,53.15,763
2018-08-31 10:05:00+05:30,53.75,53.75,50.1,51.0,9488
2018-08-31 10:10:00+05:30,51.0,51.85,49.0,50.2,3058
2018-08-31 10:15:00+05:30,50.2,50.75,49.8,50.65,869
2018-08-31 10:20:00+05:30,50.65,50.75,50.4,50.75,1684
2018-08-31 10:25:00+05:30,50.75,50.75,50.1,50.1,999
2018-08-31 10:30:00+05:30,50.1,50.1,50.1,50.1,968
2018-08-31 10:35:00+05:30,50.1,50.15,50.1,50.15,585
2018-08-31 10:40:00+05:30,50.15,50.3,50.15,50.3,142
2018-08-31 10:45:00+05:30,50.3,50.3,50.25,50.25,50
2018-08-31 10:50:00+05:30,50.25,50.25,50.25,50.25,0
2018-08-31 10:55:00+05:30,50.25,50.75,50.25,50.75,429
2018-08-31 11:00:00+05:30,50.75,51.15,50.5,50.6,56
2018-08-31 11:05:00+05:30,50.6,50.65,50.6,50.6,51
2018-08-31 11:10:00+05:30,50.6,51.0,50.6,51.0,802
2018-08-31 11:15:00+05:30,51.0,51.0,50.85,51.0,744
2018-08-31 11:20:00+05:30,51.0,51.25,51.0,51.0,885
2018-08-31 11:25:00+05:30,51.0,51.3,51.0,51.3,661
2018-08-31 11:30:00+05:30,51.3,51.8,51.3,51.3,765
2018-08-31 11:35:00+05:30,51.3,51.3,51.3,51.3,0
2018-08-31 11:40:00+05:30,51.3,51.3,51.3,51.3,0
2018-08-31 11:45:00+05:30,51.0,51.45,51.0,51.45,170
2018-08-31 11:50:00+05:30,51.45,51.45,51.0,51.0,90
2018-08-31 11:55:00+05:30,51.05,51.05,50.85,50.85,689
2018-08-31 12:00:00+05:30,50.85,51.0,50.85,51.0,1711
2018-08-31 12:05:00+05:30,51.0,51.5,50.85,51.5,360
2018-08-31 12:10:00+05:30,51.0,51.0,51.0,51.0,100
2018-08-31 12:15:00+05:30,51.0,51.15,51.0,51.15,62
2018-08-31 12:20:00+05:30,51.15,51.15,51.0,51.0,40
