date,open,high,low,close,volume
2022-02-03 09:15:00+05:30,63.4,63.4,63.4,63.4,15
2022-02-03 09:20:00+05:30,63.4,63.4,63.4,63.4,0
2022-02-03 09:25:00+05:30,63.74,64.3,63.74,64.01,548
2022-02-03 09:30:00+05:30,68.8,68.8,63.52,63.52,2738
2022-02-03 09:35:00+05:30,63.52,63.53,63.52,63.53,195
2022-02-03 09:40:00+05:30,63.53,63.53,63.4,63.53,160
2022-02-03 09:45:00+05:30,63.53,63.53,63.53,63.53,1
2022-02-03 09:50:00+05:30,63.53,63.53,63.53,63.53,0
2022-02-03 09:55:00+05:30,63.53,63.53,63.53,63.53,219
2022-02-03 10:00:00+05:30,63.53,63.53,63.53,63.53,33
2022-02-03 10:05:00+05:30,63.53,63.53,63.53,63.53,260
2022-02-03 10:10:00+05:30,63.53,63.53,63.53,63.53,100
2022-02-03 10:15:00+05:30,63.53,63.53,63.53,63.53,1000
2022-02-03 10:20:00+05:30,63.53,63.53,63.53,63.53,0
2022-02-03 10:25:00+05:30,63.53,63.53,63.53,63.53,0
2022-02-03 10:30:00+05:30,63.53,63.53,63.5,63.5,85
2022-02-03 10:35:00+05:30,63.5,63.5,63.5,63.5,23
2022-02-03 10:40:00+05:30,63.5,63.5,63.5,63.5,123
2022-02-03 10:45:00+05:30,63.5,63.51,63.5,63.51,380
2022-02-03 10:50:00+05:30,63.51,63.51,63.51,63.51,0
2022-02-03 10:55:00+05:30,63.5,63.51,63.45,63.51,52
2022-02-03 11:00:00+05:30,63.51,63.51,63.5,63.5,205
2022-02-03 11:05:00+05:30,63.5,63.5,63.5,63.5,12
2022-02-03 11:10:00+05:30,63.51,63.52,63.51,63.52,1001
2022-02-03 11:15:00+05:30,63.52,63.52,63.45,63.45,1
2022-02-03 11:20:00+05:30,63.45,63.51,63.45,63.51,105
2022-02-03 11:25:00+05:30,63.51,63.51,63.5,63.5,250
2022-02-03 11:30:00+05:30,63.5,63.5,63.5,63.5,247
2022-02-03 11:35:00+05:30,63.5,63.5,63.5,63.5,1
2022-02-03 11:40:00+05:30,63.5,63.5,63.5,63.5,201
2022-02-03 11:45:00+05:30,63.5,63.5,63.5,63.5,171
2022-02-03 11:50:00+05:30,63.5,63.51,63.5,63.51,1410
2022-02-03 11:55:00+05:30,63.51,63.51,63.51,63.51,0
2022-02-03 12:00:00+05:30,63.51,63.51,63.51,63.51,79
2022-02-03 12:05:00+05:30,63.51,63.51,63.51,63.51,0
2022-02-03 12:10:00+05:30,63.51,63.51,63.51,63.51,1
2022-02-03 12:15:00+05:30,63.51,63.7,63.51,63.7,1
2022-02-03 12:20:00+05:30,63.64,63.64,63.6,63.6,316
2022-02-03 12:25:00+05:30,63.6,63.63,63.6,63.63,8
2022-02-03 12:30:00+05:30,63.63,63.63,63.4,63.4,1015
2022-02-03 12:35:00+05:30,63.63,63.63,63.63,63.63,1006
2022-02-03 12:40:00+05:30,63.63,63.63,63.63,63.63,100
2022-02-03 12:45:00+05:30,63.63,63.63,63.63,63.63,100
2022-02-03 12:50:00+05:30,63.63,63.63,63.63,63.63,4028
2022-02-03 12:55:00+05:30,63.63,63.63,63.63,63.63,0
2022-02-03 13:00:00+05:30,63.63,63.63,63.63,63.63,25
2022-02-03 13:05:00+05:30,63.63,63.63,63.55,63.55,2
2022-02-03 13:10:00+05:30,63.55,63.55,63.55,63.55,1
2022-02-03 13:15:00+05:30,63.55,63.55,63.55,63.55,0
2022-02-03 13:20:00+05:30,63.55,63.55,63.55,63.55,0
2022-02-03 13:25:00+05:30,63.55,63.55,63.55,63.55,0
2022-02-03 13:30:00+05:30,63.55,63.55,63.55,63.55,0
2022-02-03 13:35:00+05:30,63.55,63.55,63.5,63.55,2209
2022-02-03 13:40:00+05:30,63.55,63.55,63.55,63.55,2
2022-02-03 13:45:00+05:30,63.55,63.55,63.55,63.55,0
2022-02-03 13:50:00+05:30,63.55,63.55,63.55,63.55,0
2022-02-03 13:55:00+05:30,63.55,63.55,63.55,63.55,0
2022-02-03 14:00:00+05:30,63.55,63.55,63.55,63.55,1
2022-02-03 14:05:00+05:30,63.55,63.55,63.55,63.55,177
2022-02-03 14:10:00+05:30,63.55,63.55,63.55,63.55,10
2022-02-03 14:15:00+05:30,63.55,63.55,63.5,63.55,100
2022-02-03 14:20:00+05:30,63.55,63.55,63.5,63.5,105
2022-02-03 14:25:00+05:30,63.55,63.55,63.55,63.55,103
2022-02-03 14:30:00+05:30,63.55,63.55,63.5,63.5,3
2022-02-03 14:35:00+05:30,63.5,63.55,63.5,63.55,11
2022-02-03 14:40:00+05:30,63.55,63.55,63.5,63.5,1097
2022-02-03 14:45:00+05:30,63.5,63.55,63.5,63.55,400
2022-02-03 14:50:00+05:30,63.55,63.55,63.55,63.55,0
2022-02-03 14:55:00+05:30,63.55,63.69,63.55,63.69,31
2022-02-03 15:00:00+05:30,63.69,63.69,63.6,63.6,4
2022-02-03 15:05:00+05:30,63.4,63.4,63.4,63.4,792
2022-02-03 15:10:00+05:30,63.4,63.4,63.2,63.2,1112
2022-02-03 15:15:00+05:30,63.2,63.74,63.2,63.74,97
2022-02-03 15:20:00+05:30,63.75,63.75,63.75,63.75,273
2022-02-03 15:25:00+05:30,63.75,63.75,63.35,63.35,170
2022-02-04 09:15:00+05:30,63.5,64.89,63.5,64.85,18
2022-02-04 09:20:00+05:30,64.85,64.85,64.42,64.42,688
2022-02-04 09:25:00+05:30,64.42,64.76,63.69,63.69,74
2022-02-04 09:30:00+05:30,63.69,63.69,63.68,63.68,820
2022-02-04 09:35:00+05:30,63.68,63.68,63.68,63.68,301
2022-02-04 09:40:00+05:30,63.68,63.68,63.68,63.68,53
2022-02-04 09:45:00+05:30,63.68,63.68,63.6,63.6,1521
2022-02-04 09:50:00+05:30,63.52,63.68,63.52,63.68,1179
2022-02-04 09:55:00+05:30,63.68,63.68,63.68,63.68,201
2022-02-04 10:00:00+05:30,63.68,63.68,63.68,63.68,0
2022-02-04 10:05:00+05:30,64.0,65.0,64.0,64.3,1223
2022-02-04 10:10:00+05:30,64.3,64.3,63.8,63.8,300
2022-02-04 10:15:00+05:30,63.8,64.05,63.8,64.05,2735
2022-02-04 10:20:00+05:30,64.05,64.05,64.05,64.05,391
2022-02-04 10:25:00+05:30,64.05,64.05,64.05,64.05,149
2022-02-04 10:30:00+05:30,64.05,64.05,64.05,64.05,0
2022-02-04 10:35:00+05:30,64.05,64.05,64.05,64.05,0
2022-02-04 10:40:00+05:30,64.05,64.14,64.05,64.14,1
2022-02-04 10:45:00+05:30,64.14,64.14,64.14,64.14,96
2022-02-04 10:50:00+05:30,64.14,64.14,64.14,64.14,121
2022-02-04 10:55:00+05:30,64.0,64.0,64.0,64.0,250
2022-02-04 11:00:00+05:30,64.0,64.14,64.0,64.14,166
2022-02-04 11:05:00+05:30,64.14,64.14,64.14,64.14,25
2022-02-04 11:10:00+05:30,64.14,64.14,64.14,64.14,16
2022-02-04 11:15:00+05:30,64.14,64.14,64.14,64.14,1
2022-02-04 11:20:00+05:30,64.14,64.14,64.14,64.14,5
2022-02-04 11:25:00+05:30,64.14,64.14,64.14,64.14,110
2022-02-04 11:30:00+05:30,64.14,64.14,64.14,64.14,85
2022-02-04 11:35:00+05:30,64.14,64.14,64.14,64.14,0
2022-02-04 11:40:00+05:30,64.14,64.14,64.0,64.0,239
2022-02-04 11:45:00+05:30,64.0,64.01,64.0,64.01,1
2022-02-04 11:50:00+05:30,64.01,64.01,64.01,64.01,0
2022-02-04 11:55:00+05:30,64.01,64.3,64.01,64.3,100
2022-02-04 12:00:00+05:30,64.3,64.3,64.3,64.3,6
2022-02-04 12:05:00+05:30,64.3,64.3,64.3,64.3,0
2022-02-04 12:10:00+05:30,64.3,64.3,64.0,64.0,36
2022-02-04 12:15:00+05:30,63.8,63.8,63.8,63.8,58
2022-02-04 12:20:00+05:30,63.8,63.8,63.75,63.75,20
2022-02-04 12:25:00+05:30,63.75,64.01,63.75,64.01,536
2022-02-04 12:30:00+05:30,63.85,63.85,63.85,63.85,2
2022-02-04 12:35:00+05:30,63.85,63.85,63.85,63.85,521
2022-02-04 12:40:00+05:30,63.85,63.85,63.85,63.85,210
2022-02-04 12:45:00+05:30,63.85,63.85,63.73,63.73,8
2022-02-04 12:50:00+05:30,63.73,63.85,63.73,63.85,962
2022-02-04 12:55:00+05:30,63.85,64.79,63.73,63.73,1130
2022-02-04 13:00:00+05:30,63.73,64.49,63.73,64.48,811
2022-02-04 13:05:00+05:30,64.48,64.48,64.48,64.48,0
2022-02-04 13:10:00+05:30,64.48,64.48,63.77,64.46,62
2022-02-04 13:15:00+05:30,64.46,64.46,63.95,63.95,1701
2022-02-04 13:20:00+05:30,63.95,63.95,63.95,63.95,32
2022-02-04 13:25:00+05:30,63.95,63.95,63.95,63.95,2
2022-02-04 13:30:00+05:30,63.95,63.99,63.95,63.95,127
2022-02-04 13:35:00+05:30,63.95,63.95,63.95,63.95,18
2022-02-04 13:40:00+05:30,63.95,63.95,63.95,63.95,9
2022-02-04 13:45:00+05:30,63.95,63.99,63.95,63.99,1000
2022-02-04 13:50:00+05:30,63.99,64.46,63.99,64.46,236
2022-02-04 13:55:00+05:30,64.46,64.46,64.4,64.4,15
2022-02-04 14:00:00+05:30,64.4,64.4,64.4,64.4,4
2022-02-04 14:05:00+05:30,64.4,64.4,63.73,63.73,5459
2022-02-04 14:10:00+05:30,63.73,63.73,63.62,63.62,1289
2022-02-04 14:15:00+05:30,63.62,63.7,63.62,63.7,1095
2022-02-04 14:20:00+05:30,63.7,63.7,63.7,63.7,25
2022-02-04 14:25:00+05:30,63.7,63.7,63.7,63.7,36
2022-02-04 14:30:00+05:30,63.7,63.7,63.7,63.7,0
2022-02-04 14:35:00+05:30,63.7,63.7,63.7,63.7,0
2022-02-04 14:40:00+05:30,63.7,63.7,63.7,63.7,61
2022-02-04 14:45:00+05:30,63.65,63.65,63.65,63.65,50
2022-02-04 14:50:00+05:30,63.69,63.7,63.69,63.7,307
2022-02-04 14:55:00+05:30,63.7,63.7,63.65,63.65,25
2022-02-04 15:00:00+05:30,63.65,63.65,63.65,63.65,125
2022-02-04 15:05:00+05:30,63.65,63.65,63.32,63.5,1033
2022-02-04 15:10:00+05:30,63.5,63.65,63.47,63.47,161
2022-02-04 15:15:00+05:30,63.47,63.47,63.4,63.4,15
2022-02-04 15:20:00+05:30,63.4,63.4,63.4,63.4,11
2022-02-04 15:25:00+05:30,63.4,63.4,63.3,63.3,592
2022-02-07 09:15:00+05:30,63.45,66.0,63.45,64.06,1119
2022-02-07 09:20:00+05:30,64.06,64.99,64.06,64.75,1653
