date,open,high,low,close,volume
2022-02-07 09:15:00+05:30,60.0,63.99,59.44,63.99,361
2022-02-07 09:20:00+05:30,63.99,64.34,62.5,64.34,1083
2022-02-07 09:25:00+05:30,64.34,64.34,63.11,63.45,3610
2022-02-07 09:30:00+05:30,63.45,64.0,63.45,64.0,222
2022-02-07 09:35:00+05:30,64.0,64.15,63.85,63.85,1035
2022-02-07 09:40:00+05:30,63.85,63.85,63.8,63.8,10220
2022-02-07 09:45:00+05:30,63.8,63.8,63.21,63.8,1826
2022-02-07 09:50:00+05:30,63.8,63.8,63.22,63.8,112
2022-02-07 09:55:00+05:30,63.21,63.21,62.55,63.0,5138
2022-02-07 10:00:00+05:30,63.0,63.0,62.51,63.0,231
2022-02-07 10:05:00+05:30,63.0,63.0,62.6,63.0,3781
2022-02-07 10:10:00+05:30,63.0,63.0,62.5,62.5,4157
2022-02-07 10:15:00+05:30,62.5,62.5,62.25,62.25,1973
2022-02-07 10:20:00+05:30,62.25,62.5,61.8,62.0,11242
2022-02-07 10:25:00+05:30,62.0,62.0,62.0,62.0,124
2022-02-07 10:30:00+05:30,62.0,62.0,62.0,62.0,251
2022-02-07 10:35:00+05:30,62.0,62.22,62.0,62.0,901
2022-02-07 10:40:00+05:30,62.0,62.0,62.0,62.0,1500
2022-02-07 10:45:00+05:30,62.05,62.2,62.05,62.2,2701
2022-02-07 10:50:00+05:30,62.2,62.5,62.2,62.5,1807
2022-02-07 10:55:00+05:30,62.5,62.5,61.84,61.84,5868
2022-02-07 11:00:00+05:30,61.84,61.89,61.8,61.89,782
2022-02-07 11:05:00+05:30,61.89,62.5,61.89,62.5,1760
2022-02-07 11:10:00+05:30,62.5,62.96,62.0,62.2,3912
2022-02-07 11:15:00+05:30,62.2,62.2,61.86,62.0,133
2022-02-07 11:20:00+05:30,62.0,62.1,62.0,62.1,546
2022-02-07 11:25:00+05:30,62.1,62.15,62.0,62.0,3575
2022-02-07 11:30:00+05:30,62.0,62.0,62.0,62.0,82
2022-02-07 11:35:00+05:30,62.0,62.0,61.95,62.0,378
2022-02-07 11:40:00+05:30,62.0,62.0,62.0,62.0,1011
2022-02-07 11:45:00+05:30,62.0,62.0,62.0,62.0,59
2022-02-07 11:50:00+05:30,62.0,62.0,62.0,62.0,1812
2022-02-07 11:55:00+05:30,62.0,62.0,62.0,62.0,81
2022-02-07 12:00:00+05:30,62.0,62.0,61.9,61.9,3934
2022-02-07 12:05:00+05:30,61.9,62.0,61.9,62.0,5
2022-02-07 12:10:00+05:30,62.0,62.0,62.0,62.0,71
2022-02-07 12:15:00+05:30,62.0,62.0,62.0,62.0,120
2022-02-07 12:20:00+05:30,62.0,62.0,61.95,61.95,169
2022-02-07 12:25:00+05:30,61.9,62.2,61.9,62.2,3790
2022-02-07 12:30:00+05:30,62.2,62.3,62.2,62.3,210
