date,open,high,low,close,volume
2021-11-25 09:15:00+05:30,95.0,105.0,91.5,95.0,6332
2021-11-25 09:20:00+05:30,95.0,97.75,92.55,94.6,1858
2021-11-25 09:25:00+05:30,94.6,94.95,92.5,92.75,156
2021-11-25 09:30:00+05:30,92.75,92.75,91.5,91.5,939
2021-11-25 09:35:00+05:30,91.5,93.85,89.9,89.9,820
2021-11-25 09:40:00+05:30,89.9,91.35,89.9,91.35,1
2021-11-25 09:45:00+05:30,91.35,94.95,91.35,94.95,1002
2021-11-25 09:50:00+05:30,94.95,94.95,94.05,94.1,149
2021-11-25 09:55:00+05:30,92.05,94.85,92.05,94.85,48
2021-11-25 10:00:00+05:30,94.85,94.95,94.85,94.95,1107
2021-11-25 10:05:00+05:30,94.9,94.95,92.55,94.7,447
2021-11-25 10:10:00+05:30,94.7,95.1,94.7,95.1,420
2021-11-25 10:15:00+05:30,95.1,95.1,95.1,95.1,0
2021-11-25 10:20:00+05:30,95.1,95.1,94.7,94.7,613
2021-11-25 10:25:00+05:30,94.7,94.7,94.6,94.6,1
2021-11-25 10:30:00+05:30,92.65,92.65,92.65,92.65,1
2021-11-25 10:35:00+05:30,92.65,92.65,92.65,92.65,0
2021-11-25 10:40:00+05:30,92.65,92.65,92.65,92.65,0
2021-11-25 10:45:00+05:30,92.65,94.6,92.65,94.6,1
2021-11-25 10:50:00+05:30,94.6,96.7,93.5,95.05,487
2021-11-25 10:55:00+05:30,95.05,96.5,95.0,95.0,2014
2021-11-25 11:00:00+05:30,95.0,95.0,95.0,95.0,0
2021-11-25 11:05:00+05:30,95.75,97.5,95.35,96.95,2997
2021-11-25 11:10:00+05:30,96.95,97.95,96.95,97.0,1869
2021-11-25 11:15:00+05:30,97.0,97.9,96.95,97.9,1990
2021-11-25 11:20:00+05:30,97.9,98.0,97.9,97.95,387
2021-11-25 11:25:00+05:30,97.95,98.0,97.0,98.0,2761
2021-11-25 11:30:00+05:30,98.0,99.0,98.0,98.95,1379
2021-11-25 11:35:00+05:30,98.95,98.95,96.95,97.3,854
2021-11-25 11:40:00+05:30,97.3,97.3,97.3,97.3,0
2021-11-25 11:45:00+05:30,97.3,98.0,97.3,97.9,232
2021-11-25 11:50:00+05:30,97.9,97.95,97.3,97.9,1810
2021-11-25 11:55:00+05:30,97.9,98.45,97.9,98.45,1223
2021-11-25 12:00:00+05:30,98.45,99.0,98.2,99.0,3909
2021-11-25 12:05:00+05:30,99.0,99.0,98.55,98.9,1247
2021-11-25 12:10:00+05:30,98.85,98.9,98.0,98.7,533
2021-11-25 12:15:00+05:30,98.7,100.0,98.7,99.05,2772
2021-11-25 12:20:00+05:30,99.05,103.65,97.05,99.5,5750
2021-11-25 12:25:00+05:30,99.5,103.0,99.5,100.4,2756
2021-11-25 12:30:00+05:30,100.4,102.75,100.25,102.0,6534
2021-11-25 12:35:00+05:30,102.0,107.3,101.95,107.0,24982
2021-11-25 12:40:00+05:30,107.0,109.9,105.3,108.1,7844
2021-11-25 12:45:00+05:30,108.1,110.0,108.1,108.3,10479
2021-11-25 12:50:00+05:30,108.3,110.0,108.3,109.0,3271
2021-11-25 12:55:00+05:30,109.0,109.0,107.1,107.1,1421
2021-11-25 13:00:00+05:30,107.1,107.1,105.15,105.2,2535
2021-11-25 13:05:00+05:30,105.2,108.6,105.2,108.6,3088
2021-11-25 13:10:00+05:30,108.6,109.6,108.6,108.95,3567
2021-11-25 13:15:00+05:30,109.45,109.45,107.0,107.9,1141
2021-11-25 13:20:00+05:30,107.9,107.9,106.95,106.95,440
2021-11-25 13:25:00+05:30,106.95,107.95,106.45,107.9,260
2021-11-25 13:30:00+05:30,107.9,108.95,107.5,108.85,1001
2021-11-25 13:35:00+05:30,108.85,109.9,108.8,109.55,951
2021-11-25 13:40:00+05:30,109.5,110.0,109.05,109.85,1580
2021-11-25 13:45:00+05:30,109.7,109.75,108.0,109.5,540
2021-11-25 13:50:00+05:30,109.5,109.85,108.05,108.5,2608
2021-11-25 13:55:00+05:30,108.5,108.5,105.2,106.05,790
2021-11-25 14:00:00+05:30,105.75,107.1,105.75,107.05,734
2021-11-25 14:05:00+05:30,107.1,107.75,105.8,107.75,1947
2021-11-25 14:10:00+05:30,107.75,108.9,107.75,108.75,1182
2021-11-25 14:15:00+05:30,108.0,108.7,107.95,108.1,551
2021-11-25 14:20:00+05:30,108.1,108.1,108.0,108.0,530
2021-11-25 14:25:00+05:30,108.0,108.0,107.95,107.95,713
2021-11-25 14:30:00+05:30,107.95,107.95,106.35,107.8,68
2021-11-25 14:35:00+05:30,107.8,107.8,106.55,107.05,519
2021-11-25 14:40:00+05:30,107.05,107.5,106.6,107.5,469
2021-11-25 14:45:00+05:30,107.5,107.5,106.0,106.85,568
2021-11-25 14:50:00+05:30,106.85,107.6,106.5,106.9,801
2021-11-25 14:55:00+05:30,106.9,107.9,106.9,107.9,212
2021-11-25 15:00:00+05:30,107.9,107.9,106.5,106.5,853
2021-11-25 15:05:00+05:30,106.5,106.5,104.05,104.05,1687
