date,open,high,low,close,volume
2019-06-27 09:15:00+05:30,68.75,68.75,64.45,64.5,19775
2019-06-27 09:20:00+05:30,64.45,64.5,64.0,64.0,7630
2019-06-27 09:25:00+05:30,64.0,64.0,63.7,63.95,1831
2019-06-27 09:30:00+05:30,64.0,64.0,62.25,62.5,8275
2019-06-27 09:35:00+05:30,62.5,62.9,62.25,62.6,4069
2019-06-27 09:40:00+05:30,62.6,62.6,62.0,62.0,1865
2019-06-27 09:45:00+05:30,62.0,63.0,61.95,62.95,1975
2019-06-27 09:50:00+05:30,62.95,63.0,62.0,62.2,5910
2019-06-27 09:55:00+05:30,62.2,62.5,62.2,62.25,891
2019-06-27 10:00:00+05:30,62.25,62.5,62.25,62.5,7405
2019-06-27 10:05:00+05:30,62.5,62.5,62.5,62.5,1765
2019-06-27 10:10:00+05:30,62.5,62.5,62.5,62.5,1103
2019-06-27 10:15:00+05:30,62.5,62.5,62.35,62.35,154
2019-06-27 10:20:00+05:30,62.45,62.5,62.45,62.5,3000
2019-06-27 10:25:00+05:30,62.5,62.5,62.5,62.5,50
2019-06-27 10:30:00+05:30,62.5,62.5,62.5,62.5,565
2019-06-27 10:35:00+05:30,62.5,62.5,62.5,62.5,550
2019-06-27 10:40:00+05:30,62.5,62.7,62.5,62.5,402
2019-06-27 10:45:00+05:30,62.5,62.5,62.5,62.5,0
2019-06-27 10:50:00+05:30,62.5,62.6,62.5,62.6,100
2019-06-27 10:55:00+05:30,62.6,62.6,62.4,62.4,85
2019-06-27 11:00:00+05:30,62.4,62.55,62.4,62.55,10
2019-06-27 11:05:00+05:30,62.55,62.55,62.55,62.55,100
2019-06-27 11:10:00+05:30,62.55,62.55,62.4,62.4,25
2019-06-27 11:15:00+05:30,62.5,62.6,62.35,62.5,1127
2019-06-27 11:20:00+05:30,62.5,62.6,62.5,62.6,35
2019-06-27 11:25:00+05:30,62.6,62.65,62.5,62.65,915
2019-06-27 11:30:00+05:30,62.65,62.65,62.5,62.65,603
2019-06-27 11:35:00+05:30,62.5,62.65,62.5,62.65,122
2019-06-27 11:40:00+05:30,62.65,62.65,62.65,62.65,0
2019-06-27 11:45:00+05:30,62.65,62.65,62.65,62.65,60
2019-06-27 11:50:00+05:30,62.65,62.65,62.45,62.45,2
2019-06-27 11:55:00+05:30,62.45,62.45,62.3,62.3,31
2019-06-27 12:00:00+05:30,62.3,62.3,62.3,62.3,0
2019-06-27 12:05:00+05:30,62.3,62.5,62.3,62.5,512
2019-06-27 12:15:00+05:30,62.5,62.5,62.5,62.5,0
2019-06-27 12:20:00+05:30,62.5,62.5,62.5,62.5,0
2019-06-27 12:25:00+05:30,62.5,62.5,62.5,62.5,0
2019-06-27 12:30:00+05:30,62.5,62.5,62.5,62.5,0
2019-06-27 12:40:00+05:30,62.5,62.5,62.25,62.25,539
2019-06-27 12:45:00+05:30,62.25,62.45,62.25,62.45,376
2019-06-27 12:50:00+05:30,62.45,62.45,62.45,62.45,0
2019-06-27 12:55:00+05:30,62.45,62.45,62.2,62.2,194
2019-06-27 13:00:00+05:30,62.2,62.2,61.8,62.1,2065
2019-06-27 13:05:00+05:30,62.1,62.1,61.9,61.9,20
2019-06-27 13:10:00+05:30,61.9,61.9,61.0,61.25,2786
2019-06-27 13:15:00+05:30,61.25,61.45,61.2,61.45,211
2019-06-27 13:20:00+05:30,61.45,61.6,61.45,61.6,225
2019-06-27 13:25:00+05:30,61.6,62.35,61.6,61.6,3251
2019-06-27 13:30:00+05:30,61.6,61.6,61.6,61.6,1090
2019-06-27 13:35:00+05:30,61.6,61.6,61.4,61.6,899
2019-06-27 13:40:00+05:30,61.6,61.9,61.6,61.9,201
2019-06-27 13:45:00+05:30,61.9,61.9,61.9,61.9,0
2019-06-27 13:50:00+05:30,61.9,61.9,61.9,61.9,99
2019-06-27 13:55:00+05:30,61.9,61.9,61.9,61.9,10
2019-06-27 14:00:00+05:30,61.9,62.3,61.05,62.3,5060
2019-06-27 14:05:00+05:30,62.0,62.0,61.5,61.5,3725
2019-06-27 14:10:00+05:30,61.5,61.5,61.05,61.05,600
2019-06-27 14:15:00+05:30,61.05,61.05,61.05,61.05,0
2019-06-27 14:20:00+05:30,61.05,61.05,61.05,61.05,0
2019-06-27 14:25:00+05:30,61.05,61.3,61.05,61.25,11
2019-06-27 14:30:00+05:30,61.15,61.5,61.15,61.5,290
2019-06-27 14:35:00+05:30,61.5,61.5,61.5,61.5,0
2019-06-27 14:40:00+05:30,61.35,61.35,61.35,61.35,220
2019-06-27 14:45:00+05:30,61.35,61.5,61.2,61.5,1525
2019-06-27 14:50:00+05:30,61.5,61.5,61.5,61.5,0
2019-06-27 14:55:00+05:30,61.15,61.15,61.15,61.15,149
2019-06-27 15:00:00+05:30,61.15,61.15,60.6,60.65,1209
2019-06-27 15:05:00+05:30,60.6,61.05,60.6,61.05,1669
2019-06-27 15:10:00+05:30,61.05,61.35,61.05,61.05,389
2019-06-27 15:15:00+05:30,61.05,61.5,61.0,61.0,4915
2019-06-27 15:20:00+05:30,61.0,61.3,61.0,61.0,1976
2019-06-27 15:25:00+05:30,61.0,62.0,60.5,62.0,6815
2019-06-28 09:15:00+05:30,62.45,62.5,60.35,61.1,3002
2019-06-28 09:20:00+05:30,61.1,61.9,61.1,61.9,103
2019-06-28 09:25:00+05:30,61.9,61.9,61.9,61.9,0
2019-06-28 09:30:00+05:30,61.4,61.5,61.4,61.5,750
2019-06-28 09:35:00+05:30,61.5,61.5,61.5,61.5,101
2019-06-28 09:40:00+05:30,61.5,61.75,61.5,61.75,550
2019-06-28 09:45:00+05:30,61.75,61.75,61.7,61.7,6
2019-06-28 09:50:00+05:30,61.7,61.7,61.35,61.4,108
2019-06-28 09:55:00+05:30,61.45,61.45,61.0,61.0,462
2019-06-28 10:00:00+05:30,61.0,61.0,61.0,61.0,0
2019-06-28 10:10:00+05:30,61.0,61.0,60.8,60.8,288
2019-06-28 10:15:00+05:30,60.8,60.8,60.8,60.8,5
2019-06-28 10:20:00+05:30,60.8,60.8,60.7,60.7,210
2019-06-28 10:25:00+05:30,60.7,60.7,60.7,60.7,0
2019-06-28 10:30:00+05:30,60.7,60.7,60.5,60.5,16
2019-06-28 10:35:00+05:30,60.7,60.7,60.55,60.6,103
2019-06-28 10:40:00+05:30,60.6,60.6,60.6,60.6,0
2019-06-28 10:45:00+05:30,60.6,61.3,60.6,60.75,151
2019-06-28 10:50:00+05:30,60.75,60.75,60.75,60.75,0
2019-06-28 10:55:00+05:30,60.75,60.75,60.75,60.75,0
2019-06-28 11:00:00+05:30,60.75,60.75,60.5,60.75,251
2019-06-28 11:05:00+05:30,60.75,60.8,60.75,60.8,1
2019-06-28 11:10:00+05:30,60.8,60.8,60.8,60.8,0
2019-06-28 11:15:00+05:30,60.8,60.8,60.8,60.8,0
2019-06-28 11:20:00+05:30,60.8,60.8,60.8,60.8,0
2019-06-28 11:25:00+05:30,61.3,61.3,61.3,61.3,503
2019-06-28 11:30:00+05:30,61.3,61.3,61.3,61.3,0
2019-06-28 11:35:00+05:30,61.3,61.3,61.3,61.3,0
2019-06-28 11:40:00+05:30,61.3,61.4,61.3,61.4,700
2019-06-28 11:45:00+05:30,61.4,61.4,61.15,61.15,54
2019-06-28 11:50:00+05:30,61.15,61.15,61.15,61.15,0
2019-06-28 11:55:00+05:30,61.15,61.15,61.15,61.15,0
2019-06-28 12:00:00+05:30,61.15,61.15,61.15,61.15,0
2019-06-28 12:05:00+05:30,61.15,61.4,61.05,61.05,773
2019-06-28 12:10:00+05:30,61.05,61.05,61.0,61.0,755
2019-06-28 12:15:00+05:30,61.05,61.05,61.05,61.05,100
2019-06-28 12:20:00+05:30,61.05,61.05,61.05,61.05,100
2019-06-28 12:25:00+05:30,61.05,61.05,61.05,61.05,10
2019-06-28 12:30:00+05:30,61.05,61.05,61.05,61.05,0
2019-06-28 12:40:00+05:30,61.05,61.05,61.05,61.05,30
2019-06-28 12:55:00+05:30,61.05,61.05,61.05,61.05,49
2019-06-28 13:10:00+05:30,61.05,61.05,61.05,61.05,0
2019-06-28 13:15:00+05:30,61.05,61.05,61.05,61.05,0
2019-06-28 13:20:00+05:30,61.05,61.05,61.05,61.05,0
2019-06-28 13:30:00+05:30,61.05,61.05,61.05,61.05,0
2019-06-28 13:40:00+05:30,61.05,61.05,61.05,61.05,0
2019-06-28 13:50:00+05:30,61.1,61.4,61.1,61.4,200
2019-06-28 13:55:00+05:30,61.4,61.4,61.4,61.4,0
2019-06-28 14:10:00+05:30,61.4,61.4,60.25,60.5,1540
2019-06-28 14:15:00+05:30,60.5,60.5,60.5,60.5,0
2019-06-28 14:20:00+05:30,60.5,60.5,60.5,60.5,0
2019-06-28 14:25:00+05:30,60.5,60.5,60.5,60.5,0
2019-06-28 14:30:00+05:30,60.5,60.5,60.5,60.5,0
2019-06-28 14:40:00+05:30,60.5,60.5,60.5,60.5,0
2019-06-28 14:45:00+05:30,60.5,60.5,60.5,60.5,0
2019-06-28 14:50:00+05:30,60.5,60.5,60.0,60.0,1129
2019-06-28 14:55:00+05:30,60.0,60.0,60.0,60.0,0
2019-06-28 15:00:00+05:30,60.0,60.0,59.95,59.95,10
2019-06-28 15:05:00+05:30,59.95,59.95,59.5,59.95,1066
2019-06-28 15:10:00+05:30,59.95,59.95,59.95,59.95,0
2019-06-28 15:15:00+05:30,59.95,59.95,59.5,59.5,702
2019-06-28 15:20:00+05:30,59.5,59.7,59.5,59.55,79
2019-06-28 15:25:00+05:30,59.55,60.5,59.55,60.5,430
2019-07-09 09:15:00+05:30,50.1,52.95,43.0,47.95,4103
2019-07-09 09:20:00+05:30,47.95,47.95,47.6,47.8,113
2019-07-09 09:25:00+05:30,47.9,48.8,47.8,48.0,6412
2019-07-09 09:30:00+05:30,48.0,48.0,47.5,47.5,1314
2019-07-09 09:35:00+05:30,47.5,47.95,47.5,47.95,548
2019-07-09 09:40:00+05:30,47.95,47.95,47.75,47.75,500
2019-07-09 09:45:00+05:30,47.75,47.95,47.0,47.1,3763
2019-07-09 09:50:00+05:30,47.1,47.5,46.9,46.9,1519
2019-07-09 09:55:00+05:30,46.9,47.4,46.8,47.35,622
2019-07-09 10:00:00+05:30,47.35,47.35,47.2,47.3,200
2019-07-09 10:05:00+05:30,47.3,47.35,47.0,47.0,3225
2019-07-09 10:10:00+05:30,47.0,47.0,46.8,46.8,6000
2019-07-09 10:15:00+05:30,46.8,47.0,46.7,47.0,1600
2019-07-09 10:20:00+05:30,47.0,47.0,47.0,47.0,0
2019-07-09 10:25:00+05:30,47.0,47.0,47.0,47.0,1453
2019-07-09 10:30:00+05:30,47.0,47.0,46.95,46.95,206
2019-07-09 10:35:00+05:30,47.0,47.0,46.85,46.85,58
2019-07-09 10:40:00+05:30,46.85,46.85,46.85,46.85,0
2019-07-09 10:45:00+05:30,46.85,46.85,46.85,46.85,0
2019-07-09 10:50:00+05:30,46.85,46.85,46.85,46.85,503
2019-07-09 10:55:00+05:30,46.85,46.85,46.85,46.85,0
2019-07-09 11:00:00+05:30,46.85,46.95,46.85,46.95,577
2019-07-09 11:10:00+05:30,46.95,46.95,46.95,46.95,0
2019-07-09 11:15:00+05:30,46.95,46.95,46.95,46.95,25
2019-07-09 11:20:00+05:30,46.95,46.95,46.7,46.7,25
2019-07-09 11:25:00+05:30,46.7,46.7,46.7,46.7,0
2019-07-09 11:30:00+05:30,46.7,46.8,46.7,46.8,200
2019-07-09 11:35:00+05:30,46.8,46.8,46.8,46.8,0
2019-07-09 11:40:00+05:30,46.8,47.0,46.8,47.0,2200
2019-07-09 11:45:00+05:30,47.0,47.0,46.8,46.8,3886
2019-07-09 11:55:00+05:30,46.8,46.8,46.8,46.8,0
2019-07-09 12:00:00+05:30,46.8,47.0,46.8,47.0,25
2019-07-09 12:05:00+05:30,47.0,47.0,47.0,47.0,0
2019-07-09 12:10:00+05:30,47.0,47.0,47.0,47.0,1065
2019-07-09 12:20:00+05:30,47.0,47.0,46.0,46.0,1096
2019-07-09 12:25:00+05:30,46.0,46.0,46.0,46.0,0
2019-07-09 12:30:00+05:30,46.0,46.0,46.0,46.0,159
2019-07-09 12:35:00+05:30,46.0,46.0,45.5,45.5,1094
2019-07-09 12:40:00+05:30,45.5,45.5,45.5,45.5,0
2019-07-09 12:45:00+05:30,45.5,45.5,45.5,45.5,10
2019-07-09 12:50:00+05:30,45.5,45.5,45.5,45.5,0
2019-07-09 12:55:00+05:30,45.3,45.75,45.3,45.75,400
2019-07-09 13:00:00+05:30,45.75,45.75,45.75,45.75,0
2019-07-09 13:10:00+05:30,45.75,45.75,45.65,45.7,1251
2019-07-09 13:15:00+05:30,45.7,45.7,45.7,45.7,610
2019-07-09 13:20:00+05:30,45.7,45.7,45.7,45.7,0
2019-07-09 13:25:00+05:30,45.7,45.7,45.7,45.7,0
2019-07-09 13:30:00+05:30,45.7,45.7,45.3,45.3,1025
2019-07-09 13:35:00+05:30,45.3,45.3,45.3,45.3,0
2019-07-09 13:40:00+05:30,45.65,45.65,45.65,45.65,2
2019-07-09 13:45:00+05:30,45.65,45.65,45.65,45.65,0
2019-07-09 13:50:00+05:30,45.65,45.65,45.65,45.65,0
2019-07-09 13:55:00+05:30,45.65,45.65,45.65,45.65,0
2019-07-09 14:00:00+05:30,45.65,45.65,45.55,45.55,260
2019-07-09 14:05:00+05:30,45.55,45.55,45.55,45.55,100
2019-07-09 14:10:00+05:30,45.55,45.55,45.55,45.55,4
2019-07-09 14:20:00+05:30,45.55,45.55,45.55,45.55,0
2019-07-09 14:25:00+05:30,45.55,45.55,45.55,45.55,100
2019-07-09 14:30:00+05:30,45.55,45.55,45.55,45.55,0
2019-07-09 14:35:00+05:30,45.55,45.55,45.55,45.55,0
2019-07-09 14:40:00+05:30,45.45,45.45,45.0,45.0,1631
2019-07-09 14:45:00+05:30,45.0,45.0,45.0,45.0,0
2019-07-09 14:50:00+05:30,45.0,45.0,44.9,44.9,50
2019-07-09 14:55:00+05:30,44.9,45.0,44.9,45.0,250
2019-07-09 15:00:00+05:30,44.9,45.0,44.7,44.7,717
2019-07-09 15:05:00+05:30,44.7,44.7,44.25,44.25,206
2019-07-09 15:10:00+05:30,44.95,45.0,44.2,44.8,1318
2019-07-09 15:15:00+05:30,44.8,44.8,44.8,44.8,0
2019-07-09 15:20:00+05:30,44.8,44.9,44.65,44.65,201
2019-07-09 15:25:00+05:30,44.65,44.9,44.25,44.9,788
2019-07-10 09:15:00+05:30,42.8,43.8,42.8,43.0,677
2019-07-10 09:20:00+05:30,43.0,43.0,42.9,42.9,4208
2019-07-10 09:25:00+05:30,42.9,42.9,42.9,42.9,0
2019-07-10 09:30:00+05:30,42.9,42.9,42.9,42.9,0
2019-07-10 09:35:00+05:30,42.9,42.9,42.8,42.8,10
2019-07-10 09:40:00+05:30,42.8,42.8,42.8,42.8,0
2019-07-10 09:45:00+05:30,42.8,42.8,42.55,42.55,63
2019-07-10 09:50:00+05:30,42.55,42.85,42.55,42.6,194
2019-07-10 09:55:00+05:30,42.6,42.9,42.6,42.9,200
2019-07-10 10:00:00+05:30,42.9,42.9,42.9,42.9,0
2019-07-10 10:05:00+05:30,42.9,42.9,42.9,42.9,0
2019-07-10 10:10:00+05:30,42.9,42.9,42.9,42.9,0
2019-07-10 10:15:00+05:30,42.9,42.9,42.9,42.9,0
2019-07-10 10:20:00+05:30,42.9,42.9,42.9,42.9,0
2019-07-10 10:25:00+05:30,42.85,42.9,42.85,42.9,650
2019-07-10 10:30:00+05:30,42.9,42.9,42.05,42.05,1544
2019-07-10 10:35:00+05:30,42.05,42.05,42.05,42.05,0
2019-07-10 10:40:00+05:30,42.05,42.15,42.05,42.15,20
2019-07-10 10:45:00+05:30,42.15,42.15,42.15,42.15,480
2019-07-10 11:00:00+05:30,42.15,42.15,42.15,42.15,0
2019-07-10 11:05:00+05:30,42.15,42.15,41.55,41.55,589
2019-07-10 11:10:00+05:30,41.55,42.0,41.55,42.0,250
2019-07-10 11:15:00+05:30,42.0,42.1,42.0,42.1,1033
2019-07-10 11:20:00+05:30,42.1,42.15,42.1,42.15,100
2019-07-10 11:25:00+05:30,42.5,42.5,42.4,42.5,8867
2019-07-10 11:30:00+05:30,42.5,42.85,42.5,42.5,6405
2019-07-10 11:35:00+05:30,42.5,42.5,42.5,42.5,200
2019-07-10 11:40:00+05:30,42.5,42.5,42.5,42.5,0
2019-07-10 11:45:00+05:30,42.5,42.5,42.5,42.5,0
2019-07-10 11:50:00+05:30,42.5,42.5,42.45,42.5,100
2019-07-10 11:55:00+05:30,42.5,42.5,42.45,42.5,100
2019-07-10 12:00:00+05:30,42.5,42.5,42.5,42.5,750
2019-07-10 12:05:00+05:30,42.5,42.5,42.4,42.4,65
2019-07-10 12:10:00+05:30,42.4,42.5,42.4,42.5,25
2019-07-10 12:15:00+05:30,42.45,42.45,42.45,42.45,50
2019-07-10 12:25:00+05:30,42.45,42.45,42.45,42.45,0
2019-07-10 12:35:00+05:30,42.45,42.45,42.3,42.3,25
2019-07-10 12:40:00+05:30,42.3,42.3,42.3,42.3,0
2019-07-10 12:45:00+05:30,42.3,42.3,42.3,42.3,0
2019-07-10 12:50:00+05:30,42.3,42.3,42.3,42.3,0
2019-07-10 12:55:00+05:30,42.3,42.3,42.3,42.3,0
2019-07-10 13:00:00+05:30,42.3,42.3,42.3,42.3,0
2019-07-10 13:05:00+05:30,42.3,42.5,42.3,42.5,5
2019-07-10 13:10:00+05:30,42.5,42.55,42.5,42.55,95
2019-07-10 13:15:00+05:30,42.55,42.6,42.5,42.5,155
2019-07-10 13:20:00+05:30,42.5,42.5,42.5,42.5,0
2019-07-10 13:30:00+05:30,42.5,42.5,42.5,42.5,25
2019-07-10 13:35:00+05:30,42.5,42.5,42.3,42.3,50
2019-07-10 13:40:00+05:30,42.3,42.3,42.3,42.3,0
2019-07-10 13:45:00+05:30,42.4,42.4,42.35,42.35,625
2019-07-10 13:50:00+05:30,42.35,42.4,42.35,42.4,25
2019-07-10 14:00:00+05:30,42.4,42.4,42.4,42.4,0
2019-07-10 14:05:00+05:30,42.4,42.4,42.4,42.4,0
2019-07-10 14:15:00+05:30,42.4,42.4,42.4,42.4,0
2019-07-10 14:20:00+05:30,42.4,42.4,42.4,42.4,0
2019-07-10 14:25:00+05:30,42.4,42.4,42.4,42.4,0
2019-07-10 14:35:00+05:30,42.4,42.85,42.4,42.85,1000
2019-07-10 14:45:00+05:30,42.85,42.85,42.5,42.5,475
2019-07-10 15:00:00+05:30,42.5,42.5,42.5,42.5,132
2019-07-10 15:05:00+05:30,42.5,42.5,42.5,42.5,0
2019-07-10 15:10:00+05:30,42.5,42.5,42.3,42.3,110
2019-07-10 15:15:00+05:30,42.3,42.3,42.3,42.3,205
2019-07-10 15:20:00+05:30,42.3,42.3,42.0,42.0,531
2019-07-10 15:25:00+05:30,42.0,42.0,41.3,41.3,1378
2019-07-11 09:15:00+05:30,41.2,42.0,40.3,40.3,3380
2019-07-11 09:20:00+05:30,40.3,42.7,40.3,42.7,2
2019-07-11 09:25:00+05:30,42.7,42.7,41.95,41.95,200
2019-07-11 09:30:00+05:30,41.95,41.95,41.8,41.8,20
2019-07-11 09:35:00+05:30,41.8,41.8,41.8,41.8,0
2019-07-11 09:40:00+05:30,41.8,41.8,41.8,41.8,0
2019-07-11 09:45:00+05:30,41.8,41.8,41.1,41.1,100
2019-07-11 09:50:00+05:30,41.1,41.1,41.1,41.1,0
2019-07-11 09:55:00+05:30,41.1,41.3,41.1,41.3,500
2019-07-11 10:00:00+05:30,41.3,41.3,41.3,41.3,0
2019-07-11 10:05:00+05:30,41.3,41.3,41.3,41.3,0
2019-07-11 10:10:00+05:30,41.3,41.3,41.3,41.3,0
2019-07-11 10:25:00+05:30,40.85,40.85,40.85,40.85,10
2019-07-11 10:30:00+05:30,40.85,40.85,40.85,40.85,0
2019-07-11 10:35:00+05:30,40.85,40.85,40.85,40.85,0
2019-07-11 10:45:00+05:30,40.95,40.95,40.15,40.15,1036
2019-07-11 10:50:00+05:30,40.15,40.15,40.15,40.15,0
2019-07-11 10:55:00+05:30,40.15,40.15,40.15,40.15,0
2019-07-11 11:00:00+05:30,40.15,40.15,40.15,40.15,0
2019-07-11 11:10:00+05:30,40.15,40.15,40.15,40.15,0
2019-07-11 11:15:00+05:30,40.15,40.15,40.15,40.15,0
2019-07-11 11:20:00+05:30,40.15,40.95,40.15,40.95,1
2019-07-11 11:25:00+05:30,40.9,40.9,40.9,40.9,2
2019-07-11 11:30:00+05:30,40.45,40.45,40.45,40.45,10
2019-07-11 11:35:00+05:30,40.45,41.8,40.45,40.6,501
2019-07-11 11:40:00+05:30,40.6,40.6,40.6,40.6,0
2019-07-11 11:45:00+05:30,40.6,40.6,40.6,40.6,0
2019-07-11 11:50:00+05:30,40.6,40.6,40.6,40.6,0
2019-07-11 11:55:00+05:30,40.6,40.6,40.6,40.6,0
2019-07-11 12:10:00+05:30,40.6,40.6,40.6,40.6,0
2019-07-11 12:15:00+05:30,40.6,40.65,40.6,40.65,100
2019-07-11 12:20:00+05:30,40.65,41.45,40.65,41.45,1
2019-07-11 12:25:00+05:30,41.45,41.45,41.45,41.45,0
2019-07-11 12:30:00+05:30,41.45,41.45,41.45,41.45,0
2019-07-11 12:35:00+05:30,41.45,41.45,41.35,41.35,10
2019-07-11 12:40:00+05:30,41.35,41.35,41.35,41.35,0
2019-07-11 12:45:00+05:30,41.35,41.35,41.35,41.35,0
2019-07-11 12:50:00+05:30,41.35,41.35,41.35,41.35,0
2019-07-11 13:00:00+05:30,41.35,41.35,41.35,41.35,0
2019-07-11 13:15:00+05:30,41.35,41.35,41.35,41.35,0
2019-07-11 13:20:00+05:30,41.35,41.35,41.35,41.35,0
2019-07-11 13:25:00+05:30,41.35,41.35,41.35,41.35,0
2019-07-11 13:30:00+05:30,41.35,41.35,41.35,41.35,0
2019-07-11 13:35:00+05:30,41.35,41.35,40.6,40.6,10
2019-07-11 13:40:00+05:30,40.6,40.6,40.6,40.6,0
2019-07-11 13:45:00+05:30,40.6,40.6,40.6,40.6,0
2019-07-11 13:50:00+05:30,40.6,40.6,40.6,40.6,0
2019-07-11 13:55:00+05:30,40.65,40.65,40.65,40.65,10
2019-07-11 14:00:00+05:30,40.65,41.8,40.65,41.55,600
2019-07-11 14:05:00+05:30,41.55,41.55,41.55,41.55,0
2019-07-11 14:10:00+05:30,41.55,41.8,41.0,41.0,201
2019-07-11 14:15:00+05:30,41.0,41.0,41.0,41.0,0
2019-07-11 14:20:00+05:30,41.7,41.8,41.7,41.8,1150
2019-07-11 14:25:00+05:30,41.8,42.0,41.8,42.0,500
2019-07-11 14:30:00+05:30,42.0,42.0,42.0,42.0,68
2019-07-11 14:35:00+05:30,42.0,42.0,42.0,42.0,0
2019-07-11 14:40:00+05:30,42.0,42.0,42.0,42.0,0
2019-07-11 14:45:00+05:30,42.0,42.5,42.0,42.5,220
2019-07-11 14:50:00+05:30,42.5,42.65,42.5,42.65,1
2019-07-11 14:55:00+05:30,42.65,43.6,42.65,43.6,219
2019-07-11 15:00:00+05:30,43.6,43.6,43.05,43.25,160
2019-07-11 15:05:00+05:30,43.25,43.4,43.25,43.4,41
2019-07-11 15:10:00+05:30,43.4,43.4,43.4,43.4,0
2019-07-11 15:15:00+05:30,43.4,43.4,43.4,43.4,0
2019-07-11 15:20:00+05:30,43.4,43.4,43.4,43.4,0
2019-07-11 15:25:00+05:30,43.4,43.45,42.95,43.4,314
2019-07-12 09:15:00+05:30,41.1,42.7,41.1,42.7,1
2019-07-12 09:20:00+05:30,42.7,43.65,42.4,43.65,50
2019-07-12 09:25:00+05:30,43.65,44.75,43.65,44.0,650
2019-07-12 09:30:00+05:30,44.0,44.0,43.15,43.15,501
2019-07-12 09:35:00+05:30,43.15,43.15,43.15,43.15,372
2019-07-12 09:40:00+05:30,43.05,43.05,43.05,43.05,128
2019-07-12 09:45:00+05:30,43.05,43.8,43.05,43.8,1
2019-07-12 09:50:00+05:30,43.8,43.8,43.8,43.8,0
2019-07-12 09:55:00+05:30,43.8,43.8,43.8,43.8,0
2019-07-12 10:00:00+05:30,43.8,43.8,43.8,43.8,0
2019-07-12 10:05:00+05:30,43.8,43.8,43.8,43.8,0
2019-07-12 10:10:00+05:30,43.8,43.8,43.7,43.75,42
2019-07-12 10:15:00+05:30,43.75,43.8,43.2,43.25,586
2019-07-12 10:20:00+05:30,43.25,43.25,43.25,43.25,0
2019-07-12 10:25:00+05:30,43.25,43.8,43.25,43.8,100
2019-07-12 10:30:00+05:30,43.8,44.35,43.8,44.35,2500
2019-07-12 10:35:00+05:30,44.3,44.7,44.3,44.7,3500
2019-07-12 10:40:00+05:30,44.7,44.7,44.65,44.65,227
