date,open,high,low,close,volume
2021-03-26 09:15:00+05:30,299.0,299.0,299.0,299.0,0
2021-03-26 09:40:00+05:30,292.0,292.0,292.0,292.0,0
2021-03-26 09:45:00+05:30,292.0,292.0,292.0,292.0,0
2021-03-26 09:50:00+05:30,292.0,292.0,292.0,292.0,0
2021-03-26 09:55:00+05:30,292.0,292.0,292.0,292.0,0
2021-03-26 10:00:00+05:30,292.3,295.95,279.05,284.2,754535
2021-03-26 10:05:00+05:30,283.5,290.0,283.0,287.95,282954
2021-03-26 10:10:00+05:30,288.0,288.0,280.95,280.95,146608
2021-03-26 10:15:00+05:30,280.95,284.6,280.0,284.1,185460
2021-03-26 10:20:00+05:30,284.15,284.9,282.5,283.55,51300
2021-03-26 10:25:00+05:30,283.75,285.9,283.55,283.55,75237
2021-03-26 10:30:00+05:30,283.55,284.2,280.55,281.4,70742
2021-03-26 10:35:00+05:30,281.25,282.7,280.6,281.75,40774
2021-03-26 10:40:00+05:30,281.75,281.75,276.6,279.0,135143
2021-03-26 10:45:00+05:30,278.95,279.95,278.05,278.05,37061
2021-03-26 10:50:00+05:30,278.0,280.0,277.85,278.85,40753
2021-03-26 10:55:00+05:30,278.85,279.3,276.4,277.05,55610
2021-03-26 11:00:00+05:30,277.05,281.0,275.4,279.4,106569
2021-03-26 11:05:00+05:30,279.35,280.7,279.1,279.95,35204
2021-03-26 11:10:00+05:30,279.95,280.35,279.45,279.65,14595
2021-03-26 11:15:00+05:30,279.65,279.9,277.5,278.4,23896
2021-03-26 11:20:00+05:30,278.4,280.2,277.65,279.45,22956
2021-03-26 11:25:00+05:30,279.45,279.5,278.65,278.85,7292
2021-03-26 11:30:00+05:30,278.85,279.1,277.85,278.0,9209
2021-03-26 11:35:00+05:30,278.0,278.0,276.35,276.65,22898
2021-03-26 11:40:00+05:30,276.7,277.4,273.45,277.25,72008
2021-03-26 11:45:00+05:30,277.25,277.6,275.05,275.35,14574
2021-03-26 11:50:00+05:30,275.35,275.55,272.5,274.7,60771
2021-03-26 11:55:00+05:30,274.7,274.75,273.1,273.6,29145
2021-03-26 12:00:00+05:30,273.8,273.95,272.0,272.1,46894
2021-03-26 12:05:00+05:30,271.5,277.0,271.35,275.4,82403
2021-03-26 12:10:00+05:30,275.4,275.95,274.55,275.8,20411
2021-03-26 12:15:00+05:30,275.8,276.9,275.25,275.75,15282
2021-03-26 12:20:00+05:30,275.6,276.0,275.0,275.25,13331
2021-03-26 12:25:00+05:30,275.25,275.3,274.6,274.8,16017
2021-03-26 12:30:00+05:30,274.85,276.0,274.6,275.7,12943
2021-03-26 12:35:00+05:30,275.7,276.8,275.7,275.8,12463
2021-03-26 12:40:00+05:30,275.85,276.3,275.25,276.05,13301
2021-03-26 12:45:00+05:30,276.35,277.7,276.05,277.25,32201
2021-03-26 12:50:00+05:30,277.25,279.2,277.05,278.3,37983
2021-03-26 12:55:00+05:30,278.3,279.9,278.25,279.65,37937
2021-03-26 13:00:00+05:30,279.65,281.8,279.05,281.35,72393
2021-03-26 13:05:00+05:30,281.1,282.5,279.7,282.15,36749
2021-03-26 13:10:00+05:30,282.45,283.7,281.1,282.65,50462
2021-03-26 13:15:00+05:30,282.8,283.25,282.2,282.6,24061
2021-03-26 13:20:00+05:30,282.6,283.25,281.15,283.2,25485
2021-03-26 13:25:00+05:30,283.2,283.2,282.05,282.6,21968
2021-03-26 13:30:00+05:30,282.6,283.0,282.3,282.55,18563
2021-03-26 13:35:00+05:30,282.55,282.85,281.55,282.65,20198
2021-03-26 13:40:00+05:30,282.65,282.9,282.35,282.8,14160
2021-03-26 13:45:00+05:30,282.8,284.4,282.55,283.95,53932
2021-03-26 13:50:00+05:30,283.95,284.95,283.05,284.65,35323
2021-03-26 13:55:00+05:30,284.65,284.8,283.05,284.1,22166
2021-03-26 14:00:00+05:30,284.1,284.65,280.9,282.15,38136
2021-03-26 14:05:00+05:30,282.15,283.0,281.55,282.85,23673
2021-03-26 14:10:00+05:30,282.85,283.8,281.05,281.9,23052
2021-03-26 14:15:00+05:30,281.95,283.0,281.8,283.0,17320
2021-03-26 14:20:00+05:30,283.0,283.5,282.05,282.35,21478
2021-03-26 14:25:00+05:30,282.35,283.0,282.1,282.35,16996
