date,open,high,low,close,volume
2021-12-06 09:15:00+05:30,662.0,663.15,646.1,646.85,56044
2021-12-06 09:20:00+05:30,646.95,649.8,643.5,646.35,53274
2021-12-06 09:25:00+05:30,646.15,646.4,643.5,645.15,34778
2021-12-06 09:30:00+05:30,645.65,645.65,632.6,635.5,56392
2021-12-06 09:35:00+05:30,635.5,636.95,631.0,633.4,37340
2021-12-06 09:40:00+05:30,634.0,641.0,633.3,640.95,20219
2021-12-06 09:45:00+05:30,640.5,642.7,638.3,639.8,22436
2021-12-06 09:50:00+05:30,639.5,642.8,638.95,641.85,15483
2021-12-06 09:55:00+05:30,642.0,643.5,640.3,643.15,14071
2021-12-06 10:00:00+05:30,643.25,645.3,641.1,643.15,12851
2021-12-06 10:05:00+05:30,643.15,644.7,642.0,642.95,7380
2021-12-06 10:10:00+05:30,642.95,643.1,640.65,641.85,8310
2021-12-06 10:15:00+05:30,641.85,642.35,638.9,642.2,16515
2021-12-06 10:20:00+05:30,641.7,642.0,638.5,641.2,16474
2021-12-06 10:25:00+05:30,641.2,642.5,639.3,641.8,14288
2021-12-06 10:30:00+05:30,641.8,642.0,640.4,642.0,4268
2021-12-06 10:35:00+05:30,641.9,642.9,640.85,641.25,7993
2021-12-06 10:40:00+05:30,641.65,643.0,641.25,642.0,2074
2021-12-06 10:45:00+05:30,642.25,642.45,641.4,642.0,3694
2021-12-06 10:50:00+05:30,642.0,642.5,641.4,642.0,2831
2021-12-06 10:55:00+05:30,642.0,642.05,640.25,641.5,4830
2021-12-06 11:00:00+05:30,641.5,641.5,639.0,641.1,5031
2021-12-06 11:05:00+05:30,641.1,641.2,640.05,640.95,3155
2021-12-06 11:10:00+05:30,640.95,643.5,638.1,642.5,13098
2021-12-06 11:15:00+05:30,642.5,643.0,640.4,640.45,2552
2021-12-06 11:20:00+05:30,641.05,641.5,640.4,640.6,3296
2021-12-06 11:25:00+05:30,640.6,640.6,638.55,639.7,6756
2021-12-06 11:30:00+05:30,639.0,640.6,638.45,640.6,8481
2021-12-06 11:35:00+05:30,640.6,641.9,638.3,639.35,5521
2021-12-06 11:40:00+05:30,639.45,640.2,639.1,639.75,1731
2021-12-06 11:45:00+05:30,639.75,641.0,639.0,639.7,4610
2021-12-06 11:50:00+05:30,639.7,640.0,635.0,636.65,10628
2021-12-06 11:55:00+05:30,636.65,637.65,636.05,636.55,5912
2021-12-06 12:00:00+05:30,636.15,636.95,636.1,636.5,2777
2021-12-06 12:05:00+05:30,636.5,637.45,633.0,633.05,11486
2021-12-06 12:10:00+05:30,633.25,634.9,633.0,634.25,8956
2021-12-06 12:15:00+05:30,634.25,634.3,631.5,631.85,11864
2021-12-06 12:20:00+05:30,631.5,633.7,631.15,631.5,11753
2021-12-06 12:25:00+05:30,631.85,633.0,631.4,632.75,8406
2021-12-06 12:30:00+05:30,632.75,633.95,632.5,633.95,3252
