date,open,high,low,close,volume
2022-05-10 09:15:00+05:30,93.4,93.4,86.15,88.65,1886
2022-05-10 09:20:00+05:30,88.65,90.0,88.5,89.95,4343
2022-05-10 09:25:00+05:30,88.8,89.95,88.8,89.0,9063
2022-05-10 09:30:00+05:30,89.0,89.5,88.0,89.0,820
2022-05-10 09:35:00+05:30,89.0,89.0,88.05,88.75,5750
2022-05-10 09:40:00+05:30,88.75,89.0,87.0,87.3,11951
2022-05-10 09:45:00+05:30,87.3,90.0,87.3,88.0,6630
2022-05-10 09:50:00+05:30,87.55,89.6,79.3,85.05,36665
2022-05-10 09:55:00+05:30,85.05,86.5,85.0,86.5,2448
2022-05-10 10:00:00+05:30,86.5,86.5,85.9,86.0,7211
2022-05-10 10:05:00+05:30,86.0,86.5,85.0,86.0,413218
2022-05-10 10:10:00+05:30,86.0,86.9,85.0,86.5,17006
2022-05-10 10:15:00+05:30,85.0,86.45,85.0,86.0,24457
2022-05-10 10:20:00+05:30,86.0,86.0,85.7,86.0,46328
2022-05-10 10:25:00+05:30,86.0,91.35,86.0,91.0,43533
2022-05-10 10:30:00+05:30,90.85,93.0,90.55,92.35,71040
2022-05-10 10:35:00+05:30,92.35,93.4,92.0,93.4,58167
2022-05-10 10:40:00+05:30,93.4,96.8,93.35,96.4,64867
2022-05-10 10:45:00+05:30,96.4,96.5,94.0,94.45,38968
2022-05-10 10:50:00+05:30,94.45,96.85,94.45,95.95,27865
2022-05-10 10:55:00+05:30,95.95,96.0,94.95,95.9,23368
2022-05-10 11:00:00+05:30,95.9,95.95,94.65,95.8,8110
2022-05-10 11:05:00+05:30,95.85,95.95,94.8,95.3,1113
2022-05-10 11:10:00+05:30,95.3,95.3,90.15,90.15,23176
2022-05-10 11:15:00+05:30,90.15,94.0,90.15,94.0,18228
2022-05-10 11:20:00+05:30,94.0,94.8,92.75,93.9,7270
2022-05-10 11:25:00+05:30,93.9,94.0,92.6,93.0,1961
2022-05-10 11:30:00+05:30,93.0,93.7,92.5,92.5,7374
2022-05-10 11:35:00+05:30,92.75,93.5,92.2,93.0,3470
2022-05-10 11:40:00+05:30,93.0,93.0,92.0,92.1,2372
2022-05-10 11:45:00+05:30,92.1,92.9,91.6,91.95,10482
2022-05-10 11:50:00+05:30,91.6,92.0,90.65,91.0,5809
2022-05-10 11:55:00+05:30,91.0,92.0,90.6,92.0,5004
2022-05-10 12:00:00+05:30,92.35,93.35,91.4,93.35,5436
2022-05-10 12:05:00+05:30,93.4,93.5,92.0,93.05,9768
2022-05-10 12:10:00+05:30,93.05,93.25,90.1,92.45,17673
2022-05-10 12:15:00+05:30,92.45,93.3,92.2,92.55,3687
2022-05-10 12:20:00+05:30,92.55,93.5,92.5,93.0,11273
2022-05-10 12:25:00+05:30,93.0,93.2,92.3,93.0,16165
2022-05-10 12:30:00+05:30,93.0,93.05,92.25,92.75,8510
2022-05-10 12:35:00+05:30,92.75,92.75,91.15,91.15,9421
2022-05-10 12:40:00+05:30,91.15,91.85,90.05,91.25,83325
2022-05-10 12:45:00+05:30,91.25,93.2,91.25,92.9,13011
2022-05-10 12:50:00+05:30,92.9,93.0,92.5,92.95,2607
2022-05-10 12:55:00+05:30,92.95,92.95,92.55,92.75,5504
2022-05-10 13:00:00+05:30,92.8,93.8,92.5,93.15,8941
2022-05-10 13:05:00+05:30,93.0,93.7,92.3,93.2,9120
2022-05-10 13:10:00+05:30,93.2,93.2,92.85,93.0,541
2022-05-10 13:15:00+05:30,93.0,93.15,92.85,92.95,2083
