date,open,high,low,close,volume
2019-12-12 09:15:00+05:30,68.45,68.45,68.45,68.45,0
2019-12-12 09:40:00+05:30,58.75,58.75,58.75,58.75,16114991
2019-12-12 09:45:00+05:30,58.75,58.75,58.75,58.75,0
2019-12-12 09:50:00+05:30,58.75,58.75,58.75,58.75,0
2019-12-12 09:55:00+05:30,58.75,58.75,58.75,58.75,0
2019-12-12 10:00:00+05:30,58.3,62.7,57.4,58.9,67508203
2019-12-12 10:05:00+05:30,59.0,59.0,56.75,57.45,22197610
2019-12-12 10:10:00+05:30,57.45,57.45,55.65,55.7,13450202
2019-12-12 10:15:00+05:30,55.8,55.85,53.25,53.3,18857255
2019-12-12 10:20:00+05:30,53.25,54.85,53.05,54.75,10323459
2019-12-12 10:25:00+05:30,54.8,56.75,54.55,56.2,11251014
2019-12-12 10:30:00+05:30,56.2,56.2,54.45,55.55,6137753
2019-12-12 10:35:00+05:30,55.5,56.35,55.05,56.05,3405209
2019-12-12 10:40:00+05:30,56.0,56.25,55.5,55.85,2751672
2019-12-12 10:45:00+05:30,55.8,56.15,55.2,55.4,2203789
2019-12-12 10:50:00+05:30,55.4,55.85,55.35,55.5,1139976
2019-12-12 10:55:00+05:30,55.5,55.8,55.25,55.7,1412243
2019-12-12 11:00:00+05:30,55.65,55.8,55.45,55.5,887467
2019-12-12 11:05:00+05:30,55.4,55.5,55.1,55.2,1490589
2019-12-12 11:10:00+05:30,55.25,55.35,54.75,55.15,2240739
2019-12-12 11:15:00+05:30,55.05,55.15,54.55,54.7,1949844
2019-12-12 11:20:00+05:30,54.7,54.8,54.25,54.5,2456500
2019-12-12 11:25:00+05:30,54.6,54.6,53.8,54.15,3149761
2019-12-12 11:30:00+05:30,54.1,54.75,54.05,54.35,1214151
2019-12-12 11:35:00+05:30,54.4,54.5,54.2,54.25,515351
2019-12-12 11:40:00+05:30,54.25,54.45,53.85,54.0,1184396
2019-12-12 11:45:00+05:30,54.05,54.45,53.95,54.35,879443
2019-12-12 11:50:00+05:30,54.4,54.4,54.2,54.35,666213
2019-12-12 11:55:00+05:30,54.35,54.85,54.3,54.65,855749
2019-12-12 12:00:00+05:30,54.7,55.15,54.6,54.65,1344276
2019-12-12 12:05:00+05:30,54.65,54.9,54.6,54.75,492564
2019-12-12 12:10:00+05:30,54.7,54.8,54.65,54.7,488088
2019-12-12 12:15:00+05:30,54.7,55.25,54.65,55.15,1537232
2019-12-12 12:20:00+05:30,55.1,55.15,54.6,54.85,602887
2019-12-12 12:25:00+05:30,54.85,55.05,54.75,54.85,755692
2019-12-12 12:30:00+05:30,54.9,54.9,54.65,54.75,592580
2019-12-12 12:35:00+05:30,54.75,55.0,54.65,54.9,341288
2019-12-12 12:40:00+05:30,54.9,54.95,54.8,54.9,386031
2019-12-12 12:45:00+05:30,54.95,55.2,54.8,54.95,1016055
2019-12-12 12:50:00+05:30,55.0,55.85,54.95,55.7,1451615
2019-12-12 12:55:00+05:30,55.7,55.85,55.35,55.75,1022308
2019-12-12 13:00:00+05:30,55.75,56.4,55.75,56.3,2631576
2019-12-12 13:05:00+05:30,56.3,56.35,55.6,55.6,1192809
2019-12-12 13:10:00+05:30,55.7,55.9,55.35,55.85,669998
2019-12-12 13:15:00+05:30,55.85,56.05,55.75,55.75,711682
2019-12-12 13:20:00+05:30,55.75,55.9,55.6,55.75,473841
2019-12-12 13:25:00+05:30,55.75,55.95,55.7,55.8,705312
2019-12-12 13:30:00+05:30,55.85,56.4,55.8,56.35,1371777
2019-12-12 13:35:00+05:30,56.35,56.35,55.85,55.9,904630
2019-12-12 13:40:00+05:30,55.95,56.2,55.9,56.15,487650
2019-12-12 13:45:00+05:30,56.15,56.85,56.0,56.6,2321785
2019-12-12 13:50:00+05:30,56.65,56.65,54.9,55.2,2769530
2019-12-12 13:55:00+05:30,55.2,55.6,55.2,55.5,637591
2019-12-12 14:00:00+05:30,55.5,55.8,55.35,55.75,591561
2019-12-12 14:05:00+05:30,55.75,56.25,55.75,56.05,926963
2019-12-12 14:10:00+05:30,56.05,56.2,55.95,56.05,619582
2019-12-12 14:15:00+05:30,56.05,56.15,55.75,55.8,692892
2019-12-12 14:20:00+05:30,55.8,56.0,55.75,55.85,714563
2019-12-12 14:25:00+05:30,55.85,56.2,55.85,56.1,747614
2019-12-12 14:30:00+05:30,56.1,56.15,56.05,56.1,495791
2019-12-12 14:35:00+05:30,56.05,56.1,55.65,55.7,868629
2019-12-12 14:40:00+05:30,55.7,56.0,55.55,55.9,1272988
2019-12-12 14:45:00+05:30,55.9,56.15,55.9,56.0,980028
2019-12-12 14:50:00+05:30,56.0,56.1,55.7,55.75,1024528
2019-12-12 14:55:00+05:30,55.75,55.95,55.7,55.85,999444
2019-12-12 15:00:00+05:30,55.85,56.05,55.85,55.95,1497897
2019-12-12 15:05:00+05:30,56.05,56.75,56.0,56.3,2512776
2019-12-12 15:10:00+05:30,56.2,56.3,55.8,55.85,2245757
2019-12-12 15:15:00+05:30,55.8,56.1,55.8,56.0,2676254
2019-12-12 15:20:00+05:30,56.0,56.05,55.9,55.95,2175388
2019-12-12 15:25:00+05:30,56.0,56.0,55.25,55.35,3189396
2019-12-13 09:15:00+05:30,55.1,55.35,52.05,53.4,4614475
2019-12-13 09:20:00+05:30,53.25,53.9,52.65,53.75,1939705
2019-12-13 09:25:00+05:30,53.75,53.8,52.6,52.7,1563995
2019-12-13 09:30:00+05:30,52.75,53.0,51.8,51.9,2237386
2019-12-13 09:35:00+05:30,51.85,51.9,51.2,51.5,3306819
2019-12-13 09:40:00+05:30,51.55,52.2,51.5,51.7,1414700
2019-12-13 09:45:00+05:30,51.7,53.2,51.6,52.95,2284409
