date,open,high,low,close,volume
2022-04-07 09:15:00+05:30,75.0,75.0,75.0,75.0,0
2022-04-07 09:40:00+05:30,76.0,76.0,76.0,76.0,0
2022-04-07 09:45:00+05:30,76.0,76.0,76.0,76.0,0
2022-04-07 09:50:00+05:30,76.0,76.0,76.0,76.0,0
2022-04-07 09:55:00+05:30,76.0,76.0,76.0,76.0,0
2022-04-07 10:00:00+05:30,76.0,79.8,76.0,79.8,674009
2022-04-07 10:05:00+05:30,79.8,79.8,79.8,79.8,94286
2022-04-07 10:10:00+05:30,79.8,79.8,79.8,79.8,139699
2022-04-07 10:15:00+05:30,79.8,79.8,79.8,79.8,118100
2022-04-07 10:20:00+05:30,79.8,79.8,79.8,79.8,17493
2022-04-07 10:25:00+05:30,79.8,79.8,79.8,79.8,10008
2022-04-07 10:30:00+05:30,79.8,79.8,79.8,79.8,13163
2022-04-07 10:35:00+05:30,79.8,79.8,79.8,79.8,14297
2022-04-07 10:40:00+05:30,79.8,79.8,79.8,79.8,7921
2022-04-07 10:45:00+05:30,79.8,79.8,79.8,79.8,8715
2022-04-07 10:50:00+05:30,79.8,79.8,79.8,79.8,9600
2022-04-07 10:55:00+05:30,79.8,79.8,79.8,79.8,5847
2022-04-07 11:00:00+05:30,79.8,79.8,79.8,79.8,7037
2022-04-07 11:05:00+05:30,79.8,79.8,79.8,79.8,5687
2022-04-07 11:10:00+05:30,79.8,79.8,79.8,79.8,4964
2022-04-07 11:15:00+05:30,79.8,79.8,79.8,79.8,4459
2022-04-07 11:20:00+05:30,79.8,79.8,79.8,79.8,3921
2022-04-07 11:25:00+05:30,79.8,79.8,79.8,79.8,3964
2022-04-07 11:30:00+05:30,79.8,79.8,79.8,79.8,3936
2022-04-07 11:35:00+05:30,79.8,79.8,79.8,79.8,3191
2022-04-07 11:40:00+05:30,79.8,79.8,79.8,79.8,3289
2022-04-07 11:45:00+05:30,79.8,79.8,79.8,79.8,3535
2022-04-07 11:50:00+05:30,79.8,79.8,79.8,79.8,1518
2022-04-07 11:55:00+05:30,79.8,79.8,79.8,79.8,3269
2022-04-07 12:00:00+05:30,79.8,79.8,79.8,79.8,2921
2022-04-07 12:05:00+05:30,79.8,79.8,79.8,79.8,15696
2022-04-07 12:10:00+05:30,79.8,79.8,79.8,79.8,17819
2022-04-07 12:15:00+05:30,79.8,79.8,79.8,79.8,2030
2022-04-07 12:20:00+05:30,79.8,79.8,79.8,79.8,2981
2022-04-07 12:25:00+05:30,79.8,79.8,79.8,79.8,2319
2022-04-07 12:30:00+05:30,79.8,79.8,79.8,79.8,1961
2022-04-07 12:35:00+05:30,79.8,79.8,79.8,79.8,2322
2022-04-07 12:40:00+05:30,79.8,79.8,79.8,79.8,1670
2022-04-07 12:45:00+05:30,79.8,79.8,79.8,79.8,2661
2022-04-07 12:50:00+05:30,79.8,79.8,79.8,79.8,801
2022-04-07 12:55:00+05:30,79.8,79.8,79.8,79.8,1880
2022-04-07 13:00:00+05:30,79.8,79.8,79.8,79.8,2163
2022-04-07 13:05:00+05:30,79.8,79.8,79.8,79.8,2081
2022-04-07 13:10:00+05:30,79.8,79.8,79.8,79.8,1769
2022-04-07 13:15:00+05:30,79.8,79.8,79.8,79.8,1788
2022-04-07 13:20:00+05:30,79.8,79.8,79.8,79.8,2115
2022-04-07 13:25:00+05:30,79.8,79.8,79.8,79.8,3156
2022-04-07 13:30:00+05:30,79.8,79.8,79.8,79.8,2506
2022-04-07 13:35:00+05:30,79.8,79.8,79.8,79.8,3780
2022-04-07 13:40:00+05:30,79.8,79.8,79.8,79.8,4684
2022-04-07 13:45:00+05:30,79.8,79.8,79.8,79.8,2870
2022-04-07 13:50:00+05:30,79.8,79.8,79.8,79.8,3369
