date,open,high,low,close,volume
2022-01-12 09:15:00+05:30,42.9,42.9,39.05,39.05,2056
2022-01-12 09:20:00+05:30,39.05,39.05,39.05,39.05,0
2022-01-12 09:25:00+05:30,39.05,41.0,39.05,41.0,1201
2022-01-12 09:30:00+05:30,41.0,41.1,40.95,41.1,1180
2022-01-12 09:35:00+05:30,41.0,41.1,41.0,41.0,1301
2022-01-12 09:40:00+05:30,41.0,41.0,40.45,40.5,2
2022-01-12 09:45:00+05:30,40.5,40.5,40.5,40.5,0
2022-01-12 09:50:00+05:30,40.5,41.0,40.5,41.0,500
2022-01-12 09:55:00+05:30,41.0,41.0,40.5,40.5,318
2022-01-12 10:00:00+05:30,40.5,41.85,40.5,41.85,4035
2022-01-12 10:05:00+05:30,41.2,42.65,39.3,41.95,3667
2022-01-12 10:10:00+05:30,41.95,42.3,41.0,41.0,1844
2022-01-12 10:15:00+05:30,41.0,41.95,41.0,41.95,70
2022-01-12 10:20:00+05:30,41.95,41.95,41.55,41.8,21
2022-01-12 10:25:00+05:30,41.8,41.8,41.5,41.5,12
2022-01-12 10:30:00+05:30,41.5,41.5,40.15,40.15,1000
2022-01-12 10:35:00+05:30,40.15,41.5,40.15,41.5,314
2022-01-12 10:40:00+05:30,41.5,41.5,39.5,39.5,1510
2022-01-12 10:45:00+05:30,39.5,40.95,39.5,40.95,310
2022-01-12 10:50:00+05:30,40.7,40.95,39.65,40.95,512
2022-01-12 10:55:00+05:30,40.95,40.95,40.6,40.6,192
2022-01-12 11:00:00+05:30,40.6,40.95,39.95,40.6,2379
2022-01-12 11:05:00+05:30,40.6,40.6,39.5,39.95,2054
2022-01-12 11:10:00+05:30,39.95,39.95,39.95,39.95,200
2022-01-12 11:15:00+05:30,39.95,39.95,39.95,39.95,0
2022-01-12 11:20:00+05:30,39.95,39.95,38.9,38.9,10302
2022-01-12 11:25:00+05:30,38.9,40.5,38.9,40.5,10
2022-01-12 11:30:00+05:30,40.5,40.5,38.95,38.95,106
2022-01-12 11:35:00+05:30,38.95,38.95,38.95,38.95,0
2022-01-12 11:40:00+05:30,38.95,38.95,38.95,38.95,0
2022-01-12 11:45:00+05:30,38.95,38.95,38.95,38.95,0
2022-01-12 11:50:00+05:30,38.95,38.95,38.95,38.95,0
2022-01-12 11:55:00+05:30,38.95,40.5,38.95,40.5,2088
2022-01-12 12:00:00+05:30,40.5,40.85,40.5,40.85,1000
2022-01-12 12:05:00+05:30,40.85,40.85,40.85,40.85,0
2022-01-12 12:10:00+05:30,40.85,40.85,40.85,40.85,0
2022-01-12 12:15:00+05:30,40.85,40.85,40.85,40.85,0
2022-01-12 12:20:00+05:30,40.85,40.85,38.9,38.9,723
2022-01-12 12:25:00+05:30,38.9,38.9,38.9,38.9,1100
2022-01-12 12:30:00+05:30,38.9,38.9,38.9,38.9,0
2022-01-12 12:35:00+05:30,38.9,38.9,38.9,38.9,0
2022-01-12 12:40:00+05:30,38.9,38.9,38.9,38.9,2110
2022-01-12 12:45:00+05:30,38.9,38.9,38.9,38.9,2
2022-01-12 12:50:00+05:30,38.9,39.95,38.9,39.7,3315
2022-01-12 12:55:00+05:30,39.7,39.7,38.9,38.9,730
2022-01-12 13:00:00+05:30,38.9,38.9,38.9,38.9,0
2022-01-12 13:05:00+05:30,38.9,38.9,38.9,38.9,0
2022-01-12 13:10:00+05:30,38.9,38.9,38.9,38.9,5
2022-01-12 13:15:00+05:30,38.9,38.9,38.9,38.9,0
2022-01-12 13:20:00+05:30,38.9,38.9,38.9,38.9,0
2022-01-12 13:25:00+05:30,38.9,38.9,38.9,38.9,2032
2022-01-12 13:30:00+05:30,38.9,38.9,38.9,38.9,13
2022-01-12 13:35:00+05:30,38.9,38.9,38.9,38.9,0
2022-01-12 13:40:00+05:30,38.9,38.9,38.9,38.9,1
2022-01-12 13:45:00+05:30,38.9,38.9,38.9,38.9,2
2022-01-12 13:50:00+05:30,38.9,38.9,38.9,38.9,38
