date,open,high,low,close,volume
2020-05-14 09:15:00+05:30,76.55,76.55,76.0,76.1,982
2020-05-14 09:20:00+05:30,76.1,76.5,76.1,76.1,118
2020-05-14 09:25:00+05:30,76.1,76.45,75.55,75.6,4894
2020-05-14 09:30:00+05:30,75.6,75.6,75.5,75.5,417
2020-05-14 09:35:00+05:30,75.5,75.5,75.5,75.5,0
2020-05-14 09:40:00+05:30,75.0,75.5,75.0,75.5,101
2020-05-14 09:45:00+05:30,75.5,75.5,74.5,74.5,749
2020-05-14 09:50:00+05:30,75.0,75.5,74.55,75.5,48
2020-05-14 09:55:00+05:30,75.5,75.5,75.5,75.5,1
2020-05-14 10:05:00+05:30,75.5,75.5,75.5,75.5,100
2020-05-14 10:10:00+05:30,75.5,75.5,75.5,75.5,2
2020-05-14 10:15:00+05:30,75.5,75.5,75.5,75.5,0
2020-05-14 10:20:00+05:30,75.5,75.5,75.5,75.5,201
2020-05-14 10:25:00+05:30,75.5,75.5,74.95,74.95,3608
2020-05-14 10:30:00+05:30,74.95,74.95,74.95,74.95,0
2020-05-14 10:35:00+05:30,74.95,74.95,74.95,74.95,0
2020-05-14 10:40:00+05:30,74.95,74.95,74.95,74.95,0
2020-05-14 10:50:00+05:30,74.6,75.5,74.55,75.5,237
2020-05-14 10:55:00+05:30,75.5,75.5,75.5,75.5,0
2020-05-14 11:00:00+05:30,75.5,75.5,75.45,75.45,375
2020-05-14 11:05:00+05:30,75.45,75.45,75.45,75.45,224
2020-05-14 11:20:00+05:30,75.45,75.45,75.45,75.45,401
2020-05-14 11:30:00+05:30,75.45,75.45,75.45,75.45,0
2020-05-14 11:35:00+05:30,75.45,75.45,75.4,75.4,1000
2020-05-14 11:50:00+05:30,75.5,75.5,75.5,75.5,100
2020-05-14 11:55:00+05:30,75.5,75.5,75.4,75.4,21
2020-05-14 12:10:00+05:30,75.4,75.4,75.4,75.4,0
2020-05-14 12:15:00+05:30,75.35,75.35,74.35,74.35,600
2020-05-14 12:20:00+05:30,74.35,74.35,74.35,74.35,0
2020-05-14 12:35:00+05:30,74.35,75.25,74.35,75.25,500
2020-05-14 12:40:00+05:30,75.25,75.5,74.3,75.5,27
2020-05-14 12:45:00+05:30,74.7,75.35,74.7,75.35,3502
2020-05-14 12:50:00+05:30,75.5,75.5,75.5,75.5,50
2020-05-14 12:55:00+05:30,75.5,75.5,75.0,75.0,2001
2020-05-14 13:00:00+05:30,75.4,75.4,75.4,75.4,267
2020-05-14 13:10:00+05:30,75.4,75.4,75.4,75.4,0
2020-05-14 13:20:00+05:30,75.4,75.4,75.4,75.4,0
2020-05-14 13:30:00+05:30,75.45,75.45,75.45,75.45,36
2020-05-14 13:50:00+05:30,75.45,75.45,75.45,75.45,0
2020-05-14 13:55:00+05:30,75.45,75.45,74.9,74.9,501
2020-05-14 14:00:00+05:30,74.9,74.9,74.9,74.9,0
2020-05-14 14:10:00+05:30,75.0,75.1,75.0,75.1,600
2020-05-14 14:15:00+05:30,75.1,75.45,75.1,75.45,1
2020-05-14 14:20:00+05:30,75.45,75.45,75.0,75.0,400
2020-05-14 14:25:00+05:30,75.45,75.5,74.85,74.85,3242
2020-05-14 14:30:00+05:30,75.5,75.5,75.5,75.5,2
2020-05-14 14:35:00+05:30,75.05,75.05,75.05,75.05,313
2020-05-14 14:40:00+05:30,75.05,75.1,74.95,75.0,2192
2020-05-14 14:50:00+05:30,75.0,75.0,75.0,75.0,0
2020-05-14 15:00:00+05:30,75.0,75.45,75.0,75.35,3324
2020-05-14 15:05:00+05:30,75.35,75.4,75.35,75.4,1657
2020-05-14 15:10:00+05:30,75.5,75.5,75.5,75.5,10
2020-05-14 15:15:00+05:30,74.35,74.35,74.35,74.35,50
2020-05-14 15:20:00+05:30,74.35,75.5,74.35,75.5,1
2020-05-14 15:25:00+05:30,75.5,75.5,75.5,75.5,0
2020-05-15 09:15:00+05:30,75.45,75.45,75.45,75.45,0
2020-05-15 09:20:00+05:30,75.45,75.5,75.4,75.5,1353
2020-05-15 09:25:00+05:30,75.5,77.8,75.4,77.8,2158
2020-05-15 09:30:00+05:30,77.8,77.8,75.0,75.0,1
2020-05-15 09:35:00+05:30,75.0,75.2,75.0,75.2,1148
2020-05-15 09:40:00+05:30,75.5,75.5,75.5,75.5,1
2020-05-15 09:45:00+05:30,75.5,75.5,75.5,75.5,0
2020-05-15 09:50:00+05:30,75.5,75.5,75.5,75.5,10
2020-05-15 09:55:00+05:30,75.5,75.5,74.8,75.5,16
2020-05-15 10:00:00+05:30,75.0,75.5,74.85,74.85,2001
2020-05-15 10:10:00+05:30,74.85,74.85,74.85,74.85,0
2020-05-15 10:20:00+05:30,74.85,74.85,74.85,74.85,0
2020-05-15 10:25:00+05:30,75.0,75.1,74.85,74.95,1500
2020-05-15 10:30:00+05:30,75.5,75.5,75.5,75.5,1
2020-05-15 10:35:00+05:30,75.5,75.5,74.0,75.45,197
2020-05-15 10:40:00+05:30,75.45,75.45,75.45,75.45,0
2020-05-15 10:45:00+05:30,75.45,75.45,75.45,75.45,1
2020-05-15 10:50:00+05:30,75.45,75.45,75.45,75.45,0
2020-05-15 10:55:00+05:30,74.0,74.0,74.0,74.0,1
2020-05-15 11:00:00+05:30,73.9,74.0,73.6,73.6,2505
2020-05-15 11:05:00+05:30,73.6,73.6,73.6,73.6,0
2020-05-15 11:15:00+05:30,73.6,73.6,73.6,73.6,0
2020-05-15 11:20:00+05:30,73.75,73.85,73.65,73.65,2001
2020-05-15 11:25:00+05:30,73.6,73.6,73.6,73.6,93
2020-05-15 11:30:00+05:30,73.65,75.5,73.65,75.5,51
2020-05-15 11:35:00+05:30,73.65,75.5,73.65,75.5,952
2020-05-15 11:40:00+05:30,75.5,75.5,75.5,75.5,40
2020-05-15 11:45:00+05:30,75.5,75.5,73.65,73.65,2001
2020-05-15 11:50:00+05:30,73.65,73.65,73.65,73.65,0
2020-05-15 11:55:00+05:30,73.65,73.65,73.65,73.65,0
