date,open,high,low,close,volume
2020-08-04 09:15:00+05:30,47.7,47.7,47.7,47.7,237
2020-08-04 09:20:00+05:30,47.7,48.7,47.7,48.7,131
2020-08-04 09:25:00+05:30,48.7,52.0,45.65,49.8,4153
2020-08-04 09:30:00+05:30,49.8,49.85,48.0,48.0,321
2020-08-04 09:35:00+05:30,48.0,49.4,46.25,47.2,204
2020-08-04 09:40:00+05:30,47.2,49.0,47.2,49.0,3320
2020-08-04 09:45:00+05:30,49.0,49.0,48.0,48.0,810
2020-08-04 09:50:00+05:30,48.0,48.0,46.85,47.0,6898
2020-08-04 09:55:00+05:30,47.0,47.0,45.0,45.0,6792
2020-08-04 10:00:00+05:30,45.0,47.45,45.0,45.8,204
2020-08-04 10:05:00+05:30,45.8,47.45,45.55,45.55,319
2020-08-04 10:10:00+05:30,45.55,47.0,45.55,45.55,501
2020-08-04 10:15:00+05:30,45.55,45.55,45.55,45.55,0
2020-08-04 10:20:00+05:30,45.55,45.55,45.55,45.55,0
2020-08-04 10:25:00+05:30,45.55,45.55,45.55,45.55,0
2020-08-04 10:30:00+05:30,45.55,46.75,45.55,46.75,1
2020-08-04 10:35:00+05:30,46.65,46.8,46.0,46.75,106
2020-08-04 10:40:00+05:30,46.75,46.75,46.1,46.1,4
2020-08-04 10:45:00+05:30,46.1,46.8,46.1,46.15,224
2020-08-04 10:50:00+05:30,46.15,48.0,46.15,46.95,1079
2020-08-04 10:55:00+05:30,46.95,48.0,46.65,48.0,4013
2020-08-04 11:00:00+05:30,48.0,48.0,46.6,46.6,1
2020-08-04 11:05:00+05:30,46.6,47.35,46.6,46.7,3
2020-08-04 11:10:00+05:30,46.7,46.75,46.5,46.65,497
2020-08-04 11:15:00+05:30,46.65,46.65,46.65,46.65,500
2020-08-04 11:20:00+05:30,46.65,48.0,46.5,48.0,1529
2020-08-04 11:25:00+05:30,48.0,48.0,47.95,47.95,748
2020-08-04 11:30:00+05:30,47.95,47.95,47.95,47.95,0
2020-08-04 11:35:00+05:30,47.95,47.95,47.95,47.95,0
2020-08-04 11:40:00+05:30,47.95,48.0,46.25,47.95,29
2020-08-04 11:45:00+05:30,47.95,47.95,47.95,47.95,16
2020-08-04 11:50:00+05:30,47.95,47.95,47.85,47.85,100
2020-08-04 11:55:00+05:30,47.85,47.85,47.85,47.85,0
2020-08-04 12:00:00+05:30,47.85,47.85,47.85,47.85,0
2020-08-04 12:05:00+05:30,47.85,47.85,47.5,47.5,2
2020-08-04 12:10:00+05:30,48.0,48.0,48.0,48.0,151
2020-08-04 12:15:00+05:30,48.0,48.0,47.0,47.0,101
2020-08-04 12:20:00+05:30,47.0,47.95,47.0,47.95,50
2020-08-04 12:25:00+05:30,47.95,47.95,47.0,47.75,156
2020-08-04 12:30:00+05:30,47.75,47.75,47.75,47.75,0
2020-08-04 12:35:00+05:30,47.75,47.75,47.05,47.05,8
2020-08-04 12:40:00+05:30,47.05,48.0,47.05,48.0,5000
2020-08-04 12:45:00+05:30,48.0,48.0,48.0,48.0,0
2020-08-04 12:50:00+05:30,48.0,48.0,47.15,47.15,1
2020-08-04 12:55:00+05:30,47.15,47.15,47.15,47.15,0
2020-08-04 13:00:00+05:30,47.9,47.9,47.9,47.9,100
2020-08-04 13:05:00+05:30,47.9,47.9,47.9,47.9,0
2020-08-04 13:10:00+05:30,47.9,47.9,47.9,47.9,0
2020-08-04 13:20:00+05:30,47.9,47.9,47.9,47.9,0
2020-08-04 13:25:00+05:30,47.9,47.9,47.9,47.9,0
2020-08-04 13:35:00+05:30,47.95,47.95,47.95,47.95,209
2020-08-04 13:40:00+05:30,47.95,47.95,47.95,47.95,50
2020-08-04 13:45:00+05:30,47.95,47.95,47.95,47.95,0
2020-08-04 13:50:00+05:30,47.2,47.2,47.1,47.15,58
2020-08-04 13:55:00+05:30,47.15,47.95,47.15,47.95,50
2020-08-04 14:00:00+05:30,47.95,47.95,47.8,47.8,300
2020-08-04 14:05:00+05:30,48.0,48.0,47.5,47.5,5001
2020-08-04 14:15:00+05:30,47.5,47.5,47.5,47.5,0
2020-08-04 14:20:00+05:30,47.5,47.5,47.5,47.5,0
2020-08-04 14:25:00+05:30,47.5,48.0,47.5,47.55,501
2020-08-04 14:30:00+05:30,47.55,47.55,47.55,47.55,0
2020-08-04 14:35:00+05:30,48.0,48.0,48.0,48.0,20
2020-08-04 14:40:00+05:30,48.0,48.0,47.6,47.6,1
2020-08-04 14:45:00+05:30,48.0,48.0,48.0,48.0,750
2020-08-04 14:50:00+05:30,47.75,47.75,47.7,47.7,285
2020-08-04 14:55:00+05:30,47.7,47.7,47.6,47.6,212
2020-08-04 15:00:00+05:30,47.85,48.0,47.85,48.0,2119
2020-08-04 15:05:00+05:30,47.95,47.95,47.85,47.85,1947
2020-08-04 15:10:00+05:30,47.85,47.85,47.1,47.1,2305
2020-08-04 15:15:00+05:30,47.1,47.1,46.6,46.85,136
2020-08-04 15:20:00+05:30,46.85,47.7,46.85,47.5,165
2020-08-04 15:25:00+05:30,47.5,47.5,46.9,47.0,70
2020-08-05 09:15:00+05:30,48.95,49.0,47.75,48.95,967
2020-08-05 09:20:00+05:30,48.95,49.0,48.95,48.95,49
2020-08-05 09:25:00+05:30,48.95,49.0,48.95,49.0,766
2020-08-05 09:35:00+05:30,49.0,49.0,48.95,48.95,358
2020-08-05 09:40:00+05:30,48.95,48.95,48.95,48.95,25
2020-08-05 09:45:00+05:30,49.0,49.0,49.0,49.0,25
2020-08-05 09:50:00+05:30,49.0,49.0,49.0,49.0,63
2020-08-05 09:55:00+05:30,49.0,49.0,49.0,49.0,0
2020-08-05 10:00:00+05:30,49.0,49.0,49.0,49.0,200
2020-08-05 10:10:00+05:30,49.0,49.0,49.0,49.0,0
2020-08-05 10:20:00+05:30,49.0,49.0,47.75,47.9,397
2020-08-05 10:25:00+05:30,47.9,47.9,47.9,47.9,6
2020-08-05 10:30:00+05:30,47.9,47.9,47.9,47.9,1
2020-08-05 10:35:00+05:30,47.9,47.9,47.9,47.9,0
2020-08-05 10:45:00+05:30,47.9,47.9,47.9,47.9,0
2020-08-05 10:55:00+05:30,47.9,49.0,46.7,49.0,4302
2020-08-05 11:05:00+05:30,49.0,49.0,49.0,49.0,800
2020-08-05 11:15:00+05:30,49.0,49.0,47.8,47.8,900
2020-08-05 11:20:00+05:30,47.8,49.0,47.8,49.0,2101
2020-08-05 11:25:00+05:30,49.0,49.0,49.0,49.0,0
2020-08-05 11:30:00+05:30,49.0,49.0,49.0,49.0,0
2020-08-05 11:35:00+05:30,49.0,49.0,49.0,49.0,100
2020-08-05 11:50:00+05:30,49.0,49.0,49.0,49.0,500
2020-08-05 11:55:00+05:30,49.0,49.0,49.0,49.0,542
2020-08-05 12:00:00+05:30,49.0,50.0,49.0,50.0,7309
2020-08-05 12:05:00+05:30,50.0,50.0,50.0,50.0,2000
2020-08-05 12:10:00+05:30,50.0,50.0,50.0,50.0,2912
2020-08-05 12:15:00+05:30,50.0,50.75,49.95,50.75,143
2020-08-05 12:20:00+05:30,50.75,50.75,48.95,48.95,5817
2020-08-05 12:25:00+05:30,48.95,48.95,48.65,48.8,90
2020-08-05 12:30:00+05:30,48.8,48.8,48.8,48.8,0
2020-08-05 12:35:00+05:30,48.8,48.8,48.8,48.8,0
2020-08-05 12:40:00+05:30,48.8,48.8,48.8,48.8,156
2020-08-05 12:45:00+05:30,48.8,48.8,48.8,48.8,0
2020-08-05 12:50:00+05:30,48.8,48.8,48.8,48.8,0
2020-08-05 12:55:00+05:30,48.7,48.7,48.7,48.7,29
2020-08-05 13:00:00+05:30,48.7,48.7,48.5,48.7,50
2020-08-05 13:10:00+05:30,48.7,48.7,48.7,48.7,0
2020-08-05 13:15:00+05:30,48.7,48.7,48.7,48.7,0
2020-08-05 13:20:00+05:30,48.7,48.7,48.6,48.6,1
2020-08-05 13:25:00+05:30,48.6,48.6,48.2,48.2,172
2020-08-05 13:35:00+05:30,48.2,48.55,48.2,48.55,31
2020-08-05 13:40:00+05:30,48.55,48.95,48.55,48.95,338
2020-08-05 13:45:00+05:30,48.95,48.95,48.95,48.95,200
2020-08-05 13:50:00+05:30,48.95,49.0,48.95,49.0,125
2020-08-05 13:55:00+05:30,49.0,49.0,48.95,48.95,339
2020-08-05 14:00:00+05:30,48.95,48.95,48.95,48.95,0
2020-08-05 14:05:00+05:30,48.25,48.25,48.2,48.2,350
2020-08-05 14:10:00+05:30,48.2,48.2,48.0,48.0,146
2020-08-05 14:15:00+05:30,48.0,48.0,48.0,48.0,500
2020-08-05 14:20:00+05:30,48.0,48.0,48.0,48.0,21
2020-08-05 14:25:00+05:30,48.0,48.0,48.0,48.0,150
2020-08-05 14:30:00+05:30,48.0,48.0,48.0,48.0,1
2020-08-05 14:35:00+05:30,48.0,48.0,48.0,48.0,1
2020-08-05 14:40:00+05:30,47.95,47.95,47.9,47.9,20
2020-08-05 14:45:00+05:30,47.9,47.9,47.9,47.9,0
2020-08-05 14:50:00+05:30,47.85,47.85,47.85,47.85,200
2020-08-05 14:55:00+05:30,47.85,47.85,47.85,47.85,25
2020-08-05 15:10:00+05:30,47.85,47.85,47.6,47.85,250
2020-08-05 15:15:00+05:30,47.85,47.85,47.85,47.85,0
2020-08-05 15:20:00+05:30,47.85,47.85,47.85,47.85,245
2020-08-05 15:25:00+05:30,47.85,49.6,47.85,49.6,799
2020-08-06 09:15:00+05:30,48.15,48.15,48.15,48.15,0
2020-08-06 09:20:00+05:30,48.15,48.15,48.15,48.15,0
2020-08-06 09:25:00+05:30,48.15,48.15,48.15,48.15,0
2020-08-06 09:30:00+05:30,48.15,48.15,48.15,48.15,0
2020-08-06 09:35:00+05:30,48.2,48.2,48.2,48.2,500
2020-08-06 09:40:00+05:30,49.0,49.0,49.0,49.0,150
2020-08-06 09:45:00+05:30,49.0,49.0,49.0,49.0,0
2020-08-06 09:50:00+05:30,49.0,49.0,49.0,49.0,0
2020-08-06 09:55:00+05:30,49.0,49.0,49.0,49.0,0
2020-08-06 10:00:00+05:30,49.0,49.0,49.0,49.0,0
2020-08-06 10:05:00+05:30,49.0,49.0,49.0,49.0,0
2020-08-06 10:10:00+05:30,49.0,49.0,49.0,49.0,0
2020-08-06 10:15:00+05:30,49.0,49.0,49.0,49.0,0
2020-08-06 10:20:00+05:30,49.0,49.0,49.0,49.0,0
2020-08-06 10:45:00+05:30,49.0,49.0,49.0,49.0,0
2020-08-06 10:50:00+05:30,47.5,48.45,47.5,48.45,809
2020-08-06 11:05:00+05:30,48.45,48.45,48.45,48.45,0
